Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,75.5,81.0,74.25,81.0,25640
2017-09-07 00:00:00,77.0,77.0,75.5,75.5,51
2017-09-06 00:00:00,74.25,78.0,74.25,74.75,1929
2017-09-04 00:00:00,75.25,76.0,74.0,74.25,4670
2017-09-01 00:00:00,78.0,79.5,75.5,75.5,6061
2017-08-31 00:00:00,73.5,78.0,73.5,76.75,5164
2017-08-30 00:00:00,72.75,73.5,71.75,73.5,1743
2017-08-29 00:00:00,73.0,74.25,72.0,73.0,1092
2017-08-28 00:00:00,74.0,74.0,73.0,73.0,218
2017-08-25 00:00:00,74.25,74.25,73.0,73.75,1812
2017-08-24 00:00:00,74.25,74.25,72.0,74.25,1747
2017-08-23 00:00:00,73.0,74.25,71.75,74.25,379
2017-08-22 00:00:00,74.75,74.75,72.25,73.75,130678
2017-08-21 00:00:00,72.5,75.0,70.25,74.75,1848
2017-08-18 00:00:00,76.25,76.25,74.0,74.0,2878
2017-08-17 00:00:00,75.0,79.0,73.0,76.25,14075
2017-08-16 00:00:00,74.5,75.0,73.5,75.0,4489
2017-08-15 00:00:00,70.25,74.125,70.25,73.5,134804
2017-08-14 00:00:00,71.5,72.5,71.5,72.0,3286
2017-08-11 00:00:00,71.0,73.5,70.0,72.5,3631
2017-08-10 00:00:00,73.25,73.75,72.0,72.5,3754
2017-08-09 00:00:00,74.0,74.0,71.75,73.25,2498
2017-08-08 00:00:00,74.0,75.0,73.75,74.25,3051
2017-08-07 00:00:00,73.0,74.75,72.25,74.0,7377
2017-08-04 00:00:00,73.75,75.0,73.0,75.0,3327
2017-08-03 00:00:00,76.5,76.5,73.75,73.75,2050
2017-08-02 00:00:00,75.5,79.0,75.5,77.0,7082
2017-08-01 00:00:00,73.5,76.5,72.25,75.5,8298
2017-07-31 00:00:00,71.5,73.5,71.25,72.0,3265
2017-07-28 00:00:00,72.0,72.0,66.5,71.5,4827
2017-07-27 00:00:00,71.5,74.5,71.5,72.5,1055
2017-07-26 00:00:00,72.25,72.25,71.5,72.0,994
2017-07-25 00:00:00,70.75,72.75,70.75,72.5,16417
2017-07-24 00:00:00,62.0,72.0,62.0,71.0,7642
2017-07-21 00:00:00,72.25,74.75,69.75,72.5,6425
