Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,28.8,29.2,28.5,28.5,17222
2017-09-07 00:00:00,28.4,29.0,28.3,28.8,7552
2017-09-06 00:00:00,28.7,28.7,28.4,28.7,18604
2017-09-04 00:00:00,28.8,29.5,28.4,28.8,21941
2017-09-01 00:00:00,28.5,29.6,28.5,29.1,35786
2017-08-31 00:00:00,28.1,28.5,28.0,28.4,17649
2017-08-30 00:00:00,28.0,28.2,27.6,28.0,36169
2017-08-29 00:00:00,28.1,28.1,27.8,27.9,20362
2017-08-28 00:00:00,28.0,28.3,27.8,28.1,33261
2017-08-25 00:00:00,28.6,28.6,28.3,28.5,56414
2017-08-24 00:00:00,28.5,28.8,28.3,28.6,23844
2017-08-23 00:00:00,28.5,28.8,28.3,28.3,66820
2017-08-22 00:00:00,26.8,28.8,26.8,28.5,516462
2017-08-21 00:00:00,24.0,24.7,23.7,23.9,56701
2017-08-18 00:00:00,24.2,24.5,24.0,24.5,17143
2017-08-17 00:00:00,24.8,24.9,24.4,24.5,8431
2017-08-16 00:00:00,24.7,24.8,24.5,24.8,6073
2017-08-15 00:00:00,25.0,25.0,24.4,24.7,6098
2017-08-14 00:00:00,24.6,25.0,24.6,24.8,5435
2017-08-11 00:00:00,24.9,24.9,24.2,24.6,30375
2017-08-10 00:00:00,25.5,25.5,25.0,25.3,2214
2017-08-09 00:00:00,25.3,25.5,25.0,25.5,20494
2017-08-08 00:00:00,25.3,25.3,25.0,25.2,5043
2017-08-07 00:00:00,25.0,25.6,24.7,25.3,13407
2017-08-04 00:00:00,24.9,24.9,24.6,24.6,5373
2017-08-03 00:00:00,24.8,24.9,24.5,24.7,10688
2017-08-02 00:00:00,24.2,24.8,24.2,24.8,12008
2017-08-01 00:00:00,24.0,24.6,24.0,24.2,10601
2017-07-31 00:00:00,23.9,24.0,23.8,23.9,9920
2017-07-28 00:00:00,24.7,24.7,23.8,23.9,15169
2017-07-27 00:00:00,24.5,24.7,24.0,24.7,3133
2017-07-26 00:00:00,24.3,24.5,24.1,24.1,5363
2017-07-25 00:00:00,23.9,24.5,23.8,24.1,5353
2017-07-24 00:00:00,24.5,24.5,23.8,24.0,36196
2017-07-21 00:00:00,24.4,24.7,24.2,24.6,12280
2017-07-20 00:00:00,24.5,24.7,24.1,24.4,21480
2017-07-19 00:00:00,25.4,25.5,24.1,24.9,32281
2017-07-18 00:00:00,25.7,25.7,25.2,25.4,11365
2017-07-17 00:00:00,25.9,25.9,25.3,25.7,18082
2017-07-14 00:00:00,25.3,25.8,25.3,25.4,11421
2017-07-13 00:00:00,25.4,25.5,25.3,25.3,6968
2017-07-12 00:00:00,25.6,25.7,25.3,25.3,14217
2017-07-11 00:00:00,25.5,25.6,25.3,25.3,12065
2017-07-10 00:00:00,25.9,25.9,25.5,25.5,4280
2017-07-07 00:00:00,25.9,26.1,25.5,25.9,11573
2017-07-06 00:00:00,25.3,25.8,25.2,25.2,5735
2017-07-05 00:00:00,25.2,25.8,25.1,25.3,10871
