Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,2.57,2.7,2.56,2.7,94503
2017-09-07 00:00:00,2.57,2.57,2.54,2.57,138064
2017-09-06 00:00:00,2.61,2.61,2.52,2.56,49476
2017-09-04 00:00:00,2.68,2.68,2.61,2.64,151045
2017-09-01 00:00:00,2.63,2.7,2.63,2.7,146911
2017-08-31 00:00:00,2.65,2.66,2.62,2.62,19442
2017-08-30 00:00:00,2.65,2.66,2.61,2.65,73798
2017-08-29 00:00:00,2.7,2.7,2.6,2.65,70946
2017-08-28 00:00:00,2.74,2.74,2.66,2.7,29895
2017-08-25 00:00:00,2.65,2.74,2.65,2.74,177638
2017-08-24 00:00:00,2.65,2.65,2.6,2.64,112582
2017-08-23 00:00:00,2.69,2.69,2.61,2.62,46847
2017-08-22 00:00:00,2.67,2.67,2.64,2.65,45989
2017-08-21 00:00:00,2.71,2.73,2.65,2.68,76014
2017-08-18 00:00:00,2.69,2.71,2.6,2.7,82358
2017-08-17 00:00:00,2.7,2.7,2.65,2.69,27712
2017-08-16 00:00:00,2.72,2.72,2.66,2.7,61534
2017-08-15 00:00:00,2.76,2.76,2.68,2.72,32990
2017-08-14 00:00:00,2.76,2.76,2.7,2.76,48378
2017-08-11 00:00:00,2.75,2.78,2.72,2.72,171585
2017-08-10 00:00:00,2.74,2.78,2.72,2.78,142006
2017-08-09 00:00:00,2.8,2.8,2.7,2.74,84266
2017-08-08 00:00:00,2.83,2.85,2.72,2.8,259338
2017-08-07 00:00:00,2.9,2.9,2.84,2.84,70807
2017-08-04 00:00:00,2.84,2.9,2.81,2.9,435378
2017-08-03 00:00:00,2.75,2.83,2.72,2.82,344513
2017-08-02 00:00:00,2.68,2.75,2.68,2.75,567269
2017-08-01 00:00:00,2.64,2.71,2.64,2.67,122712
2017-07-31 00:00:00,2.66,2.66,2.63,2.64,49447
2017-07-28 00:00:00,2.6,2.66,2.6,2.66,144839
2017-07-27 00:00:00,2.66,2.68,2.62,2.63,261290
2017-07-26 00:00:00,2.6,2.64,2.6,2.64,63345
2017-07-25 00:00:00,2.6,2.64,2.6,2.6,207607
2017-07-24 00:00:00,2.52,2.63,2.52,2.6,40402
2017-07-21 00:00:00,2.61,2.64,2.52,2.52,177260
2017-07-20 00:00:00,2.57,2.62,2.56,2.61,57639
2017-07-19 00:00:00,2.61,2.65,2.57,2.57,27927
2017-07-18 00:00:00,2.62,2.64,2.59,2.61,170958
2017-07-17 00:00:00,2.55,2.64,2.55,2.64,139313
2017-07-14 00:00:00,2.61,2.61,2.58,2.58,20226
2017-07-13 00:00:00,2.61,2.61,2.57,2.6,22128
2017-07-12 00:00:00,2.5,2.61,2.5,2.6,85421
2017-07-11 00:00:00,2.57,2.58,2.57,2.58,22147
2017-07-10 00:00:00,2.6,2.61,2.55,2.57,112671
2017-07-07 00:00:00,2.55,2.62,2.55,2.6,27853
2017-07-06 00:00:00,2.6,2.6,2.55,2.55,18855
2017-07-05 00:00:00,2.61,2.65,2.58,2.6,63108
2017-07-04 00:00:00,2.6,2.61,2.54,2.61,73719
2017-07-03 00:00:00,2.6,2.65,2.55,2.61,130253
2017-06-30 00:00:00,2.65,2.65,2.52,2.6,122368
2017-06-29 00:00:00,2.45,2.93,2.45,2.62,1024582
2017-06-28 00:00:00,2.55,2.55,2.51,2.54,26090
2017-06-27 00:00:00,2.51,2.55,2.45,2.55,68919
2017-06-26 00:00:00,2.5,2.54,2.48,2.51,58124
2017-06-23 00:00:00,,2.5,2.5,2.5,0
2017-06-22 00:00:00,2.54,2.54,2.5,2.5,73170
2017-06-21 00:00:00,2.5,2.55,2.48,2.54,63572
2017-06-20 00:00:00,2.52,2.55,2.52,2.52,21730
2017-06-19 00:00:00,2.49,2.52,2.49,2.52,20181
2017-06-16 00:00:00,2.45,2.53,2.45,2.49,20076
2017-06-15 00:00:00,2.5,2.54,2.13,2.51,192350
2017-06-14 00:00:00,2.56,2.56,2.47,2.54,26448
2017-06-13 00:00:00,2.58,2.59,2.56,2.56,48733
2017-06-12 00:00:00,2.59,2.59,2.5,2.58,107417
2017-06-09 00:00:00,2.56,2.58,2.53,2.58,62236
2017-06-08 00:00:00,2.55,2.57,2.49,2.56,78081
2017-06-07 00:00:00,2.52,2.55,2.51,2.55,147679
2017-06-06 00:00:00,,2.52,2.52,2.52,0
2017-06-05 00:00:00,2.44,2.53,2.41,2.52,365176
2017-06-02 00:00:00,2.4,2.45,2.4,2.41,276297
2017-06-01 00:00:00,2.4,2.45,2.38,2.4,150442
2017-05-31 00:00:00,2.38,2.38,2.35,2.38,24927
2017-05-30 00:00:00,2.4,2.4,2.34,2.38,27063
2017-05-29 00:00:00,2.33,2.4,2.33,2.4,50273
2017-05-26 00:00:00,2.42,2.42,2.3,2.4,100341
2017-05-24 00:00:00,2.38,2.42,2.38,2.4,3058
2017-05-23 00:00:00,2.44,2.44,2.38,2.38,8749
2017-05-22 00:00:00,2.4,2.42,2.39,2.42,38745
2017-05-19 00:00:00,2.4,2.4,2.35,2.39,12903
2017-05-18 00:00:00,2.37,2.4,2.35,2.39,99971
2017-05-17 00:00:00,2.41,2.42,2.38,2.38,10365
2017-05-16 00:00:00,2.43,2.43,2.36,2.4,11707
2017-05-15 00:00:00,2.44,2.45,2.37,2.44,38001
2017-05-12 00:00:00,2.46,2.41,2.41,2.41,75019
2017-05-11 00:00:00,2.48,2.6,2.46,2.46,220286
2017-05-10 00:00:00,2.45,2.48,2.4,2.46,92621
2017-05-09 00:00:00,2.45,2.5,2.4,2.49,621414
2017-05-08 00:00:00,2.39,2.55,2.39,2.44,433762
2017-05-05 00:00:00,2.38,2.39,2.35,2.39,90818
2017-05-04 00:00:00,2.39,2.39,2.32,2.37,44618
2017-05-03 00:00:00,2.39,2.39,2.32,2.35,60536
2017-05-02 00:00:00,2.4,2.4,2.33,2.39,54714
2017-05-01 00:00:00,,2.4,2.4,2.4,0
2017-04-28 00:00:00,2.4,2.4,2.35,2.4,82985
2017-04-27 00:00:00,2.39,2.39,2.35,2.38,37714
2017-04-26 00:00:00,2.39,2.39,2.3,2.37,116000
2017-04-25 00:00:00,2.39,2.39,2.36,2.37,22833
2017-04-24 00:00:00,2.4,2.43,2.36,2.39,181271
2017-04-21 00:00:00,2.32,2.4,2.32,2.4,124974
2017-04-20 00:00:00,2.35,2.4,2.3,2.32,168530
2017-04-19 00:00:00,2.31,2.36,2.27,2.35,81588
2017-04-18 00:00:00,2.2,2.34,2.2,2.33,232146
2017-04-13 00:00:00,2.34,2.34,2.29,2.29,11125
2017-04-12 00:00:00,2.35,2.37,2.35,2.35,2603
2017-04-11 00:00:00,2.31,2.35,2.3,2.35,40551
2017-04-10 00:00:00,2.33,2.34,2.27,2.33,47014
2017-04-07 00:00:00,2.41,2.42,2.25,2.33,111593
2017-04-06 00:00:00,2.32,2.42,2.32,2.41,116800
2017-04-05 00:00:00,2.39,2.39,2.36,2.39,32825
2017-04-04 00:00:00,2.39,2.39,2.32,2.39,42347
2017-04-03 00:00:00,2.37,2.4,2.32,2.37,86865
2017-03-31 00:00:00,2.39,2.39,2.33,2.37,6205
2017-03-30 00:00:00,2.4,2.4,2.34,2.39,1898
2017-03-29 00:00:00,2.41,2.41,2.35,2.4,14328
2017-03-28 00:00:00,2.35,2.4,2.28,2.4,183960
2017-03-27 00:00:00,2.35,2.35,2.35,2.35,57902
2017-03-24 00:00:00,2.4,2.4,2.35,2.38,81536
2017-03-23 00:00:00,2.35,2.4,2.35,2.4,18523
2017-03-22 00:00:00,2.4,2.4,2.33,2.35,51008
2017-03-21 00:00:00,2.43,2.43,2.37,2.39,92970
2017-03-20 00:00:00,2.44,2.44,2.4,2.4,13596
2017-03-17 00:00:00,2.44,2.44,2.4,2.42,11081
2017-03-16 00:00:00,2.44,2.45,2.38,2.42,73006
2017-03-15 00:00:00,2.42,2.43,2.37,2.42,44066
2017-03-14 00:00:00,2.44,2.46,2.37,2.37,241224
2017-03-13 00:00:00,2.46,2.46,2.41,2.43,44388
2017-03-10 00:00:00,2.42,2.44,2.44,2.44,102617
2017-03-09 00:00:00,2.43,2.45,2.41,2.42,76087
2017-03-08 00:00:00,2.44,2.46,2.4,2.43,155862
2017-03-07 00:00:00,2.46,2.46,2.41,2.44,54320
2017-03-06 00:00:00,2.46,2.46,2.41,2.41,68464
2017-03-03 00:00:00,2.44,2.46,2.46,2.46,177841
2017-03-02 00:00:00,2.4,2.44,2.38,2.4,102957
2017-03-01 00:00:00,2.41,2.43,2.35,2.4,70049
2017-02-28 00:00:00,2.35,2.41,2.35,2.41,22402
2017-02-27 00:00:00,2.39,2.45,2.35,2.38,106640
2017-02-24 00:00:00,2.45,2.48,2.38,2.43,79170
2017-02-23 00:00:00,2.4,2.45,2.38,2.45,108287
2017-02-22 00:00:00,2.47,2.47,2.38,2.41,198150
2017-02-21 00:00:00,2.48,2.49,2.42,2.47,170198
2017-02-20 00:00:00,2.32,2.5,2.32,2.41,607116
2017-02-17 00:00:00,2.33,2.39,2.26,2.32,288977
2017-02-16 00:00:00,2.31,2.35,2.23,2.33,395515
2017-02-15 00:00:00,2.37,2.37,2.25,2.31,194049
2017-02-14 00:00:00,2.2,2.34,2.17,2.31,177952
2017-02-13 00:00:00,2.23,2.25,2.19,2.21,154334
2017-02-10 00:00:00,2.27,2.28,2.21,2.21,216714
2017-02-09 00:00:00,2.3,2.3,2.25,2.28,43289
2017-02-08 00:00:00,2.28,2.28,2.2,2.2,124089
2017-02-07 00:00:00,2.22,2.27,2.19,2.27,305074
2017-02-06 00:00:00,2.36,2.36,2.25,2.3,97239
2017-02-03 00:00:00,2.33,2.37,2.33,2.36,36005
2017-02-02 00:00:00,2.35,2.42,2.3,2.33,45818
2017-02-01 00:00:00,2.3,2.43,2.3,2.35,101535
2017-01-31 00:00:00,2.35,2.37,2.3,2.34,161577
2017-01-30 00:00:00,2.32,2.32,2.21,2.31,44238
2017-01-27 00:00:00,2.33,2.33,2.25,2.3,383898
2017-01-26 00:00:00,2.46,2.59,2.27,2.32,479509
2017-01-25 00:00:00,2.43,2.43,2.22,2.43,222073
2017-01-24 00:00:00,2.3,2.44,2.3,2.4,137853
2017-01-23 00:00:00,2.51,2.51,2.4,2.44,122779
2017-01-20 00:00:00,2.53,2.54,2.51,2.54,71547
2017-01-19 00:00:00,2.5,2.53,2.49,2.53,111570
2017-01-18 00:00:00,2.5,2.5,2.45,2.47,44181
2017-01-17 00:00:00,2.47,2.47,2.45,2.45,35945
2017-01-16 00:00:00,2.5,2.5,2.46,2.48,70975
2017-01-13 00:00:00,2.5,2.5,2.42,2.44,196025
2017-01-12 00:00:00,2.49,2.49,2.45,2.49,77667
2017-01-11 00:00:00,2.42,2.49,2.42,2.47,185199
2017-01-10 00:00:00,2.42,2.45,2.39,2.4,98928
2017-01-09 00:00:00,2.35,2.42,2.35,2.42,97606
2017-01-06 00:00:00,,2.34,2.34,2.34,0
2017-01-05 00:00:00,2.34,2.34,2.3,2.34,44427
2017-01-04 00:00:00,2.3,2.34,2.29,2.34,86949
2017-01-03 00:00:00,2.32,2.32,2.26,2.3,60739
2017-01-02 00:00:00,2.25,2.32,2.23,2.31,111606
2016-12-30 00:00:00,2.25,2.25,2.19,2.23,52015
2016-12-29 00:00:00,2.2,2.28,2.16,2.28,42556
2016-12-28 00:00:00,2.22,2.23,2.2,2.2,35493
2016-12-27 00:00:00,2.22,2.23,2.22,2.22,76375
2016-12-23 00:00:00,2.26,2.26,2.2,2.22,59671
2016-12-22 00:00:00,2.2,2.26,2.2,2.2,7876
2016-12-21 00:00:00,2.23,2.23,2.2,2.2,54722
2016-12-20 00:00:00,2.28,2.28,2.22,2.23,62060
2016-12-19 00:00:00,2.22,2.27,2.22,2.27,65888
2016-12-16 00:00:00,2.29,2.3,2.24,2.29,154656
2016-12-15 00:00:00,2.27,2.29,2.21,2.29,122833
2016-12-14 00:00:00,2.28,2.29,2.23,2.27,188579
2016-12-13 00:00:00,2.28,2.29,2.23,2.23,253710
2016-12-12 00:00:00,2.25,2.28,2.18,2.26,216165
2016-12-09 00:00:00,2.25,2.25,2.2,2.25,29411
2016-12-08 00:00:00,2.2,2.21,2.11,2.21,281827
2016-12-07 00:00:00,2.25,2.29,2.17,2.2,258962
2016-12-06 00:00:00,2.2,2.26,2.18,2.25,248090
2016-12-05 00:00:00,2.05,2.2,2.05,2.2,295404
2016-12-02 00:00:00,1.98,2.04,1.98,2.04,33303
2016-12-01 00:00:00,2.04,2.1,2.01,2.05,68789
2016-11-30 00:00:00,2.09,2.09,2.03,2.06,23840
2016-11-29 00:00:00,2.09,2.09,2.04,2.09,661
2016-11-28 00:00:00,2.1,2.12,2.04,2.08,23595
2016-11-25 00:00:00,2.05,2.08,2.01,2.08,42959
2016-11-24 00:00:00,2.05,2.07,2.04,2.04,40700
2016-11-23 00:00:00,2.1,2.1,2.05,2.09,86417
2016-11-22 00:00:00,2.11,2.12,2.08,2.1,126019
2016-11-21 00:00:00,2.1,2.1,2.04,2.07,55316
2016-11-18 00:00:00,2.01,2.1,2.01,2.1,100472
2016-11-17 00:00:00,2.0,2.05,2.0,2.03,20451
2016-11-16 00:00:00,2.07,2.07,2.0,2.0,14916
2016-11-15 00:00:00,2.02,2.07,2.02,2.05,11604
2016-11-14 00:00:00,1.97,2.07,1.97,2.07,65574
2016-11-11 00:00:00,2.03,2.05,2.0,2.0,181659
2016-11-10 00:00:00,2.03,2.03,1.96,2.0,130050
2016-11-09 00:00:00,2.0,2.03,1.91,2.03,107113
2016-11-08 00:00:00,2.12,2.14,1.94,2.03,377951
2016-11-07 00:00:00,2.15,2.15,2.13,2.15,35031
2016-11-04 00:00:00,2.16,2.16,2.16,2.16,4300
2016-11-03 00:00:00,2.13,2.17,2.13,2.17,119247
2016-11-02 00:00:00,2.12,2.14,2.1,2.14,12104
2016-11-01 00:00:00,2.15,2.16,2.1,2.13,3944
