Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,139.0,139.0,136.0,136.0,9928
2017-09-07 00:00:00,138.75,140.0,137.75,138.0,12139
2017-09-06 00:00:00,139.25,140.0,136.75,138.0,9178
2017-09-04 00:00:00,142.0,142.0,137.75,138.0,4191
2017-09-01 00:00:00,140.0,143.5,139.25,142.0,4933
2017-08-31 00:00:00,140.0,142.0,139.0,140.0,4981
2017-08-30 00:00:00,140.5,143.0,140.0,141.0,16278
2017-08-29 00:00:00,147.0,147.0,140.25,141.0,22315
2017-08-28 00:00:00,150.0,150.5,146.75,149.0,4723
2017-08-25 00:00:00,150.0,151.0,146.5,151.0,3079
2017-08-24 00:00:00,150.0,150.5,146.0,146.25,2474
2017-08-23 00:00:00,152.0,152.0,147.0,149.5,2584
2017-08-22 00:00:00,149.5,153.5,149.0,153.0,6333
2017-08-21 00:00:00,147.0,153.5,146.0,150.0,8929
2017-08-18 00:00:00,156.0,156.0,143.75,146.75,42118
2017-08-17 00:00:00,156.0,156.0,155.0,155.5,2783
2017-08-16 00:00:00,158.0,159.5,157.0,158.0,2228
2017-08-15 00:00:00,161.5,162.0,160.0,160.5,1015
2017-08-14 00:00:00,162.0,162.5,160.0,161.5,9615
2017-08-11 00:00:00,163.0,163.5,159.0,162.0,3882
2017-08-10 00:00:00,167.0,167.5,164.5,164.5,19359
2017-08-09 00:00:00,164.5,166.5,164.5,165.0,4917
2017-08-08 00:00:00,163.0,164.5,163.0,164.5,13767
2017-08-07 00:00:00,163.0,163.5,162.0,163.0,1803
2017-08-04 00:00:00,160.0,164.0,160.0,163.0,6142
2017-08-03 00:00:00,158.0,158.5,157.0,157.0,5279
2017-08-02 00:00:00,154.5,158.0,153.5,156.0,25897
2017-08-01 00:00:00,152.0,154.5,152.0,153.0,3395
2017-07-31 00:00:00,150.0,152.0,149.5,151.0,18468
2017-07-28 00:00:00,151.5,151.5,142.5,151.5,17757
2017-07-27 00:00:00,152.0,152.0,147.75,149.75,4996
2017-07-26 00:00:00,150.0,153.0,146.25,146.5,11771
2017-07-25 00:00:00,148.0,150.0,147.5,150.0,3369
2017-07-24 00:00:00,151.5,151.5,146.0,147.5,4223
2017-07-21 00:00:00,155.0,155.0,142.25,151.5,13546
2017-07-20 00:00:00,152.0,157.0,150.5,155.5,7271
2017-07-19 00:00:00,153.0,153.0,150.0,152.0,4259
2017-07-18 00:00:00,150.0,152.5,150.0,152.0,3077
2017-07-17 00:00:00,153.0,153.0,147.5,149.25,17717
2017-07-14 00:00:00,160.0,160.0,151.5,153.0,8576
2017-07-13 00:00:00,159.0,159.0,154.5,157.0,4518
2017-07-12 00:00:00,159.5,159.5,157.0,159.0,3753
2017-07-11 00:00:00,160.0,163.5,157.0,159.5,8392
2017-07-10 00:00:00,164.0,164.0,162.0,162.5,1648
2017-07-07 00:00:00,162.5,162.5,160.0,162.5,1680
2017-07-06 00:00:00,163.0,164.0,160.0,161.5,1591
2017-07-05 00:00:00,161.0,165.0,160.0,162.5,10447
2017-07-04 00:00:00,164.0,164.0,161.0,162.0,2057
2017-07-03 00:00:00,164.0,166.5,162.5,164.0,15214
2017-06-30 00:00:00,163.5,169.0,163.5,166.5,2716
2017-06-29 00:00:00,169.0,170.0,166.0,166.0,2974
2017-06-28 00:00:00,165.0,168.5,164.5,168.5,3000
2017-06-27 00:00:00,170.0,170.0,163.5,165.0,9456
2017-06-26 00:00:00,169.0,171.5,169.0,170.0,5642
2017-06-23 00:00:00,,169.5,169.5,169.5,0
2017-06-22 00:00:00,171.0,171.0,169.0,169.5,6018
2017-06-21 00:00:00,174.0,174.0,170.0,170.5,14708
2017-06-20 00:00:00,172.0,176.5,172.0,174.0,3346
2017-06-19 00:00:00,175.0,177.0,171.0,174.5,15962
2017-06-16 00:00:00,179.0,179.0,170.5,174.0,13838
2017-06-15 00:00:00,176.5,178.5,176.5,178.0,4183
2017-06-14 00:00:00,179.5,179.5,177.0,179.5,7074
2017-06-13 00:00:00,180.5,180.5,176.0,179.5,9493
2017-06-12 00:00:00,180.5,181.0,176.0,180.5,3791
2017-06-09 00:00:00,178.0,182.0,178.0,181.0,7013
2017-06-08 00:00:00,187.5,188.0,176.0,176.5,15853
2017-06-07 00:00:00,182.0,187.5,182.0,184.5,6526
2017-06-06 00:00:00,,184.5,184.5,184.5,0
2017-06-05 00:00:00,185.0,185.5,183.5,184.5,3169
2017-06-02 00:00:00,181.0,182.0,178.5,181.5,9017
2017-06-01 00:00:00,180.0,187.0,179.5,182.0,15301
2017-05-31 00:00:00,172.5,181.5,172.0,179.0,11643
2017-05-30 00:00:00,171.5,174.0,170.0,172.5,22669
2017-05-29 00:00:00,180.5,180.5,174.0,174.5,14951
2017-05-26 00:00:00,181.0,181.0,177.5,177.5,8130
2017-05-24 00:00:00,177.5,179.0,177.5,179.0,4442
2017-05-23 00:00:00,181.0,181.0,176.5,178.5,9581
2017-05-22 00:00:00,184.5,185.0,180.0,180.5,11746
2017-05-19 00:00:00,186.5,188.0,180.0,182.0,23239
2017-05-18 00:00:00,190.0,190.0,180.0,186.5,28368
2017-05-17 00:00:00,196.0,197.5,193.0,193.5,5531
2017-05-16 00:00:00,194.0,196.0,193.0,196.0,5817
2017-05-15 00:00:00,193.0,195.5,192.5,193.5,9722
2017-05-12 00:00:00,192.0,192.5,192.5,192.5,2470
2017-05-11 00:00:00,189.0,196.0,189.0,192.0,12333
2017-05-10 00:00:00,190.5,192.0,188.5,191.0,16597
2017-05-09 00:00:00,193.0,193.0,188.5,190.5,4757
2017-05-08 00:00:00,190.0,192.0,187.5,190.5,4073
2017-05-05 00:00:00,190.0,192.0,188.0,191.5,5161
2017-05-04 00:00:00,191.0,191.0,189.5,189.5,3540
2017-05-03 00:00:00,189.0,191.0,187.5,190.0,4571
2017-05-02 00:00:00,192.0,192.0,187.5,189.0,3605
2017-05-01 00:00:00,,187.0,187.0,187.0,0
2017-04-28 00:00:00,191.0,191.0,186.0,187.0,1852
2017-04-27 00:00:00,188.5,191.5,185.5,187.0,5123
2017-04-26 00:00:00,192.0,193.5,190.0,190.5,4648
2017-04-25 00:00:00,190.0,193.0,189.0,192.0,2884
2017-04-24 00:00:00,191.0,193.0,189.0,189.0,9670
2017-04-21 00:00:00,192.0,194.0,191.0,191.0,15409
2017-04-20 00:00:00,186.5,192.0,186.5,191.5,6486
2017-04-19 00:00:00,188.0,189.5,185.0,185.0,19182
2017-04-18 00:00:00,190.0,192.0,188.0,188.5,6984
2017-04-13 00:00:00,191.0,195.5,187.0,190.0,5847
2017-04-12 00:00:00,183.5,192.0,183.5,192.0,8562
2017-04-11 00:00:00,185.5,188.0,185.5,185.5,3998
2017-04-10 00:00:00,185.0,186.0,181.5,184.5,5245
2017-04-07 00:00:00,185.0,186.0,182.0,183.0,28029
2017-04-06 00:00:00,186.0,186.0,183.5,185.5,2208
2017-04-05 00:00:00,186.5,189.0,184.0,185.5,1819
2017-04-04 00:00:00,192.0,192.0,183.0,186.5,24595
2017-04-03 00:00:00,192.0,192.5,188.5,191.0,3044
2017-03-31 00:00:00,189.0,193.0,189.0,192.0,4289
2017-03-30 00:00:00,190.0,192.5,189.5,192.0,8303
2017-03-29 00:00:00,190.0,196.0,186.5,189.5,3606
2017-03-28 00:00:00,186.5,189.5,185.0,188.5,3049
2017-03-27 00:00:00,189.0,193.5,185.0,186.5,5328
2017-03-24 00:00:00,191.0,193.5,186.0,189.0,13971
2017-03-23 00:00:00,190.0,196.5,190.0,190.5,4590
2017-03-22 00:00:00,190.5,192.0,190.0,190.0,2609
2017-03-21 00:00:00,190.0,196.0,190.0,190.5,14470
2017-03-20 00:00:00,190.5,193.0,190.0,190.0,4808
2017-03-17 00:00:00,192.0,194.5,190.5,191.0,6457
2017-03-16 00:00:00,191.5,199.5,191.5,192.0,16884
2017-03-15 00:00:00,190.0,194.0,190.0,191.0,3690
2017-03-14 00:00:00,190.0,194.5,190.0,190.0,7724
2017-03-13 00:00:00,194.0,194.0,190.5,192.5,9706
2017-03-10 00:00:00,192.0,196.0,196.0,196.0,3521
2017-03-09 00:00:00,198.0,199.5,196.5,197.0,3604
2017-03-08 00:00:00,203.0,208.5,196.0,196.5,5666
2017-03-07 00:00:00,203.5,203.5,200.0,201.0,5942
2017-03-06 00:00:00,200.5,201.0,199.0,199.5,2266
2017-03-03 00:00:00,205.0,200.5,200.5,200.5,52054
2017-03-02 00:00:00,202.0,209.0,201.5,202.5,4898
2017-03-01 00:00:00,201.5,207.0,201.5,201.5,56614
2017-02-28 00:00:00,202.5,208.0,201.5,201.5,7348
2017-02-27 00:00:00,202.0,205.0,199.0,202.5,9519
2017-02-24 00:00:00,203.0,203.5,202.0,202.0,8426
2017-02-23 00:00:00,208.0,209.0,201.0,202.5,11930
2017-02-22 00:00:00,215.0,215.0,200.5,207.0,35634
2017-02-21 00:00:00,215.5,219.0,215.5,219.0,5118
2017-02-20 00:00:00,218.0,218.0,213.5,215.5,5501
2017-02-17 00:00:00,218.0,218.0,211.0,213.0,6577
2017-02-16 00:00:00,212.5,217.5,212.0,215.0,3998
2017-02-15 00:00:00,211.0,214.0,211.0,212.5,1963
2017-02-14 00:00:00,209.0,213.0,208.5,211.0,3898
2017-02-13 00:00:00,210.0,210.0,206.5,208.5,2037
2017-02-10 00:00:00,204.0,208.0,204.0,206.0,1984
2017-02-09 00:00:00,205.0,208.5,203.5,205.5,2064
2017-02-08 00:00:00,207.5,210.0,204.0,204.0,2633
2017-02-07 00:00:00,206.5,209.0,206.5,208.5,1711
2017-02-06 00:00:00,207.0,213.5,207.0,207.0,10163
2017-02-03 00:00:00,210.0,210.0,206.0,206.0,825
2017-02-02 00:00:00,212.0,218.5,208.0,209.0,1893
2017-02-01 00:00:00,202.5,222.5,202.5,212.0,36841
2017-01-31 00:00:00,207.0,208.0,203.0,203.0,10160
2017-01-30 00:00:00,206.5,207.0,204.0,207.0,4165
2017-01-27 00:00:00,203.0,207.5,200.5,206.5,6271
2017-01-26 00:00:00,205.0,205.0,202.0,203.0,5156
2017-01-25 00:00:00,200.5,203.5,200.5,202.0,5772
2017-01-24 00:00:00,201.0,203.5,198.5,200.5,19102
2017-01-23 00:00:00,190.0,206.5,190.0,198.5,32555
2017-01-20 00:00:00,186.0,188.5,182.0,187.5,13040
2017-01-19 00:00:00,180.0,186.0,180.0,185.0,14073
2017-01-18 00:00:00,180.0,182.5,174.0,180.0,24254
2017-01-17 00:00:00,183.5,185.5,180.5,180.5,12655
2017-01-16 00:00:00,184.0,185.0,181.5,183.5,5477
2017-01-13 00:00:00,188.0,188.0,183.0,184.0,13532
2017-01-12 00:00:00,188.0,188.0,185.0,186.0,7603
2017-01-11 00:00:00,191.0,191.0,188.5,188.5,5544
2017-01-10 00:00:00,192.0,192.0,185.5,190.5,21076
2017-01-09 00:00:00,195.0,195.5,192.5,192.5,8920
2017-01-06 00:00:00,,195.5,195.5,195.5,0
2017-01-05 00:00:00,198.0,198.0,195.5,195.5,3357
2017-01-04 00:00:00,200.5,202.0,198.0,198.5,3261
2017-01-03 00:00:00,200.5,202.0,200.5,200.5,2952
2017-01-02 00:00:00,200.0,202.0,199.0,200.5,6076
2016-12-30 00:00:00,198.0,201.0,196.5,199.0,4488
2016-12-29 00:00:00,198.0,198.5,196.5,197.5,3472
2016-12-28 00:00:00,200.0,200.0,196.5,198.5,4525
2016-12-27 00:00:00,198.5,201.5,196.5,200.0,11104
2016-12-23 00:00:00,197.5,199.0,197.0,198.5,4865
2016-12-22 00:00:00,195.5,199.5,195.5,196.0,9513
2016-12-21 00:00:00,199.5,201.5,198.5,199.5,1172
2016-12-20 00:00:00,199.0,200.0,198.5,200.0,7379
2016-12-19 00:00:00,198.0,199.5,196.0,199.0,8356
2016-12-16 00:00:00,199.0,200.0,196.5,198.5,13334
2016-12-15 00:00:00,201.5,202.5,197.0,197.0,9849
2016-12-14 00:00:00,204.5,206.5,201.5,203.5,8233
2016-12-13 00:00:00,206.5,206.5,202.5,204.5,7459
2016-12-12 00:00:00,204.0,207.0,203.0,206.5,7651
2016-12-09 00:00:00,205.0,207.0,205.0,206.0,6075
2016-12-08 00:00:00,204.0,207.0,203.0,206.5,8181
2016-12-07 00:00:00,204.0,207.0,203.0,206.0,5792
2016-12-06 00:00:00,206.0,207.0,204.0,204.0,7010
2016-12-05 00:00:00,202.0,206.5,201.0,206.5,8153
2016-12-02 00:00:00,202.0,206.0,201.0,205.0,13559
2016-12-01 00:00:00,198.5,202.0,198.5,201.0,6894
2016-11-30 00:00:00,199.5,201.5,198.0,198.5,135901
2016-11-29 00:00:00,202.0,203.0,199.0,199.5,5300
2016-11-28 00:00:00,204.0,205.0,200.0,202.0,6984
2016-11-25 00:00:00,202.0,205.0,202.0,204.0,4178
2016-11-24 00:00:00,206.0,207.0,199.0,201.0,6672
2016-11-23 00:00:00,200.0,207.0,200.0,206.0,16494
2016-11-22 00:00:00,207.0,207.0,200.5,202.5,3281
2016-11-21 00:00:00,203.0,208.0,201.5,207.0,5914
2016-11-18 00:00:00,198.5,205.0,198.5,204.0,13685
2016-11-17 00:00:00,200.5,206.5,198.0,200.0,13984
2016-11-16 00:00:00,206.0,213.0,201.0,201.5,19523
2016-11-15 00:00:00,213.0,217.5,201.0,207.0,22131
2016-11-14 00:00:00,217.0,219.0,214.0,217.0,13073
2016-11-11 00:00:00,219.0,219.0,209.0,217.0,15500
2016-11-10 00:00:00,225.0,226.5,211.0,218.0,58669
2016-11-09 00:00:00,210.0,233.0,203.5,231.5,16576
2016-11-08 00:00:00,229.5,229.5,223.0,225.0,7572
2016-11-07 00:00:00,230.0,230.0,224.0,225.0,6246
2016-11-04 00:00:00,222.5,232.0,232.0,232.0,5991
