Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,32.2,32.6,31.6,32.0,27173
2017-09-07 00:00:00,31.7,32.0,31.6,31.9,6358
2017-09-06 00:00:00,32.7,32.7,31.3,31.7,17476
2017-09-04 00:00:00,32.1,32.7,31.6,32.0,66848
2017-09-01 00:00:00,31.8,31.9,31.2,31.6,5914
2017-08-31 00:00:00,31.1,31.9,31.1,31.5,8022
2017-08-30 00:00:00,30.9,31.5,30.9,31.1,21572
2017-08-29 00:00:00,31.9,31.9,30.5,31.3,21543
2017-08-28 00:00:00,32.0,32.0,30.8,31.4,15616
2017-08-25 00:00:00,30.8,31.4,30.7,31.0,15605
2017-08-24 00:00:00,30.5,31.0,30.5,30.8,20490
2017-08-23 00:00:00,31.6,31.8,30.3,31.2,18944
2017-08-22 00:00:00,33.0,33.0,31.5,31.6,20856
2017-08-21 00:00:00,31.0,32.4,30.8,32.4,40588
2017-08-18 00:00:00,31.0,31.7,30.2,31.4,136258
2017-08-17 00:00:00,33.3,33.5,32.7,33.2,43757
2017-08-16 00:00:00,33.8,33.9,33.2,33.3,15062
2017-08-15 00:00:00,33.7,34.1,33.6,33.8,8481
2017-08-14 00:00:00,34.0,34.9,33.7,34.1,24596
2017-08-11 00:00:00,35.0,35.0,33.6,34.4,26893
2017-08-10 00:00:00,35.9,35.9,34.5,35.1,5010
2017-08-09 00:00:00,35.3,35.5,34.5,35.3,29123
2017-08-08 00:00:00,35.6,36.2,35.5,35.9,34568
2017-08-07 00:00:00,34.8,35.7,34.8,35.6,70095
2017-08-04 00:00:00,34.7,35.8,34.5,35.5,63634
2017-08-03 00:00:00,34.0,34.5,34.0,34.5,19252
2017-08-02 00:00:00,33.4,34.5,33.4,34.0,30984
2017-08-01 00:00:00,33.4,33.9,33.4,33.6,17330
2017-07-31 00:00:00,33.5,33.8,33.1,33.5,20416
2017-07-28 00:00:00,33.6,33.7,33.5,33.6,8685
2017-07-27 00:00:00,33.5,33.7,33.2,33.5,12663
2017-07-26 00:00:00,33.4,33.7,32.9,33.5,24988
2017-07-25 00:00:00,33.5,33.7,33.3,33.4,24217
2017-07-24 00:00:00,33.5,33.6,33.3,33.5,19820
2017-07-21 00:00:00,33.7,33.7,33.3,33.5,12001
2017-07-20 00:00:00,33.0,33.8,33.0,33.5,19994
2017-07-19 00:00:00,32.9,33.8,32.9,33.3,21735
2017-07-18 00:00:00,33.3,33.5,33.0,33.1,26421
2017-07-17 00:00:00,32.3,33.3,32.3,33.3,28544
2017-07-14 00:00:00,32.4,33.0,32.2,32.5,26431
2017-07-13 00:00:00,32.3,32.3,32.1,32.2,9370
2017-07-12 00:00:00,32.2,32.3,32.0,32.3,27476
2017-07-11 00:00:00,32.3,32.5,32.1,32.2,31903
2017-07-10 00:00:00,32.4,32.5,32.2,32.3,24502
2017-07-07 00:00:00,32.3,32.7,32.1,32.6,16999
2017-07-06 00:00:00,32.4,32.9,32.0,32.5,28203
2017-07-05 00:00:00,32.2,32.7,32.2,32.5,27768
2017-07-04 00:00:00,32.5,32.8,32.3,32.7,26164
2017-07-03 00:00:00,32.3,32.8,32.2,32.2,68943
2017-06-30 00:00:00,32.4,32.8,31.9,32.4,52118
2017-06-29 00:00:00,33.0,33.1,32.7,32.7,48388
2017-06-28 00:00:00,33.0,33.2,32.5,33.1,60037
2017-06-27 00:00:00,33.0,33.1,33.0,33.0,18251
2017-06-26 00:00:00,33.3,33.6,33.0,33.0,20189
2017-06-23 00:00:00,,33.2,33.2,33.2,0
2017-06-22 00:00:00,33.3,33.3,33.0,33.2,24627
2017-06-21 00:00:00,34.0,34.0,33.0,33.5,18829
2017-06-20 00:00:00,32.2,34.1,32.2,34.0,69395
2017-06-19 00:00:00,32.6,33.2,32.6,32.8,54124
2017-06-16 00:00:00,33.5,33.6,32.5,32.5,109132
2017-06-15 00:00:00,33.3,33.4,32.2,33.1,35462
2017-06-14 00:00:00,32.6,33.4,32.6,33.3,30526
2017-06-13 00:00:00,32.8,33.0,32.3,32.6,59581
2017-06-12 00:00:00,31.8,33.0,31.8,32.7,54891
2017-06-09 00:00:00,33.0,33.0,31.9,31.9,32053
2017-06-08 00:00:00,33.4,33.4,32.2,32.2,42121
2017-06-07 00:00:00,33.6,33.7,33.0,33.0,54083
2017-06-06 00:00:00,,33.6,33.6,33.6,0
2017-06-05 00:00:00,33.8,33.9,33.4,33.6,28047
2017-06-02 00:00:00,34.0,34.0,33.5,33.7,44214
2017-06-01 00:00:00,33.8,34.0,33.3,33.7,34810
2017-05-31 00:00:00,34.0,34.1,33.3,33.8,54468
2017-05-30 00:00:00,34.0,34.0,33.6,33.8,27768
2017-05-29 00:00:00,33.8,34.3,33.8,33.9,31125
2017-05-26 00:00:00,33.6,34.0,33.1,33.6,40562
2017-05-24 00:00:00,34.0,34.0,33.3,33.6,28150
2017-05-23 00:00:00,34.6,34.6,33.8,34.0,16475
2017-05-22 00:00:00,34.1,34.5,33.8,34.0,18928
2017-05-19 00:00:00,34.5,35.0,33.7,34.1,80331
2017-05-18 00:00:00,36.0,36.3,35.5,36.0,66894
2017-05-17 00:00:00,36.7,36.8,36.2,36.4,82517
2017-05-16 00:00:00,37.0,37.1,35.6,36.8,188268
2017-05-15 00:00:00,37.7,37.7,36.1,37.4,56152
2017-05-12 00:00:00,36.0,37.7,37.7,37.7,231738
2017-05-11 00:00:00,38.6,39.3,38.2,38.7,137464
2017-05-10 00:00:00,38.4,38.9,38.0,38.7,334644
2017-05-09 00:00:00,35.7,36.5,35.6,36.5,82218
2017-05-08 00:00:00,36.1,36.2,35.7,35.7,69892
2017-05-05 00:00:00,36.3,36.3,35.8,35.9,23936
2017-05-04 00:00:00,35.9,36.2,35.6,35.8,22705
2017-05-03 00:00:00,36.1,36.2,35.7,35.9,26010
2017-05-02 00:00:00,36.5,36.5,35.8,36.1,37481
2017-05-01 00:00:00,,35.9,35.9,35.9,0
2017-04-28 00:00:00,36.5,36.8,35.3,35.9,65538
2017-04-27 00:00:00,36.8,36.8,36.1,36.4,18471
2017-04-26 00:00:00,36.4,36.9,36.0,36.1,88479
2017-04-25 00:00:00,36.2,37.0,36.2,36.3,49719
2017-04-24 00:00:00,36.3,36.7,36.1,36.2,50221
2017-04-21 00:00:00,35.5,36.4,35.5,35.9,32699
2017-04-20 00:00:00,36.7,36.7,35.6,35.6,34828
2017-04-19 00:00:00,36.2,36.2,35.9,36.0,40827
2017-04-18 00:00:00,37.0,37.0,36.0,36.2,24171
2017-04-13 00:00:00,36.8,37.0,36.5,36.7,10190
2017-04-12 00:00:00,36.2,37.0,35.9,36.8,47835
2017-04-11 00:00:00,36.0,36.4,35.8,36.1,29336
2017-04-10 00:00:00,36.5,36.5,35.7,36.1,10748
2017-04-07 00:00:00,36.6,36.6,35.8,36.1,23080
2017-04-06 00:00:00,37.0,37.5,36.1,36.3,16175
2017-04-05 00:00:00,36.7,36.7,36.3,36.5,22247
2017-04-04 00:00:00,36.3,37.0,36.2,36.3,25043
2017-04-03 00:00:00,36.5,36.9,36.0,36.3,19182
2017-03-31 00:00:00,35.7,36.9,35.7,36.9,24790
2017-03-30 00:00:00,35.7,35.8,35.1,35.6,41984
2017-03-29 00:00:00,36.0,36.0,35.5,35.7,26600
2017-03-28 00:00:00,36.4,36.4,35.6,36.2,14808
2017-03-27 00:00:00,36.0,36.0,35.2,35.7,23350
2017-03-24 00:00:00,36.3,36.4,35.7,36.0,17822
2017-03-23 00:00:00,36.2,36.9,36.2,36.4,21655
2017-03-22 00:00:00,36.9,36.9,35.9,36.7,40159
2017-03-21 00:00:00,37.7,37.7,36.6,37.2,26724
2017-03-20 00:00:00,37.7,37.7,36.8,37.7,43527
2017-03-17 00:00:00,37.9,37.9,37.4,37.7,14949
2017-03-16 00:00:00,38.0,38.1,37.3,37.5,40088
2017-03-15 00:00:00,37.5,38.0,37.3,37.7,34717
2017-03-14 00:00:00,38.2,38.2,37.4,37.5,22717
2017-03-13 00:00:00,38.5,38.5,37.5,38.2,35789
2017-03-10 00:00:00,37.9,38.5,38.5,38.5,35009
2017-03-09 00:00:00,37.7,38.0,37.3,38.0,39862
2017-03-08 00:00:00,38.2,38.2,37.5,37.7,36422
