Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,0.053,0.054,0.052,0.052,1357503
2017-09-07 00:00:00,0.051,0.053,0.05,0.053,1676154
2017-09-06 00:00:00,0.055,0.055,0.052,0.053,1788865
2017-09-04 00:00:00,0.06,0.06,0.053,0.056,2953026
2017-09-01 00:00:00,0.052,0.075,0.05,0.055,13279769
2017-08-31 00:00:00,0.053,0.055,0.05,0.051,3780601
2017-08-30 00:00:00,0.056,0.056,0.051,0.053,3143746
2017-08-29 00:00:00,0.059,0.059,0.05,0.055,3858994
2017-08-28 00:00:00,0.065,0.065,0.048,0.059,13784820
2017-08-25 00:00:00,0.07,0.079,0.065,0.066,9919427
2017-08-24 00:00:00,0.07,0.082,0.064,0.07,18938607
2017-08-23 00:00:00,0.088,0.09,0.06,0.063,15276685
2017-08-22 00:00:00,0.09,0.1,0.086,0.09,19611601
2017-08-21 00:00:00,0.079,0.099,0.079,0.086,12812206
2017-08-18 00:00:00,0.052,0.113,0.052,0.079,43506324
2017-08-17 00:00:00,0.06,0.06,0.051,0.051,4488447
2017-08-16 00:00:00,0.062,0.065,0.052,0.059,8690557
2017-08-15 00:00:00,0.076,0.076,0.06,0.062,5440201
2017-08-14 00:00:00,0.253,0.253,0.056,0.075,15311909
2017-08-11 00:00:00,6.7,6.75,6.7,6.75,1195759
2017-08-10 00:00:00,6.75,6.75,6.65,6.7,5560793
2017-08-09 00:00:00,6.6,6.7,6.6,6.65,120376
2017-08-08 00:00:00,6.65,6.7,6.6,6.6,3131636
2017-08-07 00:00:00,6.55,6.65,6.55,6.65,879202
2017-08-04 00:00:00,6.55,6.6,6.55,6.55,86302
2017-08-03 00:00:00,6.55,6.6,6.55,6.55,73839
2017-08-02 00:00:00,6.55,6.6,6.55,6.55,64872
2017-08-01 00:00:00,6.55,6.6,6.55,6.6,96843
2017-07-31 00:00:00,6.55,6.6,6.55,6.55,366343
2017-07-28 00:00:00,6.55,6.6,6.55,6.6,138870
2017-07-27 00:00:00,6.55,6.6,6.55,6.6,94336
2017-07-26 00:00:00,6.55,6.6,6.55,6.55,55933
2017-07-25 00:00:00,6.5,6.6,6.5,6.55,457081
2017-07-24 00:00:00,6.6,6.6,6.5,6.5,1230886
2017-07-21 00:00:00,6.8,6.8,6.45,6.6,3533058
2017-07-20 00:00:00,6.85,6.9,6.85,6.85,38378
2017-07-19 00:00:00,6.85,6.85,6.85,6.85,55806
2017-07-18 00:00:00,6.9,6.9,6.85,6.85,294989
2017-07-17 00:00:00,6.85,6.9,6.85,6.85,10636
2017-07-14 00:00:00,6.85,6.95,6.85,6.85,572200
2017-07-13 00:00:00,6.9,6.9,6.85,6.85,26113
2017-07-12 00:00:00,6.9,6.95,6.9,6.9,619088
2017-07-11 00:00:00,6.9,6.95,6.9,6.9,51165
2017-07-10 00:00:00,6.9,6.95,6.9,6.9,92501
2017-07-07 00:00:00,6.95,6.95,6.9,6.95,21505
2017-07-06 00:00:00,7.0,7.0,6.9,7.0,368841
2017-07-05 00:00:00,6.95,7.0,6.9,7.0,136105
2017-07-04 00:00:00,6.95,6.95,6.9,6.95,361284
2017-07-03 00:00:00,6.95,6.95,6.9,6.95,100544
2017-06-30 00:00:00,6.95,6.95,6.9,6.95,637192
2017-06-29 00:00:00,7.0,7.0,6.95,6.95,272755
2017-06-28 00:00:00,7.0,7.05,6.95,7.05,1292270
2017-06-27 00:00:00,7.05,7.05,7.0,7.0,165774
2017-06-26 00:00:00,7.0,7.05,7.0,7.05,248023
2017-06-23 00:00:00,,7.05,7.05,7.05,0
2017-06-22 00:00:00,7.05,7.1,7.0,7.05,2558558
2017-06-21 00:00:00,7.0,7.05,7.0,7.05,49959
2017-06-20 00:00:00,7.0,7.05,7.0,7.05,198001
2017-06-19 00:00:00,7.0,7.05,7.0,7.05,695283
2017-06-16 00:00:00,7.0,7.05,7.0,7.0,741947
2017-06-15 00:00:00,7.0,7.05,7.0,7.0,784045
2017-06-14 00:00:00,7.0,7.05,7.0,7.0,2027697
2017-06-13 00:00:00,7.0,7.05,7.0,7.05,556925
2017-06-12 00:00:00,7.05,7.05,7.0,7.0,147366
2017-06-09 00:00:00,7.05,7.05,7.0,7.05,2417208
2017-06-08 00:00:00,7.0,7.05,6.95,7.05,1283026
2017-06-07 00:00:00,7.0,7.05,7.0,7.05,1111073
2017-06-06 00:00:00,,7.05,7.05,7.05,0
