Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,119.75,119.75,117.5,118.75,4282
2017-09-07 00:00:00,119.5,120.0,119.0,119.75,5284
2017-09-06 00:00:00,121.5,122.0,119.5,119.5,10940
2017-09-04 00:00:00,119.0,122.25,118.5,122.25,7187
2017-09-01 00:00:00,123.5,125.25,123.0,123.0,12780
2017-08-31 00:00:00,121.5,122.0,120.25,122.0,12761
2017-08-30 00:00:00,122.0,122.0,119.0,121.0,9247
2017-08-29 00:00:00,121.75,122.0,119.0,122.0,5348
2017-08-28 00:00:00,122.0,122.0,120.0,121.0,5223
2017-08-25 00:00:00,121.0,122.75,120.75,122.0,7945
2017-08-24 00:00:00,121.75,122.0,119.0,121.0,8565
2017-08-23 00:00:00,120.25,122.0,119.75,121.75,6553
2017-08-22 00:00:00,117.75,120.75,117.75,120.25,13064
2017-08-21 00:00:00,118.0,118.75,117.25,118.0,6736
2017-08-18 00:00:00,116.5,118.0,115.0,118.0,14236
2017-08-17 00:00:00,118.0,118.0,116.25,116.75,5449
2017-08-16 00:00:00,118.75,119.75,117.75,117.75,10270
2017-08-15 00:00:00,119.0,120.5,118.75,118.75,103056
2017-08-14 00:00:00,117.0,121.25,117.0,120.0,7799
2017-08-11 00:00:00,119.25,119.75,117.0,117.0,8834
2017-08-10 00:00:00,122.5,122.5,120.0,120.5,17314
2017-08-09 00:00:00,123.0,124.0,121.75,123.0,15660
2017-08-08 00:00:00,118.5,123.0,118.5,122.25,13875
2017-08-07 00:00:00,117.0,120.25,117.0,119.0,45794
2017-08-04 00:00:00,120.75,121.25,117.0,117.25,23868
2017-08-03 00:00:00,120.75,122.75,118.5,119.75,3907
2017-08-02 00:00:00,122.5,122.75,120.5,120.75,16746
2017-08-01 00:00:00,123.25,124.0,122.25,122.5,5381
2017-07-31 00:00:00,122.25,124.0,122.25,123.0,8307
2017-07-28 00:00:00,122.25,124.0,120.0,121.5,21832
2017-07-27 00:00:00,124.75,124.75,122.0,122.5,6785
2017-07-26 00:00:00,122.0,125.75,122.0,125.75,9963
2017-07-25 00:00:00,119.25,122.0,119.0,122.0,4367
2017-07-24 00:00:00,120.0,120.25,116.5,119.5,12528
2017-07-21 00:00:00,125.5,127.0,120.5,120.5,9052
2017-07-20 00:00:00,127.5,127.5,124.0,124.75,11001
2017-07-19 00:00:00,129.0,129.75,124.75,127.5,7260
2017-07-18 00:00:00,127.5,128.0,126.5,127.75,12299
2017-07-17 00:00:00,129.0,129.0,126.0,127.5,12652
2017-07-14 00:00:00,125.0,128.5,125.0,128.0,24365
2017-07-13 00:00:00,126.0,126.75,122.5,124.0,5369
2017-07-12 00:00:00,128.5,129.0,124.0,126.25,24607
2017-07-11 00:00:00,128.0,129.5,127.25,129.0,18861
2017-07-10 00:00:00,124.75,128.0,124.0,128.0,15430
2017-07-07 00:00:00,120.0,125.0,120.0,124.0,19460
2017-07-06 00:00:00,117.0,120.75,116.0,120.0,19909
2017-07-05 00:00:00,116.0,117.75,115.75,117.5,15548
2017-07-04 00:00:00,117.0,119.25,117.0,118.75,9587
2017-07-03 00:00:00,119.0,119.75,115.5,119.75,26226
