Dates,Open,High,Low,Close,Volume
2016-01-01 00:00:00,,3.0,3.0,3.0,0
2015-12-31 00:00:00,,3.0,3.0,3.0,0
2015-12-30 00:00:00,2.98,3.08,2.97,3.0,309621
2015-12-29 00:00:00,2.99,2.99,2.95,2.97,29334
2015-12-28 00:00:00,2.97,3.02,2.97,3.01,580738
2015-12-25 00:00:00,2.94,2.97,2.94,2.95,147016
2015-12-24 00:00:00,2.94,2.97,2.94,2.95,147016
2015-12-23 00:00:00,2.94,2.97,2.94,2.95,147016
2015-12-22 00:00:00,2.94,2.95,2.94,2.94,39979
2015-12-21 00:00:00,2.95,2.99,2.92,2.94,108026
2015-12-18 00:00:00,3.0,3.0,2.91,2.95,29365
2015-12-17 00:00:00,2.99,3.08,2.99,3.0,42357
2015-12-16 00:00:00,3.0,3.01,2.99,2.99,125150
2015-12-15 00:00:00,3.0,3.0,2.99,2.99,263307
2015-12-14 00:00:00,3.0,3.01,2.99,3.0,323749
2015-12-11 00:00:00,2.99,3.01,2.99,3.01,761970
2015-12-10 00:00:00,2.99,3.0,2.99,3.0,142573
2015-12-09 00:00:00,3.0,3.02,2.99,2.99,938687
2015-12-08 00:00:00,3.0,3.01,2.99,3.01,1695465
2015-12-07 00:00:00,3.2,3.2,3.0,3.01,53908
2015-12-04 00:00:00,2.97,3.0,2.96,2.98,255619
2015-12-03 00:00:00,3.0,3.0,2.87,2.98,195059
2015-12-02 00:00:00,2.99,3.0,2.98,2.98,110590
2015-12-01 00:00:00,2.99,3.0,2.99,3.0,143159
2015-11-30 00:00:00,3.0,3.0,2.99,2.99,164254
2015-11-27 00:00:00,2.99,3.0,2.99,2.99,588145
2015-11-26 00:00:00,2.99,3.0,2.99,2.99,435980
2015-11-25 00:00:00,3.0,3.0,2.99,2.99,246216
2015-11-24 00:00:00,2.99,3.0,2.99,2.99,378473
2015-11-23 00:00:00,3.0,3.0,2.99,3.0,1675379
2015-11-20 00:00:00,2.99,3.0,2.99,2.99,852758
2015-11-19 00:00:00,2.98,2.99,2.98,2.98,214270
2015-11-18 00:00:00,2.98,2.99,2.98,2.98,69516
2015-11-17 00:00:00,2.98,2.99,2.98,2.98,135335
2015-11-16 00:00:00,2.98,2.99,2.98,2.98,218028
2015-11-13 00:00:00,2.99,2.99,2.98,2.98,462107
2015-11-12 00:00:00,2.99,3.02,2.98,2.98,1375837
2015-11-11 00:00:00,2.99,2.99,2.98,2.98,2731391
2015-11-10 00:00:00,2.98,2.99,2.98,2.98,1086027
2015-11-09 00:00:00,2.98,3.0,2.98,2.98,323818
2015-11-06 00:00:00,2.98,2.99,2.98,2.98,717806
2015-11-05 00:00:00,2.98,2.99,2.98,2.98,6146894
2015-11-04 00:00:00,2.98,2.99,2.97,2.98,4898913
2015-11-03 00:00:00,2.97,3.0,2.97,2.98,10605435
2015-11-02 00:00:00,2.96,2.98,2.96,2.97,12895984
2015-10-30 00:00:00,2.3,2.33,2.3,2.3,93222
2015-10-29 00:00:00,2.33,2.33,2.3,2.32,124014
2015-10-28 00:00:00,2.32,2.33,2.3,2.33,1502982
2015-10-27 00:00:00,2.28,2.31,2.28,2.31,171856
2015-10-26 00:00:00,2.28,2.34,2.28,2.3,71166
2015-10-23 00:00:00,2.33,2.35,2.26,2.28,779489
2015-10-22 00:00:00,2.26,2.35,2.26,2.35,174285
2015-10-21 00:00:00,2.28,2.28,2.26,2.27,108206
2015-10-20 00:00:00,2.28,2.28,2.25,2.26,63121
2015-10-19 00:00:00,2.25,2.29,2.25,2.29,72043
2015-10-16 00:00:00,2.27,2.3,2.25,2.27,25162
2015-10-15 00:00:00,2.25,2.27,2.25,2.27,90047
2015-10-14 00:00:00,2.28,2.28,2.25,2.27,41065
2015-10-13 00:00:00,2.25,2.29,2.25,2.29,110299
