Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,93.75,93.75,92.0,93.75,93035
2017-09-07 00:00:00,94.0,94.0,92.0,93.75,4743
2017-09-06 00:00:00,94.5,94.5,91.75,92.75,16230
2017-09-04 00:00:00,97.0,97.0,95.25,95.5,3253
2017-09-01 00:00:00,97.5,99.0,96.75,97.0,5311
2017-08-31 00:00:00,97.75,99.0,96.5,99.0,17252
2017-08-30 00:00:00,97.5,101.0,97.5,98.5,8767
2017-08-29 00:00:00,100.0,100.0,98.0,98.0,620473
2017-08-28 00:00:00,100.0,100.0,99.0,100.0,3115
2017-08-25 00:00:00,98.0,100.0,97.5,100.0,34735
2017-08-24 00:00:00,99.5,99.5,97.5,97.5,13584
2017-08-23 00:00:00,97.75,98.0,97.5,97.5,8277
2017-08-22 00:00:00,100.0,100.0,97.25,98.5,3211
2017-08-21 00:00:00,99.0,99.0,98.25,99.0,13527
2017-08-18 00:00:00,98.25,99.75,97.0,97.5,15023
2017-08-17 00:00:00,100.0,100.0,98.0,98.25,4926
2017-08-16 00:00:00,98.0,99.0,98.0,98.0,3968
2017-08-15 00:00:00,97.5,98.75,97.25,98.0,9347
2017-08-14 00:00:00,97.0,99.5,97.0,98.0,12144
2017-08-11 00:00:00,100.0,100.0,96.5,97.0,10390
2017-08-10 00:00:00,97.5,100.0,96.25,98.0,33040
2017-08-09 00:00:00,100.25,100.25,96.75,97.0,4931
2017-08-08 00:00:00,98.75,100.25,97.75,98.75,7402
2017-08-07 00:00:00,96.25,99.0,96.25,98.75,6990
2017-08-04 00:00:00,100.25,100.25,96.75,96.75,13403
2017-08-03 00:00:00,98.5,99.5,98.0,98.0,4127
2017-08-02 00:00:00,97.0,99.5,96.75,99.0,12660
2017-08-01 00:00:00,96.5,97.75,95.25,96.5,11118
2017-07-31 00:00:00,96.25,97.0,95.75,96.25,4782
2017-07-28 00:00:00,98.5,98.5,96.25,96.25,10071
2017-07-27 00:00:00,98.5,99.0,96.0,96.0,11705
2017-07-26 00:00:00,98.5,99.5,96.75,97.25,32871
2017-07-25 00:00:00,98.0,99.5,98.0,98.5,8399
2017-07-24 00:00:00,102.0,102.75,98.25,98.25,20049
2017-07-21 00:00:00,102.0,102.25,100.0,100.25,20046
2017-07-20 00:00:00,102.0,102.25,101.5,102.0,14165
2017-07-19 00:00:00,101.0,102.75,101.0,102.0,16200
2017-07-18 00:00:00,101.5,101.5,101.0,101.0,15137
2017-07-17 00:00:00,101.5,101.75,98.75,101.5,51853
2017-07-14 00:00:00,106.75,107.0,101.25,102.0,45957
2017-07-13 00:00:00,112.0,112.0,105.75,106.75,131606
2017-07-12 00:00:00,116.25,117.5,114.0,117.5,8530
2017-07-11 00:00:00,116.75,117.0,114.0,116.0,7406
2017-07-10 00:00:00,114.75,116.75,113.5,116.75,8214
2017-07-07 00:00:00,115.0,115.0,113.75,114.75,5818
2017-07-06 00:00:00,116.0,116.0,114.75,115.0,3845
2017-07-05 00:00:00,115.0,116.25,115.0,115.75,2530
2017-07-04 00:00:00,116.0,117.0,114.25,114.5,8110
2017-07-03 00:00:00,116.0,116.25,115.25,115.25,11590
2017-06-30 00:00:00,116.0,116.0,114.25,114.25,8664
2017-06-29 00:00:00,116.0,116.25,114.5,115.0,11922
2017-06-28 00:00:00,115.25,115.25,113.25,114.0,17878
2017-06-27 00:00:00,114.25,115.75,114.0,115.5,8111
2017-06-26 00:00:00,113.0,115.0,113.0,114.25,24498
2017-06-23 00:00:00,,113.0,113.0,113.0,0
2017-06-22 00:00:00,114.75,115.0,112.25,113.0,5929
2017-06-21 00:00:00,115.0,116.25,113.0,114.0,7751
2017-06-20 00:00:00,112.0,116.0,112.0,114.0,13376
2017-06-19 00:00:00,113.75,116.0,113.0,113.0,26755
2017-06-16 00:00:00,112.25,114.0,112.25,114.0,22995
2017-06-15 00:00:00,113.75,113.75,111.25,111.25,173530
2017-06-14 00:00:00,112.75,113.75,112.25,113.0,17675
2017-06-13 00:00:00,110.0,115.75,110.0,112.75,42235
2017-06-12 00:00:00,111.5,112.25,110.0,110.25,84770
2017-06-09 00:00:00,110.0,111.75,109.75,111.5,13475
2017-06-08 00:00:00,109.25,112.0,109.25,111.75,122405
2017-06-07 00:00:00,110.0,111.5,109.75,111.0,15666
2017-06-06 00:00:00,,109.25,109.25,109.25,0
2017-06-05 00:00:00,108.25,109.75,108.25,109.25,8820
2017-06-02 00:00:00,108.0,110.0,108.0,109.0,12047
2017-06-01 00:00:00,108.25,109.75,108.0,109.0,12018
2017-05-31 00:00:00,108.5,110.5,108.25,110.0,23811
2017-05-30 00:00:00,109.0,109.25,107.75,108.5,10521
2017-05-29 00:00:00,110.0,110.75,108.5,109.0,5135
2017-05-26 00:00:00,107.5,109.75,107.5,109.75,13160
