Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,67.25,67.5,66.5,67.5,5620
2017-09-07 00:00:00,67.75,67.75,66.0,67.25,3406
2017-09-06 00:00:00,66.0,66.0,63.5,66.0,21949
2017-09-04 00:00:00,65.0,67.0,64.5,65.25,44638
2017-09-01 00:00:00,61.75,61.75,60.0,60.0,1244
2017-08-31 00:00:00,60.0,61.0,59.25,61.0,5760
2017-08-30 00:00:00,60.0,63.0,60.0,60.75,1136
2017-08-29 00:00:00,61.0,62.25,60.0,60.0,1111
2017-08-28 00:00:00,61.0,62.75,61.0,62.25,1614
2017-08-25 00:00:00,62.25,66.0,61.0,61.0,8024
2017-08-24 00:00:00,62.0,62.0,61.75,61.75,1108
2017-08-23 00:00:00,65.0,65.0,61.75,61.75,4570
2017-08-22 00:00:00,60.25,61.0,60.0,60.5,919
2017-08-21 00:00:00,61.75,61.75,60.0,60.25,1190
2017-08-18 00:00:00,60.25,62.0,60.0,61.75,1986
2017-08-17 00:00:00,60.0,61.0,60.0,60.25,309
2017-08-16 00:00:00,60.5,61.5,60.5,61.5,46
2017-08-15 00:00:00,61.5,62.0,59.75,61.25,1764
2017-08-14 00:00:00,61.25,62.0,60.0,61.5,587
2017-08-11 00:00:00,59.75,60.0,59.75,60.0,217
2017-08-10 00:00:00,61.5,61.5,59.75,60.0,3016
2017-08-09 00:00:00,61.0,61.25,60.5,61.25,1016
2017-08-08 00:00:00,62.5,62.5,60.0,61.0,1528
2017-08-07 00:00:00,60.75,62.5,60.75,61.0,2740
2017-08-04 00:00:00,59.75,60.75,59.5,60.75,745
2017-08-03 00:00:00,60.5,60.5,60.0,60.0,552
2017-08-02 00:00:00,61.0,61.0,59.5,59.5,2241
2017-08-01 00:00:00,61.0,61.0,60.0,61.0,2100
2017-07-31 00:00:00,60.75,61.0,60.0,60.0,3891
2017-07-28 00:00:00,60.75,60.75,59.5,60.0,1079
2017-07-27 00:00:00,61.0,61.0,59.5,60.5,2054
2017-07-26 00:00:00,61.75,61.75,60.75,61.0,3504
2017-07-25 00:00:00,61.0,61.75,61.0,61.75,849
2017-07-24 00:00:00,61.25,61.25,61.0,61.0,1061
2017-07-21 00:00:00,61.0,61.5,60.25,61.25,1277
2017-07-20 00:00:00,61.0,61.5,60.75,61.0,1250
2017-07-19 00:00:00,60.0,60.75,59.25,60.75,1428
2017-07-18 00:00:00,61.0,61.25,59.5,61.25,6528
2017-07-17 00:00:00,61.25,61.75,60.25,61.75,1513
2017-07-14 00:00:00,61.25,61.5,61.25,61.25,712
2017-07-13 00:00:00,60.75,61.25,60.75,61.0,2875
2017-07-12 00:00:00,61.5,61.5,59.5,60.75,1043
2017-07-11 00:00:00,61.0,61.75,60.25,60.25,3791
2017-07-10 00:00:00,61.75,61.75,61.0,61.0,51
2017-07-07 00:00:00,60.75,60.75,60.5,60.75,1167
2017-07-06 00:00:00,60.5,60.5,60.5,60.5,138
2017-07-05 00:00:00,61.25,62.0,60.5,60.5,1402
2017-07-04 00:00:00,61.75,62.0,60.25,60.25,1320
