Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,88.25,88.25,87.0,87.0,229
2017-09-07 00:00:00,86.25,88.25,86.25,88.25,1960
2017-09-06 00:00:00,86.0,86.25,86.0,86.0,1874
2017-09-04 00:00:00,88.0,88.75,85.75,85.75,6454
2017-09-01 00:00:00,86.5,88.0,86.5,86.5,2483
2017-08-31 00:00:00,86.0,86.25,86.0,86.25,1109
2017-08-30 00:00:00,83.5,85.5,83.5,85.5,3357
2017-08-29 00:00:00,86.0,86.0,83.5,83.5,2737
2017-08-28 00:00:00,85.25,89.75,85.25,86.75,12552
2017-08-25 00:00:00,81.0,86.25,79.0,85.75,13683
2017-08-24 00:00:00,84.75,88.25,84.75,85.75,817
2017-08-23 00:00:00,87.25,87.25,86.0,86.0,449
2017-08-22 00:00:00,83.0,86.0,83.0,86.0,1217
2017-08-21 00:00:00,86.0,86.0,83.0,83.0,1942
2017-08-18 00:00:00,85.0,86.0,85.0,86.0,1017
2017-08-17 00:00:00,88.0,88.0,86.0,86.0,1544
2017-08-16 00:00:00,84.0,90.25,84.0,88.0,9876
2017-08-15 00:00:00,83.75,84.0,83.5,84.0,671
2017-08-14 00:00:00,84.25,84.25,84.25,84.25,250
2017-08-11 00:00:00,85.75,85.75,85.25,85.5,1400
2017-08-09 00:00:00,86.75,86.75,85.75,85.75,974
2017-08-08 00:00:00,86.5,87.25,86.5,86.75,896
2017-08-07 00:00:00,86.0,87.25,86.0,87.0,2136
2017-08-04 00:00:00,88.25,88.5,82.0,85.75,1174
2017-08-03 00:00:00,87.0,87.5,87.0,87.0,600
2017-08-02 00:00:00,85.0,87.5,85.0,87.5,1966
2017-08-01 00:00:00,83.0,84.75,80.5,84.0,10533
2017-07-31 00:00:00,83.5,83.5,79.75,80.0,4165
2017-07-28 00:00:00,83.0,83.0,83.0,83.0,43
2017-07-27 00:00:00,83.0,83.25,81.75,83.25,1086
2017-07-26 00:00:00,83.0,83.5,81.0,83.0,3859
2017-07-25 00:00:00,86.25,86.25,83.0,83.0,3106
2017-07-24 00:00:00,86.25,86.25,86.25,86.25,5
2017-07-21 00:00:00,84.25,86.0,83.5,85.5,1176
2017-07-20 00:00:00,85.0,86.75,84.75,86.75,207
2017-07-19 00:00:00,87.0,87.0,85.0,86.0,4730
2017-07-18 00:00:00,87.5,87.5,86.0,87.0,2750
2017-07-17 00:00:00,86.0,88.25,86.0,87.0,271
2017-07-13 00:00:00,87.5,88.0,86.25,88.0,2691
2017-07-12 00:00:00,87.0,87.5,87.0,87.5,407
2017-07-11 00:00:00,86.5,86.5,86.0,86.5,1515
2017-07-10 00:00:00,85.5,87.75,85.5,87.75,265
2017-07-07 00:00:00,85.5,88.75,85.5,87.0,3023
2017-07-06 00:00:00,90.0,90.0,87.75,87.75,203
2017-07-05 00:00:00,87.75,90.25,86.5,90.25,1092
2017-07-04 00:00:00,89.0,89.0,86.5,86.75,1105
2017-07-03 00:00:00,88.0,89.0,86.5,88.5,1391
2017-06-30 00:00:00,88.0,88.25,86.5,87.0,5875
2017-06-29 00:00:00,88.75,89.0,87.0,88.5,1779
2017-06-28 00:00:00,88.75,89.0,88.0,88.75,216
2017-06-27 00:00:00,89.25,90.0,89.0,89.0,2060
2017-06-26 00:00:00,90.0,90.25,89.0,89.5,2033
2017-06-23 00:00:00,,90.0,90.0,90.0,0
2017-06-22 00:00:00,90.75,90.75,90.0,90.0,5425
2017-06-21 00:00:00,92.0,93.0,89.0,90.0,10078
2017-06-20 00:00:00,93.0,93.0,92.0,92.0,1927
2017-06-19 00:00:00,93.25,95.5,93.0,93.0,4517
2017-06-16 00:00:00,94.0,94.25,93.5,94.25,2872
2017-06-15 00:00:00,96.0,96.0,94.0,94.0,1642
2017-06-14 00:00:00,96.0,96.0,95.0,96.0,823
2017-06-13 00:00:00,96.0,96.0,94.5,95.0,3429
2017-06-12 00:00:00,96.0,99.0,95.75,97.0,5325
2017-06-09 00:00:00,94.75,97.0,94.75,97.0,16948
2017-06-08 00:00:00,95.25,95.25,94.0,94.0,6701
2017-06-07 00:00:00,95.25,96.75,95.25,95.25,7428
