Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,16.8,17.0,16.3,16.8,8916
2017-09-07 00:00:00,16.2,16.5,16.2,16.3,6297
2017-09-06 00:00:00,16.0,16.5,16.0,16.5,3966
2017-09-04 00:00:00,16.1,16.8,16.1,16.7,5680
2017-09-01 00:00:00,16.4,16.6,16.2,16.6,10890
2017-08-31 00:00:00,16.4,16.5,16.1,16.3,16491
2017-08-30 00:00:00,17.0,17.0,16.4,16.5,7405
2017-08-29 00:00:00,17.3,17.5,16.7,17.0,12158
2017-08-28 00:00:00,16.2,17.3,16.2,17.3,6294
2017-08-25 00:00:00,16.4,16.6,16.2,16.5,4328
2017-08-24 00:00:00,17.0,17.3,16.3,16.3,9221
2017-08-23 00:00:00,17.5,17.6,16.9,17.0,12909
2017-08-22 00:00:00,18.3,18.3,17.3,17.5,23306
2017-08-21 00:00:00,18.6,18.9,18.4,18.8,3508
2017-08-18 00:00:00,20.0,20.8,18.5,18.9,17410
2017-08-17 00:00:00,18.7,20.3,18.7,20.0,13759
2017-08-16 00:00:00,18.3,18.4,18.3,18.4,1377
2017-08-15 00:00:00,18.2,18.3,18.1,18.1,792
2017-08-14 00:00:00,18.6,18.8,18.2,18.2,3111
2017-08-11 00:00:00,18.3,18.7,18.3,18.6,2015
2017-08-10 00:00:00,18.6,18.7,18.5,18.6,2091
2017-08-09 00:00:00,18.9,19.0,18.5,18.6,5080
2017-08-08 00:00:00,19.5,19.8,18.9,18.9,5247
2017-08-07 00:00:00,19.8,19.8,19.5,19.5,8108
2017-08-04 00:00:00,19.0,19.8,19.0,19.8,8797
2017-08-03 00:00:00,19.0,19.2,19.0,19.2,2189
2017-08-02 00:00:00,19.1,19.5,19.0,19.0,2965
2017-08-01 00:00:00,19.0,19.5,19.0,19.1,13139
2017-07-31 00:00:00,19.0,19.1,19.0,19.0,9136
2017-07-28 00:00:00,19.0,19.3,19.0,19.0,6828
2017-07-27 00:00:00,19.5,19.6,19.0,19.0,6406
2017-07-26 00:00:00,19.0,19.8,19.0,19.5,5208
2017-07-25 00:00:00,19.2,20.0,19.0,19.0,6143
2017-07-24 00:00:00,19.0,19.5,19.0,19.2,8699
2017-07-21 00:00:00,19.0,19.3,19.0,19.3,14650
2017-07-20 00:00:00,19.2,19.2,18.2,19.0,18641
2017-07-19 00:00:00,20.0,20.4,19.0,19.2,21841
2017-07-18 00:00:00,20.3,21.2,20.0,20.0,38541
2017-07-17 00:00:00,19.0,21.1,19.0,19.9,33410
2017-07-14 00:00:00,20.0,20.0,18.1,19.0,41569
2017-07-13 00:00:00,21.7,21.7,20.0,20.0,81797
2017-07-12 00:00:00,24.0,24.1,20.4,21.9,129895
2017-07-11 00:00:00,22.0,24.5,21.8,24.0,248700
2017-07-10 00:00:00,18.8,24.7,18.4,22.0,362271
2017-07-07 00:00:00,16.5,17.9,16.5,17.9,91152
2017-07-06 00:00:00,15.2,16.5,15.0,16.0,40087
2017-07-05 00:00:00,12.95,15.0,12.7,14.65,32103
2017-07-04 00:00:00,12.3,12.95,12.3,12.95,3396
2017-07-03 00:00:00,12.5,12.75,12.5,12.5,4196
2017-06-30 00:00:00,12.4,12.6,12.35,12.5,6590
2017-06-29 00:00:00,12.85,12.85,12.4,12.4,9460
2017-06-28 00:00:00,13.0,13.1,12.75,12.85,3068
2017-06-27 00:00:00,12.85,13.0,12.5,13.0,3089
2017-06-26 00:00:00,12.8,12.9,12.55,12.85,3101
2017-06-23 00:00:00,,12.8,12.8,12.8,0
2017-06-22 00:00:00,12.7,12.9,12.5,12.8,25001
2017-06-21 00:00:00,13.5,13.5,12.4,12.65,45044
2017-06-20 00:00:00,13.85,14.0,13.5,13.5,15967
2017-06-19 00:00:00,14.0,14.3,13.5,13.85,12819
2017-06-16 00:00:00,14.35,14.95,14.2,14.25,12854
2017-06-15 00:00:00,14.3,14.5,14.3,14.35,1214
2017-06-14 00:00:00,14.75,14.75,14.45,14.55,22830
2017-06-13 00:00:00,15.0,15.0,14.65,14.8,4066
2017-06-12 00:00:00,15.0,15.0,14.85,15.0,7060
2017-06-09 00:00:00,15.0,15.8,14.9,15.0,23641
2017-06-08 00:00:00,15.1,15.3,15.0,15.0,3355
2017-06-07 00:00:00,15.3,15.3,15.0,15.0,5563
2017-06-06 00:00:00,,15.1,15.1,15.1,0
2017-06-05 00:00:00,15.6,15.6,15.0,15.1,7711
2017-06-02 00:00:00,15.2,15.4,15.0,15.2,10763
2017-06-01 00:00:00,15.2,15.7,15.2,15.2,4969
2017-05-31 00:00:00,16.0,16.1,15.3,15.6,9401
2017-05-30 00:00:00,15.5,16.2,15.1,15.5,11189
2017-05-29 00:00:00,16.0,16.0,15.0,15.2,3366
2017-05-26 00:00:00,15.1,15.4,15.0,15.0,1508
2017-05-24 00:00:00,15.1,15.2,15.1,15.1,118
2017-05-23 00:00:00,15.3,15.3,15.0,15.1,8357
