Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,21.6,21.8,21.4,21.8,26895
2017-09-07 00:00:00,21.9,22.2,21.5,21.5,34892
2017-09-06 00:00:00,22.1,22.3,21.7,21.9,8483
2017-09-04 00:00:00,21.8,22.3,21.8,22.1,35497
2017-09-01 00:00:00,21.6,21.8,21.4,21.6,34812
2017-08-31 00:00:00,21.3,21.8,21.3,21.6,26948
2017-08-30 00:00:00,21.4,21.7,21.3,21.3,13644
2017-08-29 00:00:00,21.5,21.8,21.1,21.4,12893
2017-08-28 00:00:00,21.6,21.7,21.3,21.5,25937
2017-08-25 00:00:00,21.6,21.8,21.3,21.8,28709
2017-08-24 00:00:00,21.4,21.7,21.2,21.5,15825
2017-08-23 00:00:00,21.8,21.8,21.2,21.4,18172
2017-08-22 00:00:00,21.8,21.8,21.4,21.6,20012
2017-08-21 00:00:00,21.7,21.8,21.5,21.7,15455
2017-08-18 00:00:00,21.8,21.9,21.3,21.6,35589
2017-08-17 00:00:00,21.7,21.8,21.5,21.8,33427
2017-08-16 00:00:00,20.8,21.7,20.8,21.5,21350
2017-08-15 00:00:00,21.1,21.1,20.7,20.7,12071
2017-08-14 00:00:00,20.9,21.0,20.7,21.0,14504
2017-08-11 00:00:00,20.8,20.8,20.4,20.8,23813
2017-08-10 00:00:00,21.3,21.3,20.7,20.8,16923
2017-08-09 00:00:00,21.3,21.3,21.1,21.3,27861
2017-08-08 00:00:00,20.7,21.5,20.7,21.3,54831
2017-08-07 00:00:00,20.7,20.9,20.6,20.7,173897
2017-08-04 00:00:00,20.5,20.7,20.5,20.7,16804
2017-08-03 00:00:00,20.7,20.7,20.5,20.5,23075
2017-08-02 00:00:00,20.7,20.9,20.5,20.7,29426
2017-08-01 00:00:00,20.8,20.8,20.6,20.8,120985
2017-07-31 00:00:00,20.6,20.9,20.6,20.7,13646
2017-07-28 00:00:00,21.0,21.0,20.5,20.5,28116
2017-07-27 00:00:00,20.7,20.8,20.6,20.6,9754
2017-07-26 00:00:00,20.4,20.8,20.4,20.7,33854
2017-07-25 00:00:00,20.3,20.7,20.3,20.5,17739
2017-07-24 00:00:00,20.5,20.6,20.2,20.3,36694
2017-07-21 00:00:00,20.5,20.7,20.3,20.3,18384
2017-07-20 00:00:00,20.5,20.7,20.3,20.5,41147
2017-07-19 00:00:00,20.6,20.8,20.5,20.5,36487
2017-07-18 00:00:00,20.8,20.8,20.3,20.6,27532
2017-07-17 00:00:00,20.5,21.0,20.4,20.8,15787
2017-07-14 00:00:00,20.6,21.0,20.3,20.5,27716
2017-07-13 00:00:00,20.8,21.0,20.3,20.3,58513
2017-07-12 00:00:00,20.5,21.0,20.4,20.4,28293
2017-07-11 00:00:00,20.6,21.0,20.5,20.5,17729
2017-07-10 00:00:00,20.7,21.1,20.6,20.6,12196
2017-07-07 00:00:00,20.9,21.0,20.6,20.6,21615
2017-07-06 00:00:00,21.0,21.2,20.9,20.9,12624
2017-07-05 00:00:00,21.5,21.5,20.8,21.0,78950
2017-07-04 00:00:00,21.2,21.7,21.2,21.5,13659
2017-07-03 00:00:00,21.2,21.5,21.1,21.2,13739
2017-06-30 00:00:00,21.7,21.7,21.2,21.2,16855
2017-06-29 00:00:00,21.4,21.7,21.2,21.2,27274
2017-06-28 00:00:00,21.8,21.8,21.2,21.3,25712
2017-06-27 00:00:00,21.5,21.9,21.1,21.5,19193
2017-06-26 00:00:00,21.6,22.0,21.5,21.5,8752
2017-06-23 00:00:00,,21.6,21.6,21.6,0
2017-06-22 00:00:00,21.5,21.9,21.4,21.6,6394
2017-06-21 00:00:00,21.7,21.7,21.2,21.4,20073
2017-06-20 00:00:00,21.6,21.9,21.5,21.7,12586
2017-06-19 00:00:00,21.5,22.1,21.5,21.6,37552
2017-06-16 00:00:00,22.5,22.9,21.1,21.1,217038
2017-06-15 00:00:00,22.6,22.8,22.5,22.5,34913
2017-06-14 00:00:00,22.5,22.9,22.5,22.6,25955
2017-06-13 00:00:00,22.2,22.9,22.2,22.5,20202
2017-06-12 00:00:00,22.3,22.4,22.1,22.3,17127
2017-06-09 00:00:00,22.5,22.7,22.3,22.3,14474
2017-06-08 00:00:00,22.4,22.9,22.4,22.4,33935
2017-06-07 00:00:00,22.7,22.7,22.2,22.3,30735
2017-06-06 00:00:00,,22.7,22.7,22.7,0
2017-06-05 00:00:00,22.4,22.9,22.4,22.7,14421
2017-06-02 00:00:00,22.4,23.1,22.2,22.3,36271
2017-06-01 00:00:00,22.7,22.8,22.4,22.4,20374
2017-05-31 00:00:00,21.3,23.5,21.3,22.8,143854
2017-05-30 00:00:00,21.3,21.7,21.3,21.3,18046
2017-05-29 00:00:00,21.3,21.7,21.2,21.3,8858
2017-05-26 00:00:00,21.2,21.5,21.2,21.3,8466
2017-05-24 00:00:00,21.5,21.8,21.3,21.3,3357
2017-05-23 00:00:00,21.6,21.6,21.4,21.5,4062
2017-05-22 00:00:00,21.4,21.6,21.1,21.3,14525
2017-05-19 00:00:00,21.6,21.8,21.5,21.6,8959
2017-05-18 00:00:00,21.5,21.9,21.2,21.6,9959
2017-05-17 00:00:00,21.9,22.0,21.6,21.8,24691
2017-05-16 00:00:00,22.3,22.3,21.9,22.0,6792
2017-05-15 00:00:00,21.9,22.3,21.8,22.1,36027
2017-05-12 00:00:00,22.0,21.7,21.7,21.7,12387
2017-05-11 00:00:00,22.2,22.2,21.8,22.0,10819
2017-05-10 00:00:00,21.8,21.9,21.6,21.8,14545
2017-05-09 00:00:00,21.8,22.0,21.6,21.8,14909
2017-05-08 00:00:00,21.9,22.2,21.6,21.6,39818
2017-05-05 00:00:00,21.8,21.9,21.6,21.9,12508
2017-05-04 00:00:00,22.2,22.2,21.6,21.9,13631
2017-05-03 00:00:00,22.3,22.5,21.9,22.2,11162
2017-05-02 00:00:00,21.8,22.3,21.8,22.1,28345
2017-05-01 00:00:00,,21.8,21.8,21.8,0
2017-04-28 00:00:00,21.6,21.8,21.3,21.8,16104
2017-04-27 00:00:00,21.3,21.8,21.2,21.8,23355
2017-04-26 00:00:00,21.0,21.4,20.9,21.3,28931
2017-04-25 00:00:00,21.2,21.2,20.9,21.0,12579
2017-04-24 00:00:00,21.2,21.4,20.6,20.9,42183
2017-04-21 00:00:00,20.4,21.3,20.3,20.6,62760
2017-04-20 00:00:00,20.4,21.6,20.1,20.4,181984
2017-04-19 00:00:00,20.1,20.8,20.1,20.4,58425
2017-04-18 00:00:00,20.2,20.3,20.1,20.1,47650
2017-04-13 00:00:00,20.2,20.3,20.0,20.2,56749
2017-04-12 00:00:00,20.2,20.2,19.9,20.0,81152
2017-04-11 00:00:00,20.2,20.2,20.0,20.1,39893
2017-04-10 00:00:00,20.2,20.3,20.1,20.2,17128
2017-04-07 00:00:00,20.2,20.4,20.1,20.2,13707
2017-04-06 00:00:00,20.5,20.5,20.1,20.2,31960
2017-04-05 00:00:00,20.4,20.8,20.4,20.5,13431
2017-04-04 00:00:00,20.8,20.8,20.3,20.4,11167
2017-04-03 00:00:00,20.8,21.0,20.3,20.5,39184
2017-03-31 00:00:00,20.4,20.8,20.4,20.7,6363
2017-03-30 00:00:00,20.8,20.9,20.4,20.7,8197
2017-03-29 00:00:00,20.8,20.9,20.6,20.7,2466
2017-03-28 00:00:00,20.8,20.9,20.5,20.8,3910
2017-03-27 00:00:00,20.8,20.9,20.3,20.7,9977
2017-03-24 00:00:00,20.1,20.9,20.1,20.7,10154
2017-03-23 00:00:00,20.0,20.3,20.0,20.1,4287
2017-03-22 00:00:00,20.0,20.4,19.9,19.9,18557
2017-03-21 00:00:00,21.0,21.0,20.0,20.0,40589
2017-03-20 00:00:00,20.8,21.0,20.7,20.7,7110
2017-03-17 00:00:00,21.0,21.0,20.6,20.8,10358
2017-03-16 00:00:00,20.8,21.2,20.7,20.9,4608
2017-03-15 00:00:00,21.0,21.2,20.6,20.8,50292
2017-03-14 00:00:00,20.9,21.0,20.6,20.9,27030
2017-03-13 00:00:00,20.3,20.9,20.3,20.8,41406
2017-03-10 00:00:00,20.5,20.4,20.4,20.4,27935
2017-03-09 00:00:00,21.0,21.0,20.5,20.6,39451
2017-03-08 00:00:00,20.9,21.0,20.6,20.8,17707
2017-03-07 00:00:00,21.0,21.2,20.5,20.9,21875
2017-03-06 00:00:00,21.1,21.4,20.7,21.0,42636
2017-03-03 00:00:00,21.5,21.1,21.1,21.1,18790
2017-03-02 00:00:00,21.5,21.5,21.0,21.1,29881
2017-03-01 00:00:00,21.8,21.8,20.5,21.5,55379
2017-02-28 00:00:00,21.1,21.7,21.0,21.5,26239
2017-02-27 00:00:00,21.3,21.6,21.2,21.5,21793
2017-02-24 00:00:00,21.5,21.7,21.3,21.5,28773
2017-02-23 00:00:00,21.8,21.8,21.3,21.5,11874
2017-02-22 00:00:00,21.2,22.0,21.2,21.8,37262
2017-02-21 00:00:00,21.9,21.9,20.9,21.7,83464
2017-02-20 00:00:00,22.5,22.5,21.4,22.0,95924
2017-02-17 00:00:00,23.0,23.0,22.4,22.7,40828
2017-02-16 00:00:00,22.8,23.0,22.6,23.0,8702
2017-02-15 00:00:00,22.5,23.0,22.4,22.8,47547
2017-02-14 00:00:00,22.1,22.6,21.9,22.5,30789
2017-02-13 00:00:00,22.0,22.2,21.8,22.1,37324
2017-02-10 00:00:00,21.8,22.1,21.8,22.0,48373
2017-02-09 00:00:00,22.7,22.7,21.8,21.8,88332
2017-02-08 00:00:00,22.2,22.7,22.2,22.7,39507
2017-02-07 00:00:00,21.8,22.4,21.8,22.2,63101
2017-02-06 00:00:00,22.1,22.8,21.7,21.8,65428
2017-02-03 00:00:00,23.0,23.0,21.8,22.1,184481
2017-02-02 00:00:00,23.6,23.6,22.6,22.9,47498
2017-02-01 00:00:00,24.0,24.0,23.0,23.1,106415
2017-01-31 00:00:00,23.9,24.2,23.9,24.0,36981
2017-01-30 00:00:00,24.6,24.6,23.9,23.9,110235
2017-01-27 00:00:00,26.0,26.4,25.6,26.0,134143
2017-01-26 00:00:00,25.7,26.0,25.1,26.0,42573
2017-01-25 00:00:00,26.0,26.0,25.5,25.7,45601
2017-01-24 00:00:00,25.8,26.0,25.6,25.8,16732
2017-01-23 00:00:00,26.1,26.1,25.5,25.8,55196
2017-01-20 00:00:00,26.2,26.2,25.9,26.1,31964
2017-01-19 00:00:00,25.8,26.3,25.6,26.0,63710
2017-01-18 00:00:00,26.0,26.0,25.6,25.8,12871
2017-01-17 00:00:00,26.2,26.2,25.6,25.8,23024
2017-01-16 00:00:00,25.9,26.0,25.8,25.9,21018
2017-01-13 00:00:00,26.0,26.0,25.6,25.9,26979
2017-01-12 00:00:00,25.8,26.1,25.6,26.1,29857
2017-01-11 00:00:00,25.9,25.9,25.0,25.8,90002
2017-01-10 00:00:00,25.7,25.9,25.4,25.9,16857
2017-01-09 00:00:00,26.3,26.3,25.0,25.9,103763
2017-01-06 00:00:00,,26.5,26.5,26.5,0
2017-01-05 00:00:00,26.1,26.5,26.0,26.5,20433
2017-01-04 00:00:00,26.4,26.4,25.6,26.2,28120
2017-01-03 00:00:00,25.7,26.5,25.5,26.4,43642
2017-01-02 00:00:00,25.8,25.8,25.0,25.5,27762
2016-12-30 00:00:00,24.6,24.8,24.5,24.7,29631
2016-12-29 00:00:00,24.5,24.8,24.5,24.6,11647
2016-12-28 00:00:00,24.7,24.8,24.5,24.8,12137
2016-12-27 00:00:00,24.1,24.8,24.1,24.8,35553
2016-12-23 00:00:00,23.9,24.4,23.8,24.1,33844
2016-12-22 00:00:00,23.7,23.8,23.5,23.6,6425
2016-12-21 00:00:00,23.5,23.8,22.9,23.7,47576
2016-12-20 00:00:00,24.6,24.9,22.5,23.5,187686
2016-12-19 00:00:00,24.9,24.9,24.2,24.7,27162
2016-12-16 00:00:00,24.7,25.0,24.5,24.9,37177
2016-12-15 00:00:00,24.0,24.8,23.8,24.7,63872
2016-12-14 00:00:00,24.1,24.2,24.0,24.1,7010
2016-12-13 00:00:00,24.0,24.2,23.9,24.0,24593
2016-12-12 00:00:00,24.0,24.2,24.0,24.2,21617
2016-12-09 00:00:00,24.2,24.2,24.0,24.2,19615
2016-12-08 00:00:00,24.2,24.3,23.7,24.3,20895
2016-12-07 00:00:00,24.1,24.2,23.8,24.1,36919
2016-12-06 00:00:00,23.8,24.3,23.8,24.1,18754
2016-12-05 00:00:00,23.9,24.2,23.7,23.8,11196
2016-12-02 00:00:00,24.5,24.5,23.7,23.9,27866
2016-12-01 00:00:00,24.3,24.6,24.0,24.3,27786
2016-11-30 00:00:00,24.0,24.3,23.9,24.3,13930
2016-11-29 00:00:00,24.1,24.2,23.9,23.9,15909
2016-11-28 00:00:00,24.0,24.3,23.7,24.1,24181
2016-11-25 00:00:00,24.1,24.2,23.7,24.0,14864
2016-11-24 00:00:00,24.0,24.5,23.7,24.1,46481
2016-11-23 00:00:00,24.0,24.0,23.7,24.0,26947
2016-11-22 00:00:00,23.8,24.1,23.5,24.1,32287
2016-11-21 00:00:00,23.5,24.0,23.2,23.9,10790
2016-11-18 00:00:00,23.6,23.6,23.4,23.4,7087
2016-11-17 00:00:00,23.6,23.6,23.1,23.6,15084
2016-11-16 00:00:00,22.9,24.0,22.6,23.3,57920
2016-11-15 00:00:00,23.8,23.8,22.8,22.9,60804
2016-11-14 00:00:00,24.4,24.4,23.5,23.8,28564
2016-11-11 00:00:00,23.6,24.1,23.6,23.6,27551
2016-11-10 00:00:00,23.3,23.9,23.2,23.6,21674
2016-11-09 00:00:00,22.4,23.4,21.2,23.2,79497
2016-11-08 00:00:00,23.1,23.6,23.1,23.6,62273
2016-11-07 00:00:00,22.5,22.9,22.2,22.9,39547
2016-11-04 00:00:00,22.3,22.9,22.4,22.4,23423
2016-11-03 00:00:00,22.3,22.3,22.1,22.3,8745
2016-11-02 00:00:00,22.0,22.3,21.6,22.3,61505
2016-11-01 00:00:00,21.9,22.0,21.8,22.0,30322
2016-10-31 00:00:00,21.9,21.9,21.6,21.8,34818
2016-10-28 00:00:00,21.8,22.0,21.5,22.0,37685
2016-10-27 00:00:00,21.3,22.0,21.3,21.8,46737
2016-10-26 00:00:00,21.9,21.9,21.3,21.3,32106
2016-10-25 00:00:00,20.9,21.7,20.9,21.7,78528
2016-10-24 00:00:00,20.7,21.0,20.5,20.7,38015
2016-10-21 00:00:00,20.7,20.7,20.6,20.7,33456
2016-10-20 00:00:00,20.7,20.7,20.6,20.7,25217
2016-10-19 00:00:00,20.6,20.7,20.5,20.7,15394
2016-10-18 00:00:00,20.7,20.8,20.6,20.6,31148
2016-10-17 00:00:00,20.6,20.8,20.4,20.6,14753
2016-10-14 00:00:00,20.6,20.8,20.5,20.7,15702
2016-10-13 00:00:00,20.6,20.8,20.4,20.6,17472
2016-10-12 00:00:00,20.5,20.8,20.5,20.8,19547
2016-10-11 00:00:00,20.9,20.9,20.6,20.8,5523
2016-10-10 00:00:00,20.9,20.9,20.6,20.9,10075
2016-10-07 00:00:00,20.6,21.2,20.6,20.9,14599
2016-10-06 00:00:00,20.5,20.9,20.4,20.6,30704
2016-10-05 00:00:00,20.7,20.9,20.7,20.7,13884
2016-10-04 00:00:00,20.9,20.9,20.6,20.8,34869
