Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,387.5,392.5,380.0,382.0,64672
2017-09-07 00:00:00,392.5,395.0,384.5,389.0,47899
2017-09-06 00:00:00,389.5,396.0,382.0,390.0,73689
2017-09-04 00:00:00,394.5,395.0,385.0,387.0,55541
2017-09-01 00:00:00,399.0,410.0,397.0,398.5,93914
2017-08-31 00:00:00,405.0,405.0,393.5,399.0,59883
2017-08-30 00:00:00,384.0,405.0,374.0,405.0,113374
2017-08-29 00:00:00,390.0,401.5,381.0,384.0,72505
2017-08-28 00:00:00,407.5,407.5,392.0,394.5,117365
2017-08-25 00:00:00,405.0,413.0,405.0,409.0,37343
2017-08-24 00:00:00,416.5,416.5,403.5,403.5,79012
2017-08-23 00:00:00,396.0,416.5,392.5,414.0,192315
2017-08-22 00:00:00,388.0,398.0,377.0,395.0,90061
2017-08-21 00:00:00,402.0,404.5,387.0,389.0,127808
2017-08-18 00:00:00,390.0,407.0,385.0,401.5,120500
2017-08-17 00:00:00,398.0,409.0,388.0,391.5,134357
2017-08-16 00:00:00,387.0,398.0,382.0,395.0,92217
2017-08-15 00:00:00,381.0,390.0,380.0,380.0,51560
2017-08-14 00:00:00,356.0,380.0,356.0,379.0,94034
2017-08-11 00:00:00,366.0,367.5,348.0,357.0,136876
2017-08-10 00:00:00,380.0,381.0,370.0,370.0,54287
2017-08-09 00:00:00,379.5,387.0,373.0,380.0,71618
2017-08-08 00:00:00,379.5,383.5,369.0,379.0,103341
2017-08-07 00:00:00,360.0,380.0,356.0,379.5,173084
2017-08-04 00:00:00,353.0,359.5,350.0,356.0,91317
2017-08-03 00:00:00,350.5,364.5,343.5,352.5,109953
2017-08-02 00:00:00,364.0,385.0,342.0,350.5,302806
2017-08-01 00:00:00,335.0,362.5,335.0,360.0,264591
2017-07-31 00:00:00,304.5,332.5,303.0,329.0,209483
2017-07-28 00:00:00,315.0,321.5,305.0,307.0,131559
2017-07-27 00:00:00,298.0,315.0,296.5,315.0,389684
2017-07-26 00:00:00,281.0,282.5,276.5,282.0,57600
2017-07-25 00:00:00,287.5,290.5,278.0,281.0,39288
2017-07-24 00:00:00,280.0,293.5,275.5,290.0,38414
2017-07-21 00:00:00,284.0,286.0,275.5,277.0,43591
