Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,168.5,170.5,168.0,168.0,7698
2017-09-07 00:00:00,169.0,171.0,169.0,169.5,3921
2017-09-06 00:00:00,168.0,170.0,165.5,170.0,16002
2017-09-04 00:00:00,169.5,171.0,168.5,170.0,5599
2017-09-01 00:00:00,170.0,170.5,169.0,170.0,7830
2017-08-31 00:00:00,171.0,171.0,169.0,170.0,6838
2017-08-30 00:00:00,168.5,171.0,167.5,171.0,14144
2017-08-29 00:00:00,175.0,175.0,169.0,169.0,8060
2017-08-28 00:00:00,181.0,181.0,172.5,176.0,50286
2017-08-25 00:00:00,171.5,181.5,171.5,181.5,25454
2017-08-24 00:00:00,165.0,172.0,165.0,171.5,21417
2017-08-23 00:00:00,164.0,165.5,162.0,164.5,7204
2017-08-22 00:00:00,162.5,164.0,162.0,164.0,4966
2017-08-21 00:00:00,161.5,164.0,159.5,162.0,24267
2017-08-18 00:00:00,169.0,169.0,164.0,165.0,27578
2017-08-17 00:00:00,175.0,176.5,167.0,168.0,20923
2017-08-16 00:00:00,175.0,184.0,173.0,175.0,50804
2017-08-15 00:00:00,174.5,176.5,174.5,175.0,2542
2017-08-14 00:00:00,169.0,177.0,169.0,174.5,7875
2017-08-11 00:00:00,172.5,172.5,168.0,168.5,5327
2017-08-10 00:00:00,177.5,177.5,169.5,172.0,9494
2017-08-09 00:00:00,178.5,178.5,177.0,177.5,3913
2017-08-08 00:00:00,181.0,182.5,178.5,178.5,3612
2017-08-07 00:00:00,172.0,182.0,172.0,182.0,45574
2017-08-04 00:00:00,167.5,173.0,166.5,171.0,14658
2017-08-03 00:00:00,167.5,167.5,166.0,167.0,12672
2017-08-02 00:00:00,166.5,168.0,166.5,167.5,4259
2017-08-01 00:00:00,169.5,170.0,165.5,168.5,12043
2017-07-31 00:00:00,170.0,171.5,169.5,169.5,1966
2017-07-28 00:00:00,171.0,171.0,168.0,170.0,52893
2017-07-27 00:00:00,175.0,175.0,170.5,172.5,2086
2017-07-26 00:00:00,176.0,176.5,175.0,176.0,2219
2017-07-25 00:00:00,178.0,178.0,176.0,176.5,3695
2017-07-24 00:00:00,180.0,180.0,176.5,178.0,2226
2017-07-21 00:00:00,180.5,180.5,178.5,180.5,5972
2017-07-20 00:00:00,181.5,181.5,178.0,181.0,2651
2017-07-19 00:00:00,180.5,181.5,177.0,181.5,3076
2017-07-18 00:00:00,179.5,180.5,178.0,180.5,3879
2017-07-17 00:00:00,183.0,183.0,178.5,181.5,2311
2017-07-14 00:00:00,183.5,183.5,179.0,182.5,11619
2017-07-13 00:00:00,177.0,183.5,176.0,183.5,8258
2017-07-12 00:00:00,175.0,179.5,172.0,178.0,8536
2017-07-11 00:00:00,172.0,175.0,170.5,175.0,5852
2017-07-10 00:00:00,174.5,175.0,171.0,172.0,4255
2017-07-07 00:00:00,171.5,174.0,171.0,174.0,2556
2017-07-06 00:00:00,171.5,174.0,169.0,171.5,5579
2017-07-05 00:00:00,168.0,172.0,168.0,171.5,12122
2017-07-04 00:00:00,170.0,170.0,168.5,169.5,10968
2017-07-03 00:00:00,174.5,175.0,171.0,171.5,11155
