Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,34.2,34.3,33.7,34.2,4558
2017-09-07 00:00:00,34.5,34.7,33.9,34.2,6421
2017-09-06 00:00:00,34.5,34.6,34.2,34.5,4372
2017-09-04 00:00:00,35.0,35.0,33.3,34.0,17694
2017-09-01 00:00:00,35.5,35.5,34.5,35.0,9072
2017-08-31 00:00:00,35.4,35.8,34.8,35.4,7084
2017-08-30 00:00:00,35.1,35.9,34.8,35.4,10749
2017-08-29 00:00:00,35.5,36.4,34.5,35.8,12326
2017-08-28 00:00:00,35.5,35.5,34.3,35.5,26841
2017-08-25 00:00:00,37.8,37.8,36.0,36.0,13798
2017-08-24 00:00:00,38.2,38.6,36.2,37.4,48342
2017-08-23 00:00:00,37.4,38.4,37.2,37.8,42855
2017-08-22 00:00:00,35.5,37.2,34.1,37.0,72513
2017-08-21 00:00:00,37.3,38.5,35.2,35.5,88752
2017-08-18 00:00:00,36.3,37.4,36.0,37.3,56866
2017-08-17 00:00:00,35.7,36.7,35.3,35.9,45689
2017-08-16 00:00:00,35.2,35.7,34.7,35.3,25785
2017-08-15 00:00:00,35.4,36.0,34.7,35.2,24099
2017-08-14 00:00:00,34.3,35.4,34.3,35.4,11705
2017-08-11 00:00:00,34.5,34.5,32.7,34.3,31898
2017-08-10 00:00:00,35.9,36.0,34.0,34.8,85595
2017-08-09 00:00:00,33.9,35.9,33.9,35.9,126843
2017-08-08 00:00:00,31.3,33.9,31.0,33.4,73753
2017-08-07 00:00:00,30.9,31.5,30.7,31.3,36502
2017-08-04 00:00:00,30.7,31.0,30.2,31.0,7659
2017-08-03 00:00:00,30.9,30.9,29.5,30.7,2417
2017-08-02 00:00:00,29.5,31.0,29.5,31.0,53178
2017-08-01 00:00:00,29.5,29.5,29.4,29.5,8933
2017-07-31 00:00:00,28.4,29.5,28.4,29.4,14528
2017-07-28 00:00:00,28.4,28.4,28.2,28.4,5069
2017-07-27 00:00:00,28.4,28.7,28.4,28.7,1478
2017-07-26 00:00:00,28.8,29.1,28.6,28.6,2289
2017-07-25 00:00:00,29.5,29.5,28.5,28.8,2355
2017-07-24 00:00:00,29.0,29.0,28.3,28.6,5064
2017-07-21 00:00:00,28.0,30.0,27.8,28.9,65419
2017-07-20 00:00:00,28.0,28.4,28.0,28.4,282
2017-07-19 00:00:00,28.2,28.2,28.2,28.2,1500
2017-07-18 00:00:00,27.6,28.6,27.6,28.2,7836
2017-07-17 00:00:00,27.9,28.3,27.7,27.8,1571
2017-07-14 00:00:00,27.9,29.3,27.7,28.1,8041
2017-07-13 00:00:00,27.9,28.5,27.6,27.9,8436
2017-07-12 00:00:00,28.8,28.9,28.1,28.4,10003
2017-07-11 00:00:00,28.9,29.0,28.1,29.0,3611
2017-07-10 00:00:00,29.4,29.4,28.4,28.7,10142
2017-07-07 00:00:00,29.6,29.6,29.4,29.4,1717
2017-07-06 00:00:00,29.9,30.0,29.6,29.6,4125
2017-07-05 00:00:00,29.8,30.0,29.4,30.0,3439
2017-07-04 00:00:00,30.4,30.6,29.7,29.8,10173
2017-07-03 00:00:00,29.7,30.4,29.5,30.4,34503
2017-06-30 00:00:00,28.4,29.9,28.3,29.4,18922
2017-06-29 00:00:00,28.7,28.8,28.4,28.4,6155
2017-06-28 00:00:00,27.6,28.8,27.6,28.7,8576
2017-06-27 00:00:00,28.0,28.2,28.0,28.0,2500
2017-06-26 00:00:00,28.3,28.8,27.5,28.1,1956
2017-06-23 00:00:00,,28.5,28.5,28.5,0
2017-06-22 00:00:00,28.4,28.5,28.1,28.5,2033
2017-06-21 00:00:00,28.2,28.6,28.2,28.6,1150
2017-06-20 00:00:00,29.4,29.6,28.0,28.6,3250
2017-06-19 00:00:00,28.1,28.3,27.9,28.2,4953
2017-06-16 00:00:00,27.9,28.5,27.9,28.1,4818
2017-06-15 00:00:00,29.2,29.2,28.3,28.3,439
2017-06-14 00:00:00,28.1,29.2,28.1,29.2,1850
2017-06-13 00:00:00,27.6,28.4,27.6,28.3,5573
2017-06-12 00:00:00,28.8,28.8,27.3,28.4,17129
2017-06-09 00:00:00,29.1,29.1,28.3,28.7,10936
2017-06-08 00:00:00,28.1,30.4,28.0,28.4,39904
2017-06-07 00:00:00,27.6,28.8,27.6,28.4,4327
2017-06-06 00:00:00,,28.4,28.4,28.4,0
2017-06-05 00:00:00,28.4,28.4,28.4,28.4,593
2017-06-02 00:00:00,28.2,28.4,28.2,28.4,195
2017-06-01 00:00:00,28.4,28.4,28.4,28.4,1400
2017-05-31 00:00:00,28.6,29.1,28.6,28.7,2868
2017-05-30 00:00:00,29.2,29.2,28.6,28.8,1356
2017-05-29 00:00:00,28.1,29.5,28.1,29.2,5894
2017-05-26 00:00:00,27.8,28.3,27.7,28.3,5756
2017-05-24 00:00:00,28.0,28.0,28.0,28.0,320
2017-05-23 00:00:00,28.4,28.5,28.3,28.3,1431
2017-05-22 00:00:00,28.6,28.6,28.6,28.6,1400
2017-05-19 00:00:00,28.1,28.9,28.1,28.4,3682
2017-05-18 00:00:00,29.1,29.1,27.4,27.8,17143
2017-05-17 00:00:00,29.2,29.2,28.3,28.8,5295
2017-05-16 00:00:00,29.9,29.9,28.5,29.4,19862
2017-05-15 00:00:00,30.5,31.2,30.4,30.4,4725
2017-05-12 00:00:00,30.0,30.2,30.2,30.2,17341
2017-05-11 00:00:00,31.9,31.9,30.0,30.8,29889
2017-05-10 00:00:00,30.3,31.8,30.3,31.8,6823
2017-05-09 00:00:00,31.1,31.1,31.1,31.1,2205
2017-05-08 00:00:00,30.6,31.0,30.1,30.9,8094
2017-05-05 00:00:00,30.4,30.6,30.0,30.6,1864
2017-05-04 00:00:00,31.0,31.4,30.6,30.9,6127
2017-05-03 00:00:00,31.7,31.7,30.8,30.8,3539
2017-05-02 00:00:00,31.3,31.3,29.7,31.3,13917
2017-05-01 00:00:00,,31.6,31.6,31.6,0
2017-04-28 00:00:00,31.7,31.7,31.1,31.6,8525
2017-04-27 00:00:00,31.6,31.7,31.6,31.7,2627
2017-04-26 00:00:00,29.9,32.0,29.9,31.3,20548
2017-04-25 00:00:00,29.6,29.9,29.5,29.9,3915
2017-04-24 00:00:00,29.9,29.9,29.3,29.6,2106
2017-04-21 00:00:00,29.4,29.9,28.8,29.6,10190
2017-04-20 00:00:00,29.0,29.7,28.3,29.5,7485
2017-04-19 00:00:00,28.9,29.2,28.9,29.2,6464
2017-04-18 00:00:00,29.4,30.0,29.3,29.3,5190
2017-04-13 00:00:00,29.5,29.6,29.4,29.4,770
2017-04-12 00:00:00,30.1,30.1,29.5,29.5,6028
2017-04-11 00:00:00,29.9,30.2,29.3,30.2,9297
2017-04-10 00:00:00,30.1,30.5,30.0,30.5,3005
2017-04-07 00:00:00,30.4,30.7,29.9,30.2,3150
2017-04-06 00:00:00,30.1,31.5,30.1,31.0,10649
2017-04-05 00:00:00,29.8,30.6,28.0,30.6,17315
2017-04-04 00:00:00,30.0,30.3,29.7,29.9,10111
2017-04-03 00:00:00,30.7,31.0,29.9,30.5,19622
2017-03-31 00:00:00,31.0,31.0,30.4,30.7,9803
2017-03-30 00:00:00,31.5,31.5,30.6,30.7,6983
2017-03-29 00:00:00,31.2,31.8,31.1,31.1,2227
2017-03-28 00:00:00,31.3,31.8,31.3,31.5,7491
2017-03-27 00:00:00,32.0,32.5,31.6,32.0,2892
2017-03-24 00:00:00,32.4,32.4,32.0,32.0,275
2017-03-23 00:00:00,32.2,32.4,31.9,32.4,3931
2017-03-22 00:00:00,32.7,32.7,32.5,32.5,4654
2017-03-21 00:00:00,33.5,34.2,33.0,33.5,6820
2017-03-20 00:00:00,34.8,34.8,33.1,33.8,2729
2017-03-17 00:00:00,33.7,34.8,33.7,34.8,12911
2017-03-16 00:00:00,33.7,34.8,33.7,34.0,10035
2017-03-15 00:00:00,34.1,34.1,32.5,33.1,3201
2017-03-14 00:00:00,33.5,33.6,33.0,33.1,2469
2017-03-13 00:00:00,34.2,34.2,33.5,33.5,4331
2017-03-10 00:00:00,33.6,34.2,34.2,34.2,2442
2017-03-09 00:00:00,34.6,34.7,33.8,34.1,1325
2017-03-08 00:00:00,35.0,35.5,34.5,34.6,112468
2017-03-07 00:00:00,33.4,34.9,33.4,34.6,6713
2017-03-06 00:00:00,33.3,33.4,33.1,33.4,9987
2017-03-03 00:00:00,33.4,33.1,33.1,33.1,11128
2017-03-02 00:00:00,33.0,33.2,32.9,33.2,8027
2017-03-01 00:00:00,32.8,33.4,32.4,33.2,25340
2017-02-28 00:00:00,31.4,32.8,31.1,32.8,13094
2017-02-27 00:00:00,31.3,31.4,30.8,31.4,1028
2017-02-24 00:00:00,31.5,31.5,30.7,31.3,11120
2017-02-23 00:00:00,32.0,32.0,30.7,31.2,7007
