Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,79.75,80.0,79.0,79.0,59309
2017-09-07 00:00:00,79.75,81.5,79.5,80.0,87811
2017-09-06 00:00:00,78.0,80.75,76.5,79.25,442902
2017-09-04 00:00:00,72.5,72.75,70.0,70.0,27082
2017-09-01 00:00:00,70.75,71.5,69.0,71.0,153043
2017-08-31 00:00:00,68.0,71.75,68.0,70.0,30620
2017-08-30 00:00:00,67.5,69.0,67.0,67.75,37731
2017-08-29 00:00:00,67.5,68.0,67.0,67.5,29528
2017-08-28 00:00:00,68.5,70.25,67.0,67.75,47826
2017-08-25 00:00:00,69.5,70.0,68.25,68.5,16774
2017-08-24 00:00:00,70.75,72.0,69.25,69.25,27621
2017-08-23 00:00:00,71.75,72.5,70.5,70.75,20904
2017-08-22 00:00:00,70.25,73.5,70.25,71.75,29597
2017-08-21 00:00:00,73.0,73.0,70.0,70.0,43293
2017-08-18 00:00:00,72.5,73.5,69.0,73.0,300511
2017-08-17 00:00:00,76.5,76.5,74.25,76.0,20256
2017-08-16 00:00:00,76.75,77.5,76.0,76.5,15188
2017-08-15 00:00:00,76.75,78.0,76.5,76.5,17756
2017-08-14 00:00:00,77.0,78.0,76.0,76.75,28899
2017-08-11 00:00:00,76.25,78.5,75.5,77.0,49678
2017-08-10 00:00:00,80.25,81.0,76.5,78.0,58456
2017-08-09 00:00:00,79.25,79.25,77.75,79.25,24430
2017-08-08 00:00:00,81.0,81.0,78.75,79.25,37124
2017-08-07 00:00:00,78.5,83.75,78.5,80.5,182199
2017-08-04 00:00:00,78.0,79.75,77.5,79.75,56273
2017-08-03 00:00:00,79.5,79.5,77.5,78.0,38925
2017-08-02 00:00:00,77.0,79.0,77.0,78.0,34233
2017-08-01 00:00:00,77.75,78.75,76.75,77.5,18465
2017-07-31 00:00:00,79.75,80.0,77.75,77.75,43687
2017-07-28 00:00:00,80.0,81.0,79.0,80.0,29946
2017-07-27 00:00:00,79.0,81.0,79.0,80.0,30038
2017-07-26 00:00:00,79.75,80.0,78.75,79.0,29954
2017-07-25 00:00:00,79.0,80.0,79.0,79.25,9286
2017-07-24 00:00:00,80.0,80.0,79.0,79.25,21638
2017-07-21 00:00:00,79.0,80.25,78.5,79.5,53756
2017-07-20 00:00:00,80.0,80.0,78.75,80.0,26669
2017-07-19 00:00:00,78.5,80.75,77.0,79.5,66995
2017-07-18 00:00:00,79.5,79.75,77.25,78.5,31030
2017-07-17 00:00:00,80.0,80.75,79.5,79.75,41730
2017-07-14 00:00:00,80.5,82.0,80.0,80.25,21795
2017-07-13 00:00:00,81.75,82.0,79.75,80.0,25512
2017-07-12 00:00:00,79.0,82.0,78.5,82.0,28916
2017-07-11 00:00:00,81.0,81.75,78.5,81.0,152654
2017-07-10 00:00:00,85.0,85.0,81.0,81.0,30339
2017-07-07 00:00:00,82.75,84.25,81.25,84.25,34210
2017-07-06 00:00:00,84.75,84.75,81.0,82.25,63167
2017-07-05 00:00:00,85.0,86.5,83.25,84.75,55857
2017-07-04 00:00:00,86.0,86.5,84.5,86.0,27628
2017-07-03 00:00:00,85.0,87.25,83.75,86.0,101512
2017-06-30 00:00:00,85.0,86.0,83.5,85.0,41107
2017-06-29 00:00:00,86.0,86.75,84.0,85.0,63740
2017-06-28 00:00:00,85.0,86.5,83.0,86.25,67632
2017-06-27 00:00:00,86.0,86.75,85.5,85.5,46387
2017-06-26 00:00:00,86.75,88.25,86.0,86.5,231651
2017-06-23 00:00:00,,85.75,85.75,85.75,0
2017-06-22 00:00:00,85.0,88.0,84.5,85.75,311514
2017-06-21 00:00:00,85.0,85.25,84.0,84.5,55719
2017-06-20 00:00:00,84.5,85.5,84.25,84.25,24227
2017-06-19 00:00:00,85.5,87.75,83.75,85.0,86006
2017-06-16 00:00:00,85.0,87.0,84.25,85.0,342502
2017-06-15 00:00:00,86.5,86.75,84.0,85.0,97202
2017-06-14 00:00:00,87.0,87.0,86.0,86.5,84654
2017-06-13 00:00:00,88.0,89.5,86.0,87.0,41049
2017-06-12 00:00:00,88.75,91.0,85.25,87.0,46431
2017-06-09 00:00:00,91.75,91.75,87.25,88.75,42532
