Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,4.83,4.83,4.64,4.66,6530
2017-09-07 00:00:00,4.87,4.87,4.66,4.83,17399
2017-09-06 00:00:00,4.8,4.8,4.69,4.69,8782
2017-09-04 00:00:00,4.89,4.95,4.75,4.76,9675
2017-09-01 00:00:00,4.8,4.85,4.7,4.85,31182
2017-08-31 00:00:00,4.9,4.9,4.87,4.87,410
2017-08-30 00:00:00,5.0,5.0,4.75,4.81,67443
2017-08-29 00:00:00,4.99,4.99,4.85,4.99,16239
2017-08-28 00:00:00,4.99,4.99,4.85,4.9,12248
2017-08-25 00:00:00,5.0,5.0,4.85,4.94,27510
2017-08-24 00:00:00,4.95,4.98,4.88,4.88,21600
2017-08-23 00:00:00,4.83,4.98,4.83,4.95,31047
2017-08-22 00:00:00,4.86,4.9,4.82,4.83,5610
2017-08-21 00:00:00,4.97,4.97,4.82,4.86,4929
2017-08-18 00:00:00,4.89,5.0,4.74,5.0,18651
2017-08-17 00:00:00,4.81,4.89,4.73,4.89,9007
2017-08-16 00:00:00,4.87,4.87,4.83,4.83,10100
2017-08-15 00:00:00,4.84,4.92,4.84,4.92,12972
2017-08-14 00:00:00,4.92,4.92,4.92,4.92,370
2017-08-11 00:00:00,4.9,4.94,4.82,4.82,10047
2017-08-10 00:00:00,4.83,4.98,4.83,4.9,10685
2017-08-09 00:00:00,4.95,4.99,4.88,4.92,14888
2017-08-08 00:00:00,5.05,5.05,5.0,5.0,505
2017-08-07 00:00:00,5.1,5.1,4.95,4.95,19952
2017-08-04 00:00:00,5.1,5.1,5.0,5.1,8034
2017-08-03 00:00:00,5.0,5.0,4.98,5.0,17190
2017-08-02 00:00:00,5.1,5.1,4.94,5.0,24597
2017-08-01 00:00:00,4.9,5.1,4.9,5.1,33648
2017-07-31 00:00:00,4.95,4.95,4.87,4.87,25194
2017-07-28 00:00:00,4.79,4.99,4.7,4.95,18798
2017-07-27 00:00:00,4.82,4.94,4.82,4.84,6764
2017-07-26 00:00:00,4.95,4.95,4.77,4.77,1777
2017-07-25 00:00:00,4.87,4.95,4.81,4.88,10184
2017-07-24 00:00:00,4.86,4.93,4.86,4.93,448
2017-07-21 00:00:00,4.88,4.95,4.81,4.95,15823
2017-07-20 00:00:00,4.85,4.94,4.85,4.9,9441
2017-07-19 00:00:00,4.9,5.0,4.9,5.0,785
