Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,122.75,125.25,121.5,121.5,5982
2017-09-07 00:00:00,120.5,124.75,120.5,123.0,6976
2017-09-06 00:00:00,119.25,122.75,117.5,120.5,10023
2017-09-04 00:00:00,125.5,125.5,122.0,122.25,8831
2017-09-01 00:00:00,122.25,127.0,121.5,126.5,15542
2017-08-31 00:00:00,120.0,122.25,119.5,122.0,9413
2017-08-30 00:00:00,119.0,124.0,119.0,120.0,8603
2017-08-29 00:00:00,122.0,122.0,118.75,120.0,9992
2017-08-28 00:00:00,124.0,124.5,121.25,122.0,10568
2017-08-25 00:00:00,125.0,127.75,123.5,124.0,7965
2017-08-24 00:00:00,126.25,127.0,123.25,125.0,19177
2017-08-23 00:00:00,125.25,128.0,125.0,127.0,13745
2017-08-22 00:00:00,124.5,126.0,124.0,125.5,13244
2017-08-21 00:00:00,124.0,124.0,121.0,123.25,27352
2017-08-18 00:00:00,124.0,124.25,121.75,124.25,5620
2017-08-17 00:00:00,127.75,127.75,124.0,124.0,3508
2017-08-16 00:00:00,125.0,127.5,124.0,127.5,6679
2017-08-15 00:00:00,123.0,125.75,123.0,125.5,354484
2017-08-14 00:00:00,124.5,126.5,124.5,125.5,8147
2017-08-11 00:00:00,127.0,127.0,124.25,124.75,11521
2017-08-10 00:00:00,127.25,128.25,127.0,127.5,4047
2017-08-09 00:00:00,130.25,130.5,126.0,127.5,6550
2017-08-08 00:00:00,130.0,130.75,128.5,130.75,5789
2017-08-07 00:00:00,128.75,130.0,127.25,129.0,5438
2017-08-04 00:00:00,130.0,130.75,127.75,128.75,8184
2017-08-03 00:00:00,126.5,130.5,126.5,130.0,9362
2017-08-02 00:00:00,127.5,128.0,127.0,127.5,8491
2017-08-01 00:00:00,131.0,131.0,126.75,127.5,36407
2017-07-31 00:00:00,130.0,130.75,129.5,130.25,8755
2017-07-28 00:00:00,131.0,131.0,130.0,130.5,8576
2017-07-27 00:00:00,130.25,132.0,129.5,131.0,6978
2017-07-26 00:00:00,133.0,133.0,128.25,130.25,34043
2017-07-25 00:00:00,131.5,131.75,130.0,131.75,17858
2017-07-24 00:00:00,132.0,133.5,130.0,131.25,13696
2017-07-21 00:00:00,134.0,134.0,130.0,131.5,28819
2017-07-20 00:00:00,135.0,135.0,130.0,132.5,19166
2017-07-19 00:00:00,130.0,135.0,130.0,135.0,14740
2017-07-18 00:00:00,133.25,134.0,130.25,132.5,27351
2017-07-17 00:00:00,134.0,135.0,126.5,133.25,84438
2017-07-14 00:00:00,132.5,138.5,131.5,137.0,25571
2017-07-13 00:00:00,132.5,132.5,129.5,132.5,5847
2017-07-12 00:00:00,129.0,132.5,129.0,132.5,8689
2017-07-11 00:00:00,128.25,131.75,128.25,129.75,12956
2017-07-10 00:00:00,128.5,129.75,123.25,128.25,16305
2017-07-07 00:00:00,131.0,131.0,127.5,128.5,22685
2017-07-06 00:00:00,131.75,133.5,127.75,130.25,68119
2017-07-05 00:00:00,130.0,131.5,125.5,131.5,29060
2017-07-04 00:00:00,134.0,134.0,129.5,131.0,52850
2017-07-03 00:00:00,130.0,135.75,130.0,132.25,14369
2017-06-30 00:00:00,131.0,131.0,129.75,129.75,10860
2017-06-29 00:00:00,131.0,132.25,131.0,131.0,25077
2017-06-28 00:00:00,134.0,134.0,131.0,132.25,11534
2017-06-27 00:00:00,133.0,134.0,132.5,134.0,19342
2017-06-26 00:00:00,131.25,134.75,131.25,133.0,10657
2017-06-23 00:00:00,,133.25,133.25,133.25,0
2017-06-22 00:00:00,131.5,134.75,131.25,133.25,8286
2017-06-21 00:00:00,135.25,135.5,134.0,135.0,9606
2017-06-20 00:00:00,134.75,135.75,134.0,134.5,17372
2017-06-19 00:00:00,135.0,135.25,132.5,134.5,28382
2017-06-16 00:00:00,135.0,135.5,131.5,135.5,95592
2017-06-15 00:00:00,135.5,135.5,132.25,133.0,44488
2017-06-14 00:00:00,136.5,136.5,134.75,134.75,22314
2017-06-13 00:00:00,136.0,136.0,133.5,134.5,24947
2017-06-12 00:00:00,135.5,136.5,135.25,136.5,68564
2017-06-09 00:00:00,134.0,136.0,132.0,135.25,29370
2017-06-08 00:00:00,133.75,133.75,131.0,132.5,31282
2017-06-07 00:00:00,136.0,136.0,133.75,134.5,29364
2017-06-06 00:00:00,,137.0,137.0,137.0,0
2017-06-05 00:00:00,135.0,138.0,135.0,137.0,14725
2017-06-02 00:00:00,131.0,133.5,130.75,132.25,23889
2017-06-01 00:00:00,133.25,134.75,126.0,130.75,23919
2017-05-31 00:00:00,139.0,139.0,135.0,135.0,13414
2017-05-30 00:00:00,139.75,139.75,137.75,139.0,14303
2017-05-29 00:00:00,138.0,139.0,137.0,139.0,15068
2017-05-26 00:00:00,136.0,139.75,136.0,137.0,26366
2017-05-24 00:00:00,135.0,136.0,134.5,136.0,20422
2017-05-23 00:00:00,133.5,134.75,132.0,134.0,16251
2017-05-22 00:00:00,135.0,135.0,131.0,133.5,7881
2017-05-19 00:00:00,134.0,136.0,131.25,135.0,24372
2017-05-18 00:00:00,137.0,137.0,132.5,134.0,36431
2017-05-17 00:00:00,139.0,139.5,135.0,137.0,23347
2017-05-16 00:00:00,134.0,139.25,133.0,139.0,71031
2017-05-15 00:00:00,134.0,136.0,133.25,134.0,45694
2017-05-12 00:00:00,135.0,133.0,133.0,133.0,20623
2017-05-11 00:00:00,133.0,137.25,131.0,134.25,42926
2017-05-10 00:00:00,132.0,133.5,131.25,133.0,26690
2017-05-09 00:00:00,123.0,132.5,123.0,131.5,38849
2017-05-08 00:00:00,124.0,125.5,123.0,125.5,43788
2017-05-05 00:00:00,127.0,127.0,124.0,126.0,36278
2017-05-04 00:00:00,128.0,129.0,126.5,128.0,30866
2017-05-03 00:00:00,126.75,129.5,125.5,128.0,26834
2017-05-02 00:00:00,130.5,130.5,126.75,127.5,37374
2017-05-01 00:00:00,,130.5,130.5,130.5,0
2017-04-28 00:00:00,132.5,134.0,128.75,130.5,21781
2017-04-27 00:00:00,133.5,135.0,131.0,132.0,28580
2017-04-26 00:00:00,132.0,133.5,129.0,133.5,60925
2017-04-25 00:00:00,124.25,135.0,123.75,135.0,214372
2017-04-24 00:00:00,116.5,117.5,116.0,116.5,138717
2017-04-21 00:00:00,116.5,116.5,115.5,116.5,16108
2017-04-20 00:00:00,116.25,116.5,116.0,116.5,22146
2017-04-19 00:00:00,117.0,117.0,115.0,116.25,15101
2017-04-18 00:00:00,118.5,118.5,116.5,116.75,19312
2017-04-13 00:00:00,122.0,122.0,117.75,118.5,14753
2017-04-12 00:00:00,122.0,123.0,120.75,122.25,10146
2017-04-11 00:00:00,122.0,123.0,120.5,122.25,17423
2017-04-10 00:00:00,122.0,122.0,120.25,122.0,10376
