Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,62.5,64.0,62.5,63.0,2676
2017-09-07 00:00:00,64.0,65.0,62.5,64.5,7081
2017-09-06 00:00:00,64.25,64.25,62.5,63.0,1786
2017-09-04 00:00:00,65.25,65.25,63.0,63.5,3758
2017-09-01 00:00:00,63.25,64.5,63.0,64.5,7302
2017-08-31 00:00:00,62.75,63.25,62.5,63.25,527
2017-08-30 00:00:00,63.5,63.5,63.0,63.0,1180
2017-08-29 00:00:00,64.5,64.5,62.5,63.25,2799
2017-08-28 00:00:00,64.25,64.5,63.5,64.5,2085
2017-08-25 00:00:00,64.5,64.5,63.5,64.25,960
2017-08-24 00:00:00,65.5,65.5,63.0,63.25,14375
2017-08-23 00:00:00,61.5,65.5,61.5,64.5,30883
2017-08-22 00:00:00,62.25,62.25,61.25,62.25,5059
2017-08-21 00:00:00,62.25,63.75,62.0,62.25,3266
2017-08-18 00:00:00,63.5,64.0,62.0,62.5,4841
2017-08-17 00:00:00,62.0,63.5,61.5,63.5,3430
2017-08-16 00:00:00,63.0,63.0,62.0,62.5,6675
2017-08-15 00:00:00,63.75,63.75,61.5,63.0,37264
2017-08-14 00:00:00,63.25,64.25,62.5,63.5,5191
2017-08-11 00:00:00,64.25,64.25,62.25,63.5,15044
2017-08-10 00:00:00,65.75,65.75,64.25,64.75,4899
2017-08-09 00:00:00,64.25,65.5,63.75,65.5,9426
2017-08-08 00:00:00,65.25,65.75,64.25,64.25,5982
2017-08-07 00:00:00,66.0,67.0,64.75,65.25,13952
2017-08-04 00:00:00,65.5,67.0,65.0,67.0,7942
2017-08-03 00:00:00,65.5,65.5,64.25,65.5,5042
2017-08-02 00:00:00,64.5,66.0,64.25,65.5,12161
2017-08-01 00:00:00,64.25,64.75,63.5,64.75,6944
2017-07-31 00:00:00,64.5,64.5,63.5,64.25,3860
2017-07-28 00:00:00,64.5,65.0,64.0,64.5,1651
2017-07-27 00:00:00,65.25,66.0,64.25,65.0,6420
2017-07-26 00:00:00,65.25,66.0,65.25,66.0,2530
2017-07-25 00:00:00,65.25,66.5,64.25,66.5,3625
2017-07-24 00:00:00,65.75,65.75,63.75,65.25,5409
2017-07-21 00:00:00,64.5,66.5,64.5,65.75,5977
2017-07-20 00:00:00,66.0,66.5,65.0,65.5,4190
2017-07-19 00:00:00,66.25,67.0,64.75,65.75,9916
2017-07-18 00:00:00,68.75,68.75,66.25,66.75,6850
2017-07-17 00:00:00,69.75,69.75,67.0,68.0,287307
2017-07-14 00:00:00,75.0,75.0,67.75,69.75,62781
2017-07-13 00:00:00,74.0,75.0,73.0,75.0,7662
2017-07-12 00:00:00,74.0,74.25,73.0,73.5,10917
2017-07-11 00:00:00,73.5,74.0,73.0,73.75,4837
2017-07-10 00:00:00,73.5,73.5,71.75,73.5,4476
2017-07-07 00:00:00,73.0,73.0,72.5,73.0,588
2017-07-06 00:00:00,73.5,73.5,73.0,73.0,1544
2017-07-05 00:00:00,72.75,73.5,72.5,73.5,5332
2017-07-04 00:00:00,73.5,73.5,72.5,72.75,7663
2017-07-03 00:00:00,72.0,74.5,71.5,73.25,17977
2017-06-30 00:00:00,70.0,71.75,70.0,71.0,2987
2017-06-29 00:00:00,72.0,72.5,71.0,71.25,4652
2017-06-28 00:00:00,71.5,72.0,70.25,71.5,4012
2017-06-27 00:00:00,70.0,72.75,69.0,71.5,48992
2017-06-26 00:00:00,69.75,70.5,69.25,70.0,7880
2017-06-23 00:00:00,,69.75,69.75,69.75,0
2017-06-22 00:00:00,69.5,70.5,69.0,69.75,32867
2017-06-21 00:00:00,70.0,70.25,69.75,70.0,6837
2017-06-20 00:00:00,69.0,70.5,69.0,70.0,15841
2017-06-19 00:00:00,72.75,72.75,70.5,70.75,5180
2017-06-16 00:00:00,70.5,71.25,70.5,71.25,873
2017-06-15 00:00:00,71.0,71.25,70.25,71.0,4643
2017-06-14 00:00:00,71.0,71.25,70.25,71.25,4257
2017-06-13 00:00:00,71.25,71.25,71.0,71.0,982
2017-06-12 00:00:00,71.25,71.5,71.0,71.25,3288
2017-06-09 00:00:00,71.25,71.25,70.75,71.25,2896
2017-06-08 00:00:00,71.0,71.75,70.75,71.5,1027
2017-06-07 00:00:00,71.5,72.5,71.5,71.5,3215
2017-06-06 00:00:00,,71.5,71.5,71.5,0
2017-06-05 00:00:00,71.0,71.5,70.0,71.5,4367
2017-06-02 00:00:00,70.0,72.0,70.0,71.0,6806
2017-06-01 00:00:00,70.0,70.25,69.0,69.75,8541
2017-05-31 00:00:00,72.0,72.0,70.0,70.25,7395
2017-05-30 00:00:00,71.25,71.75,70.75,71.75,3480
2017-05-29 00:00:00,70.25,71.5,70.25,71.0,8910
2017-05-26 00:00:00,70.75,71.5,70.0,71.5,5962
2017-05-24 00:00:00,71.5,72.25,70.75,70.75,1823
2017-05-23 00:00:00,72.5,72.5,71.0,72.25,2539
2017-05-22 00:00:00,73.0,73.0,71.0,72.25,2548
2017-05-19 00:00:00,71.25,73.0,70.5,73.0,7104
2017-05-18 00:00:00,70.75,72.0,69.75,71.5,8567
2017-05-17 00:00:00,73.0,73.0,70.5,71.5,5177
2017-05-16 00:00:00,73.5,73.5,72.0,73.0,5309
2017-05-15 00:00:00,74.0,74.75,72.75,73.5,7414
2017-05-12 00:00:00,73.5,73.75,73.75,73.75,28057
2017-05-11 00:00:00,72.5,73.75,72.0,73.5,11840
2017-05-10 00:00:00,72.0,72.5,70.75,72.5,10027
2017-05-09 00:00:00,72.5,72.5,70.75,72.0,12668
2017-05-08 00:00:00,74.0,74.0,71.0,72.25,38395
2017-05-05 00:00:00,75.75,75.75,74.5,75.25,3553
2017-05-04 00:00:00,74.25,76.0,74.0,75.75,16928
2017-05-03 00:00:00,75.0,75.0,73.0,74.25,47341
2017-05-02 00:00:00,72.5,74.0,72.0,73.5,11424
2017-05-01 00:00:00,,72.0,72.0,72.0,0
2017-04-28 00:00:00,75.75,75.75,71.75,72.0,34292
2017-04-27 00:00:00,80.25,83.0,74.0,75.75,33828
2017-04-26 00:00:00,79.5,80.5,79.0,80.25,10611
2017-04-25 00:00:00,79.5,79.75,78.5,79.5,10947
2017-04-24 00:00:00,76.5,79.25,75.0,78.25,58861
2017-04-21 00:00:00,72.0,74.75,72.0,74.0,17230
2017-04-20 00:00:00,73.0,73.25,72.5,73.25,4099
2017-04-19 00:00:00,73.25,73.25,72.25,72.75,3270
2017-04-18 00:00:00,73.0,73.5,72.75,73.25,2552
2017-04-13 00:00:00,72.75,73.0,72.25,72.75,2589
2017-04-12 00:00:00,73.25,74.5,72.25,72.75,10945
2017-04-11 00:00:00,74.0,74.0,73.0,73.0,4546
2017-04-10 00:00:00,73.25,73.75,72.5,73.75,4192
2017-04-07 00:00:00,73.5,73.5,72.25,73.25,4686
2017-04-06 00:00:00,74.0,74.0,72.0,73.5,6385
2017-04-05 00:00:00,74.5,74.5,72.5,73.75,13128
2017-04-04 00:00:00,74.25,74.75,73.25,74.0,7775
2017-04-03 00:00:00,72.75,75.5,72.75,74.25,37643
2017-03-31 00:00:00,71.25,72.25,70.25,72.25,4892
2017-03-30 00:00:00,70.0,71.25,68.5,71.25,13504
2017-03-29 00:00:00,71.0,71.75,68.75,69.5,12231
2017-03-28 00:00:00,69.25,71.0,68.5,71.0,10670
2017-03-27 00:00:00,72.0,72.0,68.5,69.75,31613
2017-03-24 00:00:00,72.0,72.75,70.5,72.0,3573
2017-03-23 00:00:00,70.25,72.5,70.0,72.5,10709
2017-03-22 00:00:00,73.5,73.5,69.75,70.75,20805
2017-03-21 00:00:00,74.0,74.75,72.5,73.5,12337
2017-03-20 00:00:00,74.5,74.5,73.0,73.25,8160
2017-03-17 00:00:00,74.5,75.5,73.0,74.5,9973
2017-03-16 00:00:00,75.0,75.75,74.25,74.75,6258
2017-03-15 00:00:00,77.5,77.5,74.75,74.75,7931
2017-03-14 00:00:00,77.0,77.0,74.75,76.0,27838
2017-03-13 00:00:00,75.75,77.5,74.25,76.75,14493
2017-03-10 00:00:00,77.5,74.75,74.75,74.75,7365
2017-03-09 00:00:00,76.75,77.5,74.75,75.0,13443
2017-03-08 00:00:00,76.75,79.5,74.0,76.25,41526
2017-03-07 00:00:00,73.0,76.25,72.75,75.75,19129
2017-03-06 00:00:00,72.5,73.0,72.0,72.5,15025
2017-03-03 00:00:00,73.25,72.5,72.5,72.5,10762
2017-03-02 00:00:00,74.5,74.5,72.75,73.25,10561
2017-03-01 00:00:00,73.25,74.5,71.75,74.5,9249
2017-02-28 00:00:00,72.75,73.25,70.5,72.0,9754
2017-02-27 00:00:00,74.25,74.25,71.25,72.75,29373
2017-02-24 00:00:00,74.0,74.75,72.0,73.75,13904
2017-02-23 00:00:00,76.0,76.0,73.5,74.0,14304
2017-02-22 00:00:00,77.0,77.25,74.5,74.75,31562
2017-02-21 00:00:00,76.75,76.75,74.25,75.5,16816
2017-02-20 00:00:00,75.5,75.75,74.5,75.0,44480
2017-02-17 00:00:00,75.0,75.0,73.75,74.5,4265
2017-02-16 00:00:00,76.25,76.25,73.25,75.0,18023
2017-02-15 00:00:00,73.75,76.25,72.25,76.25,23676
2017-02-14 00:00:00,73.0,73.75,72.5,73.0,21138
2017-02-13 00:00:00,72.75,72.75,70.75,72.75,10940
2017-02-10 00:00:00,73.0,73.75,71.0,72.25,19414
2017-02-09 00:00:00,73.0,75.25,70.75,72.75,47963
2017-02-08 00:00:00,71.0,73.0,69.25,73.0,131866
2017-02-07 00:00:00,65.5,68.0,65.5,66.25,24784
2017-02-06 00:00:00,66.25,66.25,65.0,65.5,3557
2017-02-03 00:00:00,66.75,67.0,65.5,66.5,11485
2017-02-02 00:00:00,66.5,68.0,66.0,66.75,9409
2017-02-01 00:00:00,64.0,65.5,64.0,65.5,40980
2017-01-31 00:00:00,62.75,65.0,62.25,63.5,14330
2017-01-30 00:00:00,64.0,64.0,63.0,63.0,2352
2017-01-27 00:00:00,64.0,64.0,61.75,64.0,11438
2017-01-26 00:00:00,63.5,64.0,63.0,64.0,15153
2017-01-25 00:00:00,64.25,64.25,62.5,63.0,4130
2017-01-24 00:00:00,64.5,64.5,62.75,63.0,6878
2017-01-23 00:00:00,64.0,64.0,62.5,63.75,7999
2017-01-20 00:00:00,63.5,65.0,63.5,64.0,11522
2017-01-19 00:00:00,61.5,63.75,61.5,63.25,15745
2017-01-18 00:00:00,62.0,63.0,61.5,61.5,4223
2017-01-17 00:00:00,61.5,62.75,61.5,62.5,6575
2017-01-16 00:00:00,62.0,62.25,61.0,61.5,5699
2017-01-13 00:00:00,61.5,62.5,61.0,62.5,10099
2017-01-12 00:00:00,61.5,63.5,59.75,61.5,50183
2017-01-11 00:00:00,58.0,62.0,58.0,61.5,21584
2017-01-10 00:00:00,59.0,59.0,57.75,58.0,4154
2017-01-09 00:00:00,59.0,59.0,57.0,58.0,5687
2017-01-06 00:00:00,,58.0,58.0,58.0,0
2017-01-05 00:00:00,58.25,58.25,57.75,58.0,416
2017-01-04 00:00:00,57.25,58.0,57.0,57.5,2497
2017-01-03 00:00:00,58.0,58.25,57.0,57.0,4918
2017-01-02 00:00:00,58.0,58.0,56.5,58.0,5443
2016-12-30 00:00:00,56.5,57.5,56.25,57.5,1150
2016-12-29 00:00:00,57.5,57.5,56.5,56.5,7100
2016-12-28 00:00:00,57.0,57.5,57.0,57.0,1331
2016-12-27 00:00:00,56.75,57.5,56.5,57.0,11146
2016-12-23 00:00:00,58.0,58.0,56.5,56.75,566
2016-12-22 00:00:00,56.75,57.0,56.75,57.0,1432
2016-12-21 00:00:00,57.75,57.75,56.5,57.0,4029
2016-12-20 00:00:00,58.25,58.25,57.5,57.75,4089
2016-12-19 00:00:00,59.5,59.5,57.75,58.5,32258
2016-12-16 00:00:00,53.0,59.25,53.0,59.25,35307
2016-12-15 00:00:00,53.75,53.75,53.25,53.75,4466
2016-12-14 00:00:00,53.75,54.75,53.5,53.75,3833
2016-12-13 00:00:00,54.0,54.0,53.5,53.75,3633
2016-12-12 00:00:00,54.0,54.5,54.0,54.0,2100
2016-12-09 00:00:00,55.0,55.0,53.5,54.0,3375
2016-12-08 00:00:00,54.5,54.5,54.0,54.5,2238
2016-12-07 00:00:00,55.0,55.0,54.0,54.0,1970
2016-12-06 00:00:00,53.25,55.0,53.25,55.0,4131
2016-12-05 00:00:00,53.5,54.25,53.0,53.25,8119
2016-12-02 00:00:00,54.75,54.75,54.0,54.0,7017
2016-12-01 00:00:00,55.0,55.5,54.5,55.0,3717
2016-11-30 00:00:00,54.5,55.0,54.5,55.0,408
2016-11-29 00:00:00,55.0,55.0,54.5,54.5,1696
2016-11-28 00:00:00,56.0,56.0,55.5,56.0,782
2016-11-25 00:00:00,57.25,57.25,55.5,56.0,6539
2016-11-24 00:00:00,56.0,57.0,56.0,57.0,10976
2016-11-23 00:00:00,56.0,56.5,55.5,56.0,5915
2016-11-22 00:00:00,54.0,56.5,53.25,56.0,3800
2016-11-21 00:00:00,53.75,53.75,53.0,53.75,1280
2016-11-18 00:00:00,53.25,54.0,53.25,53.75,3498
2016-11-17 00:00:00,54.0,54.5,53.75,53.75,3923
2016-11-16 00:00:00,54.75,55.0,54.0,54.0,10448
2016-11-15 00:00:00,54.25,54.5,54.25,54.5,469
2016-11-14 00:00:00,54.5,54.5,54.0,54.25,6724
2016-11-11 00:00:00,54.25,55.25,54.25,54.5,4305
2016-11-10 00:00:00,55.25,57.0,55.0,55.5,9613
2016-11-09 00:00:00,52.75,55.0,52.5,55.0,4078
2016-11-08 00:00:00,54.75,54.75,54.0,54.5,183
2016-11-07 00:00:00,54.5,55.0,52.25,54.75,6742
2016-11-04 00:00:00,54.0,55.25,54.5,54.5,1228
2016-11-03 00:00:00,53.75,56.25,53.75,55.75,8874
2016-11-02 00:00:00,55.25,55.25,53.0,54.0,5111
2016-11-01 00:00:00,55.25,56.0,55.25,55.25,2590
2016-10-31 00:00:00,56.5,56.5,55.25,55.25,8022
2016-10-28 00:00:00,57.25,57.25,56.0,56.25,3595
2016-10-27 00:00:00,57.5,57.5,57.0,57.25,1098
2016-10-26 00:00:00,57.75,57.75,57.0,57.0,5498
2016-10-25 00:00:00,58.0,58.5,57.0,57.75,25905
2016-10-24 00:00:00,55.25,57.5,55.25,57.5,9091
2016-10-21 00:00:00,56.5,57.0,55.0,56.0,5364
2016-10-20 00:00:00,57.0,57.0,55.0,56.25,6784
2016-10-19 00:00:00,58.0,58.0,56.25,57.0,3296
2016-10-18 00:00:00,57.0,58.0,57.0,58.0,1832
2016-10-17 00:00:00,57.25,57.25,56.75,57.0,1883
2016-10-14 00:00:00,55.5,57.5,55.5,57.5,3021
2016-10-13 00:00:00,58.5,58.5,55.25,55.5,3478
2016-10-12 00:00:00,57.25,57.25,56.5,57.0,1897
2016-10-11 00:00:00,57.75,57.75,56.5,57.25,4123
2016-10-10 00:00:00,59.0,59.0,55.0,57.0,13655
2016-10-07 00:00:00,57.5,58.5,57.0,57.5,8268
2016-10-06 00:00:00,58.0,59.0,57.25,57.5,11628
2016-10-05 00:00:00,57.0,58.0,56.5,57.5,22639
2016-10-04 00:00:00,56.5,57.0,56.5,57.0,9132
2016-10-03 00:00:00,57.5,57.5,57.0,57.0,4429
2016-09-30 00:00:00,58.0,58.0,57.0,58.0,3094
2016-09-29 00:00:00,58.0,58.0,57.25,58.0,8484
2016-09-28 00:00:00,57.75,58.0,57.25,57.75,1626
2016-09-27 00:00:00,58.25,58.25,57.5,57.75,8765
2016-09-26 00:00:00,59.25,59.25,57.5,57.75,7983
2016-09-23 00:00:00,59.0,60.0,58.0,58.0,8200
2016-09-22 00:00:00,59.0,60.0,58.5,59.0,12637
2016-09-21 00:00:00,58.75,58.75,57.5,58.0,39831
2016-09-20 00:00:00,57.25,57.25,54.5,56.0,33531
2016-09-19 00:00:00,55.25,63.0,55.25,57.25,6404
2016-09-16 00:00:00,55.0,55.75,55.0,55.75,2274
2016-09-15 00:00:00,56.5,56.5,55.0,55.5,7128
2016-09-14 00:00:00,55.5,55.75,55.0,55.75,3205
2016-09-13 00:00:00,56.0,58.0,55.0,55.25,26556
2016-09-12 00:00:00,54.0,55.5,53.75,54.5,8423
2016-09-09 00:00:00,55.75,55.75,54.25,54.75,2231
2016-09-08 00:00:00,55.25,55.5,55.25,55.25,1944
2016-09-07 00:00:00,55.0,56.0,55.0,55.75,4030
2016-09-06 00:00:00,55.75,56.75,55.25,56.0,13373
2016-09-05 00:00:00,55.25,56.5,55.25,55.75,10696
2016-09-02 00:00:00,55.0,55.75,54.25,55.25,11002
2016-09-01 00:00:00,54.0,55.5,54.0,54.5,5164
2016-08-31 00:00:00,56.5,56.5,53.25,54.0,25590
2016-08-30 00:00:00,56.0,56.5,56.0,56.5,2557
2016-08-29 00:00:00,56.5,56.5,55.25,56.0,7666
2016-08-26 00:00:00,56.5,56.5,56.0,56.0,4574
2016-08-25 00:00:00,55.5,56.5,55.5,56.5,1771
2016-08-24 00:00:00,56.0,56.5,55.5,56.0,4355
2016-08-23 00:00:00,56.0,56.0,55.5,56.0,6850
2016-08-22 00:00:00,56.5,56.5,55.5,55.5,4221
2016-08-19 00:00:00,56.0,56.5,55.5,56.0,7301
2016-08-18 00:00:00,56.0,56.5,55.25,56.0,19161
2016-08-17 00:00:00,54.5,55.5,54.5,55.5,2865
2016-08-16 00:00:00,55.0,57.0,54.25,54.75,9802
2016-08-15 00:00:00,55.0,55.25,53.25,55.0,27435
2016-08-12 00:00:00,53.0,53.0,52.0,53.0,3284
2016-08-11 00:00:00,52.25,53.0,52.25,53.0,4845
2016-08-10 00:00:00,53.75,53.75,52.0,52.75,2713
2016-08-09 00:00:00,52.75,53.75,52.0,53.75,6998
2016-08-08 00:00:00,54.0,54.0,52.0,52.75,17359
2016-08-05 00:00:00,52.0,53.0,52.0,52.75,4314
2016-08-04 00:00:00,51.25,52.0,51.25,52.0,256
2016-08-03 00:00:00,53.0,53.0,50.0,51.75,3094
2016-08-02 00:00:00,53.0,53.0,51.75,52.75,5973
2016-08-01 00:00:00,51.75,53.0,51.75,52.75,9206
2016-07-29 00:00:00,52.0,52.5,51.0,51.25,4605
2016-07-28 00:00:00,52.0,52.25,51.25,52.0,2154
2016-07-27 00:00:00,50.5,53.0,50.5,52.0,26477
