Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,32.2,32.5,32.0,32.3,30398
2017-09-07 00:00:00,31.8,32.3,31.7,32.3,18722
2017-09-06 00:00:00,32.0,32.3,31.5,31.9,61845
2017-09-04 00:00:00,32.3,32.7,32.0,32.2,85204
2017-09-01 00:00:00,31.6,32.1,31.6,32.1,22698
2017-08-31 00:00:00,32.1,32.4,31.7,32.0,32606
2017-08-30 00:00:00,31.9,32.3,31.8,31.8,26916
2017-08-29 00:00:00,31.8,32.2,31.8,31.9,20172
2017-08-28 00:00:00,32.1,32.5,31.5,32.1,38149
2017-08-25 00:00:00,31.6,32.3,31.6,32.2,22812
2017-08-24 00:00:00,31.9,32.2,31.6,32.0,21902
2017-08-23 00:00:00,32.0,32.3,31.8,31.9,24684
2017-08-22 00:00:00,32.2,32.3,31.8,32.3,11168
2017-08-21 00:00:00,31.8,32.2,31.8,32.0,33329
2017-08-18 00:00:00,32.3,32.3,31.8,32.0,35124
2017-08-17 00:00:00,32.3,32.4,32.0,32.3,11532
2017-08-16 00:00:00,32.5,32.6,32.1,32.3,23878
2017-08-15 00:00:00,32.5,32.6,32.1,32.5,45468
2017-08-14 00:00:00,31.9,32.7,31.9,32.3,55356
2017-08-11 00:00:00,32.4,32.5,32.0,32.4,60227
2017-08-10 00:00:00,32.6,33.0,32.4,32.8,52127
2017-08-09 00:00:00,33.3,33.3,32.6,32.6,55119
2017-08-08 00:00:00,33.1,33.3,32.8,33.0,88211
2017-08-07 00:00:00,33.0,33.4,32.5,33.0,408104
2017-08-04 00:00:00,31.8,32.0,31.6,31.8,37068
2017-08-03 00:00:00,32.0,32.3,31.8,31.8,43364
2017-08-02 00:00:00,31.5,32.3,31.5,31.9,75881
2017-08-01 00:00:00,31.5,31.9,31.4,31.6,22498
2017-07-31 00:00:00,31.7,31.7,31.4,31.6,21179
2017-07-28 00:00:00,31.1,31.3,31.0,31.3,41849
2017-07-27 00:00:00,31.8,31.8,31.2,31.3,15180
2017-07-26 00:00:00,31.4,31.4,31.1,31.1,13608
2017-07-25 00:00:00,31.0,31.4,31.0,31.2,22904
2017-07-24 00:00:00,31.5,31.6,31.1,31.1,36843
2017-07-21 00:00:00,31.8,31.8,31.2,31.5,27183
2017-07-20 00:00:00,31.3,31.8,31.3,31.6,32960
2017-07-19 00:00:00,31.4,31.7,31.2,31.4,35501
2017-07-18 00:00:00,31.3,31.6,31.2,31.4,20569
2017-07-17 00:00:00,31.6,31.8,31.1,31.7,36594
2017-07-14 00:00:00,31.7,31.7,31.0,31.6,52909
2017-07-13 00:00:00,31.3,31.8,31.1,31.7,32830
2017-07-12 00:00:00,31.3,31.8,31.1,31.3,43156
2017-07-11 00:00:00,31.9,31.9,31.1,31.6,46682
2017-07-10 00:00:00,31.9,31.9,31.4,31.8,19605
2017-07-07 00:00:00,31.9,32.2,31.5,31.9,33439
2017-07-06 00:00:00,32.0,32.5,31.8,31.9,29847
2017-07-05 00:00:00,32.1,32.4,31.8,32.0,44974
2017-07-04 00:00:00,32.5,32.9,32.1,32.1,29530
2017-07-03 00:00:00,32.9,33.0,32.5,32.5,24187
2017-06-30 00:00:00,32.6,33.0,32.5,32.9,26908
2017-06-29 00:00:00,33.0,33.4,32.5,32.6,47927
2017-06-28 00:00:00,33.4,33.4,32.7,33.0,34265
2017-06-27 00:00:00,33.3,33.5,32.9,33.3,40398
2017-06-26 00:00:00,33.0,33.7,33.0,33.3,43838
2017-06-23 00:00:00,,32.9,32.9,32.9,0
2017-06-22 00:00:00,33.9,33.9,32.9,32.9,53344
2017-06-21 00:00:00,34.0,34.0,33.1,33.5,134806
2017-06-20 00:00:00,34.1,34.5,33.7,33.7,305927
2017-06-19 00:00:00,32.0,32.6,32.0,32.4,29958
2017-06-16 00:00:00,33.0,33.0,32.0,32.6,152578
2017-06-15 00:00:00,32.6,32.9,32.1,32.6,94126
2017-06-14 00:00:00,32.0,32.7,32.0,32.6,41579
2017-06-13 00:00:00,31.9,32.3,31.9,32.2,62614
2017-06-12 00:00:00,32.2,32.3,32.0,32.2,47114
2017-06-09 00:00:00,32.2,32.2,32.0,32.2,62515
2017-06-08 00:00:00,32.0,32.4,31.9,32.2,77409
2017-06-07 00:00:00,32.2,32.3,31.8,32.3,64365
2017-06-06 00:00:00,,32.2,32.2,32.2,0
2017-06-05 00:00:00,32.4,32.4,31.9,32.2,49103
2017-06-02 00:00:00,32.3,32.5,31.9,32.5,59596
2017-06-01 00:00:00,32.1,32.6,32.0,32.3,42455
2017-05-31 00:00:00,32.6,32.7,32.1,32.1,40272
2017-05-30 00:00:00,32.2,32.6,32.0,32.6,489701
2017-05-29 00:00:00,32.8,32.9,32.2,32.4,94309
2017-05-26 00:00:00,32.9,32.9,32.5,32.9,36609
2017-05-24 00:00:00,32.9,32.9,32.4,32.9,14201
2017-05-23 00:00:00,32.8,33.0,32.2,32.9,75459
2017-05-22 00:00:00,32.6,33.0,32.5,32.8,30795
2017-05-19 00:00:00,32.5,32.8,32.0,32.6,55136
2017-05-18 00:00:00,33.1,33.2,31.9,32.3,196772
2017-05-17 00:00:00,33.4,33.7,33.0,33.2,94571
2017-05-16 00:00:00,34.4,34.4,33.4,33.4,250141
2017-05-15 00:00:00,34.5,34.6,34.1,34.4,45815
2017-05-12 00:00:00,34.6,34.6,34.6,34.6,40909
2017-05-11 00:00:00,34.5,34.5,34.2,34.5,60746
2017-05-10 00:00:00,34.0,34.6,34.0,34.6,140175
2017-05-09 00:00:00,33.6,34.2,33.5,34.1,72596
2017-05-08 00:00:00,34.0,34.0,33.4,33.6,33010
2017-05-05 00:00:00,34.0,34.0,33.5,33.8,29713
2017-05-04 00:00:00,34.1,34.1,33.4,34.0,46421
2017-05-03 00:00:00,33.7,34.0,33.7,34.0,21495
2017-05-02 00:00:00,33.4,34.1,33.4,33.9,49266
2017-05-01 00:00:00,,33.6,33.6,33.6,0
2017-04-28 00:00:00,33.7,34.0,33.6,33.6,56210
2017-04-27 00:00:00,33.4,34.0,33.2,34.0,87599
2017-04-26 00:00:00,33.6,34.0,33.4,33.9,61188
2017-04-25 00:00:00,33.5,34.0,33.4,33.7,47308
2017-04-24 00:00:00,33.8,34.2,33.5,33.7,65536
2017-04-21 00:00:00,34.0,34.2,33.5,33.8,48398
2017-04-20 00:00:00,33.6,34.1,33.6,34.0,82276
2017-04-19 00:00:00,33.9,33.9,33.2,33.6,33750
2017-04-18 00:00:00,34.2,34.4,33.6,33.7,58040
2017-04-13 00:00:00,33.8,34.2,33.8,34.2,42775
2017-04-12 00:00:00,33.2,33.8,33.1,33.8,57608
2017-04-11 00:00:00,33.5,33.5,33.1,33.2,17788
2017-04-10 00:00:00,32.9,33.5,32.9,33.3,58282
2017-04-07 00:00:00,32.8,32.8,32.5,32.7,67161
2017-04-06 00:00:00,33.0,33.0,32.7,32.8,37101
2017-04-05 00:00:00,33.1,33.2,32.7,33.0,47324
2017-04-04 00:00:00,33.0,33.3,32.9,33.1,43509
2017-04-03 00:00:00,33.3,33.3,33.0,33.1,42086
2017-03-31 00:00:00,33.1,33.4,33.1,33.3,43986
2017-03-30 00:00:00,33.5,33.5,33.1,33.2,63066
2017-03-29 00:00:00,33.7,34.0,33.3,33.5,58892
2017-03-28 00:00:00,33.2,33.5,33.0,33.4,77858
2017-03-27 00:00:00,32.8,33.3,32.6,33.2,78326
2017-03-24 00:00:00,33.9,33.9,32.5,32.8,323226
2017-03-23 00:00:00,34.1,34.1,33.7,33.8,103891
2017-03-22 00:00:00,34.3,34.4,34.0,34.2,83220
2017-03-21 00:00:00,35.0,35.0,33.6,34.5,242741
2017-03-20 00:00:00,34.5,35.0,34.3,34.9,253108
2017-03-17 00:00:00,33.2,34.1,33.1,34.1,201700
2017-03-16 00:00:00,34.6,34.6,33.2,33.6,266386
2017-03-15 00:00:00,33.8,33.8,32.7,33.6,96134
2017-03-14 00:00:00,34.0,34.2,33.2,33.8,204543
2017-03-13 00:00:00,33.9,34.2,33.7,34.1,123902
2017-03-10 00:00:00,34.0,33.9,33.9,33.9,119101
2017-03-09 00:00:00,34.4,34.4,33.6,34.3,124379
2017-03-08 00:00:00,34.4,34.4,33.7,34.0,71582
2017-03-07 00:00:00,33.8,34.4,33.5,34.0,94561
2017-03-06 00:00:00,33.3,33.8,33.1,33.8,141316
2017-03-03 00:00:00,33.5,33.6,33.6,33.6,56639
2017-03-02 00:00:00,33.5,33.9,33.4,33.8,115788
2017-03-01 00:00:00,33.9,34.0,33.5,33.6,89812
2017-02-28 00:00:00,33.6,33.9,33.5,33.7,50228
2017-02-27 00:00:00,33.9,34.1,33.5,33.6,84287
2017-02-24 00:00:00,34.2,34.3,33.7,33.9,81336
2017-02-23 00:00:00,34.1,34.5,33.3,34.2,323732
2017-02-22 00:00:00,34.2,34.4,33.9,34.1,74390
2017-02-21 00:00:00,34.3,34.5,34.0,34.2,105427
2017-02-20 00:00:00,34.4,34.6,34.3,34.3,77332
2017-02-17 00:00:00,34.4,34.6,34.2,34.3,90855
2017-02-16 00:00:00,34.3,34.6,34.3,34.4,69435
2017-02-15 00:00:00,34.8,34.9,34.1,34.5,136826
2017-02-14 00:00:00,33.1,34.8,33.1,34.4,393067
2017-02-13 00:00:00,33.9,33.9,32.6,32.8,674388
2017-02-10 00:00:00,33.9,34.3,33.9,34.1,79139
2017-02-09 00:00:00,34.2,34.3,34.0,34.1,69671
2017-02-08 00:00:00,34.4,34.5,34.0,34.1,53411
2017-02-07 00:00:00,34.4,34.6,34.2,34.2,60360
2017-02-06 00:00:00,34.2,34.6,34.2,34.4,113531
2017-02-03 00:00:00,34.2,34.2,33.8,34.2,142557
2017-02-02 00:00:00,34.3,34.5,34.0,34.0,78786
2017-02-01 00:00:00,34.5,34.5,34.2,34.3,70392
2017-01-31 00:00:00,34.5,34.8,34.0,34.8,68710
2017-01-30 00:00:00,35.2,35.2,33.8,34.5,115848
2017-01-27 00:00:00,35.5,35.6,35.0,35.2,141051
2017-01-26 00:00:00,37.0,37.0,36.5,36.8,121471
2017-01-25 00:00:00,37.0,37.0,36.7,36.8,107785
2017-01-24 00:00:00,36.8,37.0,36.7,36.9,125995
2017-01-23 00:00:00,36.5,36.7,36.2,36.7,117838
2017-01-20 00:00:00,35.9,36.1,35.7,36.0,43259
2017-01-19 00:00:00,36.1,36.1,35.8,35.9,70120
2017-01-18 00:00:00,36.0,36.1,35.8,36.1,63003
2017-01-17 00:00:00,36.2,36.2,35.7,36.0,53204
2017-01-16 00:00:00,36.3,36.5,35.6,36.1,63747
2017-01-13 00:00:00,36.6,36.9,36.2,36.3,71954
2017-01-12 00:00:00,36.4,36.7,36.3,36.3,24196
2017-01-11 00:00:00,36.3,36.6,36.2,36.6,48169
2017-01-10 00:00:00,36.8,36.8,36.3,36.3,43572
2017-01-09 00:00:00,36.4,36.9,36.3,36.5,52238
2017-01-06 00:00:00,,36.4,36.4,36.4,0
2017-01-05 00:00:00,36.8,36.9,36.3,36.4,39802
2017-01-04 00:00:00,37.0,37.1,36.8,36.8,67357
2017-01-03 00:00:00,36.9,37.1,36.8,37.0,42904
2017-01-02 00:00:00,36.4,37.0,36.4,36.7,50636
2016-12-30 00:00:00,36.3,36.3,35.9,36.2,51447
2016-12-29 00:00:00,36.1,36.4,35.9,36.0,61952
2016-12-28 00:00:00,36.5,36.8,36.1,36.1,45068
2016-12-27 00:00:00,35.7,36.8,35.6,36.2,68485
2016-12-23 00:00:00,35.3,35.8,35.3,35.7,44942
2016-12-22 00:00:00,35.3,35.6,35.2,35.3,61827
2016-12-21 00:00:00,34.8,35.8,34.8,35.8,105967
2016-12-20 00:00:00,35.0,35.0,34.4,34.8,57191
2016-12-19 00:00:00,35.1,35.3,34.3,35.0,502784
2016-12-16 00:00:00,36.3,36.6,34.7,35.1,292697
2016-12-15 00:00:00,36.7,36.7,35.4,36.1,152831
2016-12-14 00:00:00,37.5,37.5,36.6,36.7,48952
2016-12-13 00:00:00,36.9,37.5,36.7,37.5,87640
2016-12-12 00:00:00,37.9,37.9,36.8,37.0,80045
2016-12-09 00:00:00,37.5,37.7,36.4,37.7,247379
2016-12-08 00:00:00,36.3,37.5,36.1,37.5,115352
2016-12-07 00:00:00,36.2,36.4,36.2,36.3,41778
2016-12-06 00:00:00,36.0,36.2,35.5,36.2,62925
2016-12-05 00:00:00,35.2,36.0,35.1,36.0,83559
2016-12-02 00:00:00,35.3,35.7,35.2,35.2,55330
2016-12-01 00:00:00,35.2,35.9,35.2,35.9,149646
2016-11-30 00:00:00,36.0,36.2,35.5,35.5,67280
2016-11-29 00:00:00,36.5,36.5,35.8,36.0,78135
2016-11-28 00:00:00,36.5,36.5,35.9,36.5,55377
2016-11-25 00:00:00,36.0,36.4,35.8,36.4,49040
2016-11-24 00:00:00,36.3,36.4,35.8,36.0,63606
2016-11-23 00:00:00,36.1,36.3,35.7,36.1,61466
2016-11-22 00:00:00,36.2,36.5,35.7,35.7,44138
2016-11-21 00:00:00,35.9,36.5,35.9,36.2,60707
2016-11-18 00:00:00,35.8,36.3,35.7,35.9,53326
2016-11-17 00:00:00,36.3,36.3,35.5,35.7,53729
2016-11-16 00:00:00,35.8,36.0,35.7,35.8,38201
2016-11-15 00:00:00,36.3,36.3,35.6,35.7,145233
2016-11-14 00:00:00,36.0,36.7,35.9,36.1,73565
2016-11-11 00:00:00,36.2,36.3,35.3,35.3,74108
2016-11-10 00:00:00,35.5,36.3,35.5,36.0,95787
2016-11-09 00:00:00,33.1,35.5,33.1,35.3,134154
2016-11-08 00:00:00,35.0,35.4,34.7,35.2,113651
2016-11-07 00:00:00,34.0,34.9,33.5,34.9,132214
2016-11-04 00:00:00,33.5,33.7,33.2,33.2,28308
2016-11-03 00:00:00,33.3,33.9,33.3,33.5,23423
2016-11-02 00:00:00,34.0,34.1,33.3,33.4,71453
2016-11-01 00:00:00,34.8,34.8,33.8,33.9,73238
2016-10-31 00:00:00,34.8,35.0,34.0,34.0,87188
2016-10-28 00:00:00,34.6,35.0,34.5,34.8,39159
2016-10-27 00:00:00,35.4,35.4,34.4,34.6,86804
2016-10-26 00:00:00,34.5,35.0,34.2,34.9,59242
2016-10-25 00:00:00,35.3,35.3,34.0,34.0,67005
2016-10-24 00:00:00,35.0,35.5,35.0,35.0,65921
2016-10-21 00:00:00,35.0,35.4,34.9,34.9,63213
2016-10-20 00:00:00,34.9,35.5,34.9,35.0,64449
2016-10-19 00:00:00,35.0,35.7,34.9,34.9,93304
2016-10-18 00:00:00,36.0,36.0,35.0,35.0,137196
