Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,27.8,29.5,27.8,27.9,488
2017-09-07 00:00:00,30.7,30.7,28.0,28.0,410
2017-09-06 00:00:00,28.1,34.9,28.0,28.7,7874
2017-09-04 00:00:00,28.0,29.8,28.0,29.8,505
2017-09-01 00:00:00,28.0,30.7,27.9,27.9,1474
2017-08-31 00:00:00,30.1,30.9,27.5,30.1,2512
2017-08-30 00:00:00,31.0,31.8,29.5,30.5,1444
2017-08-29 00:00:00,31.8,31.8,29.4,29.5,1309
2017-08-28 00:00:00,29.1,32.0,29.1,31.8,48
2017-08-25 00:00:00,29.1,29.1,29.0,29.0,226
2017-08-24 00:00:00,29.8,29.8,29.1,29.1,208
2017-08-23 00:00:00,30.0,30.9,29.0,29.8,1252
2017-08-22 00:00:00,31.2,32.9,31.2,31.2,345
2017-08-21 00:00:00,31.3,31.3,31.2,31.2,890
2017-08-18 00:00:00,33.9,33.9,30.5,32.3,1049
2017-08-17 00:00:00,30.7,33.9,30.7,33.9,2450
2017-08-16 00:00:00,31.3,31.3,30.1,30.7,288
2017-08-15 00:00:00,30.9,30.9,30.1,30.2,440
2017-08-14 00:00:00,29.3,31.2,29.3,31.0,309
2017-08-11 00:00:00,31.6,31.6,30.0,31.4,73
2017-08-10 00:00:00,30.0,32.1,30.0,31.7,2064
2017-08-09 00:00:00,31.6,32.0,29.9,30.0,2525
2017-08-08 00:00:00,31.9,33.4,31.6,31.6,822
2017-08-07 00:00:00,31.6,33.0,31.6,31.9,462
2017-08-04 00:00:00,30.6,32.7,30.6,31.6,1449
2017-08-03 00:00:00,30.0,30.6,29.0,30.6,1353
2017-08-02 00:00:00,30.6,30.6,29.1,30.6,252
2017-08-01 00:00:00,28.5,31.0,28.5,30.7,589
2017-07-31 00:00:00,30.7,30.7,28.5,29.0,1042
2017-07-28 00:00:00,29.3,31.0,29.0,30.7,340
2017-07-27 00:00:00,31.6,31.8,31.5,31.7,956
2017-07-26 00:00:00,30.5,34.0,30.5,31.5,2417
2017-07-25 00:00:00,28.5,32.1,28.5,30.4,3564
2017-07-24 00:00:00,28.5,28.5,27.0,28.5,1591
2017-07-21 00:00:00,32.2,32.2,28.8,29.7,730
2017-07-20 00:00:00,31.2,32.4,28.7,32.0,581
2017-07-19 00:00:00,32.5,32.5,29.5,31.2,629
2017-07-18 00:00:00,34.4,34.4,30.0,32.6,2655
2017-07-17 00:00:00,36.0,36.0,31.6,34.4,3106
2017-07-14 00:00:00,37.0,37.0,35.1,37.0,1609
2017-07-13 00:00:00,38.5,38.5,37.0,37.0,450
2017-07-12 00:00:00,38.9,38.9,37.0,37.9,1147
2017-07-11 00:00:00,36.2,36.5,36.1,36.2,468
2017-07-10 00:00:00,39.0,39.0,34.7,36.1,1136
2017-07-07 00:00:00,39.9,39.9,37.7,39.8,387
2017-07-06 00:00:00,39.9,40.0,38.3,39.9,231
2017-07-05 00:00:00,40.0,40.0,38.0,39.9,1032
2017-07-04 00:00:00,40.0,41.5,39.8,40.0,749
2017-07-03 00:00:00,40.0,40.2,39.0,39.8,1858
2017-06-30 00:00:00,39.5,39.5,36.5,38.0,1889
2017-06-29 00:00:00,40.8,40.8,37.2,39.5,1292
2017-06-28 00:00:00,40.9,40.9,38.6,40.8,1384
2017-06-27 00:00:00,41.8,41.8,38.8,40.9,909
2017-06-26 00:00:00,43.3,43.3,37.1,41.9,8272
2017-06-23 00:00:00,,43.3,43.3,43.3,0
2017-06-22 00:00:00,44.5,44.5,42.2,43.3,1182
2017-06-21 00:00:00,42.1,44.8,42.1,43.2,2488
2017-06-20 00:00:00,43.5,43.5,40.0,42.0,2662
2017-06-19 00:00:00,44.8,44.8,42.8,43.1,4464
2017-06-16 00:00:00,48.9,48.9,44.8,44.8,9885
2017-06-15 00:00:00,43.4,53.0,43.4,48.9,12496
2017-06-14 00:00:00,47.9,51.75,41.1,43.4,16257
2017-06-13 00:00:00,47.9,50.5,43.4,48.0,9313
2017-06-12 00:00:00,60.0,60.25,45.0,47.0,20428
2017-06-09 00:00:00,52.0,80.0,52.0,60.0,40842
2017-06-08 00:00:00,35.2,52.0,35.2,45.9,15752
2017-06-07 00:00:00,35.2,35.2,35.2,35.2,658
2017-06-06 00:00:00,,35.4,35.4,35.4,0
