Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,44.9,45.5,44.9,45.5,5104
2017-09-07 00:00:00,45.2,45.5,44.9,45.1,8790
2017-09-06 00:00:00,45.5,45.5,44.9,45.0,13541
2017-09-04 00:00:00,45.0,45.0,43.8,43.8,844449
2017-09-01 00:00:00,45.7,45.7,44.1,45.0,58512
2017-08-31 00:00:00,44.0,45.9,43.8,45.7,39321
2017-08-30 00:00:00,45.3,45.6,44.2,45.5,41405
2017-08-29 00:00:00,45.5,45.6,44.4,45.2,35963
2017-08-28 00:00:00,45.6,45.6,45.4,45.5,28310
2017-08-25 00:00:00,45.5,46.8,45.4,45.6,29283
2017-08-24 00:00:00,45.5,46.0,45.4,45.5,21057
2017-08-23 00:00:00,45.5,46.6,45.4,45.6,32930
2017-08-22 00:00:00,46.0,46.7,45.4,45.7,9954
2017-08-21 00:00:00,46.0,46.2,45.6,46.0,15515
2017-08-18 00:00:00,46.2,46.5,45.4,46.2,33375
2017-08-17 00:00:00,45.3,46.9,45.3,46.7,15416
2017-08-16 00:00:00,45.8,46.4,44.5,45.7,191008
2017-08-15 00:00:00,46.5,46.5,45.1,45.9,21983
2017-08-14 00:00:00,47.0,47.0,45.8,46.5,116514
2017-08-11 00:00:00,47.6,47.6,46.5,46.6,26518
2017-08-10 00:00:00,48.4,48.4,47.2,47.9,51749
2017-08-09 00:00:00,49.4,49.5,48.0,48.4,27430
2017-08-08 00:00:00,49.4,49.5,49.2,49.4,86861
2017-08-07 00:00:00,49.2,49.5,48.2,49.2,124503
2017-08-04 00:00:00,49.4,49.4,48.5,49.2,11735
2017-08-03 00:00:00,49.0,49.5,48.9,49.4,9684
2017-08-02 00:00:00,48.8,49.5,47.9,48.9,18487
2017-08-01 00:00:00,47.8,48.8,47.8,48.8,8361
2017-07-31 00:00:00,49.6,49.6,47.8,47.8,30330
2017-07-28 00:00:00,48.2,49.0,48.1,48.2,21447
2017-07-27 00:00:00,49.4,49.4,48.0,48.2,44601
2017-07-26 00:00:00,48.1,48.8,48.1,48.5,6981
2017-07-25 00:00:00,48.1,50.5,48.1,48.5,7081
2017-07-24 00:00:00,48.4,48.8,47.5,48.1,37303
2017-07-21 00:00:00,49.0,50.0,46.7,48.4,159137
2017-07-20 00:00:00,48.7,50.25,48.6,49.8,6781
2017-07-19 00:00:00,50.75,50.75,47.0,48.7,200269
2017-07-18 00:00:00,52.25,53.0,50.5,50.75,15204
2017-07-17 00:00:00,52.75,52.75,51.5,52.25,14271
2017-07-14 00:00:00,52.25,52.75,52.0,52.0,88578
2017-07-13 00:00:00,53.0,53.0,52.0,52.25,22596
2017-07-12 00:00:00,53.5,53.5,52.0,52.5,5239
2017-07-11 00:00:00,53.25,53.5,52.0,53.5,104087
2017-07-10 00:00:00,53.0,54.0,53.0,53.0,1502
2017-07-07 00:00:00,52.75,53.75,52.25,53.25,4141
2017-07-06 00:00:00,53.0,53.0,52.0,53.0,1536
2017-07-05 00:00:00,53.25,53.25,52.0,52.5,4549
2017-07-04 00:00:00,53.75,53.75,52.75,53.25,4723
2017-07-03 00:00:00,54.0,54.0,52.5,52.75,274648
2017-06-30 00:00:00,52.0,53.75,52.0,52.0,29864
2017-06-29 00:00:00,52.5,52.75,52.0,52.5,17739
2017-06-28 00:00:00,53.0,53.5,52.0,52.5,47718
2017-06-27 00:00:00,52.5,52.75,52.0,52.75,8218
2017-06-26 00:00:00,53.0,53.0,52.5,52.75,8299
2017-06-23 00:00:00,,53.0,53.0,53.0,0
2017-06-22 00:00:00,54.0,54.0,52.5,53.0,8709
2017-06-21 00:00:00,53.5,54.0,52.0,53.0,15757
2017-06-20 00:00:00,53.25,54.25,52.75,53.5,22193
2017-06-19 00:00:00,53.0,54.25,52.25,54.25,20871
2017-06-16 00:00:00,53.5,53.5,52.0,53.0,2454
2017-06-15 00:00:00,52.5,53.0,52.0,52.0,26075
2017-06-14 00:00:00,53.0,53.75,52.25,53.25,26468
2017-06-13 00:00:00,53.0,53.5,52.5,52.5,30853
2017-06-12 00:00:00,53.0,53.5,52.0,53.0,8157
2017-06-09 00:00:00,53.5,53.75,52.0,53.0,13488
2017-06-08 00:00:00,52.5,53.75,52.0,53.5,28594
2017-06-07 00:00:00,53.5,54.0,52.25,52.75,4116
2017-06-06 00:00:00,,53.5,53.5,53.5,0
2017-06-05 00:00:00,53.5,54.0,53.5,53.5,9738
2017-06-02 00:00:00,52.0,54.0,52.0,54.0,19237
2017-06-01 00:00:00,53.0,53.25,52.5,53.25,4241
2017-05-31 00:00:00,53.25,54.5,53.0,53.0,13151
2017-05-30 00:00:00,53.75,53.75,52.75,52.75,6776
2017-05-29 00:00:00,54.0,54.25,53.5,54.25,13712
2017-05-26 00:00:00,53.5,54.0,52.5,54.0,20255
2017-05-24 00:00:00,54.0,54.0,52.75,53.25,2872
2017-05-23 00:00:00,52.25,53.75,52.25,52.75,10508
2017-05-22 00:00:00,53.25,55.0,51.75,51.75,19120
2017-05-19 00:00:00,54.25,55.75,53.0,53.25,7253
2017-05-18 00:00:00,55.5,55.75,53.0,54.25,17594
2017-05-17 00:00:00,55.0,56.5,53.5,55.0,46706
2017-05-16 00:00:00,57.0,58.25,55.0,55.0,45186
2017-05-15 00:00:00,53.5,58.0,53.5,57.0,96005
2017-05-12 00:00:00,52.75,53.25,53.25,53.25,31446
2017-05-11 00:00:00,52.25,52.75,52.0,52.75,29318
2017-05-10 00:00:00,52.0,52.0,51.5,51.5,56606
2017-05-09 00:00:00,52.0,52.5,51.5,52.0,49300
2017-05-08 00:00:00,52.0,52.0,50.75,52.0,17317
2017-05-05 00:00:00,52.0,52.0,51.0,51.75,8204
2017-05-04 00:00:00,50.75,52.0,50.75,51.25,13781
2017-05-03 00:00:00,52.0,53.0,51.5,51.75,10206
2017-05-02 00:00:00,50.5,51.75,50.0,51.5,13271
2017-05-01 00:00:00,,50.5,50.5,50.5,0
2017-04-28 00:00:00,51.75,51.75,49.7,50.5,26847
2017-04-27 00:00:00,52.0,52.0,49.5,50.5,30860
2017-04-26 00:00:00,53.5,53.5,50.5,52.0,53300
2017-04-25 00:00:00,51.75,52.25,50.25,52.25,12806
2017-04-24 00:00:00,53.0,53.0,51.25,51.25,13145
2017-04-21 00:00:00,51.5,52.0,51.0,51.0,34653
2017-04-20 00:00:00,52.5,52.5,51.0,51.25,9478
2017-04-19 00:00:00,50.75,51.75,49.3,50.75,13260
2017-04-18 00:00:00,53.0,53.0,50.25,51.0,15566
2017-04-13 00:00:00,52.5,52.5,52.25,52.5,800
2017-04-12 00:00:00,52.5,52.75,52.0,52.25,5838
2017-04-11 00:00:00,52.5,52.75,51.0,52.0,7732
2017-04-10 00:00:00,52.75,53.0,52.25,52.5,11890
2017-04-07 00:00:00,52.0,53.0,52.0,53.0,23970
2017-04-06 00:00:00,51.75,52.0,51.0,52.0,9569
2017-04-05 00:00:00,51.75,53.0,51.5,52.0,50865
2017-04-04 00:00:00,50.0,51.5,49.3,51.5,29183
2017-04-03 00:00:00,49.8,51.0,48.6,50.0,19979
2017-03-31 00:00:00,48.4,50.25,48.4,49.8,20557
2017-03-30 00:00:00,49.5,49.5,47.6,48.8,73558
2017-03-29 00:00:00,48.5,49.3,48.1,48.6,12200
2017-03-28 00:00:00,48.0,48.7,48.0,48.5,14833
2017-03-27 00:00:00,48.6,49.3,47.4,48.4,30631
2017-03-24 00:00:00,49.3,49.9,48.5,48.5,18178
2017-03-23 00:00:00,48.8,50.0,48.5,49.3,11078
2017-03-22 00:00:00,48.0,49.1,47.6,48.9,36837
2017-03-21 00:00:00,49.9,49.9,48.5,48.5,35912
2017-03-20 00:00:00,48.9,50.0,48.5,50.0,19355
2017-03-17 00:00:00,48.5,48.6,47.5,48.6,61356
2017-03-16 00:00:00,47.5,48.9,47.5,48.7,101521
2017-03-15 00:00:00,47.8,48.0,47.5,47.5,17873
2017-03-14 00:00:00,49.0,49.0,47.5,47.6,50408
2017-03-13 00:00:00,50.0,50.0,48.5,49.1,42189
2017-03-10 00:00:00,51.0,50.0,50.0,50.0,23059
2017-03-09 00:00:00,49.5,50.5,49.0,50.0,21456
2017-03-08 00:00:00,49.1,51.0,48.6,50.0,74164
2017-03-07 00:00:00,51.25,51.25,48.5,49.1,67160
2017-03-06 00:00:00,51.0,51.5,50.5,51.0,35245
2017-03-03 00:00:00,51.25,51.0,51.0,51.0,15356
2017-03-02 00:00:00,52.0,52.0,50.25,51.25,32143
2017-03-01 00:00:00,51.0,52.0,50.5,51.5,38450
2017-02-28 00:00:00,51.0,51.0,50.25,51.0,16849
2017-02-27 00:00:00,51.5,51.75,50.25,51.0,52832
2017-02-24 00:00:00,51.0,51.5,50.5,51.0,43124
2017-02-23 00:00:00,50.75,51.25,50.5,51.0,31562
2017-02-22 00:00:00,51.0,51.0,50.5,50.75,21712
2017-02-21 00:00:00,50.5,51.5,49.3,50.5,20814
2017-02-20 00:00:00,50.5,52.0,50.25,50.5,20719
2017-02-17 00:00:00,50.75,51.0,50.25,50.5,50766
2017-02-16 00:00:00,50.75,51.0,50.0,50.5,158673
2017-02-15 00:00:00,51.0,51.0,49.4,49.9,22038
2017-02-14 00:00:00,49.4,51.0,49.4,51.0,25213
2017-02-13 00:00:00,49.0,51.0,48.2,50.25,52820
2017-02-10 00:00:00,49.3,49.9,49.0,49.9,37474
2017-02-09 00:00:00,47.4,49.6,47.4,48.9,82447
2017-02-08 00:00:00,49.8,49.8,45.3,47.1,93368
2017-02-07 00:00:00,49.0,49.0,47.5,48.0,19197
2017-02-06 00:00:00,48.3,49.4,48.1,48.9,19873
2017-02-03 00:00:00,48.6,49.5,48.1,48.3,8732
2017-02-02 00:00:00,50.0,50.0,48.5,48.6,14390
2017-02-01 00:00:00,49.2,50.0,48.6,49.9,28495
2017-01-31 00:00:00,48.8,49.5,47.9,49.2,43841
2017-01-30 00:00:00,48.4,48.9,47.7,48.8,26277
2017-01-27 00:00:00,48.0,48.6,47.8,48.6,35978
2017-01-26 00:00:00,48.4,48.4,47.7,48.0,114075
2017-01-25 00:00:00,48.0,48.0,47.3,47.9,14546
2017-01-24 00:00:00,47.7,48.0,46.8,47.3,32798
2017-01-23 00:00:00,47.3,48.0,47.2,47.7,23999
2017-01-20 00:00:00,47.3,48.0,47.0,47.3,66192
2017-01-19 00:00:00,45.0,47.6,44.6,47.3,63209
2017-01-18 00:00:00,44.2,44.8,43.5,44.8,41122
2017-01-17 00:00:00,43.1,43.8,42.8,43.8,4908
2017-01-16 00:00:00,43.5,44.5,42.7,43.1,24008
2017-01-13 00:00:00,43.0,44.4,42.9,43.5,10369
2017-01-12 00:00:00,43.0,43.3,42.7,42.7,10850
2017-01-11 00:00:00,44.2,44.5,42.7,43.3,21845
2017-01-10 00:00:00,43.0,43.9,42.5,43.8,23938
2017-01-09 00:00:00,44.0,44.5,42.4,43.0,19275
2017-01-06 00:00:00,,43.9,43.9,43.9,0
2017-01-05 00:00:00,43.5,44.0,43.2,43.9,4054
2017-01-04 00:00:00,44.4,44.4,43.3,43.4,15921
2017-01-03 00:00:00,44.5,44.5,44.1,44.4,6896
