Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,38.0,38.0,37.4,38.0,19760
2017-09-07 00:00:00,37.1,38.0,36.7,38.0,25639
2017-09-06 00:00:00,37.0,37.9,36.4,37.6,32995
2017-09-04 00:00:00,37.8,38.0,37.1,37.3,30872
2017-09-01 00:00:00,38.9,38.9,37.2,37.9,78276
2017-08-31 00:00:00,38.0,38.0,37.1,38.0,10012
2017-08-30 00:00:00,38.3,38.3,37.0,37.9,16465
2017-08-29 00:00:00,39.5,39.5,37.9,38.3,39686
2017-08-28 00:00:00,40.6,40.6,38.0,39.6,28798
2017-08-25 00:00:00,40.4,40.9,39.5,40.6,25769
2017-08-24 00:00:00,39.5,40.8,39.1,40.4,36144
2017-08-23 00:00:00,39.0,39.5,38.5,39.5,17901
2017-08-22 00:00:00,39.6,40.0,39.0,39.1,17590
2017-08-21 00:00:00,39.1,40.0,38.8,38.8,83019
2017-08-18 00:00:00,38.0,38.0,36.0,37.7,74959
2017-08-17 00:00:00,39.5,39.5,38.2,38.4,32184
2017-08-16 00:00:00,39.9,39.9,38.7,39.5,19790
2017-08-15 00:00:00,39.9,40.0,38.3,39.9,24203
2017-08-14 00:00:00,38.9,40.0,38.9,39.9,61581
2017-08-11 00:00:00,39.6,39.6,37.7,38.9,74136
2017-08-10 00:00:00,40.6,41.5,39.1,39.4,110968
2017-08-09 00:00:00,42.7,42.7,40.2,40.5,532513
2017-08-08 00:00:00,46.0,46.3,43.0,44.4,731695
2017-08-07 00:00:00,50.75,51.5,50.0,51.0,106689
2017-08-04 00:00:00,49.5,49.5,48.5,49.5,27042
2017-08-03 00:00:00,49.8,49.8,48.8,49.3,23866
2017-08-02 00:00:00,49.7,50.0,49.5,49.8,11416
2017-08-01 00:00:00,49.0,50.0,48.9,49.7,54944
2017-07-31 00:00:00,50.0,51.0,49.1,49.9,20233
2017-07-28 00:00:00,50.0,50.5,49.5,50.0,13997
2017-07-27 00:00:00,49.4,50.25,49.4,50.0,8212
2017-07-26 00:00:00,48.6,49.5,48.4,49.4,13182
2017-07-25 00:00:00,49.5,49.5,48.5,48.6,10044
2017-07-24 00:00:00,48.9,49.5,48.5,49.5,13668
2017-07-21 00:00:00,49.0,50.0,48.7,49.7,35670
2017-07-20 00:00:00,49.2,49.2,48.5,49.0,16428
2017-07-19 00:00:00,49.0,49.1,48.5,49.1,13683
2017-07-18 00:00:00,49.1,49.2,48.7,49.0,14984
2017-07-17 00:00:00,49.1,49.8,49.1,49.2,6482
2017-07-14 00:00:00,48.7,49.5,48.5,49.1,9143
2017-07-13 00:00:00,49.0,49.5,48.5,49.3,19587
2017-07-12 00:00:00,49.8,49.8,49.0,49.6,12334
2017-07-11 00:00:00,49.5,50.5,48.5,49.9,17976
2017-07-10 00:00:00,49.5,49.6,49.0,49.6,3826
2017-07-07 00:00:00,50.0,50.0,48.9,49.6,13590
2017-07-06 00:00:00,50.0,50.0,49.0,50.0,35573
2017-07-05 00:00:00,50.5,50.5,50.0,50.5,13110
2017-07-04 00:00:00,49.7,50.25,49.3,49.7,14063
2017-07-03 00:00:00,49.0,49.7,48.5,49.3,11374
2017-06-30 00:00:00,48.3,49.0,48.0,49.0,17982
2017-06-29 00:00:00,49.5,49.5,48.0,48.1,33578
2017-06-28 00:00:00,49.2,49.4,48.4,49.3,15851
2017-06-27 00:00:00,49.3,49.5,48.4,49.2,18717
2017-06-26 00:00:00,49.5,49.8,48.0,49.2,30308
2017-06-23 00:00:00,,49.4,49.4,49.4,0
2017-06-22 00:00:00,49.7,49.8,48.9,49.4,21796
2017-06-21 00:00:00,49.0,49.9,48.4,49.7,31311
2017-06-20 00:00:00,49.0,49.1,47.7,48.9,58673
2017-06-19 00:00:00,50.5,50.75,49.1,49.2,46918
2017-06-16 00:00:00,50.5,50.5,49.7,50.5,11269
2017-06-15 00:00:00,51.5,51.75,49.5,50.25,37106
2017-06-14 00:00:00,50.0,51.5,50.0,51.25,64161
2017-06-13 00:00:00,49.8,50.75,49.2,50.25,106223
2017-06-12 00:00:00,50.75,51.0,49.6,49.8,74524
2017-06-09 00:00:00,51.5,51.75,50.75,51.5,39343
2017-06-08 00:00:00,51.75,52.0,50.5,51.75,43341
2017-06-07 00:00:00,51.5,51.5,49.5,51.5,55549
2017-06-06 00:00:00,,51.5,51.5,51.5,0
2017-06-05 00:00:00,51.75,52.5,51.5,51.5,6624
2017-06-02 00:00:00,51.75,52.25,51.5,51.75,15859
2017-06-01 00:00:00,51.5,52.25,50.75,51.75,27338
2017-05-31 00:00:00,53.25,53.25,51.25,51.5,32764
2017-05-30 00:00:00,53.0,53.75,52.25,52.5,32521
2017-05-29 00:00:00,52.75,53.25,52.5,53.0,14325
2017-05-26 00:00:00,52.75,53.75,52.5,52.5,33565
2017-05-24 00:00:00,54.0,54.0,53.0,53.75,17648
2017-05-23 00:00:00,53.25,54.5,53.25,54.0,12403
2017-05-22 00:00:00,55.0,55.5,53.5,53.5,24445
2017-05-19 00:00:00,55.0,55.0,54.0,55.0,39671
2017-05-18 00:00:00,55.0,55.0,53.25,55.0,53440
2017-05-17 00:00:00,56.75,56.75,54.5,55.0,97774
2017-05-16 00:00:00,54.0,55.5,53.5,55.0,220822
2017-05-15 00:00:00,54.0,54.5,52.75,53.5,145788
2017-05-12 00:00:00,51.0,52.5,52.5,52.5,124495
2017-05-11 00:00:00,51.75,51.75,50.0,50.75,619627
2017-05-10 00:00:00,49.6,51.0,47.4,50.5,232466
2017-05-09 00:00:00,49.2,51.5,48.1,51.25,621445
2017-05-08 00:00:00,53.0,54.0,51.75,52.0,77290
2017-05-05 00:00:00,51.75,53.5,51.25,53.0,72603
