Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,0.65,0.67,0.64,0.67,47666
2017-09-07 00:00:00,0.67,0.67,0.64,0.66,57054
2017-09-06 00:00:00,0.67,0.67,0.645,0.67,41119
2017-09-04 00:00:00,0.66,0.67,0.66,0.67,3700
2017-09-01 00:00:00,0.67,0.67,0.67,0.67,87728
2017-08-31 00:00:00,0.685,0.685,0.66,0.67,10682
2017-08-30 00:00:00,0.69,0.69,0.67,0.685,58378
2017-08-29 00:00:00,0.69,0.71,0.69,0.69,120584
2017-08-28 00:00:00,0.665,0.69,0.665,0.69,44148
2017-08-25 00:00:00,0.665,0.68,0.66,0.665,75380
2017-08-24 00:00:00,0.68,0.68,0.66,0.665,12042
2017-08-23 00:00:00,0.7,0.7,0.66,0.68,62895
2017-08-22 00:00:00,0.68,0.72,0.665,0.7,91614
2017-08-21 00:00:00,0.71,0.71,0.705,0.71,41847
2017-08-18 00:00:00,0.7,0.71,0.7,0.71,44623
2017-08-17 00:00:00,0.7,0.71,0.7,0.7,11611
2017-08-16 00:00:00,0.7,0.72,0.69,0.7,184553
2017-08-15 00:00:00,0.69,0.7,0.69,0.7,3203
2017-08-14 00:00:00,0.68,0.71,0.68,0.69,243103
2017-08-11 00:00:00,0.7,0.72,0.68,0.7,489860
2017-08-10 00:00:00,0.655,0.7,0.655,0.7,46128
2017-08-09 00:00:00,0.675,0.695,0.655,0.67,41485
2017-08-08 00:00:00,0.69,0.69,0.675,0.675,1850
2017-08-07 00:00:00,0.68,0.68,0.66,0.665,31100
2017-08-04 00:00:00,0.685,0.685,0.67,0.67,500
2017-08-03 00:00:00,0.68,0.7,0.665,0.685,342874
2017-08-02 00:00:00,0.67,0.69,0.67,0.68,16055
2017-08-01 00:00:00,0.655,0.705,0.655,0.69,224571
2017-07-31 00:00:00,0.69,0.69,0.66,0.68,29300
2017-07-28 00:00:00,0.68,0.695,0.67,0.695,40777
2017-07-27 00:00:00,0.69,0.69,0.66,0.68,19107
2017-07-26 00:00:00,0.66,0.69,0.66,0.68,57875
2017-07-25 00:00:00,0.66,0.67,0.66,0.67,48775
2017-07-24 00:00:00,0.675,0.675,0.675,0.675,2088
2017-07-21 00:00:00,0.68,0.68,0.67,0.675,7413
2017-07-20 00:00:00,0.67,0.68,0.66,0.66,2210
2017-07-19 00:00:00,0.68,0.68,0.67,0.67,24661
2017-07-18 00:00:00,0.66,0.68,0.66,0.68,3620
2017-07-17 00:00:00,0.67,0.7,0.65,0.66,194800
2017-07-14 00:00:00,0.66,0.7,0.65,0.67,61964
2017-07-13 00:00:00,0.66,0.685,0.66,0.685,106728
2017-07-12 00:00:00,0.685,0.69,0.65,0.69,94927
2017-07-11 00:00:00,0.665,0.69,0.665,0.665,76826
2017-07-10 00:00:00,0.68,0.68,0.665,0.665,13356
2017-07-07 00:00:00,0.655,0.68,0.655,0.68,712
2017-07-06 00:00:00,0.68,0.68,0.66,0.68,10426
2017-07-05 00:00:00,0.68,0.68,0.67,0.68,791766
2017-07-04 00:00:00,0.66,0.68,0.66,0.68,71405
2017-07-03 00:00:00,0.65,0.67,0.645,0.66,5610
2017-06-30 00:00:00,0.66,0.665,0.64,0.65,30994
2017-06-29 00:00:00,0.645,0.665,0.64,0.655,17664
2017-06-28 00:00:00,0.65,0.665,0.64,0.645,21671
2017-06-27 00:00:00,0.65,0.675,0.645,0.665,225543
2017-06-26 00:00:00,0.635,0.68,0.635,0.64,648797
2017-06-23 00:00:00,,0.66,0.66,0.66,0
2017-06-22 00:00:00,0.68,0.68,0.66,0.66,293207
2017-06-21 00:00:00,0.67,0.695,0.66,0.66,253627
2017-06-20 00:00:00,0.66,0.675,0.66,0.66,34659
2017-06-19 00:00:00,0.68,0.7,0.67,0.67,175841
2017-06-16 00:00:00,0.67,0.7,0.67,0.67,32940
2017-06-15 00:00:00,0.665,0.695,0.665,0.665,32481
2017-06-14 00:00:00,0.68,0.68,0.665,0.665,161553
2017-06-13 00:00:00,0.66,0.68,0.66,0.68,517982
2017-06-12 00:00:00,0.675,0.68,0.65,0.65,169446
2017-06-09 00:00:00,0.665,0.68,0.65,0.675,34093
2017-06-08 00:00:00,0.67,0.675,0.64,0.66,109784
2017-06-07 00:00:00,0.675,0.675,0.655,0.665,63640
2017-06-06 00:00:00,,0.675,0.675,0.675,0
2017-06-05 00:00:00,0.68,0.68,0.67,0.675,22106
2017-06-02 00:00:00,0.67,0.67,0.655,0.67,46815
2017-06-01 00:00:00,0.68,0.68,0.66,0.67,64551
2017-05-31 00:00:00,0.67,0.67,0.66,0.67,15550
2017-05-30 00:00:00,0.66,0.67,0.65,0.67,228456
2017-05-29 00:00:00,0.67,0.68,0.665,0.665,7924
2017-05-26 00:00:00,0.68,0.68,0.66,0.67,9434
2017-05-24 00:00:00,,0.68,0.68,0.68,0
