Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,5.0,5.1,4.99,5.05,411196
2017-09-07 00:00:00,5.1,5.1,5.0,5.05,270044
2017-09-06 00:00:00,5.1,5.15,4.81,5.1,1403515
2017-09-04 00:00:00,5.25,5.25,5.05,5.1,627153
2017-09-01 00:00:00,5.2,5.35,5.2,5.3,277606
2017-08-31 00:00:00,5.3,5.35,5.15,5.15,547587
2017-08-30 00:00:00,5.2,5.35,5.15,5.3,761553
2017-08-29 00:00:00,5.15,5.15,4.95,5.1,2316049
2017-08-28 00:00:00,5.5,5.5,5.05,5.1,1754658
2017-08-25 00:00:00,5.55,5.7,5.45,5.55,421790
2017-08-24 00:00:00,5.6,5.6,5.45,5.55,163790
2017-08-23 00:00:00,5.7,5.7,5.45,5.55,526593
2017-08-22 00:00:00,5.5,5.7,5.45,5.7,362866
2017-08-21 00:00:00,5.45,5.55,5.35,5.45,367881
2017-08-18 00:00:00,5.65,5.65,5.4,5.5,674042
2017-08-17 00:00:00,5.9,6.15,5.7,5.7,1050562
2017-08-16 00:00:00,5.9,5.95,5.75,5.85,389466
2017-08-15 00:00:00,5.95,5.95,5.85,5.85,290509
2017-08-14 00:00:00,5.65,5.95,5.6,5.95,451297
2017-08-11 00:00:00,5.7,5.7,5.55,5.65,625325
2017-08-10 00:00:00,6.0,6.05,5.7,5.75,916780
2017-08-09 00:00:00,6.3,6.3,5.9,5.95,1496582
2017-08-08 00:00:00,6.45,6.5,6.3,6.3,880169
2017-08-07 00:00:00,6.1,6.45,5.95,6.45,1152266
2017-08-04 00:00:00,5.7,6.1,5.7,6.1,1091448
2017-08-03 00:00:00,5.5,5.8,5.45,5.7,1163209
2017-08-02 00:00:00,5.3,5.6,5.3,5.6,835657
2017-08-01 00:00:00,5.3,5.35,5.25,5.3,342683
2017-07-31 00:00:00,5.25,5.3,5.2,5.3,427077
2017-07-28 00:00:00,5.4,5.4,5.2,5.3,342029
2017-07-27 00:00:00,5.25,5.35,5.2,5.35,402164
2017-07-26 00:00:00,5.25,5.35,5.2,5.3,340993
2017-07-25 00:00:00,5.35,5.5,5.15,5.25,887434
2017-07-24 00:00:00,5.7,5.8,5.35,5.4,958515
2017-07-21 00:00:00,4.86,5.75,4.86,5.6,2405416
2017-07-20 00:00:00,4.9,4.9,4.79,4.8,255444
2017-07-19 00:00:00,4.77,4.95,4.75,4.91,339141
2017-07-18 00:00:00,4.89,4.89,4.76,4.85,600214
2017-07-17 00:00:00,4.97,5.0,4.84,4.89,373800
2017-07-14 00:00:00,4.96,5.0,4.94,4.97,415759
2017-07-13 00:00:00,5.0,5.05,4.95,4.99,680563
2017-07-12 00:00:00,4.94,5.05,4.94,4.99,693535
2017-07-11 00:00:00,4.95,4.98,4.87,4.94,521229
2017-07-10 00:00:00,4.92,5.05,4.91,4.94,644465
2017-07-07 00:00:00,4.95,5.1,4.86,4.98,601432
2017-07-06 00:00:00,5.0,5.0,4.85,4.85,879044
2017-07-05 00:00:00,4.85,5.05,4.65,4.97,2392399
2017-07-04 00:00:00,5.35,5.5,4.81,4.81,13159736
2017-07-03 00:00:00,6.6,6.7,6.45,6.6,468994
2017-06-30 00:00:00,6.5,6.7,6.5,6.55,315003
2017-06-29 00:00:00,6.75,6.75,6.5,6.5,406865
2017-06-28 00:00:00,6.8,6.85,6.65,6.75,405017
2017-06-27 00:00:00,6.75,6.85,6.6,6.8,708880
2017-06-26 00:00:00,6.75,6.8,6.65,6.75,518722
2017-06-23 00:00:00,,6.75,6.75,6.75,0
2017-06-22 00:00:00,6.75,6.85,6.65,6.75,413003
2017-06-21 00:00:00,6.9,6.9,6.7,6.85,735055
2017-06-20 00:00:00,6.9,6.95,6.75,6.9,980876
2017-06-19 00:00:00,6.8,7.2,6.8,6.85,3015582
2017-06-16 00:00:00,6.6,6.6,6.5,6.6,289450
2017-06-15 00:00:00,6.65,6.7,6.55,6.65,376559
2017-06-14 00:00:00,6.7,6.8,6.65,6.75,543265
2017-06-13 00:00:00,6.6,6.65,6.45,6.65,628281
2017-06-12 00:00:00,6.7,6.8,6.5,6.5,762654
2017-06-09 00:00:00,6.6,6.8,6.6,6.75,401300
2017-06-08 00:00:00,6.75,6.8,6.55,6.65,671436
2017-06-07 00:00:00,6.85,6.95,6.75,6.8,492133
2017-06-06 00:00:00,,6.85,6.85,6.85,0
2017-06-05 00:00:00,7.0,7.05,6.85,6.85,360579
2017-06-02 00:00:00,7.0,7.25,6.95,7.05,1461803
2017-06-01 00:00:00,6.55,6.95,6.55,6.9,925203
2017-05-31 00:00:00,6.45,6.6,6.4,6.55,711505
2017-05-30 00:00:00,6.5,6.55,6.4,6.5,387733
2017-05-29 00:00:00,6.7,6.7,6.45,6.45,828570
2017-05-26 00:00:00,6.8,6.8,6.65,6.75,235163
2017-05-24 00:00:00,6.8,6.8,6.65,6.75,307872
2017-05-23 00:00:00,6.5,6.8,6.4,6.8,783423
2017-05-22 00:00:00,6.5,6.5,6.45,6.5,272599
2017-05-19 00:00:00,6.5,6.5,6.4,6.5,460387
2017-05-18 00:00:00,6.6,6.6,6.35,6.45,1028447
2017-05-17 00:00:00,6.75,6.75,6.55,6.6,650818
2017-05-16 00:00:00,6.55,6.8,6.4,6.75,1216009
2017-05-15 00:00:00,6.8,6.8,6.55,6.55,800619
2017-05-12 00:00:00,6.8,6.8,6.8,6.8,781646
2017-05-11 00:00:00,7.0,7.0,6.8,6.8,568985
2017-05-10 00:00:00,6.8,7.0,6.6,7.0,2657634
2017-05-09 00:00:00,7.2,7.2,6.95,7.0,1175320
2017-05-08 00:00:00,7.3,7.35,7.05,7.15,914359
2017-05-05 00:00:00,7.25,7.3,7.2,7.3,870661
2017-05-04 00:00:00,7.25,7.4,7.1,7.2,1695388
2017-05-03 00:00:00,7.5,7.5,6.9,7.2,6287012
2017-05-02 00:00:00,7.95,8.05,7.35,7.55,4444096
2017-05-01 00:00:00,,8.55,8.55,8.55,0
2017-04-28 00:00:00,8.65,8.7,8.5,8.55,737684
2017-04-27 00:00:00,8.65,8.7,8.5,8.65,687533
2017-04-26 00:00:00,8.6,8.65,8.4,8.65,1032311
2017-04-25 00:00:00,8.1,8.6,7.9,8.6,2072383
2017-04-24 00:00:00,7.85,8.05,7.65,8.0,1246697
2017-04-21 00:00:00,7.85,7.9,7.7,7.75,382071
2017-04-20 00:00:00,7.55,7.85,7.55,7.85,317749
2017-04-19 00:00:00,7.7,7.7,7.55,7.55,270475
2017-04-18 00:00:00,7.8,7.9,7.55,7.6,568450
2017-04-13 00:00:00,8.0,8.05,7.9,7.95,241786
2017-04-12 00:00:00,7.7,8.1,7.7,8.1,760173
2017-04-11 00:00:00,7.8,7.85,7.65,7.7,400148
2017-04-10 00:00:00,7.6,7.8,7.5,7.8,503538
2017-04-07 00:00:00,7.65,7.65,7.45,7.6,1655445
2017-04-06 00:00:00,7.65,7.7,7.45,7.6,667544
2017-04-05 00:00:00,7.55,7.65,7.4,7.65,634806
2017-04-04 00:00:00,7.75,7.75,7.5,7.55,329660
2017-04-03 00:00:00,7.15,7.85,7.15,7.7,2227539
