Dates,Open,High,Low,Close,Volume
2017-07-07 00:00:00,0.275,0.286,0.275,0.279,253023
2017-07-06 00:00:00,0.275,0.28,0.274,0.279,511364
2017-07-05 00:00:00,0.283,0.283,0.271,0.279,1272905
2017-07-04 00:00:00,0.279,0.283,0.273,0.283,474715
2017-07-03 00:00:00,0.29,0.29,0.28,0.281,1021797
2017-06-30 00:00:00,0.285,0.289,0.272,0.289,1894028
2017-06-29 00:00:00,0.28,0.29,0.28,0.285,1080127
2017-06-28 00:00:00,0.281,0.285,0.28,0.285,534237
2017-06-27 00:00:00,0.28,0.285,0.28,0.281,783619
2017-06-26 00:00:00,0.286,0.29,0.275,0.283,1020979
2017-06-23 00:00:00,,0.283,0.283,0.283,0
2017-06-22 00:00:00,0.28,0.285,0.278,0.283,826071
2017-06-21 00:00:00,0.278,0.28,0.27,0.28,1743344
2017-06-20 00:00:00,0.279,0.289,0.276,0.278,616464
2017-06-19 00:00:00,0.288,0.288,0.273,0.278,1782711
2017-06-16 00:00:00,0.275,0.299,0.274,0.281,3278654
2017-06-15 00:00:00,0.28,0.281,0.272,0.273,926079
2017-06-14 00:00:00,0.28,0.283,0.273,0.279,1618442
2017-06-13 00:00:00,0.283,0.283,0.274,0.283,2953534
2017-06-12 00:00:00,0.294,0.294,0.276,0.283,3716380
2017-06-09 00:00:00,0.29,0.298,0.288,0.294,3016064
2017-06-08 00:00:00,0.285,0.335,0.276,0.288,14065085
2017-06-07 00:00:00,0.272,0.295,0.272,0.285,3795862
2017-06-06 00:00:00,,0.272,0.272,0.272,0
2017-06-05 00:00:00,0.27,0.279,0.26,0.272,3935137
2017-06-02 00:00:00,0.288,0.288,0.275,0.286,646372
2017-06-01 00:00:00,0.289,0.294,0.283,0.289,2157599
2017-05-31 00:00:00,0.286,0.296,0.281,0.289,2239495
2017-05-30 00:00:00,0.293,0.298,0.289,0.29,1742777
2017-05-29 00:00:00,0.296,0.296,0.285,0.29,1316824
2017-05-26 00:00:00,0.308,0.309,0.27,0.296,6152154
2017-05-24 00:00:00,0.33,0.33,0.296,0.303,8722109
2017-05-23 00:00:00,0.292,0.379,0.25,0.341,22192307
2017-05-22 00:00:00,0.3,0.3,0.287,0.292,1552668
2017-05-19 00:00:00,0.29,0.29,0.284,0.289,1018208
2017-05-18 00:00:00,0.286,0.295,0.28,0.286,1802114
2017-05-17 00:00:00,0.294,0.294,0.28,0.286,3204229
2017-05-16 00:00:00,0.294,0.304,0.29,0.296,5032060
2017-05-15 00:00:00,0.3,0.321,0.29,0.293,12424720
2017-05-12 00:00:00,0.289,0.289,0.289,0.289,1596344
2017-05-11 00:00:00,0.29,0.313,0.285,0.289,5771643
2017-05-10 00:00:00,0.298,0.299,0.287,0.29,5380644
2017-05-09 00:00:00,0.29,0.356,0.275,0.297,29548474
2017-05-08 00:00:00,,0.27,0.27,0.27,0
2017-05-05 00:00:00,0.279,0.279,0.246,0.27,4830055
2017-05-04 00:00:00,0.279,0.28,0.27,0.271,1888935
2017-05-03 00:00:00,0.289,0.29,0.275,0.279,3549600
2017-05-02 00:00:00,0.289,0.291,0.283,0.288,1253750
2017-05-01 00:00:00,,0.286,0.286,0.286,0
2017-04-28 00:00:00,0.294,0.299,0.27,0.286,2434309
2017-04-27 00:00:00,0.29,0.297,0.282,0.293,2402744
2017-04-26 00:00:00,0.28,0.317,0.278,0.298,5766328
2017-04-25 00:00:00,0.28,0.287,0.265,0.279,8309487
2017-04-24 00:00:00,0.283,0.288,0.272,0.277,5317521
2017-04-21 00:00:00,0.28,0.289,0.28,0.287,1770846
2017-04-20 00:00:00,0.29,0.293,0.275,0.28,3417351
2017-04-19 00:00:00,0.298,0.3,0.28,0.286,5948252
2017-04-18 00:00:00,0.298,0.32,0.285,0.298,7640606
2017-04-13 00:00:00,0.304,0.307,0.29,0.3,6554059
2017-04-12 00:00:00,0.316,0.32,0.3,0.306,8809215
2017-04-11 00:00:00,0.33,0.337,0.307,0.313,16292484
2017-04-10 00:00:00,0.374,0.493,0.307,0.315,140260966
2017-04-07 00:00:00,0.28,0.305,0.28,0.296,1086420
2017-04-06 00:00:00,0.282,0.283,0.275,0.283,637866
2017-04-05 00:00:00,0.274,0.284,0.271,0.283,786262
2017-04-04 00:00:00,0.277,0.278,0.27,0.274,829975
2017-04-03 00:00:00,0.28,0.29,0.272,0.277,639892
2017-03-31 00:00:00,0.275,0.28,0.273,0.28,788936
2017-03-30 00:00:00,0.275,0.275,0.267,0.272,1273308
2017-03-29 00:00:00,0.275,0.28,0.27,0.272,994299
2017-03-28 00:00:00,0.293,0.293,0.273,0.275,848651
2017-03-27 00:00:00,0.29,0.292,0.281,0.285,647474
2017-03-24 00:00:00,0.284,0.29,0.281,0.29,797279
2017-03-23 00:00:00,0.271,0.289,0.271,0.283,795701
2017-03-22 00:00:00,0.283,0.283,0.261,0.275,2699588
2017-03-21 00:00:00,0.297,0.297,0.276,0.283,2194250
2017-03-20 00:00:00,0.293,0.3,0.27,0.297,1293532
2017-03-17 00:00:00,0.296,0.298,0.29,0.293,411942
2017-03-16 00:00:00,0.3,0.318,0.296,0.296,2364532
2017-03-15 00:00:00,0.3,0.327,0.275,0.299,8056944
2017-03-14 00:00:00,0.299,0.308,0.297,0.299,790264
2017-03-13 00:00:00,0.31,0.318,0.295,0.299,1218770
2017-03-10 00:00:00,0.291,0.295,0.295,0.295,339565
2017-03-09 00:00:00,0.296,0.299,0.29,0.292,618799
2017-03-08 00:00:00,0.294,0.297,0.29,0.296,795788
2017-03-07 00:00:00,0.299,0.299,0.291,0.294,667242
2017-03-06 00:00:00,0.3,0.309,0.284,0.294,4088455
2017-03-03 00:00:00,0.318,0.304,0.304,0.304,1963436
2017-03-02 00:00:00,0.297,0.33,0.293,0.317,3507117
2017-03-01 00:00:00,0.297,0.304,0.282,0.294,5573216
2017-02-28 00:00:00,0.35,0.351,0.274,0.299,14120472
2017-02-27 00:00:00,0.35,0.358,0.346,0.35,1868334
2017-02-24 00:00:00,0.35,0.358,0.344,0.35,2579821
2017-02-23 00:00:00,0.349,0.36,0.345,0.35,1714553
2017-02-22 00:00:00,0.343,0.358,0.34,0.349,2123620
2017-02-21 00:00:00,0.35,0.35,0.342,0.343,2859517
2017-02-20 00:00:00,0.365,0.365,0.355,0.355,1169277
2017-02-17 00:00:00,0.37,0.37,0.35,0.365,4373406
2017-02-16 00:00:00,0.352,0.368,0.352,0.36,1730430
2017-02-15 00:00:00,0.35,0.356,0.345,0.351,3305036
2017-02-14 00:00:00,0.376,0.379,0.313,0.36,6165268
2017-02-13 00:00:00,0.384,0.391,0.379,0.38,2190864
2017-02-10 00:00:00,0.39,0.396,0.38,0.384,2617643
2017-02-09 00:00:00,0.398,0.398,0.382,0.39,1411035
2017-02-08 00:00:00,0.393,0.398,0.389,0.396,1044862
2017-02-07 00:00:00,0.397,0.403,0.39,0.394,3279566
2017-02-06 00:00:00,0.399,0.402,0.387,0.4,1496508
2017-02-03 00:00:00,0.4,0.403,0.389,0.394,1359082
2017-02-02 00:00:00,0.39,0.409,0.389,0.394,2477052
2017-02-01 00:00:00,0.4,0.402,0.385,0.387,3353887
2017-01-31 00:00:00,0.41,0.415,0.398,0.404,2224938
2017-01-30 00:00:00,0.42,0.42,0.406,0.415,1861171
2017-01-27 00:00:00,0.4,0.431,0.396,0.409,5588743
2017-01-26 00:00:00,0.4,0.411,0.393,0.398,3703611
2017-01-25 00:00:00,0.396,0.4,0.39,0.399,1848355
2017-01-24 00:00:00,0.39,0.401,0.388,0.392,1383139
2017-01-23 00:00:00,0.39,0.393,0.381,0.39,1929748
2017-01-20 00:00:00,0.38,0.406,0.37,0.39,5624914
2017-01-19 00:00:00,0.432,0.438,0.382,0.383,15697427
2017-01-18 00:00:00,0.453,0.459,0.4,0.434,5527302
2017-01-17 00:00:00,0.46,0.466,0.451,0.457,943437
2017-01-16 00:00:00,0.46,0.47,0.449,0.46,2546615
2017-01-13 00:00:00,0.458,0.461,0.448,0.458,1323499
2017-01-12 00:00:00,0.468,0.468,0.45,0.458,3158935
2017-01-11 00:00:00,0.45,0.468,0.441,0.452,2598275
2017-01-10 00:00:00,0.449,0.455,0.43,0.45,5876518
2017-01-09 00:00:00,0.45,0.479,0.386,0.449,20310580
2017-01-06 00:00:00,,0.5,0.5,0.5,0
2017-01-05 00:00:00,0.5,0.505,0.495,0.5,3008233
2017-01-04 00:00:00,0.505,0.505,0.495,0.5,1898797
2017-01-03 00:00:00,0.51,0.55,0.495,0.5,10282308
2017-01-02 00:00:00,0.496,0.51,0.496,0.51,1386966
2016-12-30 00:00:00,0.5,0.505,0.498,0.5,1600697
2016-12-29 00:00:00,0.496,0.51,0.496,0.505,765647
2016-12-28 00:00:00,0.505,0.51,0.5,0.5,1062709
2016-12-27 00:00:00,0.505,0.515,0.5,0.505,2392265
2016-12-23 00:00:00,0.5,0.51,0.495,0.505,1602434
2016-12-22 00:00:00,0.505,0.51,0.491,0.496,2222342
2016-12-21 00:00:00,0.498,0.565,0.49,0.505,13651312
2016-12-20 00:00:00,0.49,0.5,0.49,0.498,972595
2016-12-19 00:00:00,0.5,0.51,0.495,0.5,2121712
2016-12-16 00:00:00,0.5,0.505,0.485,0.495,2735568
2016-12-15 00:00:00,0.505,0.51,0.495,0.5,1592993
2016-12-14 00:00:00,0.5,0.51,0.495,0.505,1076796
2016-12-13 00:00:00,0.5,0.525,0.492,0.5,4187125
2016-12-12 00:00:00,0.52,0.52,0.493,0.5,4367545
2016-12-09 00:00:00,0.535,0.535,0.51,0.52,3670207
2016-12-08 00:00:00,0.47,0.545,0.465,0.535,14164150
2016-12-07 00:00:00,0.462,0.48,0.451,0.472,8766389
2016-12-06 00:00:00,0.505,0.51,0.45,0.466,12528058
2016-12-05 00:00:00,0.535,0.535,0.5,0.51,5842512
2016-12-02 00:00:00,0.54,0.55,0.51,0.535,5936940
2016-12-01 00:00:00,0.62,0.62,0.525,0.545,18427994
2016-11-30 00:00:00,0.8,0.99,0.56,0.605,49090969
2016-11-29 00:00:00,0.53,0.575,0.525,0.55,5152240
2016-11-28 00:00:00,0.535,0.54,0.515,0.53,2559544
2016-11-25 00:00:00,0.58,0.59,0.42,0.535,9670661
2016-11-24 00:00:00,0.56,0.565,0.535,0.555,6549537
2016-11-23 00:00:00,0.565,0.575,0.55,0.56,2923219
2016-11-22 00:00:00,0.57,0.575,0.555,0.56,3263344
2016-11-21 00:00:00,0.52,0.57,0.52,0.56,4710978
2016-11-18 00:00:00,0.51,0.54,0.491,0.515,5109527
2016-11-17 00:00:00,0.5,0.525,0.484,0.505,2586420
2016-11-16 00:00:00,0.45,0.57,0.42,0.5,16879142
2016-11-15 00:00:00,0.51,0.51,0.456,0.462,6488852
2016-11-14 00:00:00,0.535,0.54,0.482,0.51,4405338
2016-11-11 00:00:00,0.57,0.575,0.52,0.545,4568053
2016-11-10 00:00:00,0.615,0.615,0.565,0.575,3189933
2016-11-09 00:00:00,0.565,0.65,0.565,0.6,11527114
2016-11-08 00:00:00,0.555,0.57,0.535,0.545,3486447
2016-11-07 00:00:00,0.57,0.575,0.515,0.56,5655963
2016-11-04 00:00:00,0.55,0.57,0.565,0.565,1590726
2016-11-03 00:00:00,0.57,0.585,0.545,0.55,4912073
2016-11-02 00:00:00,0.53,0.615,0.53,0.57,14290820
2016-11-01 00:00:00,0.53,0.54,0.52,0.53,3082981
2016-10-31 00:00:00,0.52,0.54,0.515,0.525,1842095
2016-10-28 00:00:00,0.565,0.565,0.515,0.52,5659839
2016-10-27 00:00:00,0.47,0.58,0.451,0.545,17717693
2016-10-26 00:00:00,0.5,0.5,0.445,0.471,9134882
2016-10-25 00:00:00,0.54,0.545,0.49,0.497,10914133
2016-10-24 00:00:00,0.58,0.58,0.515,0.54,10247926
2016-10-21 00:00:00,0.59,0.64,0.492,0.56,32698455
2016-10-20 00:00:00,0.5,0.58,0.495,0.56,23630989
2016-10-19 00:00:00,0.4,0.455,0.4,0.445,17485939
2016-10-18 00:00:00,0.337,0.4,0.336,0.386,19008746
2016-10-17 00:00:00,0.3,0.34,0.285,0.332,8035879
2016-10-14 00:00:00,0.28,0.305,0.28,0.297,5865324
2016-10-13 00:00:00,0.298,0.298,0.27,0.28,6041707
2016-10-12 00:00:00,0.31,0.311,0.29,0.298,8892675
2016-10-11 00:00:00,0.33,0.332,0.311,0.311,5549542
2016-10-10 00:00:00,0.354,0.354,0.319,0.328,7039595
2016-10-07 00:00:00,0.33,0.357,0.296,0.357,19405388
2016-10-06 00:00:00,0.383,0.383,0.308,0.331,4639877
2016-10-05 00:00:00,0.396,0.397,0.375,0.382,3883679
2016-10-04 00:00:00,0.398,0.399,0.395,0.397,2496223
2016-10-03 00:00:00,0.412,0.43,0.395,0.399,4574831
2016-09-30 00:00:00,0.395,0.43,0.39,0.412,3892422
2016-09-29 00:00:00,0.39,0.4,0.389,0.394,3044966
2016-09-28 00:00:00,0.4,0.4,0.385,0.389,3489462
2016-09-27 00:00:00,0.429,0.43,0.39,0.4,7505532
2016-09-26 00:00:00,0.449,0.54,0.42,0.42,23764030
2016-09-23 00:00:00,0.452,0.468,0.44,0.443,4778654
2016-09-22 00:00:00,0.46,0.49,0.45,0.452,7337922
2016-09-21 00:00:00,0.5,0.505,0.47,0.48,4258652
2016-09-20 00:00:00,0.525,0.53,0.49,0.5,4087411
2016-09-19 00:00:00,0.54,0.54,0.525,0.53,1882542
2016-09-16 00:00:00,0.545,0.545,0.52,0.54,1373051
2016-09-15 00:00:00,0.54,0.55,0.53,0.55,1004050
2016-09-14 00:00:00,0.56,0.56,0.54,0.545,1152543
2016-09-13 00:00:00,0.545,0.56,0.545,0.55,917086
2016-09-12 00:00:00,0.55,0.565,0.545,0.56,1446353
2016-09-09 00:00:00,0.57,0.57,0.555,0.565,904826
2016-09-08 00:00:00,0.57,0.575,0.55,0.57,1470525
2016-09-07 00:00:00,0.58,0.58,0.565,0.57,2903557
2016-09-06 00:00:00,0.57,0.58,0.565,0.575,2834890
2016-09-05 00:00:00,0.55,0.59,0.55,0.57,3559468
2016-09-02 00:00:00,0.555,0.56,0.54,0.55,1358006
2016-09-01 00:00:00,0.55,0.565,0.54,0.56,1255833
2016-08-31 00:00:00,0.555,0.57,0.55,0.555,1427513
2016-08-30 00:00:00,0.555,0.56,0.54,0.55,2009441
2016-08-29 00:00:00,0.56,0.565,0.55,0.565,2143467
2016-08-26 00:00:00,0.56,0.57,0.55,0.56,1425289
2016-08-25 00:00:00,0.55,0.56,0.545,0.56,1568313
2016-08-24 00:00:00,0.555,0.555,0.53,0.55,4546307
2016-08-23 00:00:00,0.57,0.57,0.53,0.54,5766066
2016-08-22 00:00:00,0.575,0.585,0.55,0.57,1816571
2016-08-19 00:00:00,0.61,0.615,0.57,0.575,4243381
2016-08-18 00:00:00,0.59,0.63,0.525,0.61,8132531
2016-08-17 00:00:00,0.66,0.66,0.64,0.64,3074042
2016-08-16 00:00:00,0.665,0.665,0.64,0.65,2227151
2016-08-15 00:00:00,0.67,0.69,0.66,0.665,3323397
2016-08-12 00:00:00,0.665,0.67,0.66,0.67,2517551
2016-08-11 00:00:00,0.675,0.675,0.655,0.665,2646595
2016-08-10 00:00:00,0.67,0.69,0.665,0.675,2719474
2016-08-09 00:00:00,0.675,0.68,0.665,0.67,2009235
2016-08-08 00:00:00,0.66,0.68,0.65,0.68,3287289
2016-08-05 00:00:00,0.63,0.7,0.62,0.66,8430954
2016-08-04 00:00:00,0.75,0.76,0.635,0.66,12953523
2016-08-03 00:00:00,0.74,0.755,0.725,0.75,1634222
2016-08-02 00:00:00,0.71,0.77,0.71,0.74,4307545
2016-08-01 00:00:00,0.7,0.72,0.7,0.71,1905869
2016-07-29 00:00:00,0.71,0.71,0.695,0.7,3029922
2016-07-28 00:00:00,0.73,0.73,0.64,0.71,7376942
2016-07-27 00:00:00,0.725,0.74,0.72,0.725,2075848
2016-07-26 00:00:00,0.73,0.73,0.72,0.725,1751646
2016-07-25 00:00:00,0.725,0.73,0.715,0.73,1728692
2016-07-22 00:00:00,0.725,0.73,0.71,0.72,1665991
2016-07-21 00:00:00,0.73,0.735,0.72,0.725,1410510
2016-07-20 00:00:00,0.74,0.74,0.725,0.73,2105376
2016-07-19 00:00:00,0.75,0.75,0.735,0.74,1786066
2016-07-18 00:00:00,0.75,0.75,0.73,0.75,2207202
2016-07-15 00:00:00,0.75,0.75,0.74,0.745,3673705
2016-07-14 00:00:00,0.74,0.805,0.73,0.745,7470268
2016-07-13 00:00:00,0.75,0.755,0.72,0.725,2749414
2016-07-12 00:00:00,0.77,0.78,0.735,0.75,3978825
2016-07-11 00:00:00,0.81,0.84,0.76,0.765,5657606
2016-07-08 00:00:00,0.78,0.81,0.775,0.81,6908718
2016-07-07 00:00:00,0.77,0.79,0.76,0.775,4383382
2016-07-06 00:00:00,0.75,0.82,0.74,0.77,6030285
2016-07-05 00:00:00,0.755,0.77,0.74,0.745,3925634
2016-07-04 00:00:00,0.75,0.77,0.74,0.755,3162694
2016-07-01 00:00:00,0.745,0.76,0.72,0.74,3050560
2016-06-30 00:00:00,0.79,0.845,0.72,0.745,10034232
2016-06-29 00:00:00,0.78,0.815,0.78,0.79,4462702
2016-06-28 00:00:00,0.75,0.78,0.71,0.78,3002268
2016-06-27 00:00:00,0.71,0.78,0.71,0.75,5771002
2016-06-24 00:00:00,,0.71,0.71,0.71,0
2016-06-23 00:00:00,0.71,0.725,0.695,0.71,769951
2016-06-22 00:00:00,0.715,0.72,0.69,0.71,784571
2016-06-21 00:00:00,0.73,0.735,0.705,0.715,721431
2016-06-20 00:00:00,0.72,0.73,0.69,0.725,1684751
2016-06-17 00:00:00,0.75,0.75,0.68,0.72,3559274
2016-06-16 00:00:00,0.7,0.815,0.675,0.78,8070911
2016-06-15 00:00:00,0.665,0.675,0.65,0.67,1297930
2016-06-14 00:00:00,0.665,0.68,0.655,0.665,1770489
2016-06-13 00:00:00,0.655,0.68,0.64,0.65,2269216
2016-06-10 00:00:00,0.66,0.66,0.645,0.655,1423352
