Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,23.8,23.9,23.3,23.9,15827
2017-09-07 00:00:00,23.7,23.9,23.6,23.8,11546
2017-09-06 00:00:00,23.9,23.9,23.4,23.7,17506
2017-09-04 00:00:00,23.8,23.8,23.3,23.3,2300
2017-09-01 00:00:00,23.7,23.9,23.5,23.8,8538
2017-08-31 00:00:00,23.5,23.9,23.5,23.7,3253
2017-08-30 00:00:00,23.8,23.8,23.3,23.3,3804
2017-08-29 00:00:00,23.1,23.8,23.1,23.7,5945
2017-08-28 00:00:00,23.5,23.5,23.1,23.1,4285
2017-08-25 00:00:00,23.6,23.8,23.5,23.5,3570
2017-08-24 00:00:00,23.6,23.9,23.6,23.6,11460
2017-08-23 00:00:00,23.5,23.9,23.3,23.6,31239
2017-08-22 00:00:00,23.3,23.7,23.3,23.5,3202
2017-08-21 00:00:00,23.0,23.9,22.9,23.3,14683
2017-08-18 00:00:00,23.1,23.2,22.7,23.2,28802
2017-08-17 00:00:00,22.8,23.3,22.3,23.1,865934
2017-08-16 00:00:00,22.5,22.5,22.1,22.3,3001
2017-08-15 00:00:00,22.4,22.9,22.0,22.6,20463
2017-08-14 00:00:00,22.5,23.0,22.2,22.7,37925
2017-08-11 00:00:00,22.8,22.8,22.0,22.5,12760
2017-08-10 00:00:00,23.2,23.5,22.5,22.8,70554
2017-08-09 00:00:00,22.6,23.4,22.5,23.3,15631
2017-08-08 00:00:00,23.0,23.4,22.7,22.9,11702
2017-08-07 00:00:00,22.6,23.5,22.6,23.0,2809
2017-08-04 00:00:00,22.7,23.0,22.7,22.8,4092
2017-08-03 00:00:00,22.6,23.0,22.5,22.7,13434
2017-08-02 00:00:00,22.5,23.4,22.5,23.4,4482
2017-08-01 00:00:00,23.0,23.2,22.5,22.5,2614
2017-07-31 00:00:00,22.5,23.0,22.5,23.0,2326
2017-07-28 00:00:00,22.6,22.9,22.4,22.9,3722
2017-07-27 00:00:00,22.5,23.0,22.5,23.0,1598
2017-07-26 00:00:00,23.4,23.4,22.7,23.0,6936
2017-07-25 00:00:00,23.5,23.5,23.0,23.5,2012
2017-07-24 00:00:00,22.5,23.2,22.4,22.6,1064
2017-07-21 00:00:00,23.1,23.1,22.6,22.6,1496
2017-07-20 00:00:00,23.3,23.3,22.6,23.2,2192
2017-07-19 00:00:00,22.5,23.3,22.5,23.0,2344
2017-07-18 00:00:00,22.9,23.0,22.7,22.8,2463
2017-07-17 00:00:00,23.0,23.5,22.9,22.9,1494
2017-07-14 00:00:00,23.0,23.0,23.0,23.0,155
2017-07-13 00:00:00,23.0,23.4,23.0,23.2,5696
2017-07-12 00:00:00,23.2,23.2,22.7,23.0,1741
2017-07-11 00:00:00,23.2,23.2,22.9,22.9,445
2017-07-10 00:00:00,23.0,23.3,23.0,23.3,706
2017-07-07 00:00:00,23.0,23.0,22.8,22.8,1766
2017-07-06 00:00:00,23.2,23.8,23.2,23.2,1751
2017-07-05 00:00:00,23.4,23.7,23.4,23.4,973
2017-07-04 00:00:00,23.4,23.4,23.2,23.4,532
2017-07-03 00:00:00,23.7,23.8,22.7,23.4,10513
2017-06-30 00:00:00,23.8,23.8,23.7,23.7,543
2017-06-29 00:00:00,23.9,23.9,23.3,23.8,844
2017-06-28 00:00:00,23.6,23.7,22.7,23.3,7082
2017-06-27 00:00:00,24.5,24.5,23.7,24.0,3454
2017-06-26 00:00:00,23.2,24.3,23.2,23.7,6200
2017-06-23 00:00:00,,23.8,23.8,23.8,0
2017-06-22 00:00:00,24.4,24.4,23.5,23.8,6934
2017-06-21 00:00:00,23.6,24.0,23.6,24.0,5185
2017-06-20 00:00:00,23.6,23.8,22.9,23.8,2228
2017-06-19 00:00:00,23.3,23.3,22.8,23.2,14340
2017-06-16 00:00:00,23.9,23.9,23.1,23.3,9688
2017-06-15 00:00:00,23.8,23.8,23.5,23.5,8221
2017-06-14 00:00:00,24.3,24.3,23.6,23.8,3371
2017-06-13 00:00:00,23.8,24.4,23.8,24.3,8448
