Dates,Open,High,Low,Close,Volume
2016-04-22 00:00:00,,0.67,0.67,0.67,0
2016-04-21 00:00:00,,0.67,0.67,0.67,0
2016-04-20 00:00:00,,0.67,0.67,0.67,0
2016-04-19 00:00:00,,0.67,0.67,0.67,0
2016-04-18 00:00:00,0.67,0.675,0.655,0.67,869147
2016-04-15 00:00:00,0.665,0.675,0.665,0.675,334670
2016-04-14 00:00:00,0.66,0.67,0.66,0.66,602541
2016-04-13 00:00:00,0.67,0.67,0.655,0.66,2545885
2016-04-12 00:00:00,0.675,0.675,0.66,0.66,647235
2016-04-11 00:00:00,0.66,0.675,0.655,0.665,1190687
2016-04-08 00:00:00,0.67,0.68,0.66,0.665,296137
2016-04-07 00:00:00,0.665,0.7,0.66,0.68,5223534
2016-04-06 00:00:00,0.665,0.67,0.66,0.66,1083156
2016-04-05 00:00:00,0.665,0.675,0.655,0.67,1326010
2016-04-04 00:00:00,0.655,0.67,0.655,0.665,526597
2016-04-01 00:00:00,0.665,0.675,0.655,0.67,346940
2016-03-31 00:00:00,0.675,0.68,0.66,0.665,458633
2016-03-30 00:00:00,0.68,0.685,0.67,0.675,189046
2016-03-29 00:00:00,0.665,0.69,0.66,0.685,1395527
2016-03-28 00:00:00,0.68,0.69,0.675,0.675,1278051
2016-03-25 00:00:00,0.68,0.69,0.66,0.675,1278051
2016-03-24 00:00:00,0.68,0.69,0.66,0.675,1278051
2016-03-23 00:00:00,0.67,0.69,0.67,0.68,654850
2016-03-22 00:00:00,0.68,0.68,0.67,0.67,204540
2016-03-21 00:00:00,0.685,0.685,0.67,0.68,331738
2016-03-18 00:00:00,0.675,0.685,0.67,0.685,313301
2016-03-17 00:00:00,0.68,0.685,0.68,0.685,110900
2016-03-16 00:00:00,0.675,0.69,0.675,0.69,549433
2016-03-15 00:00:00,0.675,0.68,0.67,0.675,270985
2016-03-14 00:00:00,0.69,0.69,0.665,0.675,680915
2016-03-11 00:00:00,0.695,0.695,0.675,0.685,635189
2016-03-10 00:00:00,0.7,0.7,0.68,0.69,683016
2016-03-09 00:00:00,0.7,0.73,0.69,0.7,983607
2016-03-08 00:00:00,0.69,0.695,0.675,0.695,1076269
2016-03-07 00:00:00,0.69,0.695,0.68,0.685,827937
2016-03-04 00:00:00,0.695,0.695,0.675,0.69,1176987
2016-03-03 00:00:00,0.7,0.7,0.68,0.69,436291
2016-03-02 00:00:00,0.705,0.725,0.69,0.7,262606
2016-03-01 00:00:00,0.72,0.72,0.685,0.705,2550058
2016-02-29 00:00:00,0.665,0.73,0.655,0.715,8294141
2016-02-26 00:00:00,0.635,0.66,0.63,0.655,4096262
2016-02-25 00:00:00,0.64,0.65,0.64,0.645,2460598
2016-02-24 00:00:00,0.635,0.65,0.63,0.64,3540499
2016-02-23 00:00:00,0.62,0.64,0.62,0.635,3040680
2016-02-22 00:00:00,0.57,0.64,0.565,0.63,4483107
2016-02-19 00:00:00,0.64,0.64,0.62,0.63,985450
2016-02-18 00:00:00,0.645,0.65,0.625,0.64,753729
2016-02-17 00:00:00,0.635,0.655,0.63,0.64,788908
2016-02-16 00:00:00,0.645,0.655,0.62,0.635,541082
2016-02-15 00:00:00,0.63,0.665,0.615,0.645,576762
2016-02-12 00:00:00,0.61,0.63,0.61,0.62,358838
2016-02-11 00:00:00,0.615,0.615,0.6,0.6,515935
2016-02-10 00:00:00,0.62,0.62,0.6,0.61,816230
2016-02-09 00:00:00,0.6,0.63,0.6,0.61,1316335
2016-02-08 00:00:00,0.64,0.64,0.59,0.605,929792
2016-02-05 00:00:00,0.655,0.66,0.63,0.635,577189
2016-02-04 00:00:00,0.65,0.665,0.625,0.645,304753
2016-02-03 00:00:00,0.625,0.68,0.615,0.65,2111196
2016-02-02 00:00:00,0.63,0.64,0.615,0.615,144400
2016-02-01 00:00:00,0.65,0.65,0.62,0.635,166280
2016-01-29 00:00:00,0.62,0.64,0.61,0.64,687165
2016-01-28 00:00:00,0.62,0.635,0.62,0.625,309391
2016-01-27 00:00:00,0.62,0.625,0.61,0.62,32651
2016-01-26 00:00:00,0.63,0.63,0.605,0.62,1712619
2016-01-25 00:00:00,0.63,0.66,0.625,0.63,1119710
2016-01-22 00:00:00,0.63,0.645,0.62,0.625,793802
2016-01-21 00:00:00,0.625,0.65,0.625,0.63,836599
2016-01-20 00:00:00,0.63,0.645,0.62,0.635,983639
2016-01-19 00:00:00,0.645,0.67,0.64,0.65,971749
2016-01-18 00:00:00,0.65,0.655,0.63,0.645,879394
2016-01-15 00:00:00,0.655,0.655,0.64,0.65,960644
2016-01-14 00:00:00,0.645,0.65,0.635,0.65,1051578
2016-01-13 00:00:00,0.66,0.69,0.65,0.66,887482
2016-01-12 00:00:00,0.67,0.67,0.64,0.66,782468
2016-01-11 00:00:00,0.685,0.685,0.64,0.655,616521
2016-01-08 00:00:00,0.665,0.69,0.66,0.685,322794
2016-01-07 00:00:00,0.68,0.68,0.64,0.675,2003444
2016-01-06 00:00:00,,0.69,0.69,0.69,0
