Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,62.75,62.75,60.75,61.25,53611
2017-09-07 00:00:00,61.25,63.0,60.75,62.75,57109
2017-09-06 00:00:00,62.5,62.5,60.5,61.25,46977
2017-09-04 00:00:00,63.5,63.5,60.5,61.5,54712
2017-09-01 00:00:00,61.75,63.0,61.5,63.0,48478
2017-08-31 00:00:00,62.0,63.0,61.75,61.75,25249
2017-08-30 00:00:00,61.75,64.5,61.75,61.75,38571
2017-08-29 00:00:00,63.75,63.75,61.0,62.0,66359
2017-08-28 00:00:00,64.75,65.0,63.25,63.75,22834
2017-08-25 00:00:00,64.0,64.5,63.25,63.75,27240
2017-08-24 00:00:00,64.75,64.75,62.5,63.25,24729
2017-08-23 00:00:00,63.75,65.5,63.0,64.5,40332
2017-08-22 00:00:00,63.25,64.5,63.25,63.75,27709
2017-08-21 00:00:00,64.75,65.0,63.0,63.0,29833
2017-08-18 00:00:00,65.5,65.5,62.25,64.5,118206
2017-08-17 00:00:00,68.0,68.5,66.0,66.0,60040
2017-08-16 00:00:00,68.75,69.5,67.0,67.75,28136
2017-08-15 00:00:00,70.5,71.0,67.0,68.5,96570
2017-08-14 00:00:00,71.0,72.25,70.0,70.5,43449
2017-08-11 00:00:00,73.0,73.0,71.25,71.25,13575
2017-08-10 00:00:00,74.0,74.0,72.5,72.5,17254
2017-08-09 00:00:00,75.25,75.25,73.25,73.25,20808
2017-08-08 00:00:00,74.5,75.25,73.5,74.75,21510
2017-08-07 00:00:00,73.75,75.0,73.25,73.75,13641
2017-08-04 00:00:00,73.75,73.75,72.75,72.75,12722
2017-08-03 00:00:00,72.0,73.25,72.0,72.25,15203
2017-08-02 00:00:00,72.5,73.25,71.5,72.0,24411
2017-08-01 00:00:00,71.75,73.0,71.75,71.75,10412
2017-07-31 00:00:00,73.5,73.75,71.75,71.75,16214
2017-07-28 00:00:00,72.25,73.5,72.0,72.25,10845
2017-07-27 00:00:00,74.0,74.0,72.0,72.25,16615
2017-07-26 00:00:00,74.0,74.0,72.5,73.5,11150
2017-07-25 00:00:00,71.25,74.75,70.75,73.5,33595
2017-07-24 00:00:00,72.0,72.25,70.0,71.25,28350
2017-07-21 00:00:00,72.5,73.25,71.5,72.25,31146
2017-07-20 00:00:00,72.75,73.25,72.0,72.5,33657
2017-07-19 00:00:00,74.0,74.0,71.25,72.5,69521
2017-07-18 00:00:00,74.75,76.0,73.0,73.75,29542
2017-07-17 00:00:00,73.75,74.75,72.25,74.75,47953
2017-07-14 00:00:00,78.0,78.0,73.0,73.0,106923
2017-07-13 00:00:00,77.0,77.0,75.0,75.0,28760
2017-07-12 00:00:00,75.25,77.0,75.25,76.0,21204
2017-07-11 00:00:00,75.5,76.0,75.25,75.25,14225
2017-07-10 00:00:00,74.75,76.0,74.75,75.25,5616
2017-07-07 00:00:00,75.0,76.0,74.5,74.5,8984
2017-07-06 00:00:00,75.75,75.75,74.5,74.75,8120
2017-07-05 00:00:00,74.25,76.25,74.25,75.75,30645
2017-07-04 00:00:00,74.5,74.75,74.0,74.25,9314
2017-07-03 00:00:00,76.0,76.0,74.25,74.75,20746
2017-06-30 00:00:00,76.25,76.25,74.75,75.25,16813
2017-06-29 00:00:00,76.5,76.75,75.5,75.5,19231
