Dates,Open,High,Low,Close,Volume
2016-01-22 00:00:00,,0.034,0.034,0.034,0
2016-01-21 00:00:00,,0.034,0.034,0.034,0
2016-01-20 00:00:00,,0.034,0.034,0.034,0
2016-01-19 00:00:00,,0.034,0.034,0.034,0
2016-01-18 00:00:00,,0.034,0.034,0.034,0
2016-01-15 00:00:00,0.032,0.049,0.032,0.034,15992127
2016-01-14 00:00:00,0.04,0.046,0.032,0.037,5921545
2016-01-13 00:00:00,0.05,0.051,0.03,0.04,4526048
2016-01-12 00:00:00,0.05,0.055,0.042,0.051,2334329
2016-01-11 00:00:00,0.06,0.06,0.052,0.052,1150092
2016-01-08 00:00:00,0.06,0.066,0.06,0.06,1209927
2016-01-07 00:00:00,0.068,0.068,0.057,0.062,2070941
2016-01-06 00:00:00,,0.068,0.068,0.068,0
2016-01-05 00:00:00,0.074,0.078,0.067,0.068,1308176
2016-01-04 00:00:00,0.08,0.082,0.053,0.074,3788202
2016-01-01 00:00:00,,0.085,0.085,0.085,0
2015-12-31 00:00:00,,0.085,0.085,0.085,0
2015-12-30 00:00:00,0.086,0.09,0.08,0.085,1035479
2015-12-29 00:00:00,0.091,0.091,0.075,0.085,2451397
2015-12-28 00:00:00,0.091,0.093,0.078,0.078,1769178
2015-12-25 00:00:00,0.086,0.095,0.08,0.09,2072783
2015-12-24 00:00:00,0.086,0.095,0.08,0.09,2072783
2015-12-23 00:00:00,0.086,0.095,0.08,0.09,2072783
2015-12-22 00:00:00,0.105,0.11,0.08,0.086,4203957
2015-12-21 00:00:00,0.115,0.118,0.105,0.105,2400722
2015-12-18 00:00:00,0.11,0.126,0.108,0.117,1869255
2015-12-17 00:00:00,0.12,0.125,0.111,0.111,1286924
2015-12-16 00:00:00,0.11,0.12,0.105,0.12,1052492
2015-12-15 00:00:00,0.12,0.128,0.11,0.119,185821
2015-12-14 00:00:00,0.12,0.13,0.11,0.128,1073576
2015-12-11 00:00:00,0.118,0.16,0.118,0.127,1879260
