Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,9.25,9.4,9.25,9.3,217232
2017-09-07 00:00:00,9.3,9.45,9.15,9.2,198722
2017-09-06 00:00:00,9.25,9.4,9.05,9.3,316292
2017-09-04 00:00:00,9.4,9.45,9.25,9.35,150042
2017-09-01 00:00:00,9.15,9.5,9.1,9.5,406051
2017-08-31 00:00:00,9.2,9.2,9.1,9.15,195582
2017-08-30 00:00:00,9.2,9.2,9.05,9.1,200119
2017-08-29 00:00:00,9.1,9.2,8.9,9.15,889210
2017-08-28 00:00:00,9.35,9.35,9.2,9.25,423531
2017-08-25 00:00:00,9.3,9.35,9.2,9.25,464850
2017-08-24 00:00:00,8.95,9.2,8.85,9.2,581601
2017-08-23 00:00:00,9.15,9.25,8.9,8.95,970815
2017-08-22 00:00:00,9.05,9.25,9.05,9.05,467210
2017-08-21 00:00:00,9.25,9.25,8.95,9.0,684958
2017-08-18 00:00:00,9.25,9.3,9.15,9.3,306985
2017-08-17 00:00:00,9.4,9.45,9.25,9.3,667475
2017-08-16 00:00:00,9.3,9.45,9.2,9.4,741449
2017-08-15 00:00:00,9.5,9.5,9.25,9.3,723812
2017-08-14 00:00:00,9.4,9.6,9.2,9.4,877157
2017-08-11 00:00:00,9.6,9.6,9.1,9.35,880281
2017-08-10 00:00:00,10.3,10.3,9.6,9.65,2366057
2017-08-09 00:00:00,10.55,10.55,10.15,10.55,767135
2017-08-08 00:00:00,10.5,10.75,10.35,10.65,624009
2017-08-07 00:00:00,10.05,10.6,10.05,10.6,548595
2017-08-04 00:00:00,10.05,10.05,9.95,10.0,91111
2017-08-03 00:00:00,10.2,10.2,9.95,10.05,252513
2017-08-02 00:00:00,10.05,10.25,9.85,10.1,324744
2017-08-01 00:00:00,9.85,10.0,9.7,10.0,316399
2017-07-31 00:00:00,9.9,9.9,9.75,9.75,280638
2017-07-28 00:00:00,10.0,10.0,9.8,9.85,539702
2017-07-27 00:00:00,10.0,10.05,9.95,10.0,161098
2017-07-26 00:00:00,10.1,10.1,9.9,10.0,174023
2017-07-25 00:00:00,9.95,10.1,9.9,10.05,215894
2017-07-24 00:00:00,9.95,10.2,9.85,10.0,365290
2017-07-21 00:00:00,10.1,10.1,9.75,10.05,986093
2017-07-20 00:00:00,9.85,10.15,9.85,9.85,715732
2017-07-19 00:00:00,10.4,10.7,9.75,9.85,1261228
2017-07-18 00:00:00,10.45,10.45,10.2,10.4,263758
2017-07-17 00:00:00,10.5,10.7,10.35,10.45,681256
2017-07-14 00:00:00,10.2,10.6,10.05,10.55,2295859
2017-07-13 00:00:00,9.85,9.85,9.6,9.65,481279
2017-07-12 00:00:00,9.9,10.0,9.8,9.85,176992
2017-07-11 00:00:00,10.0,10.0,9.8,9.9,256724
2017-07-10 00:00:00,9.85,10.1,9.85,9.95,362588
2017-07-07 00:00:00,9.75,9.85,9.7,9.85,205251
2017-07-06 00:00:00,9.85,9.9,9.65,9.75,140359
2017-07-05 00:00:00,9.75,9.85,9.65,9.8,173192
2017-07-04 00:00:00,9.8,9.8,9.6,9.75,175674
2017-07-03 00:00:00,9.8,9.9,9.7,9.8,299682
2017-06-30 00:00:00,9.7,10.0,9.7,9.85,377634
2017-06-29 00:00:00,10.0,10.1,9.7,9.75,250485
2017-06-28 00:00:00,10.1,10.1,9.95,10.0,334248
2017-06-27 00:00:00,10.35,10.4,10.1,10.2,142100
2017-06-26 00:00:00,10.45,10.65,10.25,10.35,333645
2017-06-23 00:00:00,,10.45,10.45,10.45,0
2017-06-22 00:00:00,10.5,10.6,10.3,10.45,190759
2017-06-21 00:00:00,10.7,10.7,10.25,10.45,520702
2017-06-20 00:00:00,10.1,10.65,10.1,10.6,1050043
2017-06-19 00:00:00,9.95,10.1,9.8,10.1,669987
2017-06-16 00:00:00,9.45,9.85,9.4,9.85,964895
2017-06-15 00:00:00,9.5,9.55,9.3,9.4,285209
2017-06-14 00:00:00,9.5,9.65,9.5,9.5,256764
2017-06-13 00:00:00,9.6,9.7,9.5,9.6,318192
2017-06-12 00:00:00,9.85,9.85,9.55,9.65,319030
2017-06-09 00:00:00,9.85,10.0,9.75,9.8,437052
2017-06-08 00:00:00,9.75,9.9,9.65,9.85,378079
2017-06-07 00:00:00,9.75,9.75,9.6,9.7,341050
2017-06-06 00:00:00,,9.7,9.7,9.7,0
2017-06-05 00:00:00,9.95,10.0,9.65,9.7,329817
2017-06-02 00:00:00,9.8,9.95,9.8,9.85,528764
2017-06-01 00:00:00,9.55,9.8,9.5,9.8,617439
2017-05-31 00:00:00,9.7,9.8,9.4,9.45,787874
2017-05-30 00:00:00,9.85,9.85,9.6,9.7,602488
2017-05-29 00:00:00,9.35,10.0,9.2,9.8,2066021
2017-05-26 00:00:00,9.5,9.55,9.1,9.25,536466
2017-05-24 00:00:00,9.5,9.6,9.25,9.5,181227
2017-05-23 00:00:00,9.35,9.55,9.3,9.4,216252
2017-05-22 00:00:00,9.4,9.65,9.25,9.35,824548
2017-05-19 00:00:00,9.2,9.45,9.1,9.3,633922
2017-05-18 00:00:00,9.15,9.7,8.95,9.2,1721418
2017-05-17 00:00:00,9.65,9.7,9.2,9.2,1105445
2017-05-16 00:00:00,9.9,9.9,9.55,9.65,609780
2017-05-15 00:00:00,9.75,10.05,9.65,9.75,871265
2017-05-12 00:00:00,9.8,9.75,9.75,9.75,551254
2017-05-11 00:00:00,9.95,10.0,9.65,9.7,414245
2017-05-10 00:00:00,10.1,10.1,9.75,9.9,430138
2017-05-09 00:00:00,10.1,10.25,9.85,10.1,811532
2017-05-08 00:00:00,10.0,10.3,9.75,10.1,598739
2017-05-05 00:00:00,9.85,10.1,9.85,9.95,328523
2017-05-04 00:00:00,9.8,9.95,9.65,9.9,520353
2017-05-03 00:00:00,9.95,10.25,9.75,9.85,463791
