Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,12.75,12.75,12.45,12.55,13063
2017-09-07 00:00:00,12.4,12.65,12.35,12.55,7728
2017-09-06 00:00:00,12.8,12.8,12.4,12.5,26999
2017-09-04 00:00:00,12.65,12.65,12.25,12.45,13813
2017-09-01 00:00:00,12.5,12.75,12.5,12.65,19880
2017-08-31 00:00:00,12.75,12.75,12.55,12.55,10618
2017-08-30 00:00:00,12.65,13.0,12.55,12.75,4541
2017-08-29 00:00:00,12.8,12.8,12.5,12.65,12860
2017-08-28 00:00:00,12.8,13.0,12.6,12.8,35349
2017-08-25 00:00:00,12.6,12.8,12.5,12.65,20305
2017-08-24 00:00:00,12.65,12.8,12.6,12.6,165962
2017-08-23 00:00:00,12.75,12.75,12.65,12.65,2747
2017-08-22 00:00:00,12.95,12.95,12.5,12.6,27089
2017-08-21 00:00:00,12.8,12.8,12.5,12.65,19581
2017-08-18 00:00:00,12.6,12.8,12.55,12.7,11240
2017-08-17 00:00:00,13.0,13.0,12.7,12.8,52167
2017-08-16 00:00:00,13.1,13.1,12.75,13.0,25558
2017-08-15 00:00:00,13.15,13.15,13.0,13.05,6615
2017-08-14 00:00:00,13.15,13.45,13.0,13.15,21380
2017-08-11 00:00:00,13.4,13.5,13.05,13.15,41359
2017-08-10 00:00:00,13.5,13.55,13.4,13.45,17758
2017-08-09 00:00:00,13.55,13.55,13.3,13.45,32420
2017-08-08 00:00:00,13.6,13.7,13.4,13.55,13406
2017-08-07 00:00:00,13.7,13.75,13.35,13.5,22816
2017-08-04 00:00:00,13.6,13.75,13.15,13.3,44575
2017-08-03 00:00:00,13.25,13.8,13.25,13.4,81482
2017-08-02 00:00:00,13.0,13.3,13.0,13.2,22300
2017-08-01 00:00:00,12.85,13.15,12.85,13.0,19805
2017-07-31 00:00:00,13.0,13.0,12.6,12.85,15206
2017-07-28 00:00:00,13.0,13.0,12.55,12.8,37198
2017-07-27 00:00:00,12.75,13.0,12.75,12.9,7654
2017-07-26 00:00:00,12.85,13.05,12.85,13.05,7206
2017-07-25 00:00:00,13.1,13.1,12.75,12.85,33187
2017-07-24 00:00:00,12.9,13.0,12.75,12.95,10053
2017-07-21 00:00:00,12.9,13.1,12.75,12.9,22379
2017-07-20 00:00:00,13.1,13.15,12.9,12.9,17687
2017-07-19 00:00:00,12.55,13.15,12.55,12.75,24546
2017-07-18 00:00:00,12.6,12.95,12.55,12.75,33324
2017-07-17 00:00:00,13.25,13.25,12.65,12.7,66854
2017-07-14 00:00:00,12.95,13.35,12.85,12.9,35766
2017-07-13 00:00:00,12.75,12.9,12.7,12.75,17015
2017-07-12 00:00:00,12.75,12.85,12.5,12.6,39553
2017-07-11 00:00:00,12.9,12.95,12.65,12.75,21508
2017-07-10 00:00:00,13.0,13.0,12.8,13.0,20381
2017-07-07 00:00:00,13.0,13.1,12.85,13.0,18460
2017-07-06 00:00:00,13.0,13.25,13.0,13.0,5755
2017-07-05 00:00:00,13.15,13.2,13.0,13.1,249041
2017-07-04 00:00:00,13.1,13.25,13.0,13.15,10020
2017-07-03 00:00:00,13.2,13.35,13.05,13.1,60561
2017-06-30 00:00:00,13.5,13.8,13.15,13.2,80390
2017-06-29 00:00:00,13.7,14.0,13.5,13.5,34925
2017-06-28 00:00:00,13.65,13.9,13.45,13.6,64194
2017-06-27 00:00:00,13.85,13.85,13.65,13.65,26608
2017-06-26 00:00:00,13.8,13.9,13.5,13.8,149508
2017-06-23 00:00:00,,13.5,13.5,13.5,0
2017-06-22 00:00:00,13.5,13.7,13.0,13.5,234446
2017-06-21 00:00:00,12.1,13.5,11.55,13.2,961611
2017-06-20 00:00:00,12.6,12.85,12.6,12.7,55994
2017-06-19 00:00:00,12.6,12.6,12.35,12.45,72884
2017-06-16 00:00:00,12.9,12.9,12.7,12.7,19742
2017-06-15 00:00:00,12.9,12.9,12.6,12.75,17649
2017-06-14 00:00:00,12.8,13.15,12.7,12.9,106798
2017-06-13 00:00:00,12.75,12.95,12.75,12.8,21210
2017-06-12 00:00:00,13.0,13.0,12.8,12.8,2714
2017-06-09 00:00:00,12.8,13.0,12.75,12.95,7267
2017-06-08 00:00:00,12.75,12.95,12.75,12.9,12988
2017-06-07 00:00:00,12.8,12.95,12.75,12.8,18305
2017-06-06 00:00:00,,12.9,12.9,12.9,0
2017-06-05 00:00:00,13.15,13.15,12.9,12.9,19660
2017-06-02 00:00:00,12.8,13.1,12.8,13.05,18652
2017-06-01 00:00:00,12.8,13.15,12.8,12.8,64110
2017-05-31 00:00:00,12.85,13.0,12.8,12.8,43384
2017-05-30 00:00:00,12.8,12.85,12.7,12.85,14972
2017-05-29 00:00:00,13.0,13.0,12.75,12.8,17379
2017-05-26 00:00:00,12.9,13.0,12.9,13.0,26426
2017-05-24 00:00:00,12.75,12.9,12.75,12.9,11681
2017-05-23 00:00:00,13.0,13.0,12.7,12.8,22748
2017-05-22 00:00:00,12.65,13.05,12.65,12.9,24522
2017-05-19 00:00:00,12.65,13.0,12.65,12.7,26763
2017-05-18 00:00:00,12.95,12.95,12.6,12.7,71853
2017-05-17 00:00:00,13.0,13.2,12.9,12.9,67790
2017-05-16 00:00:00,13.05,13.15,12.95,12.95,13370
2017-05-15 00:00:00,13.2,13.35,12.9,12.95,93319
2017-05-12 00:00:00,13.4,13.35,13.35,13.35,15069
2017-05-11 00:00:00,13.2,13.4,13.15,13.2,22212
2017-05-10 00:00:00,13.25,13.35,13.15,13.2,8194
2017-05-09 00:00:00,13.3,13.3,13.05,13.3,55811
2017-05-08 00:00:00,13.2,13.3,13.1,13.3,41198
2017-05-05 00:00:00,13.15,13.25,13.05,13.2,22937
2017-05-04 00:00:00,13.3,13.35,13.05,13.15,39972
2017-05-03 00:00:00,13.15,13.45,13.15,13.3,40156
2017-05-02 00:00:00,13.35,13.4,13.1,13.35,54993
2017-05-01 00:00:00,,13.4,13.4,13.4,0
2017-04-28 00:00:00,13.45,13.55,13.3,13.4,58217
2017-04-27 00:00:00,13.4,13.55,13.25,13.45,59315
2017-04-26 00:00:00,13.65,13.7,13.25,13.4,78666
2017-04-25 00:00:00,13.65,13.8,13.55,13.65,51785
2017-04-24 00:00:00,13.75,13.8,13.5,13.65,32310
2017-04-21 00:00:00,13.7,13.9,13.4,13.6,60922
2017-04-20 00:00:00,13.6,13.85,13.6,13.7,29435
2017-04-19 00:00:00,13.7,13.85,13.55,13.7,51137
2017-04-18 00:00:00,14.1,14.1,13.7,13.75,85140
2017-04-13 00:00:00,14.05,14.2,14.05,14.1,31502
2017-04-12 00:00:00,13.95,14.25,13.9,14.25,123446
2017-04-11 00:00:00,14.05,14.05,13.7,14.0,173382
2017-04-10 00:00:00,14.1,14.2,13.95,14.1,56132
2017-04-07 00:00:00,14.45,14.45,13.9,14.1,152825
2017-04-06 00:00:00,14.6,14.6,14.15,14.35,87218
2017-04-05 00:00:00,14.75,14.85,14.4,14.5,80023
2017-04-04 00:00:00,14.6,14.75,14.2,14.75,149599
2017-04-03 00:00:00,14.4,14.65,14.1,14.6,334072
2017-03-31 00:00:00,14.75,14.75,14.2,14.35,355311
2017-03-30 00:00:00,14.9,15.0,14.45,14.6,253763
2017-03-29 00:00:00,14.9,15.2,14.7,15.0,137053
2017-03-28 00:00:00,15.7,15.7,14.8,14.85,613024
2017-03-27 00:00:00,16.5,16.6,15.4,15.6,1699344
2017-03-24 00:00:00,18.9,19.0,18.3,18.8,230821
2017-03-23 00:00:00,18.2,18.9,18.2,18.7,83415
2017-03-22 00:00:00,18.1,18.5,17.8,18.2,125330
2017-03-21 00:00:00,18.8,19.5,18.4,18.6,151432
2017-03-20 00:00:00,18.4,19.2,18.4,18.8,132449
2017-03-17 00:00:00,18.3,18.4,18.0,18.3,58913
2017-03-16 00:00:00,18.0,18.6,18.0,18.5,51954
2017-03-15 00:00:00,18.2,18.2,17.9,18.0,58393
2017-03-14 00:00:00,18.0,18.2,17.7,18.2,77029
2017-03-13 00:00:00,17.9,18.1,17.8,18.0,33641
2017-03-10 00:00:00,18.0,18.0,18.0,18.0,64042
2017-03-09 00:00:00,18.1,18.1,17.8,18.0,82443
2017-03-08 00:00:00,18.2,18.5,17.8,18.2,74559
2017-03-07 00:00:00,18.5,18.5,18.1,18.2,35272
2017-03-06 00:00:00,18.5,18.6,17.9,18.5,63086
2017-03-03 00:00:00,18.6,18.5,18.5,18.5,80363
2017-03-02 00:00:00,19.0,19.1,18.1,18.5,82189
2017-03-01 00:00:00,18.9,19.0,18.4,19.0,243348
2017-02-28 00:00:00,18.2,18.8,18.2,18.6,106988
2017-02-27 00:00:00,18.3,18.5,18.0,18.3,112573
2017-02-24 00:00:00,18.1,18.4,17.8,18.3,259906
2017-02-23 00:00:00,17.2,18.2,17.1,17.8,379175
2017-02-22 00:00:00,17.4,17.4,17.0,17.2,111508
2017-02-21 00:00:00,17.3,17.5,17.2,17.4,63402
2017-02-20 00:00:00,17.4,17.4,17.0,17.3,127842
2017-02-17 00:00:00,17.2,17.4,16.9,17.4,134073
2017-02-16 00:00:00,17.2,17.3,17.0,17.0,76103
2017-02-15 00:00:00,17.1,17.3,16.7,17.1,90130
2017-02-14 00:00:00,17.0,17.3,16.9,17.2,153723
2017-02-13 00:00:00,16.8,17.1,16.7,17.1,119225
2017-02-10 00:00:00,16.8,17.1,16.6,16.8,57988
2017-02-09 00:00:00,16.4,16.9,16.2,16.9,277596
2017-02-08 00:00:00,16.1,16.7,15.9,16.4,236763
2017-02-07 00:00:00,15.5,16.2,15.5,16.1,114562
2017-02-06 00:00:00,15.5,15.7,15.4,15.6,45576
2017-02-03 00:00:00,15.8,15.8,15.4,15.6,31772
2017-02-02 00:00:00,15.8,15.8,15.5,15.8,52926
2017-02-01 00:00:00,15.8,15.8,15.5,15.8,74474
2017-01-31 00:00:00,15.9,15.9,15.5,15.7,38747
2017-01-30 00:00:00,15.6,15.8,15.5,15.8,34148
2017-01-27 00:00:00,15.9,15.9,15.5,15.7,39388
2017-01-26 00:00:00,15.8,15.9,15.6,15.9,65716
2017-01-25 00:00:00,15.9,16.0,15.5,15.7,59123
2017-01-24 00:00:00,15.7,15.9,15.4,15.8,64106
2017-01-23 00:00:00,16.1,16.1,15.6,15.7,45684
2017-01-20 00:00:00,16.1,16.1,15.8,16.0,61287
2017-01-19 00:00:00,16.3,16.3,16.0,16.1,57189
2017-01-18 00:00:00,16.0,16.4,15.6,16.4,166482
2017-01-17 00:00:00,16.1,16.4,15.9,16.0,43021
2017-01-16 00:00:00,16.4,16.4,15.8,16.3,238854
2017-01-13 00:00:00,16.0,16.4,15.7,16.4,173210
2017-01-12 00:00:00,16.4,16.4,15.7,16.0,70682
2017-01-11 00:00:00,15.9,16.5,15.6,16.1,212299
2017-01-10 00:00:00,15.8,15.9,15.5,15.8,167407
2017-01-09 00:00:00,15.4,16.2,15.4,15.7,136647
2017-01-06 00:00:00,,15.5,15.5,15.5,0
2017-01-05 00:00:00,15.4,15.6,15.2,15.5,65667
2017-01-04 00:00:00,15.9,15.9,15.2,15.4,184352
2017-01-03 00:00:00,15.6,15.9,15.0,15.7,188307
2017-01-02 00:00:00,14.45,15.8,14.2,15.6,338363
2016-12-30 00:00:00,14.3,14.4,14.0,14.35,79971
2016-12-29 00:00:00,14.35,14.4,13.8,14.2,250651
2016-12-28 00:00:00,14.35,14.55,14.25,14.4,76606
2016-12-27 00:00:00,14.55,14.75,14.35,14.4,138047
2016-12-23 00:00:00,14.3,14.85,14.3,14.45,146878
2016-12-22 00:00:00,15.1,15.4,14.3,14.5,408607
2016-12-21 00:00:00,14.0,15.3,13.35,15.3,1523087
2016-12-20 00:00:00,10.25,10.6,10.25,10.55,101480
2016-12-19 00:00:00,10.45,10.5,10.2,10.45,174796
2016-12-16 00:00:00,10.4,10.5,10.4,10.45,42729
2016-12-15 00:00:00,10.5,10.6,10.3,10.4,102366
2016-12-14 00:00:00,10.35,10.55,10.35,10.5,31163
2016-12-13 00:00:00,10.25,10.5,10.1,10.4,64688
2016-12-12 00:00:00,10.3,10.5,10.0,10.3,257231
2016-12-09 00:00:00,10.2,10.5,10.2,10.35,22596
2016-12-08 00:00:00,10.3,10.35,10.05,10.2,42053
2016-12-07 00:00:00,10.55,10.55,10.05,10.15,134608
2016-12-06 00:00:00,10.6,10.85,10.2,10.5,89472
2016-12-05 00:00:00,10.75,10.85,10.55,10.6,37828
2016-12-02 00:00:00,10.95,10.95,10.6,10.75,5932
2016-12-01 00:00:00,10.9,10.9,10.7,10.8,24458
2016-11-30 00:00:00,10.9,10.9,10.65,10.85,8901
2016-11-29 00:00:00,10.6,10.8,10.6,10.75,23779
2016-11-28 00:00:00,10.6,10.8,10.6,10.6,29790
2016-11-25 00:00:00,10.65,10.9,10.6,10.7,9015
2016-11-24 00:00:00,10.7,10.9,10.65,10.9,5695
2016-11-23 00:00:00,10.9,10.95,10.6,10.7,17739
2016-11-22 00:00:00,11.0,11.15,10.7,10.9,25982
2016-11-21 00:00:00,10.7,10.8,10.55,10.8,26132
2016-11-18 00:00:00,10.75,10.95,10.55,10.8,12421
2016-11-17 00:00:00,10.85,11.5,10.55,10.75,43787
2016-11-16 00:00:00,10.55,11.0,10.55,10.85,22311
2016-11-15 00:00:00,10.9,11.0,10.6,11.0,17400
2016-11-14 00:00:00,11.0,11.0,10.6,10.95,68608
2016-11-11 00:00:00,10.6,10.8,10.5,10.6,37272
2016-11-10 00:00:00,10.6,10.85,10.5,10.6,8698
2016-11-09 00:00:00,10.05,10.75,10.05,10.45,44192
2016-11-08 00:00:00,10.4,10.65,10.4,10.65,81429
2016-11-07 00:00:00,10.45,10.6,10.3,10.4,53905
2016-11-04 00:00:00,10.7,10.7,10.35,10.35,137177
2016-11-03 00:00:00,10.75,10.95,10.6,10.8,46921
2016-11-02 00:00:00,10.7,11.0,10.7,10.7,26318
2016-11-01 00:00:00,10.85,11.0,10.85,10.9,30693
2016-10-31 00:00:00,11.1,11.1,10.7,10.85,8370
2016-10-28 00:00:00,11.4,11.4,10.8,11.1,71777
2016-10-27 00:00:00,11.45,11.55,11.15,11.15,45469
2016-10-26 00:00:00,11.4,11.45,11.15,11.45,17319
2016-10-25 00:00:00,11.2,11.45,11.2,11.4,40898
2016-10-24 00:00:00,11.0,11.25,11.0,11.2,27420
2016-10-21 00:00:00,11.15,11.15,11.0,11.15,80452
2016-10-20 00:00:00,12.2,12.2,11.15,11.2,76079
2016-10-19 00:00:00,12.0,12.4,11.65,12.05,664069
2016-10-18 00:00:00,10.6,11.15,10.5,10.9,111905
2016-10-17 00:00:00,10.35,10.7,10.35,10.6,37618
2016-10-14 00:00:00,10.75,10.75,10.6,10.65,41400
2016-10-13 00:00:00,10.95,10.95,10.5,10.75,15576
2016-10-12 00:00:00,10.75,10.75,10.7,10.75,12222
2016-10-11 00:00:00,10.95,10.95,10.7,10.75,13622
2016-10-10 00:00:00,10.75,11.0,10.75,11.0,107551
2016-10-07 00:00:00,10.7,10.75,10.6,10.75,27532
2016-10-06 00:00:00,11.0,11.0,10.6,10.85,51855
2016-10-05 00:00:00,11.0,11.0,10.75,10.95,11977
2016-10-04 00:00:00,11.5,11.5,10.6,11.1,13697
2016-10-03 00:00:00,10.75,11.0,10.65,10.8,39664
2016-09-30 00:00:00,10.85,10.85,10.65,10.8,2595
2016-09-29 00:00:00,10.6,11.0,10.6,10.85,17453
2016-09-28 00:00:00,10.75,11.0,10.75,10.8,5276
2016-09-27 00:00:00,10.8,10.8,10.5,10.75,20223
2016-09-26 00:00:00,11.0,11.15,10.8,10.8,47797
2016-09-23 00:00:00,11.15,11.15,10.75,10.85,30881
2016-09-22 00:00:00,11.15,11.15,10.9,11.05,11592
2016-09-21 00:00:00,10.6,11.15,10.6,11.15,6599
2016-09-20 00:00:00,10.8,11.15,10.7,11.0,49408
2016-09-19 00:00:00,10.6,11.2,10.6,10.75,34180
2016-09-16 00:00:00,11.1,11.2,10.85,10.85,16273
2016-09-15 00:00:00,11.1,11.1,10.8,11.1,42149
2016-09-14 00:00:00,11.0,11.1,10.85,11.1,66384
2016-09-13 00:00:00,11.1,11.25,11.0,11.0,47545
2016-09-12 00:00:00,11.35,11.35,11.05,11.1,128252
2016-09-09 00:00:00,11.4,11.5,11.3,11.4,33574
2016-09-08 00:00:00,11.45,11.7,11.45,11.45,27764
2016-09-07 00:00:00,11.5,11.65,11.5,11.5,5678
2016-09-06 00:00:00,11.6,11.6,11.45,11.5,31376
2016-09-05 00:00:00,11.9,11.9,11.45,11.6,11798
2016-09-02 00:00:00,11.5,11.6,11.45,11.5,20359
2016-09-01 00:00:00,11.6,11.85,11.5,11.6,61010
2016-08-31 00:00:00,11.8,11.85,11.6,11.6,32752
2016-08-30 00:00:00,11.85,11.85,11.75,11.8,26274
2016-08-29 00:00:00,11.5,11.8,11.5,11.7,25522
2016-08-26 00:00:00,11.8,11.8,11.5,11.5,17310
2016-08-25 00:00:00,11.7,12.0,11.45,11.6,82755
2016-08-24 00:00:00,11.7,11.8,11.5,11.7,30976
2016-08-23 00:00:00,11.75,11.75,11.65,11.7,3659
2016-08-22 00:00:00,11.6,11.6,11.55,11.6,7703
2016-08-19 00:00:00,11.6,11.85,11.5,11.75,23966
2016-08-18 00:00:00,11.8,11.85,11.5,11.7,11227
2016-08-17 00:00:00,11.8,11.8,11.65,11.65,13900
2016-08-16 00:00:00,11.75,11.95,11.75,11.8,6201
2016-08-15 00:00:00,11.75,11.9,11.75,11.75,51473
2016-08-12 00:00:00,11.85,12.15,11.65,11.75,109271
2016-08-11 00:00:00,11.7,11.95,11.7,11.8,27955
