Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,173.0,179.0,172.5,176.0,53021
2017-09-07 00:00:00,163.5,174.5,163.5,172.0,77563
2017-09-06 00:00:00,165.0,165.0,159.0,163.0,69903
2017-09-04 00:00:00,174.0,174.0,162.5,162.5,68495
2017-09-01 00:00:00,166.5,178.5,165.0,171.5,149760
2017-08-31 00:00:00,158.5,162.0,156.5,159.5,109968
2017-08-30 00:00:00,156.5,157.5,155.5,156.0,44733
2017-08-29 00:00:00,157.0,157.5,155.5,155.5,100419
2017-08-28 00:00:00,159.5,159.5,151.0,156.5,144088
2017-08-25 00:00:00,153.5,160.0,146.5,159.5,262116
2017-08-24 00:00:00,160.0,165.0,149.5,153.5,568944
2017-08-23 00:00:00,177.0,177.0,168.0,174.0,99088
2017-08-22 00:00:00,168.0,176.5,166.5,176.0,128527
2017-08-21 00:00:00,168.0,173.5,166.5,167.0,63786
2017-08-18 00:00:00,168.5,170.0,165.0,168.0,77193
2017-08-17 00:00:00,171.0,173.0,167.5,169.0,65892
2017-08-16 00:00:00,174.5,176.0,171.5,172.0,63106
2017-08-15 00:00:00,181.0,181.5,171.5,173.5,81805
2017-08-14 00:00:00,180.5,185.0,179.5,181.0,23887
2017-08-11 00:00:00,182.0,182.5,176.0,180.5,82629
2017-08-10 00:00:00,187.0,187.0,182.5,182.5,41266
2017-08-09 00:00:00,190.0,190.0,184.0,187.5,57294
2017-08-08 00:00:00,193.0,197.0,189.0,191.0,51746
2017-08-07 00:00:00,194.0,194.0,187.0,192.5,67667
2017-08-04 00:00:00,187.5,192.0,183.0,192.0,63146
2017-08-03 00:00:00,188.0,189.5,183.0,187.5,74269
2017-08-02 00:00:00,199.0,199.0,179.0,188.0,386929
2017-08-01 00:00:00,196.0,200.5,196.0,199.0,41916
2017-07-31 00:00:00,201.0,201.0,195.5,198.0,33837
2017-07-28 00:00:00,198.0,200.0,195.5,198.0,29639
2017-07-27 00:00:00,197.0,202.0,197.0,198.5,13094
2017-07-26 00:00:00,196.0,197.5,193.5,197.0,35423
2017-07-25 00:00:00,199.0,201.5,196.5,198.0,39305
2017-07-24 00:00:00,204.0,204.0,197.0,199.0,37183
2017-07-21 00:00:00,205.5,209.0,201.5,204.0,50082
2017-07-20 00:00:00,205.0,206.5,204.0,205.0,34580
2017-07-19 00:00:00,208.0,208.0,203.0,205.5,44638
2017-07-18 00:00:00,206.0,208.0,203.0,207.0,49766
2017-07-17 00:00:00,204.0,214.0,204.0,207.5,112870
2017-07-14 00:00:00,206.0,206.0,201.0,204.0,33649
2017-07-13 00:00:00,212.0,212.0,204.0,205.0,34794
2017-07-12 00:00:00,204.0,214.5,203.0,212.0,77429
