Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,0.645,0.645,0.62,0.625,1391696
2017-09-07 00:00:00,0.645,0.65,0.63,0.645,1780624
2017-09-06 00:00:00,0.66,0.705,0.645,0.65,3635761
2017-09-04 00:00:00,0.67,0.675,0.625,0.635,2960533
2017-09-01 00:00:00,0.66,0.67,0.645,0.655,2975297
2017-08-31 00:00:00,0.69,0.71,0.635,0.645,17081696
2017-08-30 00:00:00,0.815,0.835,0.815,0.825,938920
2017-08-29 00:00:00,0.83,0.84,0.8,0.815,1714713
2017-08-28 00:00:00,0.865,0.865,0.83,0.84,871254
2017-08-25 00:00:00,0.845,0.88,0.81,0.85,2243231
2017-08-24 00:00:00,0.83,0.85,0.815,0.845,662716
2017-08-23 00:00:00,0.82,0.83,0.815,0.83,422373
2017-08-22 00:00:00,0.865,0.875,0.81,0.82,4413465
2017-08-21 00:00:00,0.885,0.9,0.86,0.865,1307509
2017-08-18 00:00:00,0.84,0.9,0.83,0.85,2510530
2017-08-17 00:00:00,0.9,0.93,0.845,0.845,2353453
2017-08-16 00:00:00,0.8,0.91,0.795,0.89,5511355
2017-08-15 00:00:00,0.805,0.845,0.79,0.8,2116560
2017-08-14 00:00:00,0.81,0.87,0.79,0.805,1583146
2017-08-11 00:00:00,0.86,0.86,0.81,0.81,1390031
2017-08-10 00:00:00,0.88,0.89,0.845,0.865,1557548
2017-08-09 00:00:00,0.935,0.935,0.84,0.88,3500671
2017-08-08 00:00:00,0.92,0.94,0.865,0.92,5934240
2017-08-07 00:00:00,0.85,1.0,0.815,0.9,15614135
2017-08-04 00:00:00,0.735,0.86,0.72,0.85,10194619
2017-08-03 00:00:00,0.735,0.735,0.71,0.72,1319172
2017-08-02 00:00:00,0.73,0.73,0.705,0.72,560366
2017-08-01 00:00:00,0.7,0.72,0.695,0.705,918048
2017-07-31 00:00:00,0.73,0.74,0.695,0.7,1319138
2017-07-28 00:00:00,0.71,0.71,0.67,0.71,1838150
2017-07-27 00:00:00,0.71,0.72,0.69,0.7,720670
2017-07-26 00:00:00,0.7,0.71,0.695,0.71,559696
2017-07-25 00:00:00,0.7,0.715,0.69,0.695,1428019
2017-07-24 00:00:00,0.725,0.725,0.695,0.7,2721666
2017-07-21 00:00:00,0.72,0.735,0.715,0.725,554725
2017-07-20 00:00:00,0.725,0.75,0.725,0.73,445855
2017-07-19 00:00:00,0.74,0.74,0.71,0.725,731147
2017-07-18 00:00:00,0.745,0.745,0.72,0.73,722420
2017-07-17 00:00:00,0.76,0.76,0.71,0.735,4764679
2017-07-14 00:00:00,0.775,0.78,0.745,0.765,808929
2017-07-13 00:00:00,0.78,0.79,0.76,0.775,349599
2017-07-12 00:00:00,0.77,0.79,0.74,0.78,1005159
2017-07-11 00:00:00,0.795,0.8,0.75,0.75,1423391
2017-07-10 00:00:00,0.81,0.81,0.775,0.785,860076
2017-07-07 00:00:00,0.805,0.865,0.8,0.815,4211096
2017-07-06 00:00:00,0.75,0.84,0.745,0.795,3045315
2017-07-05 00:00:00,0.75,0.76,0.725,0.745,590354
2017-07-04 00:00:00,0.755,0.77,0.72,0.75,904595
2017-07-03 00:00:00,0.8,0.83,0.73,0.77,4026973
2017-06-30 00:00:00,0.66,0.785,0.64,0.785,13750565
2017-06-29 00:00:00,0.65,0.675,0.64,0.64,2174082
2017-06-28 00:00:00,0.67,0.67,0.64,0.65,3913789
2017-06-27 00:00:00,0.69,0.705,0.66,0.67,3421823
2017-06-26 00:00:00,0.71,0.715,0.69,0.695,2361692
2017-06-23 00:00:00,,0.71,0.71,0.71,0
2017-06-22 00:00:00,0.735,0.75,0.7,0.71,6928444
2017-06-21 00:00:00,0.75,0.765,0.735,0.74,1751521
2017-06-20 00:00:00,0.75,0.77,0.735,0.755,2234422
2017-06-19 00:00:00,0.78,0.785,0.745,0.75,2451972
2017-06-16 00:00:00,0.765,0.785,0.76,0.775,727258
2017-06-15 00:00:00,0.8,0.8,0.77,0.77,799764
2017-06-14 00:00:00,0.78,0.8,0.77,0.79,1568884
2017-06-13 00:00:00,0.8,0.81,0.765,0.785,1542971
2017-06-12 00:00:00,0.855,0.855,0.78,0.8,4738963
2017-06-09 00:00:00,0.87,0.87,0.84,0.855,873344
2017-06-08 00:00:00,0.85,0.87,0.84,0.855,1024638
2017-06-07 00:00:00,0.89,0.89,0.85,0.85,1039559
2017-06-06 00:00:00,,0.865,0.865,0.865,0
2017-06-05 00:00:00,0.85,0.89,0.85,0.865,952396
2017-06-02 00:00:00,0.83,0.9,0.82,0.85,3348511
2017-06-01 00:00:00,0.825,0.84,0.81,0.815,1293124
2017-05-31 00:00:00,0.83,0.845,0.82,0.825,1356459
2017-05-30 00:00:00,0.81,0.875,0.8,0.845,7871931
2017-05-29 00:00:00,0.845,0.845,0.8,0.815,2149572
2017-05-26 00:00:00,0.82,0.865,0.81,0.845,1178863
2017-05-24 00:00:00,0.855,0.865,0.82,0.82,1870584
2017-05-23 00:00:00,0.89,0.89,0.845,0.865,1732911
2017-05-22 00:00:00,0.885,0.9,0.87,0.88,1224714
2017-05-19 00:00:00,0.845,0.91,0.835,0.885,3000501
2017-05-18 00:00:00,0.89,0.89,0.81,0.835,14914538
2017-05-17 00:00:00,1.04,1.04,0.935,0.935,12865788
2017-05-16 00:00:00,1.08,1.1,1.05,1.05,1587063
2017-05-15 00:00:00,1.07,1.09,1.05,1.08,313605
2017-05-12 00:00:00,1.07,1.07,1.07,1.07,455081
2017-05-11 00:00:00,1.05,1.08,1.04,1.07,543238
2017-05-10 00:00:00,1.06,1.07,1.04,1.05,650720
2017-05-09 00:00:00,1.07,1.08,1.04,1.04,1009028
2017-05-08 00:00:00,1.09,1.09,1.06,1.07,436368
2017-05-05 00:00:00,1.03,1.08,1.03,1.08,688299
