Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,11.2,11.75,11.2,11.75,32556
2017-09-07 00:00:00,11.5,11.55,11.3,11.5,19116
2017-09-06 00:00:00,11.5,11.6,11.05,11.5,15871
2017-09-04 00:00:00,11.6,11.6,11.0,11.6,47896
2017-09-01 00:00:00,11.0,11.7,11.0,11.6,93349
2017-08-31 00:00:00,10.9,11.15,10.85,10.85,18525
2017-08-30 00:00:00,10.45,11.05,10.45,10.85,40197
2017-08-29 00:00:00,10.7,10.7,10.45,10.45,10282
2017-08-28 00:00:00,10.9,10.95,10.6,10.6,21549
2017-08-25 00:00:00,11.0,11.0,10.75,10.85,5166
2017-08-24 00:00:00,10.8,11.05,10.8,10.9,14107
2017-08-23 00:00:00,11.05,11.05,10.8,10.8,15625
2017-08-22 00:00:00,11.05,11.05,10.6,11.05,37457
2017-08-21 00:00:00,10.85,11.0,10.75,10.95,8975
2017-08-18 00:00:00,11.25,11.25,10.85,10.85,19012
2017-08-17 00:00:00,10.9,11.25,10.75,11.25,73663
2017-08-16 00:00:00,11.15,11.15,10.85,11.0,21185
2017-08-15 00:00:00,11.1,11.15,10.75,11.15,31495
2017-08-14 00:00:00,10.95,11.2,10.9,11.1,34288
2017-08-11 00:00:00,10.95,11.0,10.75,10.9,36149
2017-08-10 00:00:00,11.45,11.75,10.9,11.3,139247
2017-08-09 00:00:00,10.7,11.5,10.6,11.45,466788
2017-08-08 00:00:00,10.0,10.1,9.95,10.05,73420
2017-08-07 00:00:00,9.95,10.0,9.8,9.95,14996
2017-08-04 00:00:00,9.95,10.0,9.8,10.0,51811
2017-08-03 00:00:00,9.8,10.05,9.8,9.95,19002
2017-08-02 00:00:00,9.8,10.5,9.45,9.8,54758
2017-08-01 00:00:00,9.4,9.7,9.25,9.7,14713
2017-07-31 00:00:00,9.35,9.5,9.05,9.4,23423
2017-07-28 00:00:00,9.75,9.8,9.5,9.5,36644
2017-07-27 00:00:00,9.8,9.8,9.5,9.75,27527
2017-07-26 00:00:00,9.7,9.85,9.7,9.8,23906
