Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,147.0,147.0,141.5,142.25,12102
2017-09-07 00:00:00,146.0,148.0,144.0,147.0,3223
2017-09-06 00:00:00,145.0,147.75,142.75,145.75,7586
2017-09-04 00:00:00,147.0,147.5,139.0,145.75,6477
2017-09-01 00:00:00,148.25,151.0,147.75,148.25,30687
2017-08-31 00:00:00,144.25,144.75,142.0,144.75,4983
2017-08-30 00:00:00,140.25,144.0,140.25,141.5,4274
2017-08-29 00:00:00,139.25,141.0,138.5,140.25,10817
2017-08-28 00:00:00,142.75,143.5,139.0,141.0,11268
2017-08-25 00:00:00,136.25,144.0,136.25,142.5,11051
2017-08-24 00:00:00,131.25,137.0,131.25,136.25,54225
2017-08-23 00:00:00,129.5,134.0,125.75,131.25,10803
2017-08-22 00:00:00,134.5,134.5,130.0,130.0,5376
2017-08-21 00:00:00,135.0,135.0,132.25,134.5,6806
2017-08-18 00:00:00,133.0,136.5,132.0,135.0,3535
2017-08-17 00:00:00,136.75,139.5,135.0,135.0,2916
2017-08-16 00:00:00,138.5,142.25,135.25,139.5,53181
2017-08-15 00:00:00,141.0,141.0,138.0,139.5,3106
2017-08-14 00:00:00,140.5,143.25,140.0,141.0,2985
2017-08-11 00:00:00,138.0,141.25,136.0,140.5,6980
2017-08-10 00:00:00,144.25,144.25,139.0,139.0,5913
2017-08-09 00:00:00,145.0,145.0,141.25,144.25,6940
2017-08-08 00:00:00,144.0,145.0,143.0,144.75,4251
2017-08-07 00:00:00,140.75,144.0,140.0,143.0,3886
2017-08-04 00:00:00,137.0,140.0,136.5,138.5,5382
2017-08-03 00:00:00,136.0,137.5,134.5,137.0,13202
2017-08-02 00:00:00,136.0,137.5,134.0,136.0,107974
2017-08-01 00:00:00,136.5,136.5,132.5,135.75,3206
2017-07-31 00:00:00,135.5,136.5,133.0,136.5,11144
2017-07-28 00:00:00,135.0,135.5,132.25,135.5,8904
2017-07-27 00:00:00,136.5,136.5,134.5,136.5,5524
2017-07-26 00:00:00,134.0,137.25,132.0,136.5,7097
2017-07-25 00:00:00,135.0,135.5,131.5,134.5,12628
2017-07-24 00:00:00,142.0,142.25,132.0,135.5,22369
2017-07-21 00:00:00,136.0,146.0,136.0,142.0,12952
2017-07-20 00:00:00,147.0,150.0,130.0,135.0,41165
2017-07-19 00:00:00,147.0,147.0,144.5,147.0,5625
2017-07-18 00:00:00,146.5,147.0,144.5,147.0,6053
2017-07-17 00:00:00,147.0,150.0,144.75,146.5,8256
2017-07-14 00:00:00,149.5,150.0,144.5,146.5,3456
2017-07-13 00:00:00,147.0,150.0,145.0,148.0,8409
2017-07-12 00:00:00,149.5,152.0,146.5,149.0,3661
2017-07-11 00:00:00,148.0,150.5,145.0,149.0,8336
2017-07-10 00:00:00,150.0,154.5,148.0,148.0,7248
2017-07-07 00:00:00,152.0,154.5,146.0,149.25,9189
2017-07-06 00:00:00,145.0,151.5,145.0,150.0,5304
2017-07-05 00:00:00,149.25,151.0,145.0,150.0,4319
2017-07-04 00:00:00,149.75,149.75,144.25,149.25,11010
2017-07-03 00:00:00,155.0,155.0,148.0,149.75,9832
2017-06-30 00:00:00,156.0,156.0,150.0,152.5,21506
2017-06-29 00:00:00,155.5,155.5,150.0,154.0,3441
2017-06-28 00:00:00,153.5,155.0,150.5,153.5,5158
2017-06-27 00:00:00,157.0,159.0,151.5,153.5,11254
2017-06-26 00:00:00,149.0,155.0,149.0,155.0,13732
2017-06-23 00:00:00,,148.25,148.25,148.25,0
2017-06-22 00:00:00,143.5,148.25,143.5,148.25,5990
2017-06-21 00:00:00,141.0,144.0,137.75,143.5,3746
2017-06-20 00:00:00,144.5,144.5,141.25,141.75,8813
2017-06-19 00:00:00,144.5,144.5,140.0,144.5,11969
2017-06-16 00:00:00,146.5,146.5,142.0,145.0,14252
2017-06-15 00:00:00,149.0,150.0,145.0,146.5,11927
2017-06-14 00:00:00,152.5,153.0,148.5,148.5,6794
2017-06-13 00:00:00,150.0,153.0,143.5,149.5,27580
2017-06-12 00:00:00,154.5,156.0,150.0,153.0,12639
2017-06-09 00:00:00,157.0,157.0,149.0,153.0,29950
2017-06-08 00:00:00,147.0,159.5,147.0,156.0,35105
2017-06-07 00:00:00,141.0,145.5,140.25,145.5,16249
2017-06-06 00:00:00,,140.0,140.0,140.0,0
2017-06-05 00:00:00,137.75,143.0,137.0,140.0,20308
2017-06-02 00:00:00,130.0,135.0,128.5,135.0,12185
2017-06-01 00:00:00,130.0,131.75,128.25,130.0,44551
2017-05-31 00:00:00,134.0,134.0,130.0,131.75,50507
2017-05-30 00:00:00,134.75,138.0,131.0,133.75,21121
2017-05-29 00:00:00,127.0,135.75,127.0,134.75,22291
2017-05-26 00:00:00,118.75,129.5,118.75,127.0,27946
2017-05-24 00:00:00,113.25,118.75,113.25,118.75,6572
2017-05-23 00:00:00,110.25,113.5,110.0,113.25,38131
2017-05-22 00:00:00,110.0,110.5,109.0,110.25,24163
2017-05-19 00:00:00,107.5,110.75,106.0,110.0,4822
2017-05-18 00:00:00,107.75,108.5,106.0,107.5,12854
2017-05-17 00:00:00,107.5,110.0,107.5,107.75,21663
2017-05-16 00:00:00,107.0,107.0,106.0,106.75,21781
2017-05-15 00:00:00,105.75,107.0,105.75,106.0,29433
2017-05-12 00:00:00,107.0,105.5,105.5,105.5,49537
2017-05-11 00:00:00,107.0,108.5,106.5,106.5,8340
2017-05-10 00:00:00,107.0,107.5,105.0,107.5,3607
2017-05-09 00:00:00,105.0,108.75,103.25,107.0,7522
2017-05-08 00:00:00,105.0,106.0,103.25,105.0,12354
2017-05-05 00:00:00,106.0,109.5,102.5,104.75,9987
2017-05-04 00:00:00,102.5,106.5,102.5,106.5,4632
2017-05-03 00:00:00,105.0,105.0,101.25,102.5,19658
2017-05-02 00:00:00,108.5,110.5,102.0,105.0,10928
2017-05-01 00:00:00,,107.25,107.25,107.25,0
2017-04-28 00:00:00,110.5,110.5,106.0,107.25,5639
2017-04-27 00:00:00,108.0,110.0,108.0,109.0,13592
2017-04-26 00:00:00,107.0,109.25,105.75,108.5,7586
2017-04-25 00:00:00,107.25,107.5,106.0,107.0,20099
2017-04-24 00:00:00,107.0,108.0,105.0,107.25,100945
2017-04-21 00:00:00,110.0,110.0,103.75,107.0,18643
2017-04-20 00:00:00,113.5,113.5,110.0,110.5,38820
2017-04-19 00:00:00,111.25,113.0,111.0,113.0,10132
2017-04-18 00:00:00,113.25,113.25,110.0,111.25,19823
2017-04-13 00:00:00,114.0,114.5,113.0,113.25,1631
2017-04-12 00:00:00,113.0,115.5,113.0,114.0,1457
2017-04-11 00:00:00,110.0,112.75,107.5,112.75,16080
2017-04-10 00:00:00,113.25,113.5,108.75,110.5,5834
2017-04-07 00:00:00,113.25,113.75,112.0,113.25,4127
2017-04-06 00:00:00,116.0,116.0,113.5,113.75,8707
2017-04-05 00:00:00,117.75,117.75,114.75,116.5,8789
2017-04-04 00:00:00,118.0,118.0,116.0,117.25,10847
2017-04-03 00:00:00,116.0,119.75,115.5,117.0,15260
2017-03-31 00:00:00,115.0,115.0,111.75,115.0,2183
2017-03-30 00:00:00,115.75,115.75,113.0,114.0,2032
2017-03-29 00:00:00,116.0,116.0,114.25,115.75,5621
2017-03-28 00:00:00,116.0,117.0,114.25,115.75,4866
2017-03-27 00:00:00,119.5,119.5,112.25,115.75,9416
2017-03-24 00:00:00,118.25,126.0,115.0,117.5,25448
2017-03-23 00:00:00,113.5,118.25,113.0,118.25,19299
2017-03-22 00:00:00,110.25,112.0,106.0,112.0,22863
2017-03-21 00:00:00,104.25,109.75,104.25,109.25,13012
2017-03-20 00:00:00,103.75,105.75,100.5,104.25,30915
2017-03-17 00:00:00,108.75,108.75,103.75,105.75,22906
2017-03-16 00:00:00,112.0,113.0,108.25,108.75,50163
2017-03-15 00:00:00,115.5,115.5,113.5,115.25,7229
2017-03-14 00:00:00,115.0,115.5,110.0,114.25,10905
2017-03-13 00:00:00,116.5,116.5,113.25,115.0,29566
2017-03-10 00:00:00,113.0,117.0,117.0,117.0,22566
2017-03-09 00:00:00,110.25,117.0,110.25,113.0,18660
2017-03-08 00:00:00,108.5,111.0,107.0,110.25,36062
2017-03-07 00:00:00,105.5,108.0,105.0,106.5,5865
2017-03-06 00:00:00,108.0,108.0,103.0,106.75,41810
2017-03-03 00:00:00,106.0,108.0,108.0,108.0,8599
2017-03-02 00:00:00,107.75,108.0,105.0,106.0,9120
2017-03-01 00:00:00,108.0,108.25,104.5,107.75,15736
2017-02-28 00:00:00,108.0,109.5,106.0,108.0,62846
2017-02-27 00:00:00,106.5,117.0,105.5,107.5,31265
2017-02-24 00:00:00,104.5,104.5,100.5,102.75,14817
2017-02-23 00:00:00,104.25,110.0,100.5,105.0,47739
2017-02-22 00:00:00,96.25,107.0,96.25,104.5,109703
2017-02-21 00:00:00,87.5,89.0,86.0,89.0,9874
2017-02-20 00:00:00,84.0,87.5,84.0,87.5,8597
2017-02-17 00:00:00,83.0,84.0,82.0,84.0,6766
2017-02-16 00:00:00,84.5,84.5,83.0,83.0,7419
2017-02-15 00:00:00,85.0,86.0,83.5,84.5,8071
2017-02-14 00:00:00,87.25,87.25,86.25,86.25,1530
2017-02-13 00:00:00,87.0,87.0,83.0,87.0,21555
2017-02-10 00:00:00,88.0,88.0,86.25,87.5,3069
2017-02-09 00:00:00,88.0,88.0,86.5,88.0,14145
2017-02-08 00:00:00,86.5,88.0,84.5,86.5,8425
2017-02-07 00:00:00,87.75,87.75,86.0,86.5,3717
2017-02-06 00:00:00,87.5,88.0,87.0,87.75,3086
2017-02-03 00:00:00,88.0,88.0,86.5,87.5,2691
2017-02-02 00:00:00,85.75,88.0,85.0,88.0,5849
2017-02-01 00:00:00,88.25,88.25,84.0,85.75,12340
2017-01-31 00:00:00,87.75,90.0,87.5,88.25,3446
2017-01-30 00:00:00,88.0,88.0,85.75,87.75,5980
2017-01-27 00:00:00,87.5,88.0,87.25,88.0,11485
2017-01-26 00:00:00,88.5,89.0,87.5,87.75,16416
2017-01-25 00:00:00,90.0,90.0,87.75,88.0,15194
2017-01-24 00:00:00,87.0,90.25,86.0,89.25,21368
2017-01-23 00:00:00,89.25,89.25,83.0,87.25,29000
2017-01-20 00:00:00,96.75,96.75,89.75,89.75,23518
2017-01-19 00:00:00,93.5,96.5,93.0,96.5,32750
2017-01-18 00:00:00,90.75,96.75,90.75,92.75,24378
2017-01-17 00:00:00,87.0,91.0,86.75,90.75,20297
2017-01-16 00:00:00,81.0,87.0,78.25,87.0,22327
2017-01-13 00:00:00,81.0,82.0,80.5,81.0,11233
