Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,43.3,44.3,43.0,43.8,4424
2017-09-07 00:00:00,43.9,43.9,43.0,43.3,5027
2017-09-06 00:00:00,44.0,44.5,43.5,44.1,9817
2017-09-04 00:00:00,44.7,45.0,44.5,44.8,3019
2017-09-01 00:00:00,45.1,45.2,43.8,44.7,16091
2017-08-31 00:00:00,45.2,45.2,44.5,44.9,3442
2017-08-30 00:00:00,45.3,45.3,44.5,44.9,7597
2017-08-29 00:00:00,44.9,45.0,44.5,44.8,5202
2017-08-28 00:00:00,45.8,45.8,44.7,44.9,5018
2017-08-25 00:00:00,45.0,45.4,44.5,45.4,5240
2017-08-24 00:00:00,45.2,45.2,44.8,45.2,6846
2017-08-23 00:00:00,45.0,45.4,44.6,45.2,1484
2017-08-22 00:00:00,44.1,45.5,44.1,44.6,9228
2017-08-21 00:00:00,46.0,46.0,44.5,45.0,4323
2017-08-18 00:00:00,44.5,45.5,44.0,45.5,6852
2017-08-17 00:00:00,46.0,46.8,45.0,45.0,20813
2017-08-16 00:00:00,47.5,47.5,46.5,46.8,14911
2017-08-15 00:00:00,45.0,47.5,45.0,46.2,11434
2017-08-14 00:00:00,43.5,45.0,43.5,44.5,9037
2017-08-11 00:00:00,44.2,44.2,43.1,43.8,8488
2017-08-10 00:00:00,45.0,45.0,44.0,44.2,11027
2017-08-09 00:00:00,45.0,45.5,44.0,44.1,4894
2017-08-08 00:00:00,44.8,45.5,44.8,45.0,6971
2017-08-07 00:00:00,45.0,46.0,44.8,44.8,9426
2017-08-04 00:00:00,43.7,44.9,43.7,44.8,5369
2017-08-03 00:00:00,44.0,44.3,43.4,43.5,9347
2017-08-02 00:00:00,44.0,44.0,43.6,44.0,4029
2017-08-01 00:00:00,43.6,43.6,43.3,43.6,1449
2017-07-31 00:00:00,43.5,43.9,43.3,43.3,10857
2017-07-28 00:00:00,43.0,43.5,43.0,43.4,4562
2017-07-27 00:00:00,42.0,43.0,41.2,43.0,7415
2017-07-26 00:00:00,41.9,42.5,41.9,42.2,3778
2017-07-25 00:00:00,42.0,42.0,41.5,41.9,2674
2017-07-24 00:00:00,41.8,42.0,41.8,42.0,3776
2017-07-21 00:00:00,42.5,42.5,41.5,41.8,8378
2017-07-20 00:00:00,42.6,42.9,42.6,42.9,527
2017-07-19 00:00:00,43.5,43.5,43.5,43.5,257
2017-07-18 00:00:00,43.2,44.3,42.5,43.7,809
2017-07-17 00:00:00,43.8,44.3,43.5,43.5,7890
2017-07-14 00:00:00,42.6,43.5,42.5,43.5,3178
2017-07-13 00:00:00,43.2,43.2,42.4,42.6,1615
2017-07-12 00:00:00,42.7,43.2,42.3,43.2,4233
2017-07-11 00:00:00,43.2,43.6,42.4,42.8,3383
2017-07-10 00:00:00,43.0,43.8,43.0,43.7,1233
2017-07-07 00:00:00,43.9,43.9,43.5,43.5,5503
2017-07-06 00:00:00,42.5,43.0,42.3,43.0,2602
2017-07-05 00:00:00,42.5,42.9,42.0,42.1,4310
2017-07-04 00:00:00,43.0,43.0,42.5,42.7,5293
2017-07-03 00:00:00,43.0,44.5,42.6,42.9,6771
2017-06-30 00:00:00,43.7,44.5,42.7,44.0,7606
2017-06-29 00:00:00,43.0,43.7,42.7,43.7,1936
2017-06-28 00:00:00,43.0,43.2,42.5,42.5,573
2017-06-27 00:00:00,43.7,43.7,43.5,43.5,2522
2017-06-26 00:00:00,42.5,43.8,42.5,43.7,4888
2017-06-23 00:00:00,,42.2,42.2,42.2,0
