Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,212.5,212.5,208.5,209.5,15516
2017-09-07 00:00:00,213.0,213.0,209.0,211.5,6360
2017-09-06 00:00:00,212.5,215.0,209.5,212.0,14291
2017-09-04 00:00:00,208.0,210.0,205.0,209.5,14030
2017-09-01 00:00:00,209.5,211.5,207.5,210.0,13480
2017-08-31 00:00:00,202.5,206.5,202.0,206.5,9406
2017-08-30 00:00:00,201.5,204.0,201.0,202.5,8579
2017-08-29 00:00:00,204.0,204.0,196.5,201.0,27793
2017-08-28 00:00:00,204.5,207.0,203.5,204.5,7739
2017-08-25 00:00:00,205.5,205.5,202.0,204.0,8034
2017-08-24 00:00:00,207.0,208.0,203.0,204.0,8002
2017-08-23 00:00:00,207.0,208.5,205.0,207.0,7514
2017-08-22 00:00:00,203.0,207.5,203.0,207.0,6647
2017-08-21 00:00:00,205.0,205.0,204.0,205.0,10248
2017-08-18 00:00:00,206.0,206.0,202.5,205.0,14549
2017-08-17 00:00:00,211.0,211.0,205.5,206.0,5361
2017-08-16 00:00:00,209.0,211.5,208.5,211.0,9401
2017-08-15 00:00:00,210.5,212.0,208.0,208.5,8398
2017-08-14 00:00:00,202.5,210.5,202.0,210.0,15675
2017-08-11 00:00:00,205.5,205.5,201.0,202.5,16167
2017-08-10 00:00:00,210.0,212.5,207.5,208.0,7065
2017-08-09 00:00:00,212.5,213.0,209.0,210.0,7854
2017-08-08 00:00:00,212.0,214.5,211.0,213.0,5815
2017-08-07 00:00:00,209.0,216.0,209.0,212.0,29391
2017-08-04 00:00:00,204.5,210.5,203.5,208.0,8312
2017-08-03 00:00:00,211.0,215.0,204.0,204.5,19060
2017-08-02 00:00:00,209.0,215.0,208.5,208.5,14115
2017-08-01 00:00:00,202.0,210.5,202.0,208.0,12494
2017-07-31 00:00:00,204.0,205.5,202.5,202.5,7820
2017-07-28 00:00:00,207.0,207.0,202.5,204.5,10664
2017-07-27 00:00:00,205.0,208.0,204.5,207.0,3423
2017-07-26 00:00:00,208.0,213.0,204.0,205.0,13157
2017-07-25 00:00:00,203.5,207.0,203.0,206.5,6831
2017-07-24 00:00:00,202.5,206.0,201.5,203.5,7064
2017-07-21 00:00:00,204.5,206.5,200.0,202.5,17680
2017-07-20 00:00:00,208.0,208.0,203.0,204.0,11702
2017-07-19 00:00:00,208.5,208.5,205.0,208.0,8605
2017-07-18 00:00:00,214.0,214.5,207.0,208.5,25380
2017-07-17 00:00:00,218.0,219.5,214.0,214.0,14056
2017-07-14 00:00:00,214.5,219.0,213.0,215.0,5818
2017-07-13 00:00:00,216.0,216.5,214.5,214.5,3626
2017-07-12 00:00:00,211.5,218.0,211.5,216.5,10590
2017-07-11 00:00:00,216.0,216.0,210.0,211.5,10230
2017-07-10 00:00:00,207.0,215.5,206.0,214.0,18128
2017-07-07 00:00:00,205.5,208.0,203.0,203.5,17117
2017-07-06 00:00:00,211.5,213.5,206.0,206.5,14443
2017-07-05 00:00:00,209.0,212.5,207.5,211.0,8277
2017-07-04 00:00:00,213.5,213.5,207.0,209.0,6971
2017-07-03 00:00:00,212.5,214.0,208.5,213.5,13316
2017-06-30 00:00:00,211.0,216.0,211.0,213.5,10333
