Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,4.17,4.22,4.17,4.19,5872
2017-09-07 00:00:00,4.1,4.3,4.1,4.17,77402
2017-09-06 00:00:00,4.23,4.35,4.1,4.1,51120
2017-09-04 00:00:00,4.67,4.67,4.11,4.14,50604
2017-09-01 00:00:00,4.86,4.86,4.5,4.67,43418
2017-08-31 00:00:00,4.95,5.0,4.9,4.9,16390
2017-08-30 00:00:00,5.1,5.1,5.0,5.0,30766
2017-08-29 00:00:00,4.9,5.0,4.9,5.0,2734
2017-08-28 00:00:00,5.0,5.0,4.9,4.98,5398
2017-08-24 00:00:00,5.0,5.0,5.0,5.0,871
2017-08-23 00:00:00,5.0,5.0,5.0,5.0,50
2017-08-21 00:00:00,4.91,5.0,4.91,5.0,1100
2017-08-18 00:00:00,5.0,5.0,4.9,5.0,1525
2017-08-17 00:00:00,5.0,5.1,4.95,5.1,11054
2017-08-16 00:00:00,4.76,5.1,4.76,5.0,21278
2017-08-14 00:00:00,4.81,5.0,4.81,5.0,451
2017-08-10 00:00:00,5.0,5.0,5.0,5.0,6
2017-08-09 00:00:00,4.9,5.0,4.85,4.93,32380
2017-08-08 00:00:00,4.8,5.1,4.8,5.05,4887
2017-08-07 00:00:00,4.9,4.9,4.9,4.9,20000
2017-08-04 00:00:00,4.95,4.95,4.8,4.89,30302
2017-08-03 00:00:00,4.95,4.95,4.9,4.95,2558
2017-08-02 00:00:00,4.95,4.95,4.95,4.95,203
2017-08-01 00:00:00,4.77,5.1,4.77,5.05,3003
2017-07-31 00:00:00,5.05,5.05,4.95,4.95,1185
2017-07-28 00:00:00,5.05,5.1,5.05,5.05,936
2017-07-27 00:00:00,5.15,5.15,5.0,5.05,2502
2017-07-26 00:00:00,4.98,5.1,4.98,5.1,59128
2017-07-25 00:00:00,4.91,5.0,4.76,4.99,519
2017-07-19 00:00:00,5.0,5.0,4.73,4.91,1140
2017-07-18 00:00:00,5.0,5.0,4.9,5.0,14890
2017-07-17 00:00:00,4.9,5.0,4.9,5.0,2000
2017-07-14 00:00:00,4.72,4.95,4.72,4.95,1372
2017-07-12 00:00:00,4.9,4.9,4.9,4.9,1000
2017-07-11 00:00:00,4.9,4.9,4.9,4.9,10114
2017-07-10 00:00:00,4.93,4.93,4.82,4.9,18439
2017-07-06 00:00:00,4.94,4.94,4.94,4.94,33
2017-07-04 00:00:00,5.1,5.1,4.9,5.0,9916
2017-07-03 00:00:00,5.0,5.15,4.71,5.1,11449
2017-06-30 00:00:00,4.93,5.0,4.8,5.0,16759
2017-06-29 00:00:00,4.73,4.93,4.73,4.93,1164
2017-06-28 00:00:00,4.73,4.99,4.73,4.96,27621
2017-06-27 00:00:00,4.86,4.95,4.7,4.95,11102
