Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,80.75,82.0,80.5,82.0,3426
2017-09-07 00:00:00,80.5,81.5,80.5,80.5,1862
2017-09-06 00:00:00,80.75,81.5,80.0,81.0,3371
2017-09-04 00:00:00,81.5,81.5,80.0,80.0,7779
2017-09-01 00:00:00,81.0,81.25,81.0,81.25,9715
2017-08-31 00:00:00,80.0,81.0,80.0,81.0,5804
2017-08-30 00:00:00,81.0,81.0,80.5,81.0,833
2017-08-29 00:00:00,80.75,81.0,80.0,80.0,3917
2017-08-28 00:00:00,81.0,81.0,80.0,80.75,3896
2017-08-25 00:00:00,80.25,81.0,80.0,81.0,1280
2017-08-24 00:00:00,80.0,81.0,80.0,80.75,9773
2017-08-23 00:00:00,82.25,82.25,80.25,80.25,2380
2017-08-22 00:00:00,79.25,81.0,79.25,80.5,8080
2017-08-21 00:00:00,80.0,80.25,79.25,79.25,10414
2017-08-18 00:00:00,82.0,82.0,80.0,80.5,14245
2017-08-17 00:00:00,82.0,82.25,82.0,82.0,2164
2017-08-16 00:00:00,82.25,83.25,82.0,82.25,1502
2017-08-15 00:00:00,82.5,82.75,82.0,82.75,1459
2017-08-14 00:00:00,82.5,82.5,82.0,82.5,8592
2017-08-11 00:00:00,82.25,82.25,81.75,82.25,11217
2017-08-10 00:00:00,83.75,83.75,82.5,83.0,4797
2017-08-09 00:00:00,83.0,83.75,82.5,83.75,1027
2017-08-08 00:00:00,83.5,84.0,83.0,83.0,9373
2017-08-07 00:00:00,83.5,83.5,82.0,83.5,13278
2017-08-04 00:00:00,83.0,84.25,82.5,82.5,11270
2017-08-03 00:00:00,83.75,84.5,83.0,84.5,3154
2017-08-02 00:00:00,85.5,86.5,83.5,83.5,24118
2017-08-01 00:00:00,85.25,86.75,85.0,86.5,5700
2017-07-31 00:00:00,86.25,86.25,85.0,85.25,7096
2017-07-28 00:00:00,85.5,86.5,85.5,86.0,4433
2017-07-27 00:00:00,86.0,86.0,85.5,86.0,1580
2017-07-26 00:00:00,86.5,86.5,86.0,86.0,4594
2017-07-25 00:00:00,86.0,87.5,86.0,86.0,4549
2017-07-24 00:00:00,87.0,87.5,86.0,86.0,14528
2017-07-21 00:00:00,87.0,87.5,86.0,87.0,6704
2017-07-20 00:00:00,87.0,87.0,86.0,86.5,5914
2017-07-19 00:00:00,88.0,88.0,86.0,87.0,5761
2017-07-18 00:00:00,87.5,87.5,86.5,87.5,1595
2017-07-17 00:00:00,87.0,87.5,86.0,87.5,11757
2017-07-14 00:00:00,87.75,87.75,86.0,87.0,11343
2017-07-13 00:00:00,86.5,89.5,86.5,87.75,24885
2017-07-12 00:00:00,86.75,86.75,85.0,86.0,3954
2017-07-11 00:00:00,84.0,88.0,84.0,85.5,43843
2017-07-10 00:00:00,80.25,86.0,80.0,84.0,17036
2017-07-07 00:00:00,80.0,80.5,79.5,80.25,20462
2017-07-06 00:00:00,77.0,80.0,77.0,80.0,15137
2017-07-05 00:00:00,75.25,77.25,75.0,77.0,12157
2017-07-04 00:00:00,74.0,77.0,74.0,75.25,19055
2017-07-03 00:00:00,72.25,75.0,72.25,74.0,250700
2017-06-30 00:00:00,71.5,72.0,71.5,72.0,1739
2017-06-29 00:00:00,72.5,72.5,71.0,71.5,5504
2017-06-28 00:00:00,71.25,71.75,71.25,71.5,5307
2017-06-27 00:00:00,71.75,71.75,70.75,71.25,4910
2017-06-26 00:00:00,71.0,71.5,70.0,70.75,10605
2017-06-23 00:00:00,,71.0,71.0,71.0,0
2017-06-22 00:00:00,71.75,71.75,70.75,71.0,1284
2017-06-21 00:00:00,70.5,72.0,70.0,70.75,3320
2017-06-20 00:00:00,71.0,71.25,71.0,71.0,7630
2017-06-19 00:00:00,70.75,72.0,70.0,70.75,5532
2017-06-16 00:00:00,71.5,71.5,70.5,70.75,1106
2017-06-15 00:00:00,71.25,71.5,71.0,71.0,6151
2017-06-14 00:00:00,71.25,71.5,70.0,70.25,4967
2017-06-13 00:00:00,71.5,72.0,70.5,71.5,18410
2017-06-12 00:00:00,71.0,71.0,70.0,70.0,8394
2017-06-09 00:00:00,71.0,71.0,70.0,71.0,13579
2017-06-08 00:00:00,72.0,73.0,71.0,71.25,12680
2017-06-07 00:00:00,73.0,73.0,72.0,72.0,1352
2017-06-06 00:00:00,,73.0,73.0,73.0,0
2017-06-05 00:00:00,73.0,73.0,72.0,73.0,9498
2017-06-02 00:00:00,71.5,73.0,71.5,73.0,3140
2017-06-01 00:00:00,70.5,71.5,70.5,71.5,4030
2017-05-31 00:00:00,71.0,71.5,70.5,70.5,3047
2017-05-30 00:00:00,70.5,71.0,70.5,71.0,2517
2017-05-29 00:00:00,72.0,72.0,70.25,71.0,6975
2017-05-26 00:00:00,72.5,72.75,70.25,72.0,6144
2017-05-24 00:00:00,72.5,72.5,71.5,71.75,171
2017-05-23 00:00:00,71.75,72.5,71.75,72.25,2268
2017-05-22 00:00:00,71.0,72.25,71.0,71.75,1703
2017-05-19 00:00:00,71.75,71.75,70.5,71.0,427013
2017-05-18 00:00:00,72.25,72.25,70.25,71.0,8415
2017-05-17 00:00:00,71.25,72.0,70.75,72.0,10928
2017-05-16 00:00:00,72.0,72.0,69.75,71.25,7702
2017-05-15 00:00:00,70.5,71.5,70.0,71.5,4177
2017-05-12 00:00:00,71.0,70.25,70.25,70.25,15060
2017-05-11 00:00:00,71.25,71.75,70.5,71.0,5509
2017-05-10 00:00:00,71.75,72.0,71.5,71.5,5359
2017-05-09 00:00:00,71.75,73.0,71.5,71.5,14060
2017-05-08 00:00:00,71.0,73.5,71.0,71.75,15394
2017-05-05 00:00:00,70.25,71.0,70.0,70.5,8621
2017-05-04 00:00:00,71.0,71.0,69.5,70.25,585639
2017-05-03 00:00:00,70.75,71.0,70.0,71.0,9736
2017-05-02 00:00:00,71.0,71.0,69.5,70.75,27370
2017-05-01 00:00:00,,71.75,71.75,71.75,0
2017-04-28 00:00:00,72.25,72.75,70.0,71.75,6124
2017-04-27 00:00:00,72.0,72.75,72.0,72.25,7859
2017-04-26 00:00:00,73.5,73.75,72.0,72.0,6375
2017-04-25 00:00:00,69.5,75.5,69.5,72.5,16261
2017-04-24 00:00:00,70.5,71.0,69.75,70.0,2876
2017-04-21 00:00:00,72.25,72.25,71.0,71.0,985
2017-04-20 00:00:00,71.75,71.75,71.25,71.25,891
2017-04-19 00:00:00,72.5,72.5,70.25,71.75,7523
2017-04-18 00:00:00,71.0,73.0,70.75,72.75,3247
2017-04-13 00:00:00,72.0,72.0,71.25,71.75,673
2017-04-12 00:00:00,72.0,73.5,72.0,72.0,4217
2017-04-11 00:00:00,69.25,72.0,69.25,72.0,12153
2017-04-10 00:00:00,71.5,71.5,70.25,70.75,4941
2017-04-07 00:00:00,69.0,73.75,68.25,71.75,215116
2017-04-06 00:00:00,67.0,68.5,67.0,68.0,5737
2017-04-05 00:00:00,67.25,67.25,66.5,66.5,1953
2017-04-04 00:00:00,66.5,68.0,66.5,67.25,3026
2017-04-03 00:00:00,65.0,66.5,65.0,66.25,7722
2017-03-31 00:00:00,65.5,66.5,65.5,65.75,3694
2017-03-30 00:00:00,67.0,67.0,65.25,65.5,7771
2017-03-29 00:00:00,66.5,66.75,66.0,66.5,3341
2017-03-28 00:00:00,66.5,68.0,66.5,66.5,3859
2017-03-27 00:00:00,67.5,68.0,66.5,66.5,4562
2017-03-24 00:00:00,68.0,68.5,67.0,67.5,6575
2017-03-23 00:00:00,68.5,69.75,67.5,68.0,3740
2017-03-22 00:00:00,69.5,69.5,68.0,68.5,4381
2017-03-21 00:00:00,69.0,70.0,68.0,69.5,10345
2017-03-20 00:00:00,70.0,70.0,69.0,69.0,588
2017-03-17 00:00:00,70.0,70.5,68.5,69.0,8359
2017-03-16 00:00:00,69.0,69.5,68.5,69.0,7550
2017-03-15 00:00:00,68.5,69.5,68.5,68.5,4188
2017-03-14 00:00:00,69.5,69.5,68.5,68.5,5533
2017-03-13 00:00:00,70.25,70.5,68.0,68.5,44670
2017-03-10 00:00:00,70.5,69.0,69.0,69.0,10801
2017-03-09 00:00:00,70.25,70.5,70.0,70.5,4893
2017-03-08 00:00:00,73.0,73.0,70.0,70.25,12182
2017-03-07 00:00:00,73.0,73.0,71.25,72.0,5480
2017-03-06 00:00:00,73.0,73.0,71.5,73.0,10383
2017-03-03 00:00:00,73.0,71.75,71.75,71.75,7031
2017-03-02 00:00:00,73.0,73.5,71.75,71.75,6287
2017-03-01 00:00:00,72.75,73.0,71.5,72.0,35405
2017-02-28 00:00:00,71.5,72.75,71.5,71.75,4217
2017-02-27 00:00:00,74.25,74.25,71.0,71.5,25039
2017-02-24 00:00:00,74.0,75.0,73.25,74.25,18366
2017-02-23 00:00:00,74.0,74.25,73.5,73.5,18735
2017-02-22 00:00:00,72.75,74.0,72.0,73.0,70829
2017-02-21 00:00:00,73.0,73.0,67.5,68.5,36003
2017-02-20 00:00:00,73.0,73.0,72.0,72.0,16687
2017-02-17 00:00:00,72.5,75.0,72.0,72.5,31967
2017-02-16 00:00:00,73.75,74.0,72.0,73.0,30402
2017-02-15 00:00:00,75.0,75.0,73.5,74.25,18916
2017-02-14 00:00:00,75.0,75.0,74.25,75.0,7264
2017-02-13 00:00:00,75.0,75.0,73.75,75.0,7227
2017-02-10 00:00:00,75.5,75.5,74.75,75.0,5403
2017-02-09 00:00:00,74.5,75.0,74.5,74.5,7270
2017-02-08 00:00:00,75.5,75.5,74.5,75.0,8333
2017-02-07 00:00:00,75.75,75.75,74.25,75.0,24384
2017-02-06 00:00:00,76.75,76.75,75.25,75.75,3977
2017-02-03 00:00:00,75.0,76.25,75.0,76.0,3089
2017-02-02 00:00:00,76.0,77.0,75.5,75.5,2734
2017-02-01 00:00:00,76.5,77.5,76.0,76.0,8376
2017-01-31 00:00:00,77.5,77.5,76.5,76.5,1340
2017-01-30 00:00:00,76.25,77.5,75.25,77.0,9135
2017-01-27 00:00:00,77.0,77.0,75.0,76.25,9531
2017-01-26 00:00:00,77.5,77.5,76.5,77.0,10190
2017-01-25 00:00:00,76.5,77.5,75.5,77.5,2935
2017-01-24 00:00:00,76.5,77.25,75.0,76.0,6429
2017-01-23 00:00:00,78.0,78.0,76.5,77.0,7380
2017-01-20 00:00:00,76.5,77.0,76.25,76.5,5685
2017-01-19 00:00:00,77.5,77.5,76.0,77.0,6907
2017-01-18 00:00:00,77.5,77.5,75.0,77.0,5019
2017-01-17 00:00:00,76.5,77.5,76.25,77.5,4394
2017-01-16 00:00:00,78.25,78.25,75.25,76.5,13441
2017-01-13 00:00:00,78.25,78.25,76.25,77.0,5521
2017-01-12 00:00:00,77.0,77.75,76.0,76.5,7253
2017-01-11 00:00:00,78.0,78.5,76.25,76.5,21374
2017-01-10 00:00:00,76.75,78.0,76.75,77.25,4048
2017-01-09 00:00:00,75.25,78.75,75.25,76.75,24261
2017-01-06 00:00:00,,77.75,77.75,77.75,0
2017-01-05 00:00:00,78.0,79.0,77.0,77.75,4119
2017-01-04 00:00:00,77.0,79.5,77.0,79.0,24477
2017-01-03 00:00:00,76.0,76.5,74.5,76.5,15395
2017-01-02 00:00:00,75.5,76.5,75.0,75.5,9454
2016-12-30 00:00:00,75.5,75.75,75.0,75.5,2905
2016-12-29 00:00:00,76.0,76.0,73.75,75.0,6902
2016-12-28 00:00:00,74.5,75.5,74.0,75.5,9273
2016-12-27 00:00:00,72.5,75.0,72.5,74.5,19692
2016-12-23 00:00:00,70.75,72.5,70.0,72.5,12250
2016-12-22 00:00:00,70.75,70.75,70.5,70.75,4572
2016-12-21 00:00:00,70.75,71.25,70.25,71.0,7883
2016-12-20 00:00:00,72.5,72.5,70.25,70.25,7679
2016-12-19 00:00:00,73.5,74.0,70.25,72.0,20265
2016-12-16 00:00:00,71.0,74.0,70.25,73.75,37458
2016-12-15 00:00:00,70.25,70.5,70.25,70.5,1496
2016-12-14 00:00:00,70.5,70.75,70.25,70.25,718
2016-12-13 00:00:00,70.25,71.25,70.25,71.0,1433
2016-12-12 00:00:00,71.5,71.5,70.25,71.25,4556
2016-12-09 00:00:00,70.5,71.5,70.5,71.5,3345
2016-12-08 00:00:00,70.5,71.5,70.5,71.25,2568
2016-12-07 00:00:00,73.5,73.5,71.5,71.5,44761
2016-12-06 00:00:00,73.0,73.5,72.0,73.5,12835
2016-12-05 00:00:00,72.0,72.5,69.5,72.0,16916
2016-12-02 00:00:00,71.25,73.0,71.25,72.0,20037
2016-12-01 00:00:00,71.0,72.0,70.25,71.25,19897
2016-11-30 00:00:00,70.0,70.5,69.75,70.25,14749
2016-11-29 00:00:00,69.0,70.0,68.75,69.5,16261
2016-11-28 00:00:00,68.0,70.5,68.0,68.75,51230
2016-11-25 00:00:00,66.0,66.0,65.0,65.75,1818
2016-11-24 00:00:00,65.0,66.0,64.5,65.0,5595
2016-11-23 00:00:00,64.0,65.5,63.25,65.0,4500
2016-11-22 00:00:00,64.5,65.0,63.25,64.0,4179
2016-11-21 00:00:00,64.75,65.0,63.75,64.0,12299
2016-11-18 00:00:00,64.5,65.0,63.75,64.5,18326
2016-11-17 00:00:00,64.5,65.0,64.5,64.5,8594
2016-11-16 00:00:00,65.0,65.5,64.25,64.5,2161
2016-11-15 00:00:00,64.0,65.25,62.0,65.0,12818
2016-11-14 00:00:00,66.75,66.75,65.0,65.0,7157
2016-11-11 00:00:00,68.5,69.0,65.5,66.0,3612
2016-11-10 00:00:00,68.0,68.5,66.0,67.75,9051
2016-11-09 00:00:00,62.0,68.0,62.0,68.0,23569
2016-11-08 00:00:00,68.0,68.0,65.5,65.5,8497
2016-11-07 00:00:00,68.0,69.0,67.25,68.0,16359
2016-11-04 00:00:00,71.25,71.25,69.5,69.5,4866
2016-11-03 00:00:00,69.0,70.5,69.0,70.0,14681
2016-11-02 00:00:00,69.5,70.0,66.0,70.0,12508
2016-11-01 00:00:00,70.0,70.25,69.5,70.0,2331
2016-10-31 00:00:00,71.0,71.0,69.5,70.0,12231
2016-10-28 00:00:00,70.5,71.25,70.5,71.0,5365
2016-10-27 00:00:00,70.75,71.0,70.25,70.5,3917
2016-10-26 00:00:00,71.0,71.0,70.0,70.0,11072
2016-10-25 00:00:00,71.0,71.0,70.0,70.5,7951
2016-10-24 00:00:00,71.75,72.25,70.25,70.25,8837
2016-10-21 00:00:00,73.0,73.0,70.0,70.75,29867
2016-10-20 00:00:00,72.5,72.75,69.5,72.75,60476
2016-10-19 00:00:00,71.75,73.75,71.75,73.5,8760
2016-10-18 00:00:00,71.25,72.25,71.25,71.75,6682
2016-10-17 00:00:00,73.0,73.0,71.0,71.75,6730
2016-10-14 00:00:00,72.0,72.5,71.5,72.25,1908
2016-10-13 00:00:00,73.25,73.25,71.5,72.0,10129
2016-10-12 00:00:00,74.25,74.25,72.75,73.25,1023
2016-10-11 00:00:00,74.0,74.25,73.0,74.25,5381
2016-10-10 00:00:00,72.25,74.25,71.5,74.25,12591
2016-10-07 00:00:00,73.75,73.75,71.25,72.25,4325
2016-10-06 00:00:00,73.0,74.5,72.5,74.5,10877
2016-10-05 00:00:00,71.75,72.75,71.5,71.75,10024
2016-10-04 00:00:00,70.5,71.75,70.5,71.25,6814
2016-10-03 00:00:00,69.5,70.5,69.5,70.0,9534
2016-09-30 00:00:00,69.75,69.75,68.25,69.5,2509
2016-09-29 00:00:00,70.0,70.0,68.75,69.25,7442
2016-09-28 00:00:00,68.25,70.0,68.25,70.0,5730
2016-09-27 00:00:00,68.5,68.5,67.0,68.25,7078
2016-09-26 00:00:00,67.0,70.0,67.0,68.0,19990
2016-09-23 00:00:00,67.5,67.5,66.75,66.75,742
2016-09-22 00:00:00,67.5,68.0,67.25,67.25,6518
2016-09-21 00:00:00,66.5,67.5,66.25,67.25,68110
2016-09-20 00:00:00,67.0,67.0,66.25,66.5,75115
2016-09-19 00:00:00,67.5,67.5,66.25,67.0,2115
2016-09-16 00:00:00,65.5,67.5,65.5,67.5,5757
2016-09-15 00:00:00,66.0,67.0,65.75,65.75,3238
2016-09-14 00:00:00,67.0,67.0,66.0,66.75,5646
2016-09-13 00:00:00,66.0,67.75,66.0,66.25,2063
2016-09-12 00:00:00,66.5,67.5,65.5,65.75,8403
2016-09-09 00:00:00,68.0,68.75,68.0,68.0,10812
2016-09-08 00:00:00,68.5,68.5,67.75,68.5,3582
2016-09-07 00:00:00,65.75,68.5,65.0,68.5,18532
2016-09-06 00:00:00,66.25,66.25,65.0,66.0,20728
2016-09-05 00:00:00,65.75,66.25,65.5,66.25,2102
2016-09-02 00:00:00,67.0,68.0,66.25,66.25,4503
2016-09-01 00:00:00,66.75,66.75,65.75,66.5,8398
2016-08-31 00:00:00,67.0,67.0,65.25,66.75,4839
2016-08-30 00:00:00,67.5,68.0,66.5,68.0,15307
2016-08-29 00:00:00,64.75,68.0,64.75,68.0,13305
2016-08-26 00:00:00,64.25,66.0,64.25,65.0,9876
2016-08-25 00:00:00,65.0,65.0,64.75,65.0,9919
2016-08-24 00:00:00,63.75,65.5,63.0,65.0,21759
2016-08-23 00:00:00,64.0,64.5,63.0,64.25,9914
2016-08-22 00:00:00,64.25,65.0,64.0,64.0,2814
2016-08-19 00:00:00,65.0,65.0,64.25,64.25,6974
2016-08-18 00:00:00,65.0,65.25,64.75,65.0,24843
2016-08-17 00:00:00,65.0,65.5,64.75,65.0,14068
2016-08-16 00:00:00,64.5,66.0,64.5,65.0,18984
2016-08-15 00:00:00,65.0,65.5,64.0,64.5,20299
2016-08-12 00:00:00,65.0,65.5,64.5,65.0,3621
2016-08-11 00:00:00,65.0,65.25,64.0,65.25,10288
2016-08-10 00:00:00,65.0,65.5,64.75,65.0,6554
2016-08-09 00:00:00,65.0,65.0,64.0,65.0,4769
2016-08-08 00:00:00,65.5,65.5,64.0,65.0,3977
2016-08-05 00:00:00,65.0,65.5,65.0,65.5,2076
2016-08-04 00:00:00,65.0,65.25,63.0,65.0,21389
2016-08-03 00:00:00,65.0,66.0,65.0,65.0,3132
2016-08-02 00:00:00,66.0,66.0,65.0,65.0,8922
2016-08-01 00:00:00,66.0,66.0,65.25,65.75,963
2016-07-29 00:00:00,65.5,66.25,65.0,65.0,1357
2016-07-28 00:00:00,65.0,65.5,64.5,65.0,29099
2016-07-27 00:00:00,65.75,66.0,65.0,66.0,4178
2016-07-26 00:00:00,65.25,65.25,65.0,65.0,8068
2016-07-25 00:00:00,64.25,65.25,64.25,65.25,3702
2016-07-22 00:00:00,65.0,65.25,64.0,64.25,3472
2016-07-21 00:00:00,65.0,65.25,64.25,65.25,3833
2016-07-20 00:00:00,65.0,66.0,64.5,65.25,10501
2016-07-19 00:00:00,66.0,66.0,64.5,64.5,2262
2016-07-18 00:00:00,65.0,65.75,64.5,65.75,37433
2016-07-15 00:00:00,65.25,65.5,64.0,65.0,52338
2016-07-14 00:00:00,67.0,68.0,64.0,65.25,16823
2016-07-13 00:00:00,65.75,66.75,65.75,66.75,3156
2016-07-12 00:00:00,67.0,67.0,65.5,66.0,3647
2016-07-11 00:00:00,66.25,68.0,66.25,67.0,4485
2016-07-08 00:00:00,66.5,67.0,65.0,67.0,5076
2016-07-07 00:00:00,66.0,66.5,65.0,66.5,5449
2016-07-06 00:00:00,65.0,66.5,65.0,66.0,8377
2016-07-05 00:00:00,65.0,65.75,63.25,65.0,21790
2016-07-04 00:00:00,64.0,65.25,64.0,65.0,18367
2016-07-01 00:00:00,65.25,65.25,63.0,64.0,13018
2016-06-30 00:00:00,64.0,65.25,64.0,64.0,6031
2016-06-29 00:00:00,62.0,64.5,61.25,64.5,9868
2016-06-28 00:00:00,62.5,64.0,61.25,63.0,8299
2016-06-27 00:00:00,62.0,63.5,61.0,62.5,19518
2016-06-24 00:00:00,,64.25,64.25,64.25,0
2016-06-23 00:00:00,64.5,64.75,63.25,64.25,17966
2016-06-22 00:00:00,63.5,64.5,63.5,64.0,11342
2016-06-21 00:00:00,64.0,64.25,63.25,63.5,9073
2016-06-20 00:00:00,64.0,64.25,62.75,63.75,23115
2016-06-17 00:00:00,63.0,64.25,62.0,64.0,10526
2016-06-16 00:00:00,62.0,64.0,62.0,63.0,10671
2016-06-15 00:00:00,61.0,64.25,60.25,62.5,120752
2016-06-14 00:00:00,64.0,64.0,62.25,63.0,17873
2016-06-13 00:00:00,63.25,64.75,63.0,64.0,52333
2016-06-10 00:00:00,65.0,65.0,63.75,64.0,13852
2016-06-09 00:00:00,65.0,65.5,63.5,65.0,15315
2016-06-08 00:00:00,63.5,65.0,62.5,64.5,29681
2016-06-07 00:00:00,64.25,64.25,62.5,63.5,16264
2016-06-06 00:00:00,,63.5,63.5,63.5,0
2016-06-03 00:00:00,63.0,63.75,63.0,63.5,10801
2016-06-02 00:00:00,63.25,63.5,62.25,63.5,8290
2016-06-01 00:00:00,63.0,63.5,62.0,63.25,9951
2016-05-31 00:00:00,62.5,63.75,61.5,62.75,12180
2016-05-30 00:00:00,62.0,63.0,61.75,62.5,12917
2016-05-27 00:00:00,60.0,61.75,59.5,61.75,13643
2016-05-26 00:00:00,59.0,60.25,59.0,59.25,10627
2016-05-25 00:00:00,60.0,61.5,59.0,59.0,31943
2016-05-24 00:00:00,61.0,62.0,60.0,60.0,10138
2016-05-23 00:00:00,62.0,62.0,60.25,60.5,8789
2016-05-20 00:00:00,62.0,62.0,61.0,62.0,7002
2016-05-19 00:00:00,63.0,63.0,61.25,61.25,25193
2016-05-18 00:00:00,65.0,65.5,63.5,63.5,3758
2016-05-17 00:00:00,63.5,66.25,63.5,65.0,7510
