Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,142.25,143.5,139.75,142.0,3992
2017-09-07 00:00:00,142.5,142.5,140.0,142.25,583
2017-09-06 00:00:00,141.75,148.25,141.75,142.25,721
2017-09-04 00:00:00,144.0,144.0,141.5,142.0,1833
2017-09-01 00:00:00,147.75,147.75,142.25,145.25,1065
2017-08-31 00:00:00,149.0,150.0,147.75,147.75,789
2017-08-30 00:00:00,146.5,148.0,146.5,148.0,44
2017-08-29 00:00:00,150.0,150.0,146.5,148.0,646
2017-08-28 00:00:00,146.75,150.0,146.75,149.0,71
2017-08-25 00:00:00,147.0,148.0,147.0,148.0,370
2017-08-24 00:00:00,150.0,150.0,144.75,144.75,549
2017-08-23 00:00:00,147.5,150.5,146.0,150.0,773
2017-08-22 00:00:00,142.0,147.25,142.0,146.75,1776
2017-08-21 00:00:00,142.0,142.75,140.0,140.0,235
2017-08-18 00:00:00,144.0,144.0,138.25,142.0,2508
2017-08-17 00:00:00,144.0,146.75,143.5,145.25,1615
2017-08-16 00:00:00,150.0,150.0,144.0,146.0,2181
2017-08-15 00:00:00,151.0,151.0,147.0,150.0,731
2017-08-14 00:00:00,147.5,150.0,147.5,149.25,1955
2017-08-11 00:00:00,152.0,152.0,144.5,147.25,1606
2017-08-10 00:00:00,152.0,153.0,152.0,153.0,636
2017-08-09 00:00:00,152.5,154.0,151.0,151.0,1049
2017-08-08 00:00:00,152.5,152.5,151.0,152.5,954
2017-08-07 00:00:00,152.0,153.0,152.0,152.0,154
2017-08-04 00:00:00,153.0,153.0,152.5,153.0,85
2017-08-03 00:00:00,154.0,156.5,150.5,153.0,984
2017-08-02 00:00:00,157.0,157.0,153.5,154.0,596
2017-08-01 00:00:00,154.0,157.0,149.5,157.0,844
2017-07-31 00:00:00,157.0,157.0,152.5,154.0,1571
2017-07-28 00:00:00,153.0,153.0,152.5,153.0,628
2017-07-27 00:00:00,151.0,152.5,150.0,152.5,1649
2017-07-26 00:00:00,151.0,151.0,146.75,151.0,1242
2017-07-25 00:00:00,147.5,156.0,147.5,151.0,1828
2017-07-24 00:00:00,145.0,146.0,141.0,146.0,3117
2017-07-21 00:00:00,149.0,151.5,146.0,146.0,1207
2017-07-20 00:00:00,150.0,150.5,149.0,149.0,434
2017-07-19 00:00:00,149.0,150.5,146.5,150.0,1437
2017-07-18 00:00:00,151.0,157.0,146.75,150.5,1623
2017-07-17 00:00:00,156.0,158.5,150.0,154.0,2658
2017-07-14 00:00:00,159.5,159.5,154.5,155.5,2266
2017-07-13 00:00:00,157.5,160.0,150.0,157.5,4444
2017-07-12 00:00:00,141.25,161.0,141.25,157.0,11742
