Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,97.75,99.0,97.25,98.25,11038
2017-09-07 00:00:00,97.0,98.0,97.0,97.75,5163
2017-09-06 00:00:00,97.75,97.75,97.0,97.0,10650
2017-09-04 00:00:00,99.0,99.0,95.75,96.0,19811
2017-09-01 00:00:00,98.5,99.5,97.5,99.0,12599
2017-08-31 00:00:00,95.5,99.0,95.5,98.5,15927
2017-08-30 00:00:00,93.5,95.75,93.5,95.5,9418
2017-08-29 00:00:00,95.0,95.0,92.75,93.5,10589
2017-08-28 00:00:00,95.0,95.25,93.0,95.0,9558
2017-08-25 00:00:00,95.0,96.0,94.25,95.25,6375
2017-08-24 00:00:00,97.25,97.25,94.0,95.0,4988
2017-08-23 00:00:00,95.0,96.75,94.0,96.25,6635
2017-08-22 00:00:00,94.25,96.0,94.0,95.0,6424
2017-08-21 00:00:00,95.5,95.5,94.0,94.25,8123
2017-08-18 00:00:00,96.75,97.25,95.0,95.75,11333
2017-08-17 00:00:00,98.75,98.75,96.0,98.5,6546
2017-08-16 00:00:00,97.5,99.0,96.25,98.75,6867
2017-08-15 00:00:00,96.75,97.75,96.5,97.75,10300
2017-08-14 00:00:00,95.0,97.0,95.0,96.75,6287
2017-08-11 00:00:00,95.25,95.5,94.0,94.5,13588
2017-08-10 00:00:00,99.0,99.0,95.25,95.75,12754
2017-08-09 00:00:00,99.5,99.5,98.5,98.5,11907
2017-08-08 00:00:00,98.5,101.25,98.25,98.75,33566
2017-08-07 00:00:00,97.25,99.5,95.25,97.75,75305
2017-08-04 00:00:00,93.0,93.0,90.75,91.5,24644
2017-08-03 00:00:00,92.0,92.0,91.5,91.75,20729
2017-08-02 00:00:00,91.5,92.0,91.5,91.75,13490
2017-08-01 00:00:00,93.5,93.5,91.25,91.5,32430
2017-07-31 00:00:00,91.5,93.75,91.5,93.0,16887
2017-07-28 00:00:00,93.0,93.0,90.5,91.25,10608
2017-07-27 00:00:00,92.5,93.25,91.5,92.0,10481
2017-07-26 00:00:00,91.0,94.25,91.0,92.5,8351
2017-07-25 00:00:00,91.5,93.5,90.75,90.75,13916
2017-07-24 00:00:00,93.5,94.5,91.5,91.75,18393
2017-07-21 00:00:00,95.0,95.0,93.0,93.5,21903
2017-07-20 00:00:00,96.75,96.75,92.0,94.5,68742
2017-07-19 00:00:00,100.0,100.0,98.0,98.25,9856
