Dates,Open,High,Low,Close,Volume
2017-06-30 00:00:00,46.16,46.16,46.16,46.16,0
2017-06-29 00:00:00,44.75,44.75,44.75,44.75,0
2017-06-28 00:00:00,44.71,44.71,44.71,44.71,0
2017-06-27 00:00:00,44.27,44.27,44.27,44.27,0
2017-06-26 00:00:00,43.44,43.44,43.44,43.44,0
2017-06-23 00:00:00,43.01,43.01,43.01,43.01,0
2017-06-22 00:00:00,42.74,42.74,42.74,42.74,0
2017-06-21 00:00:00,42.53,42.53,42.53,42.53,0
2017-06-20 00:00:00,43.45,43.45,43.45,43.45,0
2017-06-19 00:00:00,44.13,44.13,44.13,44.13,0
2017-06-16 00:00:00,44.72,44.72,44.72,44.72,0
2017-06-15 00:00:00,44.37,44.37,44.37,44.37,0
2017-06-14 00:00:00,44.77,44.77,44.77,44.77,0
2017-06-13 00:00:00,46.49,46.49,46.49,46.49,0
2017-06-12 00:00:00,46.11,46.11,46.11,46.11,0
2017-06-09 00:00:00,45.87,45.87,45.87,45.87,0
2017-06-08 00:00:00,45.63,45.63,45.63,45.63,0
2017-06-07 00:00:00,45.78,45.78,45.78,45.78,0
2017-06-06 00:00:00,48.16,48.16,48.16,48.16,0
2017-06-05 00:00:00,47.39,47.39,47.39,47.39,0
2017-06-02 00:00:00,47.68,47.68,47.68,47.68,0
2017-06-01 00:00:00,48.07,48.07,48.07,48.07,0
2017-05-31 00:00:00,48.12,48.12,48.12,48.12,0
2017-05-30 00:00:00,49.6,49.6,49.6,49.6,0
2017-05-29 00:00:00,49.97,49.97,49.97,49.97,0
2017-05-26 00:00:00,49.78,49.78,49.78,49.78,0
2017-05-25 00:00:00,48.63,48.63,48.63,48.63,0
2017-05-24 00:00:00,51.27,51.27,51.27,51.27,0
2017-05-23 00:00:00,51.43,51.43,51.43,51.43,0
2017-05-22 00:00:00,50.99,50.99,50.99,50.99,0
2017-05-19 00:00:00,50.3,50.3,50.3,50.3,0
2017-05-18 00:00:00,49.26,49.26,49.26,49.26,0
2017-05-17 00:00:00,49.01,49.01,49.01,49.01,0
2017-05-16 00:00:00,48.61,48.61,48.61,48.61,0
2017-05-15 00:00:00,48.82,48.82,48.82,48.82,0
2017-05-12 00:00:00,47.87,47.87,47.87,47.87,0
2017-05-11 00:00:00,47.75,47.75,47.75,47.75,0
2017-05-10 00:00:00,47.35,47.35,47.35,47.35,0
2017-05-09 00:00:00,46.02,46.02,46.02,46.02,0
2017-05-08 00:00:00,46.4,46.4,46.4,46.4,0
2017-05-05 00:00:00,46.31,46.31,46.31,46.31,0
2017-05-04 00:00:00,45.48,45.48,45.48,45.48,0
2017-05-03 00:00:00,47.77,47.77,47.77,47.77,0
2017-05-02 00:00:00,47.56,47.56,47.56,47.56,0
2017-05-01 00:00:00,48.74,48.74,48.74,48.74,0
2017-04-28 00:00:00,49.12,49.12,49.12,49.12,0
2017-04-27 00:00:00,49.16,49.16,49.16,49.16,0
2017-04-26 00:00:00,49.36,49.36,49.36,49.36,0
2017-04-25 00:00:00,49.7,49.7,49.7,49.7,0
2017-04-24 00:00:00,49.17,49.17,49.17,49.17,0
2017-04-21 00:00:00,49.57,49.57,49.57,49.57,0
2017-04-20 00:00:00,50.61,50.61,50.61,50.61,0
2017-04-19 00:00:00,50.52,50.52,50.52,50.52,0
2017-04-18 00:00:00,52.55,52.55,52.55,52.55,0
2017-04-17 00:00:00,52.59,52.59,52.59,52.59,0
2017-04-13 00:00:00,53.05,53.05,53.05,53.05,0
2017-04-12 00:00:00,52.94,52.94,52.94,52.94,0
2017-04-11 00:00:00,53.1,53.1,53.1,53.1,0
2017-04-10 00:00:00,52.98,52.98,52.98,52.98,0
2017-04-07 00:00:00,52.17,52.17,52.17,52.17,0
2017-04-06 00:00:00,51.59,51.59,51.59,51.59,0
2017-04-05 00:00:00,50.83,50.83,50.83,50.83,0
2017-04-04 00:00:00,50.99,50.99,50.99,50.99,0
2017-04-03 00:00:00,50.34,50.34,50.34,50.34,0
2017-03-31 00:00:00,50.64,50.64,50.64,50.64,0
2017-03-30 00:00:00,50.26,50.26,50.26,50.26,0
2017-03-29 00:00:00,49.41,49.41,49.41,49.41,0
2017-03-28 00:00:00,48.36,48.36,48.36,48.36,0
2017-03-27 00:00:00,47.76,47.76,47.76,47.76,0
2017-03-24 00:00:00,48.15,48.15,48.15,48.15,0
2017-03-23 00:00:00,47.68,47.68,47.68,47.68,0
2017-03-22 00:00:00,48.12,48.12,48.12,48.12,0
2017-03-21 00:00:00,48.22,48.22,48.22,48.22,0
2017-03-20 00:00:00,48.14,48.14,48.14,48.14,0
2017-03-17 00:00:00,48.68,48.68,48.68,48.68,0
2017-03-16 00:00:00,48.79,48.79,48.79,48.79,0
2017-03-15 00:00:00,48.93,48.93,48.93,48.93,0
2017-03-14 00:00:00,48.06,48.06,48.06,48.06,0
2017-03-13 00:00:00,48.39,48.39,48.39,48.39,0
2017-03-10 00:00:00,48.46,48.46,48.46,48.46,0
2017-03-09 00:00:00,49.6,49.6,49.6,49.6,0
2017-03-08 00:00:00,50.28,50.28,50.28,50.28,0
2017-03-07 00:00:00,53.1,53.1,53.1,53.1,0
2017-03-06 00:00:00,53.2,53.2,53.2,53.2,0
2017-03-03 00:00:00,53.18,53.18,53.18,53.18,0
2017-03-02 00:00:00,52.65,52.65,52.65,52.65,0
2017-03-01 00:00:00,53.81,53.81,53.81,53.81,0
2017-02-28 00:00:00,53.92,53.92,53.92,53.92,0
2017-02-27 00:00:00,54.07,54.07,54.07,54.07,0
2017-02-24 00:00:00,54.01,54.01,54.01,54.01,0
2017-02-23 00:00:00,54.33,54.33,54.33,54.33,0
2017-02-22 00:00:00,53.52,53.52,53.52,53.52,0
2017-02-21 00:00:00,54.36,54.36,54.36,54.36,0
2017-02-20 00:00:00,53.54,53.54,53.54,53.54,0
2017-02-17 00:00:00,53.33,53.33,53.33,53.33,0
2017-02-16 00:00:00,53.38,53.38,53.38,53.38,0
2017-02-15 00:00:00,53.05,53.05,53.05,53.05,0
2017-02-14 00:00:00,53.16,53.16,53.16,53.16,0
2017-02-13 00:00:00,52.83,52.83,52.83,52.83,0
2017-02-10 00:00:00,53.76,53.76,53.76,53.76,0
2017-02-09 00:00:00,52.99,52.99,52.99,52.99,0
2017-02-08 00:00:00,52.43,52.43,52.43,52.43,0
2017-02-07 00:00:00,52.16,52.16,52.16,52.16,0
2017-02-06 00:00:00,53.07,53.07,53.07,53.07,0
2017-02-03 00:00:00,53.77,53.77,53.77,53.77,0
2017-02-02 00:00:00,53.61,53.61,53.61,53.61,0
2017-02-01 00:00:00,53.49,53.49,53.49,53.49,0
2017-01-31 00:00:00,52.78,52.78,52.78,52.78,0
2017-01-30 00:00:00,52.62,52.62,52.62,52.62,0
2017-01-27 00:00:00,53.16,53.16,53.16,53.16,0
2017-01-26 00:00:00,53.79,53.79,53.79,53.79,0
2017-01-25 00:00:00,52.86,52.86,52.86,52.86,0
2017-01-24 00:00:00,53.05,53.05,53.05,53.05,0
2017-01-23 00:00:00,52.77,52.77,52.77,52.77,0
2017-01-20 00:00:00,53.11,53.11,53.11,53.11,0
2017-01-19 00:00:00,51.35,51.35,51.35,51.35,0
