Dates;Open;High;Low;Close;Volume
2017-10-09;10.65;10.75;10.6;10.61;371890
2017-10-06;10.71;10.76;10.64;10.64;648422
2017-10-05;10.7;10.78;10.65;10.7;602723
2017-10-04;10.75;10.8;10.67;10.76;640772
2017-10-03;10.9;10.94;10.65;10.75;921563
2017-10-02;11.1;11.12;10.82;10.87;1175840
2017-09-29;11.29;11.3;11.09;11.09;840025
2017-09-28;11.45;11.45;11.27;11.3;635462
2017-09-27;11.5;11.63;11.4;11.45;1422730
2017-09-26;11.25;11.61;11.16;11.4;2566564
2017-09-25;11.01;11.22;10.96;11.16;1565761
2017-09-22;11.01;11.13;10.96;11.06;701972
2017-09-21;11.0;11.19;11.0;11.11;518029
2017-09-20;10.95;11.18;10.91;11.18;637247
2017-09-19;11.04;11.14;10.93;10.98;1684229
2017-09-18;11.23;11.34;11.04;11.13;731388
2017-09-15;11.41;11.48;11.2;11.21;1237107
2017-09-14;11.2;11.53;11.11;11.43;1182638
2017-09-13;10.86;11.19;10.85;11.11;1346756
2017-09-12;10.89;10.98;10.8;10.9;405417
2017-09-11;10.99;11.01;10.83;10.85;535346
2017-09-08;10.94;11.09;10.94;10.96;229320
2017-09-07;11.1;11.1;10.93;10.94;449750
2017-09-06;10.9;11.1;10.71;11.1;1010002
2017-09-04;10.85;10.9;10.71;10.72;488768
2017-09-01;11.2;11.2;10.75;10.8;1190079
2017-08-31;10.9;11.06;10.8;11.06;630490
2017-08-30;10.84;10.95;10.74;10.86;626344
2017-08-29;11.07;11.14;10.67;10.75;1248529
2017-08-28;11.31;11.31;11.07;11.07;754893
2017-08-25;11.5;11.6;11.25;11.31;769071
2017-08-24;11.62;11.69;11.47;11.52;487322
2017-08-23;11.82;11.82;11.56;11.62;413758
2017-08-22;11.55;11.85;11.41;11.82;1127759
2017-08-21;11.5;11.53;11.28;11.48;751296
2017-08-18;11.46;11.57;11.28;11.28;876941
2017-08-17;11.77;11.82;11.42;11.45;1583997
2017-08-16;12.03;12.08;11.76;11.76;1336301
2017-08-15;12.04;12.12;11.99;12.12;437916
2017-08-14;12.21;12.38;12.13;12.19;544951
2017-08-11;12.3;12.32;11.86;12.02;1553982
2017-08-10;12.48;12.51;12.33;12.36;629092
2017-08-09;12.45;12.55;12.34;12.38;667018
2017-08-08;12.4;12.5;12.26;12.43;618744
2017-08-07;12.47;12.64;12.42;12.46;417027
2017-08-04;12.59;12.59;12.42;12.47;482955
2017-08-03;12.51;12.59;12.43;12.59;560159
2017-08-02;12.55;12.62;12.28;12.4;944691
2017-08-01;12.62;12.74;12.54;12.55;687456
2017-07-31;12.8;12.97;12.59;12.59;873353
2017-07-28;12.79;12.86;12.65;12.79;427824
2017-07-27;12.94;13.1;12.77;12.77;624597
2017-07-26;12.68;12.96;12.66;12.88;1340439
2017-07-25;13.2;13.36;13.14;13.16;492314
2017-07-24;12.85;13.2;12.79;13.2;818653
2017-07-21;12.9;13.11;12.75;13.01;1255303
2017-07-20;12.62;13.0;12.62;13.0;1150405
2017-07-19;12.4;12.57;12.25;12.57;605380
2017-07-18;12.58;12.59;12.41;12.46;555679
2017-07-17;12.58;12.79;12.57;12.58;528790
2017-07-14;12.3;12.77;12.3;12.58;718015
2017-07-13;12.39;12.55;12.31;12.55;548469
2017-07-12;12.19;12.49;12.19;12.39;1052548
2017-07-11;12.32;12.34;12.01;12.11;1147122
2017-07-10;12.6;12.62;12.32;12.32;769813
2017-07-07;12.63;12.68;12.54;12.54;704699
2017-07-06;12.65;12.8;12.59;12.8;1237765
2017-07-05;12.8;12.97;12.7;12.79;1145988
2017-07-04;12.7;12.88;12.7;12.8;616744
2017-07-03;12.73;12.89;12.57;12.88;864438
2017-06-30;12.7;12.7;12.43;12.58;1418321
2017-06-29;12.72;12.81;12.32;12.74;2030189
2017-06-28;12.7;12.75;12.56;12.66;481175
2017-06-27;12.6;12.7;12.45;12.7;895835
2017-06-26;12.56;12.81;12.4;12.45;934552
2017-06-23;;12.55;12.55;12.55;0
2017-06-22;12.65;12.65;12.42;12.55;1633776
2017-06-21;12.59;12.95;12.52;12.84;1000086
2017-06-20;13.0;13.0;12.6;12.61;1177200
2017-06-19;12.73;13.0;12.72;12.94;654203
2017-06-16;12.84;13.19;12.71;12.73;1438176
2017-06-15;13.01;13.05;12.61;12.7;1898436
2017-06-14;13.2;13.26;13.02;13.17;1095549
2017-06-13;13.14;13.18;13.02;13.14;916106
2017-06-12;12.75;13.14;12.61;13.13;2228028
2017-06-09;12.93;13.05;12.65;12.71;3224173
2017-06-08;13.01;13.16;12.85;13.0;1498681
2017-06-07;13.42;13.45;12.99;13.03;1286363
2017-06-06;;13.16;13.16;13.16;0
2017-06-05;13.16;13.37;13.15;13.16;917672
2017-06-02;13.21;13.39;13.12;13.15;1393420
2017-06-01;13.14;13.43;13.12;13.4;1331332
2017-05-31;13.3;13.3;13.06;13.06;2393560
2017-05-30;13.69;13.72;13.3;13.34;1344466
2017-05-29;13.76;13.99;13.47;13.51;988915
2017-05-26;14.02;14.02;13.75;13.76;2061385
2017-05-24;14.43;14.49;14.31;14.33;303026
2017-05-23;14.31;14.49;14.16;14.43;1148558
2017-05-22;14.7;14.75;14.3;14.3;1479124
2017-05-19;14.16;14.56;14.15;14.56;1490015
2017-05-18;14.4;14.46;13.71;14.04;2964437
2017-05-17;14.46;14.69;14.11;14.5;4308394
2017-05-16;13.8;14.25;13.8;13.81;1438661
2017-05-15;13.7;14.07;13.63;14.01;2464410
2017-05-12;13.45;13.38;13.38;13.38;831646
2017-05-11;13.6;13.85;13.35;13.63;1245227
2017-05-10;13.14;13.48;13.14;13.48;1081065
2017-05-09;13.0;13.48;13.0;13.27;1344484
2017-05-08;13.3;13.39;12.95;12.98;1696497
2017-05-05;13.0;13.35;12.82;13.14;1446917
2017-05-04;13.5;13.5;13.08;13.12;1788415
2017-05-03;13.75;13.8;13.16;13.16;1749038
2017-05-02;13.91;14.06;13.75;13.76;872129
2017-05-01;;13.92;13.92;13.92;0
2017-04-28;14.1;14.17;13.9;13.92;1025376
2017-04-27;14.68;14.73;13.9;13.95;1818782
2017-04-26;14.01;14.61;14.01;14.33;1890875
2017-04-25;13.93;14.38;13.72;14.05;1391428
2017-04-24;13.98;14.0;13.67;13.84;1667819
2017-04-21;14.1;14.19;13.66;13.66;1295076
2017-04-20;14.14;14.38;14.01;14.03;845171
2017-04-19;14.17;14.55;14.1;14.27;760622
2017-04-18;14.6;14.75;14.23;14.24;1746248
2017-04-13;14.95;15.03;14.65;14.76;943634
2017-04-12;15.01;15.4;15.01;15.12;876742
2017-04-11;15.5;15.5;14.93;14.93;1454999
2017-04-10;15.45;15.66;15.32;15.66;1004532
2017-04-07;15.25;15.55;15.2;15.46;1144029
2017-04-06;15.0;15.44;14.93;15.35;1455027
2017-04-05;15.26;15.43;15.16;15.16;2251276
2017-04-04;14.88;15.12;14.63;15.1;1186482
2017-04-03;15.01;15.38;14.8;14.91;1600579
2017-03-31;15.32;15.36;14.86;15.02;1309420
2017-03-30;14.66;15.27;14.62;15.27;2458399
2017-03-29;14.19;14.5;14.16;14.5;1772425
2017-03-28;13.79;14.13;13.79;14.11;1420813
2017-03-27;14.07;14.2;13.62;13.69;2027125
2017-03-24;14.01;14.3;13.94;14.16;1532055
2017-03-23;14.0;14.2;13.86;13.96;1439373
2017-03-22;14.16;14.16;13.43;13.95;5281239
2017-03-21;14.6;14.63;14.33;14.33;1597291
2017-03-20;14.7;14.73;14.51;14.55;1051824
