Dates;Open;High;Low;Close;Volume
2017-10-09;344.3;345.5;342.7;344.0;1857074
2017-10-06;347.6;347.8;343.5;344.4;1313070
2017-10-05;348.5;350.0;346.2;346.5;2300554
2017-10-04;349.5;350.3;347.4;349.4;1482984
2017-10-03;348.3;350.8;347.7;349.0;1387088
2017-10-02;346.4;347.9;343.7;347.1;1362443
2017-09-29;342.5;345.3;340.0;344.9;1701287
2017-09-28;336.5;342.6;335.4;342.0;1887365
2017-09-27;333.2;337.6;331.8;335.6;1614945
2017-09-26;329.3;333.4;328.8;331.9;1429026
2017-09-25;329.2;331.6;328.5;329.3;1163078
2017-09-22;329.8;330.7;327.7;329.6;1351433
2017-09-21;328.3;329.8;326.0;329.7;1466483
2017-09-20;328.8;330.2;327.1;327.4;1271715
2017-09-19;328.0;330.7;326.9;328.9;1162949
2017-09-18;327.1;328.7;326.0;328.7;1013810
2017-09-15;326.3;328.9;324.9;325.1;1835649
2017-09-14;324.2;327.6;323.5;327.6;1689397
2017-09-13;324.6;325.8;323.1;324.8;1317636
2017-09-12;324.0;325.9;321.6;324.9;1483790
2017-09-11;318.0;323.3;318.0;322.8;1443996
2017-09-08;317.6;319.0;314.8;316.6;1893721
2017-09-07;314.6;317.9;313.0;317.8;2391992
2017-09-06;313.3;315.2;311.9;313.1;1693920
2017-09-04;311.9;316.2;311.0;315.0;1677552
2017-09-01;313.6;314.4;311.7;314.0;2414384
2017-08-31;306.5;313.0;305.5;311.4;2845203
2017-08-30;306.5;307.0;302.8;305.1;1387134
2017-08-29;305.2;306.0;303.3;303.3;1955171
2017-08-28;308.9;308.9;305.9;307.1;1594790
2017-08-25;305.5;314.4;305.4;310.0;3477284
2017-08-24;306.3;306.8;304.5;304.7;2020594
2017-08-23;301.8;308.0;301.5;305.3;3946500
2017-08-22;293.8;300.8;292.4;300.2;2550832
2017-08-21;292.9;293.7;290.2;291.9;1791879
2017-08-18;293.4;294.8;292.3;294.0;1646326
2017-08-17;296.1;299.9;294.7;295.8;2962356
2017-08-16;293.3;296.3;293.2;294.3;1781415
2017-08-15;295.7;296.5;290.9;292.4;1379870
2017-08-14;295.6;297.7;293.2;294.6;1575536
2017-08-11;294.6;295.1;290.9;293.3;1468051
2017-08-10;299.0;299.9;296.0;296.0;1384486
2017-08-09;298.9;300.2;296.5;299.0;1624826
2017-08-08;297.3;301.1;295.8;300.7;1703332
2017-08-07;298.2;300.0;295.8;298.2;1738843
2017-08-04;293.7;299.5;291.9;297.9;2507039
2017-08-03;291.2;294.4;289.4;292.8;1690932
2017-08-02;296.4;297.4;291.2;291.8;1976247
2017-08-01;294.0;297.8;292.8;296.0;2197136
2017-07-31;296.0;297.4;292.6;292.6;1668774
2017-07-28;297.9;298.3;294.5;296.4;1973064
2017-07-27;304.2;306.3;297.7;298.4;2690688
2017-07-26;302.8;305.2;301.5;304.8;1533316
2017-07-25;301.1;306.0;301.0;302.9;2311065
2017-07-24;304.4;305.1;301.1;301.4;2001399
2017-07-21;308.3;309.9;303.9;304.4;2837362
2017-07-20;314.0;316.0;307.6;308.9;2472896
2017-07-19;307.7;313.2;302.7;311.2;3612557
2017-07-18;310.5;310.8;304.6;306.6;3035022
2017-07-17;334.5;336.1;302.2;311.0;8810281
2017-07-14;333.0;334.8;330.9;333.9;1640839
2017-07-13;335.6;335.6;331.4;331.8;1053692
2017-07-12;326.0;335.4;325.3;335.4;1780346
2017-07-11;327.8;329.8;324.3;324.3;1338932
2017-07-10;324.6;328.9;323.1;328.0;1391835
2017-07-07;325.0;325.6;322.2;323.0;1377113
2017-07-06;324.8;325.5;320.2;324.4;1743316
2017-07-05;322.6;325.7;320.5;325.3;1344873
2017-07-04;324.9;325.8;322.6;323.3;1168178
2017-07-03;324.4;327.3;324.0;326.6;1118626
2017-06-30;326.5;327.3;323.0;323.0;1929350
2017-06-29;334.0;335.1;324.0;325.4;1945825
2017-06-28;334.2;334.3;329.3;333.1;1682704
2017-06-27;339.3;339.8;334.7;335.3;1634502
2017-06-26;338.9;343.3;338.8;340.0;2334394
2017-06-23;;338.8;338.8;338.8;0
2017-06-22;337.0;339.3;335.5;338.8;2205132
2017-06-21;335.7;338.0;332.4;337.5;2232961
2017-06-20;336.6;338.0;334.2;335.4;2167180
2017-06-19;333.0;336.4;332.4;335.0;1985314
2017-06-16;327.9;328.9;326.1;328.9;2731096
2017-06-15;322.0;322.4;319.7;322.4;2038666
2017-06-14;325.9;327.8;322.1;323.0;1518629
2017-06-13;323.6;327.0;323.0;325.1;1730933
2017-06-12;328.5;329.3;322.2;322.7;2139527
2017-06-09;326.0;331.2;325.4;330.7;2798229
2017-06-08;321.0;325.5;319.6;324.2;2245855
2017-06-07;315.1;322.2;314.5;319.9;2741387
2017-06-06;;315.6;315.6;315.6;0
2017-06-05;321.6;321.6;315.5;315.6;1459937
2017-06-02;320.0;322.6;319.3;320.4;1474467
2017-06-01;321.0;324.5;317.1;318.0;1805961
2017-05-31;319.1;323.9;317.6;321.6;2321262
2017-05-30;315.1;320.2;314.6;319.1;1502975
2017-05-29;318.3;319.1;315.6;316.6;784218
2017-05-26;317.1;318.8;315.8;318.5;1817441
2017-05-24;317.5;317.5;315.2;316.2;911928
2017-05-23;315.0;317.5;314.6;317.2;1240133
2017-05-22;317.2;318.7;313.9;315.1;1583706
2017-05-19;316.1;318.6;315.3;316.7;1713261
2017-05-18;317.8;319.1;313.3;314.9;3125573
2017-05-17;325.7;327.1;318.5;319.2;2662545
2017-05-16;328.8;329.5;326.6;327.7;2330281
2017-05-15;330.0;330.1;326.6;328.3;1788646
2017-05-12;333.0;329.2;329.2;329.2;1611106
2017-05-11;333.6;335.2;331.0;333.0;1637255
2017-05-10;332.1;333.5;330.9;333.5;1603775
2017-05-09;331.5;335.0;331.0;333.8;2387245
2017-05-08;332.3;332.5;326.0;330.3;1936814
2017-05-05;333.0;333.6;330.3;332.1;1988578
2017-05-04;333.5;335.8;330.2;333.0;2131788
2017-05-03;332.3;332.5;328.3;331.0;1551710
