Dates;Open;High;Low;Close;Volume
2017-10-09;176.6;177.8;176.6;177.6;2106262
2017-10-06;177.9;177.9;175.2;176.6;4542258
2017-10-05;179.8;180.0;176.5;177.0;9306155
2017-10-04;185.5;186.4;184.3;186.3;2124340
2017-10-03;185.0;186.1;184.3;185.5;2466120
2017-10-02;186.3;186.6;185.6;186.4;1367394
2017-09-29;185.7;186.2;183.9;186.0;2107995
2017-09-28;184.3;185.4;183.2;185.1;1720145
2017-09-27;183.0;184.2;182.2;183.6;2391967
2017-09-26;180.3;182.8;179.9;182.2;1624414
2017-09-25;180.8;181.6;179.9;180.2;1919961
2017-09-22;181.1;181.3;179.6;180.2;1698284
2017-09-21;181.0;181.1;178.8;181.0;1651329
2017-09-20;180.7;181.1;179.0;179.8;1557208
2017-09-19;181.0;182.0;180.0;180.7;1582960
2017-09-18;180.6;181.4;179.9;181.1;1572124
2017-09-15;179.4;180.7;179.0;179.2;2596834
2017-09-14;180.3;180.6;179.5;180.2;2450623
2017-09-13;180.2;181.2;179.3;180.4;1777357
2017-09-12;177.8;181.2;177.1;180.0;3056771
2017-09-11;175.2;176.6;175.2;176.5;2023511
2017-09-08;175.3;176.0;174.5;174.7;1437558
2017-09-07;175.4;176.5;174.4;176.4;2206938
2017-09-06;173.8;175.0;173.4;174.3;2492969
2017-09-04;173.2;173.8;172.6;173.7;1724161
2017-09-01;172.0;174.4;172.0;174.0;3397622
2017-08-31;169.9;172.5;169.8;171.8;1922481
2017-08-30;168.7;169.7;167.7;169.5;2612302
2017-08-29;167.2;168.4;165.6;168.0;2297025
2017-08-28;167.8;169.5;167.3;168.3;1016094
2017-08-25;170.5;171.9;168.3;168.5;1965000
2017-08-24;170.9;172.5;169.5;170.3;1851665
2017-08-23;172.2;172.3;169.4;169.8;2384891
2017-08-22;170.2;173.2;170.2;172.7;2033587
2017-08-21;168.9;170.0;168.1;170.0;2863100
2017-08-18;170.2;170.6;169.2;169.6;1575026
2017-08-17;172.0;172.3;170.6;171.3;1732664
2017-08-16;171.3;172.8;171.2;172.2;1300489
2017-08-15;172.3;173.1;170.9;171.2;1382836
2017-08-14;171.0;172.7;170.9;172.2;1250582
2017-08-11;171.0;171.3;169.9;169.9;1330232
2017-08-10;173.5;173.6;171.5;171.5;1039011
2017-08-09;173.7;174.4;172.8;173.2;1517542
2017-08-08;174.0;174.6;173.1;174.1;1200877
2017-08-07;173.4;174.9;173.2;174.0;1606204
2017-08-04;172.1;173.8;171.4;173.4;1391641
2017-08-03;172.8;172.8;171.4;172.0;1419986
2017-08-02;174.6;175.1;172.3;172.8;1567908
2017-08-01;173.5;175.8;173.3;174.2;1660391
2017-07-31;174.2;175.0;173.0;173.0;2102164
2017-07-28;176.7;176.7;173.7;174.2;2556540
2017-07-27;174.9;177.6;174.8;176.5;3185028
2017-07-26;172.0;175.4;171.6;175.2;2871216
2017-07-25;171.9;174.1;171.4;172.4;2696431
2017-07-24;172.3;173.1;171.1;171.9;3071192
2017-07-21;173.9;176.5;171.2;172.4;3651046
2017-07-20;174.0;176.3;173.6;175.5;4397696
2017-07-19;169.4;174.3;165.2;173.8;9247602
2017-07-18;183.9;185.5;183.0;183.9;3372780
2017-07-17;184.5;185.7;183.4;184.8;1945986
2017-07-14;183.2;184.5;181.8;183.6;1924221
2017-07-13;186.4;187.0;181.6;182.6;2565667
2017-07-12;183.0;186.3;182.7;186.3;1544407
2017-07-11;182.6;183.5;181.0;182.3;1322597
2017-07-10;183.2;183.7;182.5;182.6;1826221
2017-07-07;185.7;185.7;181.9;182.9;1263637
2017-07-06;185.5;186.0;182.9;184.0;1476588
2017-07-05;184.5;186.3;183.4;186.0;1464954
2017-07-04;185.2;186.2;184.4;184.4;1404362
2017-07-03;185.6;186.3;184.9;186.1;1118084
2017-06-30;185.9;187.0;185.0;185.1;2394374
2017-06-29;190.0;190.5;183.9;185.4;2055284
2017-06-28;190.4;191.3;188.2;189.4;2318573
2017-06-27;191.5;192.1;190.1;190.6;1696296
2017-06-26;191.6;194.2;191.6;192.4;2209537
2017-06-23;;192.3;192.3;192.3;0
2017-06-22;190.9;192.3;190.2;192.3;1568758
2017-06-21;192.4;192.7;190.5;191.5;2027284
2017-06-20;194.5;194.9;192.4;192.9;2125123
2017-06-19;194.1;195.2;193.6;194.0;1869346
2017-06-16;190.4;192.8;190.4;192.8;2619601
2017-06-15;192.2;192.3;188.8;190.2;2551151
2017-06-14;193.5;194.9;191.6;192.3;1891942
2017-06-13;191.2;193.7;190.9;192.8;2465908
2017-06-12;194.1;194.1;190.6;190.9;2815757
2017-06-09;194.5;197.0;194.3;195.1;1920163
2017-06-08;194.4;194.9;193.4;193.7;1423047
2017-06-07;195.4;196.1;193.7;193.7;2592313
2017-06-06;;194.4;194.4;194.4;0
2017-06-05;196.4;196.4;194.2;194.4;1318210
2017-06-02;195.8;196.6;195.1;195.6;1631913
2017-06-01;195.1;196.8;194.2;195.2;1595670
2017-05-31;193.6;196.6;193.1;195.2;3117856
2017-05-30;190.9;192.9;190.1;192.7;2576231
2017-05-29;192.1;192.2;190.7;191.4;995956
2017-05-26;194.0;194.3;191.3;192.1;2363653
2017-05-24;190.5;192.0;189.0;190.4;1605112
2017-05-23;190.2;190.6;189.1;190.4;1405303
2017-05-22;189.6;190.3;188.4;189.3;2120514
2017-05-19;189.5;190.7;189.1;189.4;2033080
2017-05-18;189.4;192.2;187.2;189.3;2835697
2017-05-17;192.2;192.9;189.5;190.0;2887270
2017-05-16;193.7;194.1;192.1;193.7;2070208
2017-05-15;195.6;195.9;192.3;192.9;1992852
2017-05-12;194.7;194.9;194.9;194.9;1653958
2017-05-11;195.8;196.2;193.0;193.4;2423882
2017-05-10;196.4;196.5;194.2;195.3;1827706
2017-05-09;195.3;197.4;195.2;197.1;2190902
2017-05-08;196.0;196.1;192.9;195.2;2173820
2017-05-05;193.3;196.0;192.7;196.0;1903647
2017-05-04;193.0;194.5;191.7;193.2;2150522
2017-05-03;194.7;194.9;191.1;191.7;2257844
2017-05-02;192.7;194.7;191.7;194.7;2054441
2017-05-01;;191.9;191.9;191.9;0
2017-04-28;195.3;195.7;191.4;191.9;2683143
2017-04-27;190.1;193.9;189.7;193.6;3202240
2017-04-26;186.2;198.4;185.5;194.0;5462655
2017-04-25;193.3;196.3;191.9;193.9;3280243
2017-04-24;191.0;192.3;190.2;192.3;2758000
2017-04-21;189.0;189.7;188.1;188.5;1842616
2017-04-20;187.9;189.3;187.0;189.0;1872761
2017-04-19;187.3;188.9;186.8;187.1;2147549
2017-04-18;189.7;189.7;185.3;186.9;2839410
2017-04-13;186.7;186.8;185.4;185.6;874466
2017-04-12;186.3;188.1;185.8;186.9;1643492
2017-04-11;184.2;187.0;183.7;185.9;2028472
2017-04-10;184.8;185.1;183.6;184.5;1252368
2017-04-07;182.6;184.4;181.4;184.4;1926394
2017-04-06;182.2;183.7;180.7;183.3;1641276
2017-04-05;183.2;183.2;181.6;182.5;1900479
2017-04-04;181.8;183.4;181.3;182.5;2088400
2017-04-03;185.4;185.8;182.2;182.4;1692063
2017-03-31;183.8;185.0;181.7;184.3;1975988
2017-03-30;183.2;184.7;183.1;184.1;1727950
2017-03-29;182.4;183.8;180.9;183.2;2523336
2017-03-28;180.8;182.0;179.4;181.9;1618506
2017-03-27;181.2;181.3;178.3;180.3;1902250
2017-03-24;180.2;182.0;180.1;182.0;2395816
2017-03-23;178.8;180.5;177.6;180.3;2427810
2017-03-22;178.2;179.8;176.4;178.8;2784137
2017-03-21;179.4;181.3;177.6;178.2;3528373
2017-03-20;175.9;178.7;175.7;178.3;1746835
2017-03-17;176.7;176.8;175.2;175.6;2112063
2017-03-16;176.5;177.3;174.6;175.7;2237951
2017-03-15;175.2;175.5;173.9;174.8;1240978
2017-03-14;174.6;175.8;172.3;174.6;2620709
2017-03-13;172.6;175.2;172.4;174.7;1995010
2017-03-10;173.5;172.6;172.6;172.6;3278142
2017-03-09;173.0;173.1;171.7;172.8;2237731
2017-03-08;172.4;173.8;172.2;173.2;1290891
2017-03-07;173.1;173.8;172.4;172.7;1485586
2017-03-06;173.4;173.4;171.9;172.7;1438716
2017-03-03;174.0;173.4;173.4;173.4;1578276
2017-03-02;177.5;178.0;173.5;174.2;2017632
2017-03-01;176.5;178.6;176.3;177.5;2543914
2017-02-28;175.9;177.2;174.8;175.6;2844050
2017-02-27;177.0;177.4;174.3;175.7;1723470
2017-02-24;179.0;179.4;175.2;176.4;1869997
2017-02-23;177.0;180.4;176.5;179.1;2342258
2017-02-22;177.5;177.6;175.5;176.3;2120917
2017-02-21;175.8;178.0;175.8;177.1;2170081
2017-02-20;175.4;176.7;175.4;175.8;2487443
2017-02-17;172.9;175.1;172.9;174.3;2453710
2017-02-16;173.7;173.7;172.7;172.9;1708632
2017-02-15;173.5;173.5;171.9;173.2;1984724
2017-02-14;174.0;174.1;172.3;172.3;2106787
2017-02-13;174.0;175.0;173.1;173.9;2222323
2017-02-10;169.8;171.1;169.6;171.0;2001294
2017-02-09;169.6;170.2;168.5;169.5;2001226
2017-02-08;165.9;169.4;165.7;169.2;2282040
2017-02-07;164.1;168.3;164.1;166.2;2429016
2017-02-06;165.2;165.8;163.5;164.0;1603009
2017-02-03;165.0;166.7;164.4;165.2;2697188
2017-02-02;164.5;166.3;161.2;164.6;6523484
2017-02-01;167.1;169.9;166.6;169.4;2400027
2017-01-31;165.6;166.3;164.7;165.6;2096415
2017-01-30;167.5;167.8;165.5;165.8;1392126
2017-01-27;170.2;171.8;167.1;167.4;2304394
2017-01-26;168.4;170.5;167.5;170.3;1880383
2017-01-25;168.3;169.3;166.9;168.4;2312756
2017-01-24;163.6;166.8;162.7;166.6;1966376
2017-01-23;165.1;165.5;163.4;163.8;1685537
2017-01-20;165.7;166.4;164.8;165.7;1763793
2017-01-19;166.7;167.0;165.4;166.0;1410855
2017-01-18;166.3;167.2;164.6;166.9;2040401
2017-01-17;165.5;166.2;163.1;165.8;1839485
2017-01-16;166.0;166.4;165.0;165.6;1337519
2017-01-13;166.5;166.5;164.5;166.3;2044658
2017-01-12;165.7;166.7;164.2;164.5;2048086
2017-01-11;162.8;167.4;162.7;166.5;3334695
2017-01-10;166.7;167.6;165.5;165.9;2348870
2017-01-09;161.0;166.5;159.9;166.2;4802098
2017-01-06;;167.2;167.2;167.2;0
2017-01-05;170.2;170.3;167.1;167.2;977599
2017-01-04;171.5;171.7;170.3;170.5;1215186
2017-01-03;170.8;172.5;170.4;171.3;1694855
