Dates;Open;High;Low;Close;Volume
2017-10-09;83.85;84.55;83.5;83.7;667793
2017-10-06;84.9;84.9;83.55;83.95;797084
2017-10-05;85.8;85.8;84.65;85.0;662242
2017-10-04;85.45;86.0;84.65;85.7;734588
2017-10-03;85.7;85.8;84.6;85.3;786975
2017-10-02;84.65;86.25;84.55;85.55;1117737
2017-09-29;82.65;84.6;82.3;84.3;1346953
2017-09-28;83.8;84.0;82.05;82.7;1535311
2017-09-27;83.25;84.8;82.4;83.5;1746211
2017-09-26;86.95;86.95;83.25;83.3;1981972
2017-09-25;88.6;89.3;86.55;86.8;1590955
2017-09-22;87.4;88.7;86.7;88.6;2146365
2017-09-21;87.1;87.6;86.85;87.4;808415
2017-09-20;86.8;87.0;86.25;86.9;835658
2017-09-19;86.1;87.4;85.35;86.9;1184564
2017-09-18;85.05;86.05;85.05;85.95;783877
2017-09-15;84.8;85.35;84.15;84.95;1083496
2017-09-14;84.6;85.0;84.1;84.8;763745
2017-09-13;84.8;85.0;84.0;84.7;799348
2017-09-12;85.1;85.35;84.75;85.0;894273
2017-09-11;84.65;85.0;84.5;84.85;991116
2017-09-08;84.7;84.85;84.15;84.55;1026005
2017-09-07;82.9;84.8;82.75;84.65;1671950
2017-09-06;80.8;82.85;80.55;82.6;1712000
2017-09-04;82.95;83.0;82.0;82.7;670966
2017-09-01;82.25;84.05;82.25;83.35;1589338
2017-08-31;80.75;82.35;80.3;82.25;1312986
2017-08-30;80.8;81.05;79.8;80.35;1085027
2017-08-29;81.0;81.55;80.2;80.25;1151614
2017-08-28;81.55;82.15;81.25;81.6;549661
2017-08-25;82.5;82.75;81.5;81.75;1224226
2017-08-24;84.0;85.3;81.45;82.3;2697429
2017-08-23;78.0;83.7;77.65;83.7;6555417
2017-08-22;80.0;81.3;79.6;80.95;2094087
2017-08-21;78.55;80.35;78.0;79.35;2393100
2017-08-18;77.45;78.6;76.9;78.55;1141953
2017-08-17;78.15;78.3;77.1;77.9;1602984
2017-08-16;78.8;78.85;76.9;78.05;1981765
2017-08-15;75.65;76.75;75.4;76.05;2000392
