Dates;Open;High;Low;Close;Volume
2017-10-09;2.916;2.92;2.818;2.86;1479463
2017-10-06;2.97;3.0;2.86;2.916;1868309
2017-10-05;2.94;2.972;2.88;2.966;936743
2017-10-04;2.93;2.95;2.872;2.95;1018967
2017-10-03;3.022;3.022;2.93;2.95;1232349
2017-10-02;3.018;3.1;2.972;3.022;1738799
2017-09-29;2.99;3.07;2.95;3.06;944937
2017-09-28;2.95;3.07;2.95;3.03;1845220
2017-09-27;3.05;3.062;2.95;2.986;1591647
2017-09-26;3.08;3.18;2.96;3.03;4429066
2017-09-25;2.73;3.05;2.7;3.05;3321485
2017-09-22;2.736;2.758;2.69;2.706;832894
2017-09-21;2.81;2.832;2.732;2.76;1202789
2017-09-20;2.778;2.798;2.75;2.792;769322
2017-09-19;2.76;2.808;2.744;2.778;1293251
2017-09-18;2.712;2.772;2.708;2.744;1009074
2017-09-15;2.824;2.824;2.732;2.76;1635953
2017-09-14;2.82;2.838;2.75;2.824;1852239
2017-09-13;2.65;2.836;2.65;2.814;2079558
2017-09-12;2.77;2.77;2.65;2.696;1019013
2017-09-11;2.722;2.816;2.7;2.714;1291092
2017-09-08;2.9;2.92;2.704;2.72;4023195
2017-09-07;2.63;2.97;2.56;2.9;5503349
2017-09-06;2.65;2.65;2.59;2.638;949508
2017-09-04;2.544;2.6;2.5;2.6;1770310
2017-09-01;2.73;2.73;2.372;2.56;7822350
2017-08-31;2.62;2.66;2.6;2.658;1925983
2017-08-30;2.598;2.646;2.58;2.62;1565428
2017-08-29;2.75;2.78;2.56;2.58;4307632
2017-08-28;2.736;2.81;2.73;2.782;1277522
2017-08-25;2.94;2.942;2.73;2.74;5027456
2017-08-24;3.092;3.112;2.87;2.93;7165770
2017-08-23;3.29;3.37;3.0;3.082;7499709
2017-08-22;3.354;3.376;3.322;3.37;699358
2017-08-21;3.31;3.354;3.31;3.336;672293
2017-08-18;3.36;3.42;3.23;3.27;794914
2017-08-17;3.402;3.42;3.354;3.354;852373
2017-08-16;3.446;3.454;3.39;3.42;450865
2017-08-15;3.41;3.462;3.4;3.402;799961
2017-08-14;3.546;3.546;3.418;3.46;695785
2017-08-11;3.494;3.494;3.372;3.41;1529014
2017-08-10;3.61;3.644;3.48;3.5;2673025
2017-08-09;3.5;3.646;3.45;3.6;3912495
2017-08-08;3.496;3.552;3.488;3.5;1546047
2017-08-07;3.54;3.54;3.466;3.496;1027367
2017-08-04;3.54;3.552;3.46;3.51;1900206
2017-08-03;3.6;3.618;3.542;3.558;1477462
2017-08-02;3.57;3.6;3.508;3.6;1628713
2017-08-01;3.65;3.666;3.58;3.608;2694750
2017-07-31;3.66;3.7;3.58;3.604;2264926
2017-07-28;3.65;3.66;3.56;3.63;2047804
2017-07-27;3.64;3.674;3.588;3.59;1446321
2017-07-26;3.57;3.66;3.53;3.632;3447846
2017-07-25;3.5;3.52;3.44;3.502;1359935
2017-07-24;3.444;3.49;3.4;3.488;1156732
2017-07-21;3.64;3.65;3.436;3.44;3064363
2017-07-20;3.6;3.7;3.592;3.634;3692033
2017-07-19;3.54;3.576;3.47;3.57;1895066
2017-07-18;3.546;3.612;3.504;3.542;2525875
2017-07-17;3.56;3.65;3.53;3.57;1432309
2017-07-14;3.46;3.584;3.46;3.56;2917917
2017-07-13;3.44;3.49;3.42;3.49;931887
2017-07-12;3.406;3.52;3.4;3.49;3793250
2017-07-11;3.42;3.46;3.352;3.388;2489965
2017-07-10;3.536;3.55;3.43;3.44;1657927
2017-07-07;3.57;3.616;3.504;3.53;1502950
2017-07-06;3.53;3.68;3.53;3.646;1970452
2017-07-05;3.586;3.75;3.502;3.52;3551526
2017-07-04;3.6;3.67;3.562;3.66;1583448
2017-07-03;3.57;3.642;3.54;3.61;2794603
2017-06-30;3.576;3.576;3.45;3.524;3857522
2017-06-29;3.48;3.59;3.462;3.58;2603345
2017-06-28;3.502;3.55;3.39;3.438;3279985
2017-06-27;3.51;3.578;3.494;3.572;2404612
2017-06-26;3.6;3.69;3.47;3.482;5946218
2017-06-23;;3.35;3.35;3.35;0
2017-06-22;3.348;3.388;3.202;3.35;4599355
2017-06-21;3.37;3.414;3.3;3.37;2497043
2017-06-20;3.53;3.61;3.332;3.37;2791908
2017-06-19;3.406;3.58;3.362;3.53;2051347
2017-06-16;3.44;3.54;3.35;3.388;2129707
2017-06-15;3.52;3.568;3.424;3.44;3394709
2017-06-14;3.682;3.716;3.562;3.57;2435190
2017-06-13;3.708;3.71;3.61;3.682;2036983
2017-06-12;3.51;3.738;3.502;3.708;2965136
2017-06-09;3.59;3.61;3.49;3.514;6919192
2017-06-08;3.55;3.612;3.42;3.6;2837712
2017-06-07;3.5;3.728;3.46;3.526;4406807
2017-06-06;;3.62;3.62;3.62;0
2017-06-05;3.88;3.9;3.62;3.62;3045135
2017-06-02;3.88;3.93;3.8;3.81;4832693
2017-06-01;3.93;4.086;3.898;4.0;2830542
2017-05-31;4.18;4.18;3.894;3.92;5729505
2017-05-30;4.224;4.248;4.16;4.202;1389807
2017-05-29;4.224;4.278;4.212;4.23;709307
2017-05-26;4.35;4.41;4.2;4.226;3811315
2017-05-24;4.5;4.556;4.478;4.506;674686
2017-05-23;4.5;4.568;4.458;4.504;1660252
2017-05-22;4.504;4.59;4.48;4.59;1922880
2017-05-19;4.394;4.518;4.394;4.48;2032773
2017-05-18;4.32;4.428;4.25;4.39;2787318
2017-05-17;4.3;4.35;4.26;4.32;2494955
2017-05-16;4.5;4.518;4.274;4.312;3700586
2017-05-15;4.3;4.5;4.3;4.5;4605986
2017-05-12;4.314;4.22;4.22;4.22;1818929
2017-05-11;4.41;4.438;4.31;4.342;2319694
2017-05-10;4.24;4.41;4.24;4.358;3431912
2017-05-09;4.218;4.322;4.218;4.24;1094985
2017-05-08;4.36;4.4;4.224;4.236;2072976
2017-05-05;4.04;4.34;4.0;4.34;4214424
2017-05-04;4.35;4.376;4.14;4.14;2374649
2017-05-03;4.35;4.41;4.312;4.346;1105698
2017-05-02;4.424;4.44;4.304;4.358;1672542
2017-05-01;;4.446;4.446;4.446;0
2017-04-28;4.28;4.45;4.27;4.446;2908439
2017-04-27;4.326;4.42;4.21;4.244;3469566
2017-04-26;4.35;4.4;4.252;4.356;3472893
2017-04-25;4.39;4.468;4.28;4.35;2449293
2017-04-24;4.442;4.55;4.3;4.39;2481685
2017-04-21;4.552;4.606;4.4;4.442;3376879
2017-04-20;4.6;4.662;4.56;4.568;2769653
2017-04-19;4.77;4.868;4.682;4.704;1976869
2017-04-18;4.9;5.0;4.71;4.768;3383877
2017-04-13;4.998;4.998;4.758;4.936;1611273
2017-04-12;5.095;5.22;4.92;4.956;2771823
2017-04-11;5.2;5.3;5.07;5.085;2267150
2017-04-10;5.1;5.23;5.035;5.195;2136659
2017-04-07;4.88;5.045;4.842;5.035;5034194
2017-04-06;4.828;4.89;4.73;4.842;3169290
2017-04-05;4.79;4.95;4.79;4.84;5323881
2017-04-04;4.66;4.758;4.6;4.72;1812622
2017-04-03;4.704;4.826;4.67;4.71;2784532
2017-03-31;4.77;4.8;4.678;4.71;2728531
2017-03-30;4.66;4.78;4.592;4.76;3766464
2017-03-29;4.5;4.66;4.452;4.66;2684129
2017-03-28;4.25;4.5;4.25;4.498;2470073
2017-03-27;4.42;4.42;4.21;4.266;2447768
2017-03-24;4.48;4.5;4.38;4.422;1643753
2017-03-23;4.46;4.54;4.356;4.48;3376902
2017-03-22;4.694;4.694;4.3;4.412;5691223
2017-03-21;4.55;4.776;4.55;4.668;5243406
2017-03-20;4.534;4.612;4.514;4.522;2283343
2017-03-17;4.55;4.788;4.484;4.602;3157576
2017-03-16;4.7;4.83;4.502;4.548;4259362
2017-03-15;4.26;4.698;4.26;4.676;7745806
2017-03-14;4.452;4.538;4.09;4.182;8033590
2017-03-13;4.48;4.656;4.42;4.54;6556099
2017-03-10;4.698;4.578;4.578;4.578;8194403
2017-03-09;5.2;5.285;4.664;4.68;10246909
2017-03-08;5.3;5.38;5.26;5.345;1713387
2017-03-07;5.32;5.425;5.255;5.325;1314047
2017-03-06;5.45;5.45;5.275;5.32;1355994
2017-03-03;5.44;5.425;5.425;5.425;2027463
2017-03-02;5.52;5.57;5.38;5.445;1515307
2017-03-01;5.42;5.515;5.34;5.51;2023201
2017-02-28;5.4;5.47;5.375;5.41;934264
2017-02-27;5.4;5.495;5.37;5.44;1190371
2017-02-24;5.475;5.54;5.4;5.435;2374622
