Dates;Open;High;Low;Close;Volume
2017-10-09;156.0;157.8;155.4;157.0;704377
2017-10-06;159.0;159.5;155.6;156.1;912874
2017-10-05;159.0;160.1;158.2;158.6;813343
2017-10-04;158.3;159.7;157.1;159.3;1007623
2017-10-03;155.9;158.2;155.2;157.9;1041516
2017-10-02;153.2;156.7;153.0;155.5;1571418
2017-09-29;148.4;153.2;147.6;152.7;2250543
2017-09-28;149.4;149.4;146.8;147.9;1246605
2017-09-27;150.0;151.4;149.2;149.5;813809
2017-09-26;151.4;151.5;149.5;150.0;1164218
2017-09-25;152.1;152.8;150.9;151.3;806377
2017-09-22;153.1;153.2;151.7;152.0;824346
2017-09-21;153.1;154.5;151.4;153.5;1699611
2017-09-20;150.9;152.1;150.7;151.8;1316975
2017-09-19;152.0;152.1;151.0;151.1;870597
2017-09-18;151.9;152.2;151.0;152.0;1277849
2017-09-15;151.9;152.1;151.0;151.7;1465906
2017-09-14;150.6;152.3;150.1;151.9;1362155
2017-09-13;149.8;150.9;149.3;150.7;1228221
2017-09-12;150.1;150.5;149.5;150.0;1544067
2017-09-11;144.6;150.3;144.4;149.5;1457589
2017-09-08;145.3;146.0;143.8;144.5;1077814
2017-09-07;142.9;145.8;142.1;145.7;1744000
2017-09-06;143.6;143.8;142.7;142.9;1024423
2017-09-04;146.4;146.4;144.1;144.6;915929
2017-09-01;147.6;148.0;146.6;146.6;1145503
2017-08-31;143.0;149.1;142.7;147.6;2598633
2017-08-30;142.0;142.6;140.4;142.2;679037
2017-08-29;141.1;141.7;139.9;141.4;646428
2017-08-28;140.2;142.1;139.4;141.7;372765
2017-08-25;141.0;141.5;140.4;141.0;490321
2017-08-24;142.0;142.0;140.2;140.7;589156
2017-08-23;144.1;145.2;142.6;143.4;1009281
2017-08-22;143.8;144.6;142.9;144.2;738645
2017-08-21;142.7;143.0;141.3;143.0;865216
2017-08-18;143.8;144.1;141.3;142.7;1036369
2017-08-17;143.8;145.4;143.0;144.6;912770
2017-08-16;144.6;145.4;143.5;143.7;652943
2017-08-15;145.1;145.5;144.2;144.5;850729
2017-08-14;142.5;145.1;142.5;144.6;853031
2017-08-11;141.8;142.6;140.8;141.8;695594
2017-08-10;144.9;144.9;142.0;142.0;1179664
2017-08-09;143.5;145.8;142.6;144.5;1378947
2017-08-08;140.7;144.7;140.1;143.9;1264627
2017-08-07;141.2;141.7;140.4;140.6;684423
2017-08-04;141.1;141.6;140.4;141.4;670549
2017-08-03;140.8;142.1;140.0;141.1;1144270
2017-08-02;141.4;141.5;140.2;140.8;759740
2017-08-01;140.2;141.4;140.1;141.3;709640
2017-07-31;140.4;141.5;138.9;140.2;1575297
2017-07-28;142.0;142.0;139.7;140.0;1076710
2017-07-27;143.1;144.2;142.0;142.0;989114
2017-07-26;142.5;143.9;141.2;143.8;1229789
2017-07-25;143.3;144.0;142.2;142.5;1463053
2017-07-24;144.6;145.0;142.6;143.4;1005490
2017-07-21;145.9;146.6;143.6;144.6;1100554
2017-07-20;147.5;148.2;145.7;145.9;1339313
2017-07-19;148.2;148.9;145.8;147.5;1643508
2017-07-18;151.5;152.5;147.2;147.7;2392107
2017-07-17;157.8;163.0;150.0;151.5;4740772
2017-07-14;166.9;167.2;164.5;166.5;1038532
2017-07-13;167.0;167.0;165.3;166.2;617252
2017-07-12;164.0;166.5;163.8;166.5;660728
2017-07-11;164.9;166.0;161.6;163.6;821936
2017-07-10;165.0;165.8;164.1;164.8;728132
2017-07-07;163.8;164.2;162.1;164.1;646307
2017-07-06;165.0;165.4;162.3;162.9;829764
2017-07-05;163.6;165.4;162.4;165.0;640172
2017-07-04;164.0;164.1;162.7;163.6;954327
2017-07-03;165.0;166.4;164.2;164.9;694089
2017-06-30;164.4;166.4;164.2;164.9;885323
2017-06-29;167.4;167.9;164.1;164.4;968636
2017-06-28;169.3;169.3;167.0;167.5;868683
2017-06-27;171.5;171.5;169.2;169.7;802709
2017-06-26;170.8;173.4;170.6;171.7;990428
2017-06-23;;172.9;172.9;172.9;0
2017-06-22;171.1;173.0;171.1;172.9;918489
2017-06-21;170.9;171.6;168.9;171.1;1119117
2017-06-20;172.0;173.1;170.1;170.8;1414325
2017-06-19;174.8;176.9;171.7;171.9;2382038
2017-06-16;174.4;177.3;174.3;177.2;1996885
2017-06-15;172.8;174.5;171.8;174.5;1432070
2017-06-14;183.5;184.4;170.3;173.7;4417580
2017-06-13;180.9;184.7;180.7;183.6;928443
2017-06-12;182.0;182.6;180.3;181.1;655546
2017-06-09;182.3;183.5;180.8;182.6;1158598
2017-06-08;183.5;184.7;182.6;182.6;879330
2017-06-07;181.0;184.3;180.2;183.3;1453208
2017-06-06;;181.7;181.7;181.7;0
2017-06-05;184.0;184.1;181.5;181.7;539616
2017-06-02;183.0;184.6;182.8;184.0;965965
2017-06-01;181.0;182.6;180.9;182.1;721689
2017-05-31;181.3;181.8;180.2;180.9;1015408
2017-05-30;180.7;181.6;179.7;181.2;798013
2017-05-29;182.2;182.5;180.8;181.0;688476
2017-05-26;180.0;182.6;179.5;182.2;828835
2017-05-24;180.7;181.2;179.3;180.1;481945
2017-05-23;179.3;181.5;177.6;180.9;1098110
2017-05-22;177.5;179.6;176.7;179.3;952474
2017-05-19;177.4;178.4;176.9;177.6;869151
2017-05-18;175.0;177.1;174.4;176.8;1556859
2017-05-17;178.2;179.2;176.2;176.5;1039370
2017-05-16;179.0;179.7;178.2;179.2;739213
2017-05-15;179.9;180.4;177.8;179.0;894941
2017-05-12;178.1;179.9;179.9;179.9;1094807
2017-05-11;179.6;179.6;176.8;176.9;1121387
2017-05-10;179.7;179.8;178.4;179.4;842595
2017-05-09;176.5;179.8;176.0;179.7;1264450
2017-05-08;178.5;178.5;175.6;177.0;1170750
2017-05-05;178.6;179.6;177.4;177.9;998385
2017-05-04;176.6;178.6;176.1;178.6;1201513
2017-05-03;175.1;177.5;174.5;176.3;1255333
2017-05-02;173.6;176.4;171.5;175.1;1791964
2017-05-01;;173.1;173.1;173.1;0
2017-04-28;171.2;173.8;170.4;173.1;1416258
2017-04-27;171.0;172.3;169.2;171.4;1689170
2017-04-26;168.5;171.8;166.5;169.9;2839213
2017-04-25;156.0;177.0;156.0;168.2;6507856
2017-04-24;156.3;157.6;155.8;156.5;1198862
2017-04-21;158.0;159.5;155.4;155.5;1942482
2017-04-20;159.1;161.2;157.9;158.7;1348388
2017-04-19;158.2;159.7;157.4;159.1;874210
2017-04-18;158.6;160.7;157.0;158.4;1191614
2017-04-13;158.5;158.6;157.1;158.4;364852
2017-04-12;157.1;158.8;156.2;158.4;664124
2017-04-11;158.0;158.9;156.7;157.1;907605
2017-04-10;154.9;158.4;154.7;158.1;919923
2017-04-07;153.1;154.9;152.8;154.9;910053
2017-04-06;152.2;153.4;149.7;153.4;899430
2017-04-05;153.2;153.4;152.1;152.5;787966
2017-04-04;154.3;154.8;153.2;153.4;636643
2017-04-03;157.3;157.5;153.4;154.8;801718
2017-03-31;155.0;157.2;154.3;157.2;738749
2017-03-30;154.0;155.0;153.4;154.7;601560
2017-03-29;154.3;155.7;154.3;155.3;920413
2017-03-28;156.1;156.4;153.7;154.3;713430
2017-03-27;154.3;156.1;153.3;156.1;514781
2017-03-24;156.7;156.8;155.0;155.8;549291
2017-03-23;154.5;157.0;154.2;156.7;471802
2017-03-22;155.6;155.6;153.6;154.5;592938
2017-03-21;157.7;157.7;155.4;155.6;837865
2017-03-20;155.8;157.4;155.4;157.1;794799
2017-03-17;155.7;156.7;155.1;156.1;1315019
2017-03-16;156.7;157.2;155.1;156.2;888988
2017-03-15;156.4;156.4;155.5;156.3;559952
2017-03-14;156.1;157.0;155.6;156.2;1069895
2017-03-13;154.1;156.3;154.1;156.1;748627
2017-03-10;155.4;154.6;154.6;154.6;924888
2017-03-09;152.7;154.7;151.8;154.6;715400
2017-03-08;152.7;152.7;151.0;152.6;642162
2017-03-07;153.3;153.7;151.8;152.4;487023
2017-03-06;155.1;155.1;152.7;153.2;832749
2017-03-03;154.2;155.1;155.1;155.1;800834
2017-03-02;154.6;155.3;153.8;154.6;947598
2017-03-01;153.6;154.8;152.7;153.7;886624
2017-02-28;149.9;153.4;149.5;153.2;1134340
2017-02-27;149.5;149.9;148.6;149.4;509969
