Dates;Open;High;Low;Close;Volume
2017-10-09;126.2;126.6;125.1;125.2;3515188
2017-10-06;125.5;126.4;125.1;126.1;4419711
2017-10-05;123.1;125.7;123.1;125.5;4647919
2017-10-04;123.7;123.7;122.6;123.4;2769301
2017-10-03;124.3;124.7;123.5;123.7;2976090
2017-10-02;123.0;124.2;122.4;124.1;4030703
2017-09-29;121.4;122.9;120.9;122.9;3275404
2017-09-28;122.5;122.6;120.5;121.4;3235484
2017-09-27;120.6;122.6;120.1;122.0;3097941
2017-09-26;119.2;120.7;118.9;120.2;2229351
2017-09-25;119.2;119.7;118.5;119.2;2934768
2017-09-22;118.7;119.4;117.7;119.4;3146323
2017-09-21;117.4;119.3;117.0;118.9;3661934
2017-09-20;117.1;117.3;116.6;117.0;2538818
2017-09-19;117.1;117.5;116.4;117.0;2416451
2017-09-18;117.0;117.4;116.8;117.0;2417688
2017-09-15;118.0;118.0;116.2;116.8;4058711
2017-09-14;118.2;118.7;117.7;118.1;2869655
2017-09-13;118.7;118.9;117.8;118.5;2558222
2017-09-12;117.1;119.0;117.1;118.5;2813695
2017-09-11;116.6;117.2;116.2;117.0;3098048
2017-09-08;115.9;116.6;115.3;116.1;2726308
2017-09-07;115.9;116.6;114.9;115.8;3252353
2017-09-06;116.1;116.4;115.5;115.7;2553368
2017-09-04;117.2;117.9;117.1;117.3;1657802
2017-09-01;119.0;119.4;117.8;118.1;2555994
2017-08-31;118.0;119.9;118.0;118.8;5508999
2017-08-30;116.0;117.9;115.5;117.7;4928630
2017-08-29;115.3;116.0;114.9;115.0;3565848
2017-08-28;115.1;116.8;115.1;115.6;2330413
2017-08-25;115.8;116.4;115.3;115.4;2587844
2017-08-24;115.8;116.5;115.4;115.7;2963113
2017-08-23;116.6;116.6;115.0;115.5;5685802
2017-08-22;117.4;118.0;116.2;116.6;3501429
2017-08-21;116.9;117.1;116.2;116.9;2221920
2017-08-18;117.0;117.4;116.3;117.4;2703226
2017-08-17;119.7;119.7;117.4;117.8;3659855
2017-08-16;119.2;120.2;119.0;119.6;2693909
2017-08-15;119.0;119.8;117.7;118.8;2628068
2017-08-14;118.4;119.6;118.4;119.0;1725712
2017-08-11;119.2;119.4;117.7;118.0;2555372
2017-08-10;120.5;120.9;119.1;119.4;2559963
2017-08-09;120.1;120.6;119.0;120.6;2665424
2017-08-08;121.3;121.8;120.0;120.7;2106191
2017-08-07;121.1;121.8;121.0;121.5;1528254
2017-08-04;120.7;121.9;119.9;121.5;1945196
2017-08-03;120.6;121.1;120.0;120.6;2381210
2017-08-02;121.3;121.7;120.4;120.8;2638499
2017-08-01;120.2;121.6;120.2;121.5;2767603
2017-07-31;121.6;122.1;119.8;120.2;2795520
2017-07-28;122.4;122.6;120.6;121.8;2841774
2017-07-27;121.6;123.1;121.5;122.2;2246636
2017-07-26;120.6;122.2;120.4;122.2;3166478
2017-07-25;121.1;121.7;120.7;120.9;2916377
2017-07-24;123.0;123.4;121.0;121.1;2562474
2017-07-21;123.0;123.7;122.4;123.1;2761315
2017-07-20;123.0;123.9;122.5;123.2;3497671
2017-07-19;121.9;123.1;121.2;122.8;3837805
2017-07-18;126.8;127.2;121.1;121.3;5104710
2017-07-17;125.9;127.2;124.9;126.7;3412758
2017-07-14;126.0;127.4;125.8;126.2;3393218
2017-07-13;125.3;125.4;124.9;125.1;1905677
2017-07-12;125.3;126.0;124.8;125.3;2701120
