Dates;Open;High;Low;Close;Volume
2017-10-09;405.8;406.7;402.4;402.8;317006
2017-10-06;406.0;407.3;404.0;404.0;375484
2017-10-05;405.5;408.7;405.5;405.8;522317
2017-10-04;405.1;406.0;402.5;405.2;325572
2017-10-03;405.4;406.3;403.7;404.9;278909
2017-10-02;404.0;406.8;402.8;405.5;330930
2017-09-29;405.2;407.8;403.1;403.7;516996
2017-09-28;400.3;406.5;400.0;405.0;550208
2017-09-27;395.1;400.2;395.1;399.8;396278
2017-09-26;394.6;397.5;393.6;394.6;430477
2017-09-25;396.1;397.1;394.1;394.6;408598
2017-09-22;392.4;396.5;392.2;396.2;338384
2017-09-21;394.7;395.2;392.4;394.3;369758
2017-09-20;394.0;394.9;389.6;394.0;443581
2017-09-19;397.1;397.4;393.5;394.7;318394
2017-09-18;400.1;400.4;391.3;397.3;430472
2017-09-15;402.0;405.6;398.9;398.9;588659
2017-09-14;397.9;402.1;394.7;402.0;659974
2017-09-13;393.3;397.6;391.8;397.6;466080
2017-09-12;392.9;394.4;391.9;393.0;327135
2017-09-11;391.9;394.4;390.4;393.3;313932
2017-09-08;386.9;392.0;386.3;390.4;319615
2017-09-07;388.0;388.0;385.3;387.4;293288
2017-09-06;387.5;388.4;384.2;386.3;580362
2017-09-04;388.9;391.1;385.7;386.5;286484
2017-09-01;391.9;394.5;389.7;393.0;250721
2017-08-31;386.3;391.8;386.0;389.9;363797
2017-08-30;383.5;387.9;382.8;386.8;287669
2017-08-29;383.0;384.0;377.5;382.6;383891
2017-08-28;384.0;386.6;382.8;385.7;187771
2017-08-25;386.2;389.0;385.0;385.6;218038
2017-08-24;389.9;391.6;385.6;385.6;473149
2017-08-23;387.9;390.7;387.0;389.1;274889
2017-08-22;386.1;388.7;385.3;387.9;308315
2017-08-21;387.4;388.1;381.8;385.7;275724
2017-08-18;389.2;389.2;386.4;388.7;352028
2017-08-17;393.0;394.9;389.1;390.5;326087
2017-08-16;388.1;394.5;388.1;392.6;463615
2017-08-15;390.0;392.1;384.1;387.1;270718
2017-08-14;386.0;390.1;385.2;388.7;358018
2017-08-11;384.0;386.7;381.3;385.2;403612
2017-08-10;393.8;394.5;386.3;386.3;538110
2017-08-09;395.0;397.0;391.2;394.6;443517
2017-08-08;397.4;398.4;394.6;397.0;295717
2017-08-07;397.1;398.8;395.6;396.8;220756
2017-08-04;396.4;397.3;394.1;396.2;357141
2017-08-03;399.0;399.8;395.4;396.2;347799
2017-08-02;400.6;402.6;398.3;399.2;402905
2017-08-01;399.7;402.3;398.3;401.0;374588
2017-07-31;400.0;401.9;396.9;399.0;464275
2017-07-28;400.0;403.4;395.9;400.0;677748
2017-07-27;397.5;403.6;388.9;400.0;895198
2017-07-26;394.5;398.6;391.5;397.4;409139
2017-07-25;395.9;399.0;393.8;394.0;393573
2017-07-24;401.5;402.2;395.4;395.9;355799
2017-07-21;400.4;404.0;398.3;401.9;467572
2017-07-20;402.5;404.0;398.6;400.0;440697
2017-07-19;398.3;403.5;396.2;401.8;411770
2017-07-18;399.8;401.0;393.8;397.0;352774
2017-07-17;403.0;405.1;398.7;401.1;260032
2017-07-14;402.2;404.0;400.3;403.0;283565
2017-07-13;405.1;405.2;399.8;401.2;328429
2017-07-12;399.5;405.4;399.5;405.0;544202
2017-07-11;402.5;402.8;396.8;397.5;387180
2017-07-10;403.7;406.0;400.7;402.3;326927
2017-07-07;405.7;406.0;400.4;402.2;354469
2017-07-06;407.0;407.4;403.2;405.7;367553
2017-07-05;405.9;408.4;404.7;407.4;373686
2017-07-04;406.4;407.5;401.8;406.2;503212
2017-07-03;401.2;407.6;401.2;406.4;377223
2017-06-30;402.6;407.0;400.5;400.5;645734
2017-06-29;407.1;409.9;400.5;401.1;501827
2017-06-28;404.7;408.1;402.4;405.3;499818
2017-06-27;413.6;414.0;405.5;406.3;662181
2017-06-26;414.8;419.8;410.9;413.4;741648
2017-06-23;;417.4;417.4;417.4;0
2017-06-22;411.1;418.8;409.9;417.4;573537
2017-06-21;409.1;413.3;407.8;411.7;548124
2017-06-20;417.1;419.9;409.1;409.8;860982
2017-06-19;419.0;423.7;417.3;417.3;1036140
2017-06-16;408.1;419.4;408.1;417.9;1129982
2017-06-15;419.9;424.2;406.0;408.5;1986466
2017-06-14;438.0;445.0;418.4;418.5;5788446
2017-06-13;372.1;379.9;372.1;377.8;420318
2017-06-12;383.2;383.2;370.4;371.7;770678
2017-06-09;383.7;387.9;383.7;385.5;247331
2017-06-08;388.3;388.9;383.0;384.2;260789
2017-06-07;387.0;388.5;384.9;387.1;384604
2017-06-06;;386.0;386.0;386.0;0
2017-06-05;389.0;389.0;385.7;386.0;197084
2017-06-02;385.0;388.7;384.5;388.0;369102
2017-06-01;381.0;386.3;379.8;384.7;400024
2017-05-31;383.6;385.2;380.3;380.7;918973
2017-05-30;384.1;384.1;380.2;383.6;360194
2017-05-29;384.0;385.0;381.0;384.6;191994
2017-05-26;390.6;390.6;382.4;385.0;341679
2017-05-24;385.1;387.0;385.0;386.8;235141
2017-05-23;385.0;388.0;384.4;385.0;373966
2017-05-22;388.7;390.3;382.7;384.0;461515
2017-05-19;382.0;391.2;381.7;389.2;517483
2017-05-18;384.1;385.4;377.2;382.3;390698
2017-05-17;391.1;391.3;382.8;384.8;561510
2017-05-16;388.9;393.5;388.7;392.0;489823
2017-05-15;389.0;391.5;382.8;388.9;576177
2017-05-12;388.6;387.6;387.6;387.6;362491
2017-05-11;390.3;391.6;388.4;388.9;417729
2017-05-10;392.1;392.1;388.6;390.0;370483
2017-05-09;393.4;396.9;392.2;392.8;385610
2017-05-08;394.8;394.9;389.5;392.9;364433
2017-05-05;394.5;394.5;388.9;393.8;403989
2017-05-04;390.0;394.9;386.7;394.9;457116
2017-05-03;383.4;391.2;381.0;391.1;874730
2017-05-02;385.2;394.0;374.0;383.4;1319539
2017-05-01;;385.7;385.7;385.7;0
2017-04-28;376.6;388.8;376.6;385.7;951003
2017-04-27;380.0;380.8;375.7;376.8;494391
2017-04-26;377.1;381.6;376.5;380.0;738797
2017-04-25;366.0;376.8;365.0;376.3;945581
2017-04-24;361.7;365.6;359.4;365.0;586585
2017-04-21;358.0;359.5;355.8;357.1;395510
2017-04-20;359.7;361.5;351.9;358.0;751345
2017-04-19;360.3;363.9;357.7;360.9;439629
2017-04-18;366.2;367.1;360.3;361.6;685198
2017-04-13;365.3;367.8;364.6;365.5;212485
2017-04-12;367.2;369.8;365.4;365.6;338884
2017-04-11;368.0;369.1;364.0;364.8;288362
2017-04-10;368.1;369.4;366.0;368.5;377807
2017-04-07;365.0;369.3;361.5;368.3;565846
2017-04-06;365.0;369.5;363.6;367.3;835134
2017-04-05;356.5;367.5;356.5;365.0;753202
2017-04-04;355.0;358.3;354.5;355.3;463801
2017-04-03;359.8;360.2;355.2;355.9;490034
2017-03-31;363.0;363.6;359.1;360.0;445383
2017-03-30;360.3;363.3;359.7;362.0;336503
2017-03-29;360.8;363.0;358.7;360.0;380356
2017-03-28;356.5;361.5;356.5;360.9;507700
2017-03-27;354.6;356.6;352.3;355.9;303227
2017-03-24;354.7;356.9;351.6;356.9;335772
2017-03-23;349.5;357.1;349.1;356.0;511884
2017-03-22;349.5;350.9;345.7;349.9;411464
2017-03-21;357.7;357.7;350.4;350.9;293187
2017-03-20;355.6;357.3;353.8;356.7;382698
2017-03-17;351.5;356.7;351.5;356.0;594200
2017-03-16;340.0;356.9;338.0;351.5;2724011
2017-03-15;355.0;360.7;354.9;360.2;534509
2017-03-14;356.9;356.9;354.1;355.6;284091
2017-03-13;354.7;357.9;354.0;356.9;406730
2017-03-10;358.7;353.9;353.9;353.9;357764
2017-03-09;355.8;358.3;354.4;357.4;606980
2017-03-08;356.0;359.2;354.3;356.4;226160
2017-03-07;357.2;358.9;355.1;356.2;351304
2017-03-06;358.0;358.5;355.5;356.3;267927
2017-03-03;362.5;358.8;358.8;358.8;423331
2017-03-02;367.0;368.2;361.6;362.8;377921
2017-03-01;365.0;370.6;364.7;367.2;404713
2017-02-28;361.0;364.6;360.9;364.6;682627
2017-02-27;363.7;363.8;357.7;360.8;559011
2017-02-24;367.1;368.2;358.6;361.1;555632
2017-02-23;366.4;367.8;364.2;366.9;371852
2017-02-22;368.1;370.4;366.5;367.1;464415
2017-02-21;365.0;368.4;363.1;367.3;279991
2017-02-20;365.0;366.9;360.7;364.8;359706
