Dates;Open;High;Low;Close;Volume
2017-10-09;84.6;84.95;83.95;84.7;450939
2017-10-06;85.65;85.9;84.45;84.7;379859
2017-10-05;85.95;85.95;85.0;85.65;255725
2017-10-04;86.0;86.05;85.2;86.0;338366
2017-10-03;84.55;86.1;84.55;85.95;426672
2017-10-02;85.7;86.3;84.2;84.45;811480
2017-09-29;85.95;86.3;85.05;85.7;550329
2017-09-28;85.3;86.35;84.7;86.1;532501
2017-09-27;83.95;85.3;83.55;85.05;827911
2017-09-26;81.65;84.0;81.5;83.75;631435
2017-09-25;81.65;81.7;81.2;81.65;263928
2017-09-22;81.0;81.75;80.1;81.7;344299
2017-09-21;80.9;81.25;80.35;81.05;283165
2017-09-20;80.6;80.9;80.1;80.65;331325
2017-09-19;80.65;80.75;79.85;80.7;353716
2017-09-18;81.2;81.35;80.05;80.65;410249
2017-09-15;81.35;81.45;80.05;80.9;568174
2017-09-14;81.35;81.8;80.65;81.35;904314
2017-09-13;80.65;80.75;79.35;80.1;501603
2017-09-12;80.4;81.0;80.25;80.4;518833
2017-09-11;79.5;80.5;79.5;80.2;524004
2017-09-08;79.0;79.4;78.8;79.3;371162
2017-09-07;79.0;79.45;78.8;79.15;464520
2017-09-06;78.6;79.55;78.4;78.9;958899
2017-09-04;78.0;78.3;77.65;78.0;340243
2017-09-01;78.0;78.5;77.55;78.25;1701864
2017-08-31;79.0;79.25;77.55;77.75;863756
2017-08-30;78.25;78.8;77.6;78.7;309158
2017-08-29;79.25;79.25;77.7;77.9;438619
2017-08-28;79.4;79.85;79.25;79.45;235853
2017-08-25;79.35;80.25;79.05;79.9;433338
2017-08-24;80.25;80.5;79.35;79.4;679192
2017-08-23;80.5;80.95;80.0;80.1;679085
2017-08-22;79.75;80.65;78.95;80.35;895135
2017-08-21;79.1;80.45;79.1;79.45;361779
2017-08-18;79.0;79.55;78.9;79.4;1704342
2017-08-17;80.65;80.9;79.75;79.8;531377
2017-08-16;81.3;81.3;80.65;80.9;386959
