Dates;Open;High;Low;Close;Volume
2017-10-09;395.5;395.5;393.6;394.0;255
2017-10-06;394.0;397.8;394.0;395.5;419
2017-10-05;390.9;398.0;390.9;392.7;705
2017-10-04;397.5;398.8;390.9;390.9;768
2017-10-03;387.5;399.5;387.5;395.3;1160
2017-10-02;385.5;391.0;385.0;388.0;817
2017-09-29;381.8;385.6;381.8;385.5;421
2017-09-28;376.0;382.0;376.0;381.8;129
2017-09-27;379.0;382.4;375.0;382.1;750
2017-09-26;380.8;380.8;379.0;379.0;987
2017-09-25;381.2;382.3;374.7;380.7;865
2017-09-22;378.1;382.8;378.1;381.3;1172
2017-09-21;379.7;379.7;374.7;378.0;934
2017-09-20;374.0;375.0;373.8;373.8;663
2017-09-19;375.0;375.0;374.0;375.0;183
2017-09-18;367.7;374.0;367.7;374.0;1109
2017-09-15;373.8;373.8;367.7;367.7;337
2017-09-14;371.6;371.6;367.7;370.0;686
2017-09-13;371.0;371.0;370.0;371.0;53
2017-09-12;371.0;373.6;369.5;370.0;466
2017-09-11;367.6;376.2;366.2;369.5;927
2017-09-08;369.9;369.9;358.9;364.7;815
2017-09-07;358.8;369.9;358.8;365.0;1695
2017-09-06;357.3;364.2;345.7;358.7;2138
2017-09-04;349.0;352.5;344.8;349.7;948
2017-09-01;347.9;354.0;347.9;349.7;325
2017-08-31;350.0;350.0;347.9;347.9;116
2017-08-30;342.3;351.0;342.3;350.7;716
2017-08-29;336.6;348.7;336.6;342.3;508
2017-08-28;360.7;360.7;350.0;352.2;499
2017-08-25;366.0;379.8;360.1;360.1;359
2017-08-24;368.0;368.0;360.3;366.7;274
2017-08-23;360.6;370.0;360.6;367.9;156
2017-08-22;361.7;361.7;360.0;360.5;205
2017-08-21;362.0;362.2;354.5;360.0;624
2017-08-18;377.0;377.0;361.7;361.7;1137
2017-08-17;375.0;379.3;370.0;377.2;326
2017-08-16;373.4;373.4;370.7;371.0;1138
2017-08-15;375.4;375.4;366.5;366.8;1457
2017-08-14;376.0;379.8;372.7;375.8;1366
2017-08-11;369.0;381.1;366.4;380.0;1960
2017-08-10;374.0;376.0;370.2;370.2;100
2017-08-09;374.0;376.0;366.5;376.0;410
2017-08-08;369.0;375.0;369.0;375.0;105
2017-08-07;376.0;376.0;366.7;367.0;916
2017-08-04;375.8;375.8;375.4;375.6;308
2017-08-03;372.0;378.1;366.0;370.2;1537
