Dates;Open;High;Low;Close;Volume
2017-10-09;215.3;217.5;214.6;217.2;119103
2017-10-06;216.9;217.6;215.1;215.2;76774
2017-10-05;217.0;217.5;215.6;216.8;70426
2017-10-04;217.1;217.7;216.0;217.0;74748
2017-10-03;216.5;219.1;216.1;217.1;106424
2017-10-02;214.4;216.7;214.4;216.3;160881
2017-09-29;215.4;216.5;214.5;214.9;142724
2017-09-28;215.0;216.3;214.1;215.7;80546
2017-09-27;213.2;215.8;213.2;215.0;100691
2017-09-26;212.3;214.4;211.1;212.9;246548
2017-09-25;212.9;214.8;211.6;212.4;126332
2017-09-22;211.4;212.9;207.7;212.8;137379
2017-09-21;207.7;210.6;206.1;209.3;123812
2017-09-20;206.3;207.3;205.5;206.9;113960
2017-09-19;204.3;206.9;204.3;205.4;55514
2017-09-18;203.5;205.5;203.3;204.4;58320
2017-09-15;203.9;205.8;201.3;202.7;713388
2017-09-14;202.9;204.5;201.4;204.5;118162
2017-09-13;202.3;203.9;201.8;202.6;110521
2017-09-12;201.8;203.7;200.7;202.7;736535
2017-09-11;197.9;201.5;197.9;201.1;195769
2017-09-08;196.8;197.9;196.0;197.3;107026
2017-09-07;195.5;197.7;194.3;197.0;67640
2017-09-06;194.4;196.2;193.2;195.2;938013
2017-09-04;193.1;193.1;191.4;192.6;104829
2017-09-01;193.6;194.7;192.5;193.7;159812
2017-08-31;190.8;193.9;190.7;193.6;103742
2017-08-30;190.9;191.7;190.2;190.8;62629
2017-08-29;190.2;190.5;188.2;190.1;89083
2017-08-28;192.5;193.3;190.7;190.9;39706
2017-08-25;192.3;195.1;192.3;193.1;52604
2017-08-24;194.5;197.7;192.8;192.9;114071
2017-08-23;196.5;197.7;193.1;193.6;253522
2017-08-22;195.5;199.1;195.5;197.9;160558
2017-08-21;194.8;196.8;194.3;194.7;50347
2017-08-18;198.2;198.2;195.3;196.2;437898
2017-08-17;198.5;201.2;198.1;198.4;139747
2017-08-16;198.0;199.9;197.9;199.5;129873
2017-08-15;199.8;200.1;196.9;197.1;118503
2017-08-14;200.0;201.2;199.3;199.5;90442
2017-08-11;200.0;200.6;197.4;198.5;109545
2017-08-10;202.2;203.2;200.7;201.5;85318
2017-08-09;204.7;204.7;201.1;202.8;80836
2017-08-08;204.4;206.3;203.7;204.8;63470
2017-08-07;204.4;205.9;203.5;204.5;110819
2017-08-04;202.3;203.8;200.9;203.5;54177
2017-08-03;203.7;204.0;201.3;201.5;120080
2017-08-02;205.0;205.0;202.6;202.8;173993
2017-08-01;200.9;204.9;199.4;203.9;162259
2017-07-31;199.9;200.5;197.3;199.3;95319
2017-07-28;198.9;199.8;196.7;199.3;188290
2017-07-27;195.6;199.5;195.6;199.2;117053
2017-07-26;196.1;197.5;194.3;196.3;152610
2017-07-25;195.5;198.0;192.1;194.4;205667
2017-07-24;196.0;196.4;193.3;195.5;117890
2017-07-21;195.6;196.6;192.8;194.7;144416
2017-07-20;197.0;199.2;190.0;196.2;159370
2017-07-19;195.1;196.7;194.0;196.6;99073
2017-07-18;195.0;196.1;193.2;194.4;63231
2017-07-17;194.9;196.0;193.4;195.9;91979
2017-07-14;195.0;197.1;192.8;194.4;68599
2017-07-13;195.3;195.5;193.5;194.9;124513
2017-07-12;188.1;195.4;188.1;195.4;169294
2017-07-11;188.0;190.8;187.2;187.8;97318
2017-07-10;191.1;191.5;187.7;188.8;223256
2017-07-07;187.1;191.7;187.1;190.9;166329
2017-07-06;191.4;192.1;184.4;187.2;211858
