Dates;Open;High;Low;Close;Volume
2017-10-09;243.9;245.1;241.3;241.9;218050
2017-10-06;244.4;248.7;243.0;244.2;330785
2017-10-05;241.2;244.9;241.2;244.6;396252
2017-10-04;249.6;249.6;241.2;241.7;626200
2017-10-03;252.5;253.7;248.7;249.8;293522
2017-10-02;256.7;258.2;251.6;253.0;336213
2017-09-29;249.4;256.2;249.4;255.9;443709
2017-09-28;247.5;249.7;244.8;249.1;201726
2017-09-27;244.3;248.3;244.3;247.5;245622
2017-09-26;245.5;246.5;244.4;244.5;208129
2017-09-25;245.6;246.6;243.0;245.2;248249
2017-09-22;243.4;246.2;242.1;246.0;308121
2017-09-21;243.6;245.7;241.8;243.4;225391
2017-09-20;244.5;246.2;242.3;243.6;375460
2017-09-19;243.1;245.6;243.0;244.5;289449
2017-09-18;243.1;244.4;241.9;243.4;247304
2017-09-15;242.4;244.4;240.6;243.9;333605
2017-09-14;245.0;245.3;242.0;242.4;357555
2017-09-13;241.5;245.5;240.6;245.0;530287
2017-09-12;242.6;244.6;238.7;241.2;564158
2017-09-11;239.4;245.0;239.4;242.0;451051
2017-09-08;242.6;242.8;236.4;238.9;578481
2017-09-07;240.3;245.0;240.3;243.1;498734
2017-09-06;246.2;248.5;236.5;240.4;765427
2017-09-04;255.0;256.0;248.1;249.4;325931
2017-09-01;255.0;258.6;252.8;258.3;602265
2017-08-31;251.0;255.9;251.0;255.0;602378
2017-08-30;250.0;255.0;248.7;251.0;4984624
2017-08-29;265.8;267.1;260.7;262.9;242043
2017-08-28;266.9;268.5;265.3;266.3;121508
2017-08-25;267.5;272.2;267.5;267.8;304074
2017-08-24;265.0;269.4;263.9;267.0;358395
2017-08-23;275.7;276.0;264.9;265.6;559319
2017-08-22;278.2;279.0;275.7;276.5;272640
2017-08-21;278.8;282.2;278.0;278.2;194206
2017-08-18;280.9;282.1;277.8;279.9;197716
2017-08-17;281.5;284.5;280.7;281.9;238847
2017-08-16;279.2;282.9;279.2;281.9;136088
2017-08-15;283.0;285.2;278.3;279.5;183905
2017-08-14;281.0;284.9;279.4;283.9;332667
2017-08-11;285.1;286.2;279.8;280.5;157104
2017-08-10;288.7;288.8;285.4;285.4;184956
2017-08-09;292.7;294.2;287.9;288.8;161809
2017-08-08;292.5;295.3;292.4;294.6;167243
2017-08-07;288.2;294.6;288.2;292.4;227399
2017-08-04;284.5;288.2;283.7;287.8;177697
2017-08-03;285.0;287.1;283.9;285.9;152770
2017-08-02;286.0;286.9;284.5;285.0;122398
2017-08-01;282.7;287.0;282.6;286.0;201909
2017-07-31;283.9;286.4;283.3;283.4;159349
2017-07-28;287.0;287.0;283.0;283.9;140754
2017-07-27;288.6;291.0;287.5;288.2;149037
2017-07-26;285.0;290.4;284.6;289.0;243233
2017-07-25;283.0;287.0;282.7;285.0;174824
2017-07-24;284.0;286.2;282.5;283.4;195627
2017-07-21;289.6;290.4;281.6;284.5;327004
2017-07-20;291.5;293.1;288.1;289.8;305224
2017-07-19;291.5;295.0;288.6;291.4;379367
2017-07-18;286.3;293.5;283.7;290.6;463921
2017-07-17;282.5;287.5;280.4;285.7;596014
2017-07-14;302.3;305.4;281.0;282.5;661138
2017-07-13;299.3;305.2;298.2;299.0;332283
2017-07-12;295.9;299.3;295.5;299.3;194552
2017-07-11;304.1;304.5;295.4;296.4;232191
2017-07-10;301.6;304.1;301.0;303.7;183000
2017-07-07;298.0;300.7;295.9;300.6;185336
2017-07-06;304.9;305.7;295.3;298.0;287367
2017-07-05;299.9;305.5;298.7;304.9;245180
2017-07-04;298.7;301.3;297.8;299.9;150760
2017-07-03;297.8;301.8;297.8;298.9;263410
2017-06-30;296.9;299.8;296.1;298.1;364936
2017-06-29;298.5;299.9;295.0;296.6;387375
2017-06-28;299.9;300.8;295.5;298.1;281132
2017-06-27;305.0;306.0;299.6;300.3;257577
2017-06-26;307.7;311.3;305.7;306.5;261998
2017-06-23;;308.3;308.3;308.3;0
2017-06-22;306.9;309.0;305.8;308.3;216349
2017-06-21;308.9;309.2;305.8;307.0;238527
2017-06-20;309.0;312.1;307.3;309.2;345388
2017-06-19;310.0;313.1;308.1;309.1;386789
2017-06-16;308.3;309.8;305.3;309.1;870150
2017-06-15;316.5;316.5;306.2;308.0;474618
2017-06-14;314.4;319.4;314.4;317.1;350514
2017-06-13;309.0;315.7;308.7;314.6;339914
2017-06-12;313.9;314.0;306.2;308.7;417724
2017-06-09;314.5;318.2;313.9;315.0;427123
