Dates;Open;High;Low;Close;Volume
2017-10-09;286.0;286.8;277.4;282.8;19772
2017-10-06;284.0;286.8;281.8;286.2;349810
2017-10-05;278.0;286.2;277.9;283.4;74545
2017-10-04;269.9;278.1;269.9;277.9;36482
2017-10-03;273.0;274.8;269.3;269.8;60962
2017-10-02;265.7;273.8;264.4;273.0;21515
2017-09-29;266.9;266.9;264.1;265.6;12223
2017-09-28;265.1;267.1;264.0;265.4;63790
2017-09-27;267.0;268.5;265.3;265.3;10616
2017-09-26;264.8;267.4;263.1;265.0;14167
2017-09-25;268.9;268.9;263.8;265.0;10963
2017-09-22;265.1;267.3;263.6;265.2;7561
2017-09-21;263.5;266.8;263.5;265.1;11586
2017-09-20;262.7;266.3;262.3;265.9;18226
2017-09-19;261.1;266.8;261.1;262.8;12530
2017-09-18;262.0;270.0;257.8;261.0;44466
2017-09-15;275.0;275.0;260.6;260.6;44523
2017-09-14;274.0;274.6;268.5;270.6;15157
2017-09-13;269.0;278.5;268.0;273.8;15398
2017-09-12;263.4;275.3;263.4;271.0;42087
2017-09-11;264.6;268.1;264.0;264.2;14350
2017-09-08;265.0;267.0;263.0;264.6;19246
2017-09-07;264.0;267.1;263.4;264.0;27205
2017-09-06;275.0;275.0;261.1;263.4;36282
2017-09-04;260.8;268.6;260.8;265.5;70455
2017-09-01;262.0;271.4;262.0;269.0;27970
2017-08-31;257.2;262.8;255.8;260.0;23683
2017-08-30;260.4;261.0;254.7;257.9;48446
2017-08-29;264.5;264.5;250.0;255.2;22375
2017-08-28;273.3;273.3;263.8;264.5;9019
2017-08-25;271.9;276.8;269.3;270.2;233543
2017-08-24;276.9;276.9;265.4;274.4;18690
2017-08-23;277.4;278.0;263.2;270.4;12849
2017-08-22;274.1;277.3;274.0;277.3;8567
2017-08-21;272.0;281.6;271.0;274.1;511187
2017-08-18;276.0;276.4;270.9;275.2;309666
2017-08-17;274.0;280.8;272.1;275.2;13029
2017-08-16;272.3;281.9;272.3;276.0;11467
2017-08-15;277.0;277.0;272.3;272.8;9542
2017-08-14;273.5;278.7;272.9;273.2;8447
2017-08-11;269.2;273.0;269.2;273.0;21775
2017-08-10;272.2;276.3;266.0;271.0;10551
2017-08-09;272.2;277.3;268.0;275.0;14422
