Dates;Open;High;Low;Close;Volume
2017-10-09;520.0;526.5;519.0;525.0;100197
2017-10-06;538.5;538.5;521.0;523.0;145670
2017-10-05;537.0;541.0;536.0;537.5;78878
2017-10-04;545.5;549.0;536.0;537.0;101576
2017-10-03;537.0;548.0;537.0;544.5;75680
2017-10-02;536.5;541.5;534.0;540.5;99656
2017-09-29;534.0;537.5;528.5;537.5;144165
2017-09-28;538.0;540.5;524.5;531.5;146196
2017-09-27;545.5;548.5;538.0;538.0;97966
2017-09-26;546.5;550.0;541.0;544.0;114691
2017-09-25;540.0;549.0;538.0;549.0;91529
2017-09-22;541.0;548.0;541.0;543.0;73573
2017-09-21;553.0;558.5;540.5;544.0;94405
2017-09-20;557.0;560.0;550.0;551.5;103409
2017-09-19;565.0;568.0;554.5;557.5;187064
2017-09-18;567.5;577.0;565.5;568.5;149797
2017-09-15;557.5;572.0;557.0;572.0;179868
2017-09-14;547.0;560.0;547.0;560.0;78675
2017-09-13;541.5;550.0;537.0;550.0;189231
2017-09-12;539.5;544.0;532.5;540.5;209910
2017-09-11;525.0;540.0;524.5;539.0;170675
2017-09-08;511.5;525.5;510.0;524.0;200091
2017-09-07;507.0;515.5;501.5;513.0;187368
2017-09-06;516.5;516.5;506.0;510.0;154047
2017-09-04;503.0;517.0;495.8;510.5;196538
2017-09-01;498.0;506.0;497.6;503.0;43793
2017-08-31;491.5;499.5;490.9;495.7;109875
2017-08-30;494.3;494.4;485.4;491.5;66074
2017-08-29;498.1;499.1;487.5;487.8;96310
2017-08-28;497.0;497.6;492.0;496.0;100077
2017-08-25;487.9;498.3;484.1;496.0;99401
2017-08-24;475.9;487.8;475.9;485.5;149028
2017-08-23;485.0;485.0;472.8;478.3;183686
2017-08-22;477.6;484.9;474.9;483.1;123603
2017-08-21;485.9;489.6;472.5;477.2;125916
2017-08-18;491.1;495.0;484.6;486.0;129069
2017-08-17;501.0;502.5;493.5;494.0;92614
2017-08-16;505.5;505.5;494.6;499.1;116226
2017-08-15;508.5;510.5;499.4;501.5;75721
2017-08-14;508.0;516.5;506.0;509.0;66591
2017-08-11;517.5;518.0;508.0;510.0;96473
2017-08-10;524.0;525.0;519.0;519.0;50236
2017-08-09;520.0;523.0;516.0;520.0;56800
