Dates;Open;High;Low;Close;Volume
2017-10-09;192.0;193.3;191.6;192.3;2894
2017-10-06;193.2;193.5;191.5;191.6;4532
2017-10-05;193.0;194.0;192.7;193.2;5756
2017-10-04;193.9;194.3;192.3;193.0;8279
2017-10-03;193.3;194.3;192.7;193.6;5607
2017-10-02;196.0;196.0;191.9;193.3;9537
2017-09-29;196.2;197.0;192.5;195.8;2588
2017-09-28;194.0;196.7;192.9;196.2;2019
2017-09-27;190.3;194.0;190.1;193.9;5034
2017-09-26;195.8;195.8;190.0;190.1;19231
2017-09-25;205.1;205.1;194.0;194.0;36667
2017-09-22;212.0;213.2;210.4;212.4;3187
2017-09-21;210.7;212.7;210.2;212.7;1544
2017-09-20;209.0;211.8;206.9;210.7;3861
2017-09-19;207.2;212.8;207.2;208.9;6188
2017-09-18;206.3;207.9;205.0;207.4;1570
2017-09-15;204.2;210.0;204.2;206.3;5062
2017-09-14;204.0;204.2;202.3;202.3;8203
2017-09-13;204.5;204.9;203.4;204.0;1622
2017-09-12;205.6;206.5;204.8;204.9;2092
2017-09-11;203.0;207.4;203.0;205.6;2967
2017-09-08;203.0;203.8;202.7;202.9;1410
2017-09-07;202.6;204.3;201.9;204.1;5342
2017-09-06;205.0;205.6;202.5;202.5;1097
2017-09-04;206.7;206.7;204.3;205.6;842
2017-09-01;210.0;210.0;206.7;206.7;4777
2017-08-31;204.8;207.5;204.0;207.0;2020
2017-08-30;204.1;204.5;202.4;204.0;4745
2017-08-29;206.2;206.9;201.5;202.3;4710
2017-08-28;206.9;208.6;206.8;206.9;3946
2017-08-25;200.2;208.8;200.2;208.2;7074
2017-08-24;202.8;203.5;200.7;201.1;1246
2017-08-23;202.0;202.5;201.5;201.6;2390
2017-08-22;201.7;203.0;201.7;202.7;886
2017-08-21;204.0;204.3;201.7;201.7;1240
2017-08-18;205.1;205.1;202.4;204.0;2382
2017-08-17;207.0;207.4;205.0;206.5;1557
2017-08-16;207.0;208.2;206.2;206.9;3997
2017-08-15;208.1;208.3;205.0;205.5;2226
2017-08-14;205.0;208.1;205.0;208.1;6785
2017-08-11;206.7;206.7;203.1;204.1;4839
2017-08-10;209.5;209.5;206.3;206.9;2342
2017-08-09;211.3;211.3;208.6;209.4;3354
2017-08-08;210.8;212.3;209.8;211.3;8784
2017-08-07;209.8;211.4;209.5;210.4;1564
2017-08-04;208.5;210.0;207.7;209.8;1855
2017-08-03;208.8;208.8;207.3;208.5;2449
2017-08-02;210.0;211.5;208.0;208.8;5120
2017-08-01;211.7;211.7;209.6;209.8;2394
2017-07-31;211.1;211.6;209.9;210.4;1949
2017-07-28;213.5;213.5;209.9;211.6;3003
2017-07-27;214.8;216.6;213.5;214.2;2762
2017-07-26;211.0;213.4;211.0;213.2;2836
2017-07-25;212.2;213.1;211.3;211.5;2458
2017-07-24;215.8;216.0;212.2;212.2;3727
2017-07-21;223.3;223.3;215.5;215.6;10926
2017-07-20;226.8;229.0;221.5;223.3;6372
2017-07-19;237.5;237.5;213.4;226.8;14493
2017-07-18;237.9;238.2;236.3;238.0;1788
2017-07-17;236.8;238.0;235.1;238.0;3770
2017-07-14;237.3;237.5;235.0;236.9;2358
2017-07-13;235.5;238.0;235.5;237.3;3122
2017-07-12;230.8;236.1;230.8;235.5;2134
2017-07-11;233.0;233.0;231.2;231.5;1595
2017-07-10;231.3;233.0;231.3;232.6;765
2017-07-07;230.0;231.5;230.0;231.4;817
2017-07-06;236.1;236.1;229.9;230.1;3337
2017-07-05;236.7;236.7;234.8;235.6;557
2017-07-04;237.0;237.4;234.8;237.1;3037
2017-07-03;237.0;237.4;233.0;237.4;3066
2017-06-30;237.2;239.0;237.2;237.6;1949
2017-06-29;241.5;241.5;236.6;237.2;3173
2017-06-28;241.9;241.9;239.1;241.5;2695
2017-06-27;246.0;246.0;241.9;241.9;829
2017-06-26;246.2;246.7;244.1;244.4;3173
2017-06-23;;245.8;245.8;245.8;0
2017-06-22;248.7;248.7;245.8;245.8;5969
2017-06-21;249.0;249.0;246.6;247.6;1431
2017-06-20;247.3;249.9;247.0;249.9;858
2017-06-19;247.5;250.0;246.9;248.2;13971
2017-06-16;242.7;251.5;242.7;251.5;25403
2017-06-15;245.0;245.0;241.0;241.6;2931
2017-06-14;245.0;246.8;244.7;245.9;6677
2017-06-13;241.8;244.7;241.8;244.4;2593
2017-06-12;245.0;245.0;240.6;241.8;3537
2017-06-09;242.7;245.2;241.5;245.2;2908
2017-06-08;243.5;244.0;242.3;242.7;2864
2017-06-07;245.0;245.0;242.7;243.6;2949
2017-06-06;;245.2;245.2;245.2;0
2017-06-05;245.0;245.8;244.3;245.2;3779
2017-06-02;244.3;246.0;243.9;245.5;2544
2017-06-01;243.2;244.9;242.4;244.9;3642
2017-05-31;243.3;245.0;242.7;243.5;739
2017-05-30;242.8;243.7;241.1;243.5;2691
2017-05-29;243.8;243.8;242.7;242.8;853
2017-05-26;240.0;244.3;240.0;243.8;3608
2017-05-24;242.4;242.4;241.0;241.9;400
2017-05-23;239.0;242.1;239.0;241.0;3123
2017-05-22;238.8;242.6;238.8;239.8;4755
2017-05-19;239.1;240.2;238.2;239.8;5620
