Dates;Open;High;Low;Close;Volume
2017-10-09;110.8;111.3;110.5;110.8;5362546
2017-10-06;110.7;110.7;109.8;110.6;5118264
2017-10-05;110.0;110.9;109.7;110.4;6273052
2017-10-04;110.3;110.4;109.4;110.2;5759020
2017-10-03;110.5;110.9;109.6;110.0;4644703
2017-10-02;110.4;110.7;109.1;110.4;6242929
2017-09-29;109.4;110.5;109.1;110.4;7228488
2017-09-28;110.0;110.4;109.1;109.2;7286215
2017-09-27;107.3;110.1;107.3;109.3;8943722
2017-09-26;106.6;107.8;106.0;107.1;4772887
2017-09-25;106.4;107.2;106.1;106.3;5480758
2017-09-22;105.7;106.6;105.4;106.6;6972799
2017-09-21;103.8;106.4;103.8;105.7;7079692
2017-09-20;103.1;103.9;103.1;103.5;5563972
2017-09-19;103.2;103.5;103.0;103.2;4909589
2017-09-18;103.0;103.4;102.8;103.1;4957454
2017-09-15;104.1;104.5;102.4;102.4;9806702
2017-09-14;105.0;105.3;103.6;104.3;7369953
2017-09-13;104.2;105.2;104.0;105.2;8081133
2017-09-12;104.2;104.8;103.8;104.2;7623948
2017-09-11;104.0;104.5;103.3;103.9;9848656
2017-09-08;103.2;104.5;102.8;103.9;8349717
2017-09-07;105.3;105.5;102.7;103.3;14857903
2017-09-06;104.9;106.9;103.8;104.8;17160039
2017-09-04;106.1;106.3;105.0;105.2;6295235
2017-09-01;106.9;107.4;105.9;107.0;6700417
2017-08-31;107.0;107.8;106.7;106.9;8408272
2017-08-30;105.9;106.8;105.5;106.7;8165303
2017-08-29;105.0;106.0;104.6;105.4;11019820
2017-08-28;104.7;106.1;104.7;105.4;4836318
2017-08-25;103.7;105.5;103.7;105.0;5682331
2017-08-24;104.5;104.9;103.5;103.5;7154593
2017-08-23;103.9;104.8;103.6;104.4;6841391
2017-08-22;102.6;104.0;102.3;103.8;8485675
2017-08-21;102.3;102.7;101.6;102.1;7409655
2017-08-18;101.9;103.1;101.5;103.0;8029702
2017-08-17;104.6;104.6;102.4;102.7;6562112
2017-08-16;104.0;104.7;103.6;104.4;5080809
2017-08-15;104.6;104.9;103.4;103.5;5601547
2017-08-14;103.7;104.6;103.6;104.1;5674728
2017-08-11;103.1;103.6;102.5;103.0;6790908
2017-08-10;104.1;104.3;103.1;103.3;5995183
2017-08-09;104.0;104.4;103.3;104.2;6022697
