Dates;Open;High;Low;Close;Volume
2015-07-03;;127.1;127.1;127.1;0
2015-07-02;130.6;131.9;124.9;127.1;27009
2015-07-01;126.8;133.5;123.7;130.5;80234
2015-06-30;125.2;130.5;125.2;126.8;35926
2015-06-29;122.2;129.0;120.9;126.9;75973
2015-06-26;125.5;127.9;124.7;127.6;40677
2015-06-25;126.0;126.0;123.4;124.9;60827
2015-06-24;124.9;127.4;124.7;125.6;69574
2015-06-23;124.6;125.0;122.5;124.5;69198
2015-06-22;118.9;123.0;118.9;122.5;107515
2015-06-19;;119.3;119.3;119.3;0
2015-06-18;119.6;124.6;118.2;119.3;70279
2015-06-17;121.0;123.6;119.5;120.6;89427
2015-06-16;118.1;120.8;116.7;119.8;83960
2015-06-15;117.7;120.3;117.1;118.2;95945
2015-06-12;123.0;123.4;117.6;118.6;162386
2015-06-11;122.0;126.5;121.5;123.4;88467
2015-06-10;120.9;123.1;119.3;121.8;115111
2015-06-09;118.5;121.6;118.5;121.2;71264
2015-06-08;121.0;122.6;119.5;120.2;117523
2015-06-05;124.6;124.6;121.0;122.6;99449
2015-06-04;126.5;127.2;123.9;125.0;131100
2015-06-03;129.1;129.5;126.7;126.9;107894
2015-06-02;126.3;128.0;125.1;128.0;158636
2015-06-01;128.8;131.0;125.7;126.0;251336
2015-05-29;133.2;134.0;128.5;128.5;323238
2015-05-28;133.5;136.4;132.8;134.0;149210
2015-05-27;137.0;137.3;132.6;134.1;171216
2015-05-26;138.5;138.9;135.3;136.5;134583
2015-05-25;138.6;139.9;137.2;137.6;69632
2015-05-22;139.5;139.5;135.4;136.6;253258
2015-05-21;136.8;139.9;136.0;139.6;136722
2015-05-20;144.2;144.8;139.7;140.6;91081
2015-05-19;143.0;144.7;140.9;143.5;162880
2015-05-18;141.1;144.7;139.3;142.0;174094
2015-05-15;140.0;144.6;138.1;141.6;219771
2015-05-14;140.0;140.0;136.4;138.0;97049
2015-05-13;140.0;140.0;136.4;138.0;97049
2015-05-12;136.2;139.3;135.3;138.6;313465
2015-05-11;140.0;141.8;136.7;138.9;272339
2015-05-08;131.0;146.0;131.0;142.7;708608
2015-05-07;135.7;136.9;131.6;134.2;306173
2015-05-06;132.5;137.2;130.3;136.5;450335
2015-05-05;139.9;141.0;134.4;135.2;474965
2015-05-04;145.0;145.0;139.6;140.0;168087
2015-05-01;142.1;144.2;139.7;144.1;104720
2015-04-30;142.1;144.2;139.7;144.1;104720
2015-04-29;146.7;149.3;139.6;140.5;406233
2015-04-28;140.0;147.7;138.6;146.7;433421
2015-04-27;139.2;140.5;137.0;138.6;322836
2015-04-24;137.5;139.3;136.2;139.2;185873
2015-04-23;137.3;137.9;135.5;136.8;137872
2015-04-22;139.4;140.3;135.3;136.1;639536
2015-04-21;144.0;144.3;139.1;139.3;291022
2015-04-20;137.7;144.4;137.7;142.9;415560
2015-04-17;138.4;142.0;137.2;137.2;177746
2015-04-16;146.0;147.3;137.6;138.2;344672
2015-04-15;140.1;145.8;139.9;145.0;394916
2015-04-14;138.6;139.8;137.4;139.0;297791
2015-04-13;139.5;140.8;135.8;136.8;507579
2015-04-10;124.6;141.2;124.5;138.1;1561062
2015-04-09;120.0;124.6;118.8;124.6;628352
2015-04-08;118.3;121.8;117.6;118.6;400303
2015-04-07;115.0;120.0;115.0;120.0;323802
2015-04-02;113.8;114.9;113.5;114.5;48288
2015-04-01;115.0;115.4;113.2;113.8;182100
2015-03-31;116.0;116.4;114.5;115.5;89652
2015-03-30;116.0;117.2;114.0;116.0;78388
2015-03-27;116.0;116.9;114.3;115.0;82545
2015-03-26;114.0;115.9;113.7;115.5;121833
2015-03-25;114.0;117.1;114.0;115.6;138365
2015-03-24;115.9;118.0;114.3;116.4;268514
2015-03-23;116.0;116.0;112.6;115.8;236751
2015-03-20;113.8;115.8;112.5;115.5;258628
2015-03-19;113.0;114.9;112.5;113.5;157048
2015-03-18;112.7;113.9;112.7;113.0;204453
2015-03-17;114.8;115.2;112.0;112.6;53133
2015-03-16;113.6;115.1;113.0;114.8;161775
2015-03-13;112.9;114.0;112.0;113.6;131983
2015-03-12;111.4;113.0;110.0;112.5;354461
2015-03-11;111.5;113.0;110.1;111.4;288639
2015-03-10;114.8;115.1;111.3;111.6;109021
2015-03-09;116.5;116.8;113.8;114.5;177049
2015-03-06;113.5;116.8;112.6;116.1;130474
2015-03-05;114.0;114.0;112.3;113.5;240887
2015-03-04;115.3;116.2;112.5;112.6;261155
2015-03-03;120.4;121.3;116.6;116.6;118557
2015-03-02;123.2;123.4;119.9;121.0;142266
2015-02-27;123.0;123.3;121.4;123.2;121156
2015-02-26;123.4;124.6;121.7;123.0;83476
2015-02-25;122.6;123.4;120.6;123.0;139400
2015-02-24;122.3;123.4;121.1;122.7;133023
2015-02-23;120.3;122.3;119.0;121.9;104358
2015-02-20;120.1;121.4;118.6;120.0;101927
2015-02-19;123.0;123.1;120.1;121.0;110773
2015-02-18;122.0;123.3;120.2;123.0;106761
2015-02-17;126.3;128.1;120.6;121.4;309684
2015-02-16;124.5;126.3;123.3;126.0;239673
2015-02-13;122.7;125.7;120.4;123.2;382213
2015-02-12;109.5;123.9;109.0;120.0;932628
2015-02-11;111.6;111.6;103.3;109.1;600142
2015-02-10;111.4;113.0;111.1;111.5;175580
2015-02-09;113.9;114.1;109.9;111.7;320533
2015-02-06;112.7;114.1;112.2;113.4;160740
2015-02-05;111.3;112.9;110.4;112.2;170426
2015-02-04;111.8;114.5;109.3;110.8;205043
2015-02-03;111.9;114.3;111.2;111.3;207411
2015-02-02;111.5;113.7;110.3;111.4;148433
2015-01-30;113.1;116.0;110.8;111.1;224015
2015-01-29;113.0;116.7;110.6;115.0;310622
2015-01-28;118.4;119.9;116.6;117.1;93485
2015-01-27;123.6;124.0;116.8;118.2;118876
2015-01-26;124.0;124.2;121.0;123.6;143220
2015-01-23;123.8;124.4;120.3;123.8;346573
2015-01-22;119.8;121.8;118.3;121.0;185586
2015-01-21;118.0;120.3;116.4;119.9;87363
2015-01-20;114.5;119.9;114.5;116.9;398491
2015-01-19;113.0;115.0;112.0;114.5;62956
2015-01-16;116.0;116.8;111.2;111.6;177010
2015-01-15;109.6;116.9;109.6;116.0;305694
2015-01-14;109.5;110.4;105.6;109.3;319046
2015-01-13;110.0;110.1;108.4;109.3;81151
2015-01-12;112.8;112.8;108.3;109.5;130474
2015-01-09;113.0;113.0;110.0;110.8;81876
2015-01-08;107.2;113.0;105.9;112.5;196624
2015-01-07;111.0;111.5;105.8;106.4;197375
2015-01-06;;109.5;109.5;109.5;0
2015-01-05;112.1;112.2;109.3;109.5;56900
2015-01-02;109.3;111.2;108.7;109.4;55237
2015-01-01;110.0;111.1;108.3;108.5;285072
2014-12-30;110.0;111.1;108.3;108.5;285072
2014-12-29;112.0;112.2;110.0;110.6;166196
2014-12-23;115.5;115.6;112.5;113.3;157590
2014-12-22;113.2;116.8;113.0;115.0;193455
2014-12-19;116.0;116.4;111.8;113.8;205880
2014-12-18;111.2;114.0;108.1;114.0;279646
2014-12-17;109.1;110.5;105.6;109.9;329914
2014-12-16;116.0;116.0;106.8;110.8;520508
2014-12-15;120.0;122.0;115.6;116.6;142529
2014-12-12;124.2;124.2;120.7;122.1;88979
2014-12-11;126.0;127.3;123.4;125.4;95768
2014-12-10;129.0;129.9;127.2;127.5;80706
2014-12-09;128.7;128.7;126.5;128.7;146477
2014-12-08;130.1;130.1;127.4;128.5;61393
2014-12-05;129.6;129.8;127.3;129.8;72724
2014-12-04;130.0;130.0;126.8;127.7;58515
2014-12-03;130.5;131.6;128.1;129.5;185246
2014-12-02;123.8;124.9;118.9;124.5;173043
2014-12-01;130.0;130.9;123.8;124.0;220825
2014-11-28;133.8;134.4;130.5;131.7;77480
2014-11-27;136.0;137.8;131.0;135.2;151196
2014-11-26;136.0;136.2;132.3;135.5;270950
2014-11-25;138.7;139.3;135.0;136.0;141722
2014-11-24;135.3;138.5;134.7;138.4;74078
2014-11-21;136.5;137.9;133.9;136.6;76747
2014-11-20;137.6;138.3;134.8;136.0;67330
2014-11-19;138.0;138.4;136.0;137.2;73334
2014-11-18;135.9;139.3;135.9;138.0;137427
2014-11-17;134.6;135.5;132.2;135.2;124500
2014-11-14;138.0;138.0;134.0;135.0;141636
2014-11-13;140.6;142.4;136.8;137.7;79414
2014-11-12;142.5;144.1;140.3;140.5;69677
2014-11-11;145.0;145.4;141.9;142.5;71753
2014-11-10;145.9;146.4;143.0;143.7;138260
2014-11-07;148.0;148.5;144.3;144.5;205780
2014-11-06;145.0;147.7;142.4;147.6;197258
2014-11-05;145.0;146.6;140.2;141.8;321134
