Dates;Open;High;Low;Close;Volume
2017-10-09;44.69;44.89;44.69;44.89;2763
2017-10-06;44.99;44.99;43.72;44.69;5486
2017-10-05;43.87;43.89;43.15;43.41;3953
2017-10-04;43.99;44.0;43.32;43.87;2492
2017-10-03;43.99;43.99;43.27;43.8;2535
2017-10-02;44.0;44.0;43.23;43.23;15243
2017-09-29;43.3;43.98;43.3;43.6;861
2017-09-28;43.5;43.6;43.3;43.3;1958
2017-09-27;42.5;43.74;42.5;43.01;2568
2017-09-26;42.52;43.89;42.31;42.31;9237
2017-09-25;43.0;43.0;42.21;42.51;8140
2017-09-22;43.05;43.87;43.0;43.0;2930
2017-09-21;42.75;43.0;42.74;43.0;5321
2017-09-20;41.9;42.99;41.9;42.74;2928
2017-09-19;42.0;43.0;41.7;41.8;5016
2017-09-18;41.9;42.0;41.7;41.7;6527
2017-09-15;41.2;42.1;41.2;41.9;5482
2017-09-14;43.0;43.0;41.46;42.22;4459
2017-09-13;43.49;43.49;41.35;43.0;313
2017-09-12;42.39;43.49;41.32;43.49;4533
2017-09-11;42.16;44.22;41.22;42.39;14242
2017-09-08;42.98;42.98;42.15;42.16;5121
2017-09-07;42.5;43.2;42.15;43.11;8218
2017-09-06;44.0;44.0;42.15;43.48;4244
2017-09-04;45.0;45.0;43.0;44.86;1379
2017-09-01;44.09;45.83;43.34;45.33;4430
2017-08-31;46.4;46.4;44.07;45.0;334
2017-08-30;46.99;46.99;44.99;46.39;1512
2017-08-29;46.3;47.05;44.0;46.74;7946
2017-08-28;47.48;47.48;46.3;46.3;2145
2017-08-25;46.55;47.49;45.26;47.48;5257
2017-08-24;47.46;47.46;46.7;46.9;488
2017-08-23;46.66;47.46;46.66;47.46;901
2017-08-22;46.91;47.0;46.65;46.71;3964
2017-08-21;46.76;47.85;46.76;46.91;2798
2017-08-18;48.0;48.12;46.75;48.06;4837
2017-08-17;48.5;48.5;48.0;48.3;1558
2017-08-16;47.97;48.55;46.72;48.08;818
2017-08-15;48.84;48.84;47.98;47.98;896
2017-08-14;47.19;48.8;47.19;48.65;1561
2017-08-11;47.87;47.87;47.19;47.21;1933
2017-08-10;48.15;48.5;47.87;47.87;3879
2017-08-09;48.15;49.37;48.0;48.0;2332
2017-08-08;49.48;49.48;48.15;48.15;2144
