Dates;Open;High;Low;Close;Volume
2017-06-16;;1835.0;1835.0;1835.0;0
2017-06-15;;1835.0;1835.0;1835.0;0
2017-06-14;;1835.0;1835.0;1835.0;0
2017-06-13;;1835.0;1835.0;1835.0;0
2017-06-12;;1835.0;1835.0;1835.0;0
2017-06-09;1835.0;1837.0;1835.0;1835.0;125
2017-06-08;1834.0;1836.0;1834.0;1835.0;534
2017-06-07;1835.0;1836.0;1834.0;1834.0;512
2017-06-06;;1835.0;1835.0;1835.0;0
2017-06-05;1834.0;1836.0;1834.0;1835.0;449
2017-06-02;1835.0;1836.0;1834.0;1834.0;729
2017-06-01;1834.0;1836.0;1834.0;1834.0;568
2017-05-31;1835.0;1836.0;1834.0;1834.0;517
2017-05-30;1834.0;1836.0;1834.0;1835.0;1493
2017-05-29;1834.0;1835.0;1834.0;1834.0;787
2017-05-26;1833.0;1835.0;1833.0;1834.0;260
2017-05-24;1833.0;1833.0;1833.0;1833.0;228
2017-05-23;1833.0;1834.0;1833.0;1834.0;972
2017-05-22;1834.0;1835.0;1833.0;1833.0;2066
2017-05-19;1833.0;1835.0;1833.0;1833.0;248
2017-05-18;1833.0;1834.0;1833.0;1834.0;423
2017-05-17;1834.0;1835.0;1833.0;1835.0;1578
2017-05-16;1850.0;1850.0;1832.0;1833.0;7629
2017-05-15;1847.0;1853.0;1847.0;1850.0;5907
2017-05-12;1855.0;1847.0;1847.0;1847.0;2335
2017-05-11;1875.0;1884.0;1871.0;1881.0;3086
2017-05-10;1875.0;1885.0;1875.0;1877.0;1361
2017-05-09;1876.0;1879.0;1870.0;1872.0;2141
2017-05-08;1875.0;1883.0;1875.0;1877.0;439
2017-05-05;1879.0;1882.0;1875.0;1882.0;2216
2017-05-04;1882.0;1882.0;1875.0;1879.0;769
2017-05-03;1883.0;1883.0;1875.0;1875.0;696
2017-05-02;1883.0;1883.0;1875.0;1877.0;1865
2017-05-01;;1880.0;1880.0;1880.0;0
2017-04-28;1875.0;1880.0;1872.0;1880.0;536
2017-04-27;1873.0;1880.0;1871.0;1872.0;961
2017-04-26;1875.0;1875.0;1867.0;1875.0;1890
2017-04-25;1875.0;1878.0;1870.0;1875.0;1200
2017-04-24;1870.0;1880.0;1870.0;1875.0;350
2017-04-21;1874.0;1874.0;1871.0;1871.0;698
2017-04-20;1875.0;1876.0;1871.0;1874.0;458
2017-04-19;1874.0;1881.0;1870.0;1874.0;879
2017-04-18;1872.0;1873.0;1866.0;1871.0;1176
2017-04-13;1865.0;1872.0;1865.0;1868.0;144
2017-04-12;1867.0;1870.0;1861.0;1867.0;748
2017-04-11;1867.0;1867.0;1865.0;1867.0;270
2017-04-10;1866.0;1867.0;1861.0;1867.0;480
2017-04-07;1866.0;1867.0;1858.0;1866.0;1657
2017-04-06;1858.0;1866.0;1856.0;1866.0;1328
2017-04-05;1855.0;1861.0;1855.0;1858.0;278
2017-04-04;1859.0;1859.0;1857.0;1859.0;29
2017-04-03;1855.0;1859.0;1853.0;1859.0;207
2017-03-31;1862.0;1862.0;1851.0;1855.0;668
2017-03-30;1853.0;1860.0;1853.0;1860.0;178
2017-03-29;1852.0;1857.0;1852.0;1855.0;633
2017-03-28;1851.0;1855.0;1850.0;1855.0;1638
2017-03-27;1850.0;1855.0;1850.0;1854.0;680
2017-03-24;1850.0;1854.0;1850.0;1852.0;666
2017-03-23;1849.0;1852.0;1849.0;1850.0;68
2017-03-22;1850.0;1854.0;1847.0;1849.0;1133
2017-03-21;1852.0;1854.0;1848.0;1849.0;751
2017-03-20;1850.0;1852.0;1849.0;1850.0;985
2017-03-17;1851.0;1855.0;1850.0;1855.0;181
2017-03-16;1852.0;1855.0;1852.0;1852.0;128
2017-03-15;1851.0;1856.0;1850.0;1855.0;507
2017-03-14;1852.0;1854.0;1848.0;1851.0;188
2017-03-13;1854.0;1854.0;1850.0;1853.0;248
2017-03-10;1850.0;1854.0;1854.0;1854.0;162
2017-03-09;1850.0;1853.0;1844.0;1850.0;1777
2017-03-08;1846.0;1850.0;1843.0;1850.0;1141
2017-03-07;1844.0;1848.0;1843.0;1844.0;672
2017-03-06;1845.0;1848.0;1841.0;1844.0;2636
2017-03-03;1845.0;1849.0;1849.0;1849.0;381
2017-03-02;1850.0;1850.0;1845.0;1845.0;913
2017-03-01;1856.0;1856.0;1846.0;1846.0;773
2017-02-28;1850.0;1857.0;1850.0;1857.0;91
2017-02-27;1847.0;1851.0;1847.0;1850.0;228
2017-02-24;1845.0;1854.0;1843.0;1850.0;3221
2017-02-23;1842.0;1850.0;1840.0;1850.0;3833
2017-02-22;1843.0;1846.0;1841.0;1846.0;1255
2017-02-21;1842.0;1846.0;1841.0;1843.0;541
2017-02-20;1843.0;1848.0;1841.0;1842.0;2369
2017-02-17;1842.0;1846.0;1841.0;1846.0;649
2017-02-16;1841.0;1850.0;1840.0;1842.0;2200
2017-02-15;1844.0;1845.0;1840.0;1841.0;1878
2017-02-14;1843.0;1845.0;1835.0;1844.0;3299
2017-02-13;1859.0;1864.0;1859.0;1863.0;473
2017-02-10;1862.0;1863.0;1856.0;1858.0;763
2017-02-09;1860.0;1864.0;1855.0;1855.0;1144
2017-02-08;1863.0;1863.0;1857.0;1858.0;497
2017-02-07;1864.0;1864.0;1855.0;1857.0;226
2017-02-06;1858.0;1864.0;1856.0;1857.0;1231
2017-02-03;1858.0;1862.0;1855.0;1858.0;802
2017-02-02;1858.0;1858.0;1850.0;1851.0;86
2017-02-01;1853.0;1858.0;1850.0;1858.0;874
2017-01-31;1854.0;1862.0;1850.0;1854.0;2241
2017-01-30;1858.0;1859.0;1853.0;1853.0;149
2017-01-27;1856.0;1859.0;1856.0;1858.0;193
2017-01-26;1855.0;1856.0;1852.0;1856.0;221
2017-01-25;1855.0;1856.0;1853.0;1856.0;303
2017-01-24;1856.0;1856.0;1853.0;1854.0;1792
2017-01-23;1857.0;1862.0;1854.0;1856.0;343
2017-01-20;1855.0;1860.0;1855.0;1856.0;510
2017-01-19;1859.0;1860.0;1852.0;1854.0;284
2017-01-18;1855.0;1860.0;1855.0;1859.0;50
2017-01-17;1854.0;1860.0;1853.0;1855.0;1292
2017-01-16;1855.0;1856.0;1855.0;1855.0;56
2017-01-13;1860.0;1863.0;1851.0;1863.0;697
2017-01-12;1860.0;1860.0;1851.0;1852.0;1177
2017-01-11;1853.0;1864.0;1852.0;1855.0;250
2017-01-10;1855.0;1859.0;1853.0;1853.0;625
2017-01-09;1865.0;1865.0;1852.0;1855.0;276
2017-01-06;;1865.0;1865.0;1865.0;0
2017-01-05;1860.0;1865.0;1860.0;1865.0;117
2017-01-04;1861.0;1861.0;1854.0;1860.0;555
2017-01-03;1856.0;1865.0;1852.0;1852.0;684
2017-01-02;1850.0;1860.0;1850.0;1856.0;2194
2016-12-30;1845.0;1857.0;1844.0;1850.0;550
2016-12-29;1853.0;1855.0;1847.0;1855.0;605
2016-12-28;1843.0;1850.0;1842.0;1847.0;546
2016-12-27;1847.0;1850.0;1841.0;1842.0;786
2016-12-23;1847.0;1847.0;1838.0;1845.0;2143
2016-12-22;1846.0;1847.0;1841.0;1846.0;409
2016-12-21;1840.0;1841.0;1836.0;1841.0;1100
2016-12-20;1840.0;1845.0;1837.0;1837.0;1208
2016-12-19;1840.0;1843.0;1837.0;1839.0;1678
2016-12-16;1839.0;1843.0;1837.0;1843.0;2353
2016-12-15;1839.0;1843.0;1839.0;1840.0;1478
2016-12-14;1842.0;1844.0;1836.0;1843.0;1014
2016-12-13;1843.0;1845.0;1840.0;1844.0;709
2016-12-12;1841.0;1844.0;1841.0;1843.0;8971
2016-12-09;1847.0;1847.0;1842.0;1845.0;1653
2016-12-08;1845.0;1847.0;1845.0;1847.0;1071
2016-12-07;1845.0;1846.0;1844.0;1845.0;1718
2016-12-06;1845.0;1846.0;1845.0;1846.0;296
2016-12-05;1847.0;1848.0;1847.0;1847.0;699
2016-12-02;1848.0;1849.0;1845.0;1849.0;996
2016-12-01;1849.0;1849.0;1847.0;1848.0;555
2016-11-30;1850.0;1850.0;1846.0;1849.0;486
2016-11-29;1850.0;1850.0;1847.0;1850.0;289
2016-11-28;1854.0;1854.0;1847.0;1853.0;417
2016-11-25;1847.0;1854.0;1846.0;1854.0;181
2016-11-24;1848.0;1850.0;1847.0;1850.0;873
2016-11-23;1855.0;1855.0;1847.0;1848.0;271
2016-11-22;1850.0;1855.0;1850.0;1850.0;425
2016-11-21;1857.0;1857.0;1848.0;1850.0;497
2016-11-18;1850.0;1857.0;1850.0;1857.0;830
2016-11-17;1855.0;1855.0;1848.0;1850.0;356
2016-11-16;1854.0;1857.0;1850.0;1855.0;554
2016-11-15;1854.0;1860.0;1846.0;1858.0;1049
2016-11-14;1865.0;1865.0;1847.0;1852.0;467
2016-11-11;1871.0;1879.0;1871.0;1875.0;995
2016-11-10;1871.0;1872.0;1870.0;1871.0;1502
2016-11-09;1872.0;1872.0;1870.0;1870.0;767
2016-11-08;1870.0;1875.0;1870.0;1873.0;280
2016-11-07;1881.0;1881.0;1870.0;1870.0;721
2016-11-04;1875.0;1875.0;1871.0;1871.0;526
2016-11-03;1870.0;1876.0;1870.0;1875.0;86
2016-11-02;1872.0;1876.0;1870.0;1876.0;117
2016-11-01;1870.0;1871.0;1870.0;1870.0;520
2016-10-31;1870.0;1875.0;1870.0;1873.0;384
2016-10-28;1876.0;1876.0;1870.0;1875.0;831
2016-10-27;1875.0;1875.0;1870.0;1872.0;2785
2016-10-26;1870.0;1875.0;1870.0;1871.0;323
2016-10-25;1873.0;1875.0;1871.0;1875.0;639
2016-10-24;1870.0;1873.0;1870.0;1871.0;223
2016-10-21;1870.0;1875.0;1870.0;1875.0;5561
2016-10-20;1870.0;1874.0;1870.0;1870.0;559
2016-10-19;1870.0;1872.0;1870.0;1872.0;328
2016-10-18;1875.0;1876.0;1870.0;1876.0;270
2016-10-17;1874.0;1880.0;1870.0;1870.0;186
2016-10-14;1873.0;1880.0;1870.0;1874.0;1677
2016-10-13;1876.0;1880.0;1870.0;1875.0;5362
2016-10-12;1883.0;1884.0;1876.0;1877.0;745
2016-10-11;1878.0;1885.0;1876.0;1878.0;756
2016-10-10;1878.0;1882.0;1878.0;1882.0;305
2016-10-07;1882.0;1882.0;1876.0;1878.0;405
2016-10-06;1884.0;1884.0;1878.0;1881.0;176
2016-10-05;1882.0;1884.0;1878.0;1881.0;1282
2016-10-04;1882.0;1884.0;1878.0;1879.0;404
2016-10-03;1881.0;1882.0;1880.0;1881.0;307
2016-09-30;1883.0;1883.0;1880.0;1880.0;474
2016-09-29;1877.0;1884.0;1877.0;1883.0;344
2016-09-28;1878.0;1879.0;1878.0;1879.0;910
2016-09-27;1877.0;1880.0;1875.0;1876.0;718
2016-09-26;1880.0;1883.0;1875.0;1877.0;498
2016-09-23;1880.0;1880.0;1875.0;1875.0;624
2016-09-22;1879.0;1884.0;1875.0;1876.0;900
2016-09-21;1878.0;1882.0;1875.0;1880.0;928
2016-09-20;1879.0;1884.0;1875.0;1877.0;341
2016-09-19;1880.0;1880.0;1875.0;1879.0;458
2016-09-16;1878.0;1880.0;1875.0;1880.0;928
