Dates;Open;High;Low;Close;Volume
2017-10-09;69.1;69.85;69.1;69.7;2927263
2017-10-06;70.65;71.3;69.0;69.0;5147850
2017-10-05;70.0;71.35;69.95;71.2;2859712
2017-10-04;69.9;70.05;69.65;70.0;2239127
2017-10-03;69.5;70.15;69.4;69.7;2456168
2017-10-02;69.2;70.15;69.15;69.35;3234402
2017-09-29;68.6;69.15;68.4;69.0;4236444
2017-09-28;69.1;69.2;68.3;68.5;3188485
2017-09-27;68.3;69.3;68.1;69.1;2319181
2017-09-26;67.6;68.35;67.5;68.2;2388472
2017-09-25;67.0;67.75;66.7;67.55;2235470
2017-09-22;66.2;66.95;66.0;66.9;4662710
2017-09-21;65.35;66.25;65.05;66.25;3452379
2017-09-20;65.0;65.55;64.85;65.3;1821153
2017-09-19;64.65;65.35;64.25;64.9;2549577
2017-09-18;64.95;65.05;64.4;64.6;2273027
2017-09-15;64.1;64.9;64.05;64.8;9864033
2017-09-14;64.5;64.55;63.85;64.0;2786906
2017-09-13;64.75;64.95;64.25;64.45;2504762
2017-09-12;63.9;64.8;63.7;64.8;4215117
2017-09-11;64.9;65.2;64.8;64.95;2835145
2017-09-08;64.55;64.75;64.15;64.55;2127608
2017-09-07;64.8;64.9;64.25;64.5;2591208
2017-09-06;64.55;64.85;64.15;64.55;4729491
2017-09-04;65.6;65.65;65.1;65.5;1810641
2017-09-01;66.4;66.6;65.55;65.75;4876426
2017-08-31;66.0;66.3;65.05;66.25;5624025
2017-08-30;65.2;66.0;64.9;65.8;2544943
2017-08-29;64.9;65.15;64.15;65.0;4795181
2017-08-28;67.15;67.15;64.85;65.15;3367248
2017-08-25;68.65;68.8;67.25;67.35;2605230
2017-08-24;68.2;68.75;67.6;68.55;2932700
2017-08-23;68.05;68.45;67.65;67.95;2309083
2017-08-22;68.5;68.7;67.7;68.0;2510449
2017-08-21;68.2;68.75;67.85;68.25;2460343
2017-08-18;67.85;68.25;67.15;68.2;2749971
2017-08-17;68.35;68.75;68.3;68.3;3176048
2017-08-16;68.05;68.45;67.65;68.35;2237852
2017-08-15;68.0;68.35;67.05;67.85;3897466
2017-08-14;68.85;69.3;67.75;67.75;4772764
2017-08-11;68.7;69.65;68.4;68.65;2220629
2017-08-10;69.9;70.15;68.85;68.95;2381094
2017-08-09;70.65;70.65;69.4;69.75;2718713
2017-08-08;69.55;70.9;69.3;70.85;2487873
2017-08-07;69.45;69.95;69.3;69.55;1621589
2017-08-04;68.85;69.4;68.1;69.4;1822736
2017-08-03;68.1;69.0;67.55;68.55;2748325
2017-08-02;66.7;68.35;66.55;68.0;3614921
2017-08-01;67.0;67.15;65.85;66.45;3725228
2017-07-31;66.5;67.5;66.35;66.85;3192410
2017-07-28;67.2;67.35;66.25;66.25;2302935
2017-07-27;66.95;67.7;66.85;67.1;2842844
2017-07-26;65.35;67.05;65.35;66.75;3258854
2017-07-25;65.0;65.65;64.9;65.35;3451341
2017-07-24;64.05;65.65;64.05;65.35;3832325
2017-07-21;63.8;64.85;63.8;64.2;2916593
2017-07-20;65.2;65.55;64.6;64.7;3520868
2017-07-19;64.95;65.2;64.8;65.05;2425037
2017-07-18;64.85;65.15;64.5;64.7;2386534
2017-07-17;64.85;65.25;64.75;64.85;2212685
2017-07-14;64.65;64.85;64.45;64.75;2372853
2017-07-13;65.0;65.15;64.5;64.65;1881274
2017-07-12;64.75;65.5;64.75;65.0;2978260
2017-07-11;64.85;65.1;64.5;64.7;2312138
2017-07-10;64.65;64.9;64.5;64.8;2393668
2017-07-07;64.1;64.6;64.1;64.4;3035931
2017-07-06;64.2;64.4;63.55;64.1;3124386
2017-07-05;64.15;64.35;63.85;64.2;2809440
2017-07-04;64.3;64.5;63.9;64.05;3131288
2017-07-03;63.85;64.8;63.7;64.8;3236640
2017-06-30;63.15;63.8;63.0;63.75;4356311
2017-06-29;64.45;64.8;63.3;63.5;4326896
2017-06-28;64.25;64.85;64.05;64.45;4378038
2017-06-27;64.8;64.8;64.05;64.3;4167209
2017-06-26;64.95;65.35;64.55;64.65;5379522
2017-06-23;;64.75;64.75;64.75;0
2017-06-22;65.5;65.5;64.75;64.75;5103984
2017-06-21;64.1;65.3;64.1;65.05;5634775
2017-06-20;65.0;65.1;64.05;64.3;5840077
2017-06-19;65.05;65.4;64.85;65.0;5355543
2017-06-16;64.9;65.0;64.15;64.5;7924441
2017-06-15;63.25;65.05;63.25;64.5;11203256
2017-06-14;64.15;64.65;63.15;63.6;17059505
2017-06-13;63.0;65.35;62.8;64.75;14774298
2017-06-12;61.6;70.1;60.25;62.6;36113468
2017-06-09;301.4;303.2;300.0;302.1;2451617
2017-06-08;300.2;303.4;299.5;302.0;2805736
2017-06-07;304.2;305.6;298.7;299.0;2415146
2017-06-06;;304.7;304.7;304.7;0
2017-06-05;304.9;305.6;303.5;304.7;1046991
2017-06-02;300.3;303.3;300.2;303.3;2156894
2017-06-01;306.7;308.1;302.0;303.8;2038816
2017-05-31;308.7;312.2;306.2;306.7;2527850
2017-05-30;303.1;307.8;302.6;307.4;1509221
2017-05-29;303.0;304.4;302.2;303.1;684736
2017-05-26;304.8;304.8;301.9;303.0;1496313
2017-05-24;305.1;305.1;302.9;304.2;840920
2017-05-23;300.4;305.5;300.1;305.2;1359495
2017-05-22;300.2;300.8;298.4;300.3;1563161
2017-05-19;300.2;301.2;299.1;300.2;1530329
2017-05-18;300.9;303.0;299.6;300.0;2680286
2017-05-17;301.7;302.5;299.9;300.7;1834286
2017-05-16;300.0;302.6;298.6;302.5;2174233
2017-05-15;299.7;300.6;297.8;300.2;1572478
2017-05-12;296.4;299.7;299.7;299.7;1404826
2017-05-11;294.9;297.3;294.3;296.0;1381923
2017-05-10;296.7;296.7;293.7;295.3;1209762
2017-05-09;295.4;296.7;293.9;296.7;1692490
2017-05-08;297.0;297.4;294.4;295.3;1100511
